"Diversity","Shrubs","Stumps","Stags","Bark","Habitat","BAcacia","eucalyptus","aspect"
2,5,0,9,10,6,20,"regnans","NW-NE"
1,10,0,18,13,6,5,"regnans","NW-NE"
2,3,0,3,5,5,15,"nitens","NW-SE"
1,2,0,20,4,7,13,"regnans","NW-NE"
4,2,0,25,8,10,23,"regnans","SW-NW"
2,0,0,4,6,7,23,"regnans","NW-NE"
0,11,0,4,4,4,5,"regnans","NW-NE"
4,12,0,30,15,8,8,"regnans","SW-NW"
5,10,0,24,9,8,4,"regnans","SE-SW"
3,7,0,8,5,5,4,"nitens","NW-SE"
0,1,1,4,7,6,16,"nitens","SE-SW"
1,3,0,6,3,4,0,"delegatensis","NW-SE"
0,2,0,5,4,5,9,"regnans","NW-SE"
2,3,0,3,6,5,5,"nitens","SE-SW"
0,1,0,5,4,5,4,"delegatensis","SW-NW"
2,1,0,2,6,6,19,"regnans","NW-NE"
0,7,0,3,5,2,0,"regnans","NW-SE"
0,3,0,5,6,6,19,"nitens","SW-NW"
2,6,0,7,5,4,4,"regnans","SW-NW"
0,2,0,4,5,6,17,"regnans","SE-SW"
0,1,0,5,3,4,8,"delegatensis","SW-NW"
1,3,0,4,4,6,7,"delegatensis","NW-NE"
0,6,0,4,7,5,4,"regnans","SW-NW"
0,11,0,1,8,1,1,"regnans","SE-SW"
3,9,0,4,5,3,0,"regnans","SE-SW"
0,1,0,23,4,6,3,"delegatensis","SW-NW"
3,1,0,25,4,7,15,"delegatensis","SE-SW"
3,6,0,31,10,8,13,"regnans","SW-NW"
1,5,0,0,4,2,23,"regnans","NW-NE"
2,8,1,8,3,7,12,"regnans","NW-SE"
0,6,0,4,5,2,0,"regnans","SW-NW"
0,2,0,4,2,1,0,"regnans","NW-NE"
1,5,1,1,0,2,0,"regnans","NW-NE"
2,4,0,3,6,6,17,"regnans","NW-NE"
1,4,1,1,5,3,25,"regnans","NW-SE"
0,5,0,1,4,2,16,"delegatensis","NW-SE"
0,4,0,4,6,2,0,"regnans","SE-SW"
