"longitude","latitude","number","early","late"
-94.6,47.9,1,1,0
-94.4,47.6,1,0,1
-95.7,47.3,1,0,1
-91.7,47.2,1,1,0
-95.1,47.7,2,2,0
-93.8,46.1,1,0,1
-92.8,46.6,1,0,1
-93.8,47.2,1,0,1
-92.7,47.8,1,1,0
-92.9,46.8,1,0,1
-95.6,48.8,4,0,4
-94.7,46.5,1,0,1
-96,48.8,1,1,0
-92.5,47.4,1,0,1
-94.6,47.7,2,0,2
-94.7,47.8,15,7,8
-93.7,46.8,1,1,0
-91.5,47.4,2,2,0
-95.5,48.4,2,0,2
-94.5,48.2,3,1,2
-95.6,48,1,0,1
-95.7,48.2,11,5,6
-95.5,47,1,1,0
-95.7,48,1,0,1
-94.7,48.5,1,1,0
-93.4,46.5,3,0,3
-96.6,48.8,4,0,4
-96,48.6,2,1,1
-95.2,47.3,1,0,1
-92.8,46,1,1,0
-94.3,48.7,2,0,2
-93.6,46.8,3,2,1
-95.1,47.5,2,0,2
-94.4,46.5,1,0,1
-95.6,48.7,1,1,0
-95.7,48.8,2,0,2
-95.6,48.7,3,3,0
-92.2,47.4,1,0,1
-92.8,47.3,1,0,1
-95.5,48.8,1,1,0
-94.5,48.5,5,5,0
-94.4,48.6,1,0,1
-94.7,46.5,1,0,1
-93.6,45.9,2,0,2
-92.9,47.1,1,0,1
-95.3,48.9,1,0,1
-92.9,46.6,1,0,1
-94.6,46.7,1,0,1
-92.6,46.1,3,0,3
-92.6,46.1,1,0,1
-93.4,46.7,1,0,1
-95.5,48.9,2,0,2
-92.9,46.7,1,1,0
-94.3,46.9,1,0,1
-94.4,46.7,1,0,1
-95.4,48.9,1,1,0
-94.6,47.9,3,2,1
-94.5,47,1,0,1
-96,48.6,1,1,0
-95.8,48.7,17,8,9
-95.4,48.9,2,0,2
-95.7,48.4,2,0,2
-94.5,46.5,5,0,5
-93,46.8,1,0,1
-92.6,46.4,3,0,3
-92.3,47.3,1,0,1
-92.9,46.7,2,1,1
-92.9,46.6,2,0,2
-96.7,48.9,1,0,1
-92.9,46.6,1,0,1
-94.5,47.5,1,0,1
-94.6,47.7,1,1,0
-92.1,47,3,0,3
-93.1,47.6,1,0,1
-95.5,48.3,1,0,1
-94.3,46.7,1,0,1
-95.1,46.6,1,0,1
-94.5,46.7,1,0,1
-95.9,48.4,1,0,1
-96,48.6,1,1,0
-94.2,47.9,2,0,2
-94.7,48,1,0,1
-92.5,46.5,1,0,1
-93.5,48.3,1,0,1
-94.9,47.7,1,1,0
-92.8,47.1,3,0,3
-95.5,47.5,2,1,1
-92.5,47.6,1,0,1
-93.7,46.6,2,1,1
-94.3,47.7,1,1,0
-94.7,46.7,1,0,1
-94.8,46.8,1,0,1
-94.6,47.9,1,1,0
-92.8,46.9,1,0,1
-92.9,46.4,1,0,1
-94.3,46.6,4,2,2
-92.9,46.4,1,0,1
-96.6,48.9,3,3,0
-96.5,49,1,1,0
-92.2,47.4,2,2,0
-94.2,47.9,1,1,0
-94.4,48.2,2,2,0
-94.5,48.2,10,4,6
-95,47.2,1,0,1
-96.7,48.8,1,0,1
-95.7,48.3,1,0,1
-91.4,47.2,2,2,0
-94.1,47,1,0,1
-93.3,48.4,3,1,2
-95.5,48.9,2,1,1
-94.2,48,1,1,0
-94.5,48.1,9,5,4
-94.5,48.1,1,1,0
-96.5,48.5,1,0,1
-93.1,46.7,1,0,1
-95.6,48.6,2,2,0
-96,48.6,4,4,0
-95.1,47.6,1,0,1
-95.5,48.9,3,1,2
-94.5,48.7,3,0,3
-93.6,47.9,1,0,1
-94.4,47.9,14,8,6
-94.3,47.9,1,1,0
-94.4,48,10,4,6
-95.8,48.4,4,0,4
-94.1,46.3,1,1,0
-96.8,48.9,2,1,1
-95.3,47,1,0,1
-95.4,47.8,3,2,1
-92.9,46.6,1,0,1
-93.5,48.5,1,0,1
-93.9,46,3,0,3
-94,46,1,0,1
-94.6,47.9,1,1,0
-94.8,47.8,2,0,2
-95.5,47.8,6,0,6
-93.3,47.1,5,1,4
-93.8,46.9,2,0,2
-91.9,47.9,1,1,0
-93.7,48.4,1,0,1
-94.9,47.8,1,0,1
-94.9,47.8,1,0,1
-93.3,47,2,2,0
-95.1,47.5,5,2,3
-95.9,48.7,1,0,1
-95.5,48.6,1,1,0
-94,47.8,3,1,2
-94.7,48,1,1,0
-94.4,47.9,1,1,0
-94.6,47.9,1,1,0
-96.4,48.5,1,0,1
-95.8,47.8,1,0,1
-92.6,46.1,5,0,5
-96,48.2,1,0,1
-92.3,46.9,3,3,0
-95.6,48.3,2,0,2
-95.6,48.3,1,1,0
-95.7,48.3,1,1,0
-95.4,48.3,2,2,0
-95.4,48.8,2,1,1
-93.7,46.6,1,0,1
-94.7,47.8,2,1,1
-94.3,48,1,0,1
-96.6,48.8,1,1,0
-92.6,47,1,0,1
-95.9,46.6,1,0,1
-92.9,46.6,1,0,1
-92.6,46.7,2,0,2
-96,48.6,5,0,5
-93.4,46.8,1,0,1
-96.6,48.6,1,0,1
-94.9,48.9,3,2,1
-95.1,47.6,1,0,1
-92.5,46.9,1,0,1
-92.3,47.4,1,0,1
-93.1,46,1,0,1
-95.8,48.6,4,1,3
-93.6,47.8,1,0,1
-93.6,48.4,1,0,1
-93.6,48.5,1,1,0
-92.7,47,1,0,1
-94.9,47.8,2,2,0
-94.6,47.9,1,1,0
-92.7,47.9,1,1,0
-92.8,47.7,2,2,0
-93.9,47.5,2,0,2
-94.6,47.8,1,1,0
-95,48.8,1,0,1
-94.8,47.2,1,0,1
-95.3,46.7,1,0,1
-94.5,48.5,1,1,0
-92.8,46.7,2,2,0
-93.1,46.1,1,0,1
-95.3,46.7,1,0,1
-95.9,48.4,4,0,4
-95,47.6,4,4,0
-95.3,47.1,3,1,2
-95.4,48.8,5,5,0
-93.6,47.9,1,0,1
-92.7,46.8,1,0,1
-93.4,47,1,0,1
-93.7,47.9,1,1,0
-94.6,48,1,0,1
-95.8,48.3,2,2,0
-93.6,47.8,13,9,4
-96.5,48.7,5,0,5
-93.2,47.2,14,8,6
-91.9,47,2,0,2
-93.8,47,1,0,1
-94.1,47.8,2,1,1
-93.6,46.7,1,0,1
-94.7,47.9,1,0,1
-92.8,46.7,1,0,1
-94.7,48.5,1,1,0
-95.4,49,1,1,0
-92.8,47.7,2,2,0
-93.2,46.3,6,4,2
-95.2,48.2,3,2,1
-94.6,48.5,1,1,0
-94.6,46.5,1,0,1
-93.5,47.7,1,0,1
-96.3,48.5,1,0,1
-92.9,46.7,1,0,1
-94.8,47.8,2,1,1
-93,47.9,1,0,1
-93.8,48.4,6,1,5
-92.6,46.1,1,0,1
-95.6,48.3,1,0,1
-93.6,47.8,3,1,2
-91.2,47.3,1,0,1
-92.9,46.2,1,0,1
-92.3,47.7,3,3,0
-95.6,48.5,3,2,1
-95.2,46.8,1,1,0
-94,47.7,2,2,0
-93.8,47.3,1,0,1
-95.8,48.4,1,0,1
-94.3,46.7,3,0,3
-94.2,48,4,4,0
-93.5,46.8,3,1,2
-94.7,48,1,1,0
-96.4,48.9,26,24,2
-92.7,47.2,4,1,3
-95.7,48.5,1,0,1
-92.8,48,3,0,3
-95.1,47.7,2,1,1
-95.6,48.5,1,0,1
-94.2,47.9,1,0,1
-92.2,47.4,1,0,1
-93.5,46.4,2,0,2
-95.6,48.7,2,2,0
-94.1,47.9,1,0,1
-95.8,47.8,1,1,0
-94.6,46.5,1,0,1
-95.5,47.4,1,0,1
-95.4,47.4,1,0,1
-96.6,48.7,1,0,1
-93.6,46.9,1,0,1
-93.8,45.9,1,0,1
-93.3,47.2,1,0,1
-95,47.7,1,1,0
-96,48.6,1,1,0
-96.2,48.7,2,1,1
-96.9,49,1,1,0
-95.2,47.6,1,1,0
-94.7,47.9,1,0,1
-96.5,48.9,2,2,0
-92.8,47.2,1,0,1
-92.5,47.4,2,2,0
-95.4,47.4,2,1,1
-95.4,47.1,3,1,2
-96,48.7,1,0,1
-94.2,48,2,0,2
-94.2,47.9,1,0,1
-94.5,47.9,1,1,0
-92.8,46.7,1,1,0
-92.7,47.4,2,0,2
-95.6,47.8,1,0,1
-94.5,47.6,4,1,3
-95.9,48.6,2,2,0
-95.9,48.6,3,3,0
-96.6,48.7,1,1,0
-94.2,47.9,1,0,1
-94.5,47.9,2,2,0
-93.1,46.4,1,0,1
-94.4,46.6,1,0,1
-93.9,46,3,0,3
-94.8,47.7,1,1,0
-95.2,47.6,1,0,1
-93.6,47.4,3,3,0
-92.3,47.8,1,1,0
-94.5,46.6,1,0,1
-93.6,46.8,1,0,1
-94.5,48,2,2,0
-94.4,47.9,4,4,0
-94.4,47.9,1,1,0
-94.2,48,1,1,0
-93.6,45.9,1,0,1
-92.6,47.4,2,0,2
-93.8,46.6,1,0,1
-94.7,46.8,1,0,1
-93.6,46.8,4,0,4
-93.8,46.8,2,0,2
-94.2,47.2,2,1,1
-93.5,47.9,12,5,7
-94.8,46.6,2,0,2
-95.9,48.2,1,0,1
-94.5,47.7,1,0,1
-94.5,47.9,5,3,2
-96.5,48.9,5,3,2
-94.6,46.6,1,0,1
-93.5,47.9,1,0,1
-92.1,47,2,0,2
-93.5,46.4,5,2,3
-93.6,46.4,1,0,1
-94.6,47.3,1,0,1
-94.5,46.6,2,0,2
-94.3,46.8,2,0,2
-95.4,46.8,1,0,1
-93.5,46.7,2,0,2
-93.8,47.2,1,0,1
-92.6,46.5,1,0,1
-94.1,47.8,2,1,1
-95.8,47.8,1,1,0
-96,48.6,6,1,5
-92.9,47.8,1,0,1
-93.9,48.5,1,0,1
-94.8,47.9,1,0,1
-94.8,47.8,2,2,0
-96.6,48.8,4,1,3
-92.8,47.8,3,2,1
-92.6,46.3,1,0,1
