"partic","hincome","children","region"
"fulltime",13,"absent","Ontario"
"parttime",15,"present","Ontario"
"fulltime",17,"present","Ontario"
"fulltime",17,"present","Ontario"
"parttime",23,"present","Ontario"
"fulltime",27,"absent","BC"
"fulltime",16,"present","BC"
"fulltime",27,"absent","Ontario"
"not.work",35,"absent","Ontario"
"not.work",35,"absent","Ontario"
"not.work",35,"absent","Ontario"
"parttime",9,"present","Ontario"
"parttime",9,"present","Ontario"
"parttime",9,"present","Ontario"
"not.work",13,"present","Ontario"
"not.work",17,"present","Ontario"
"not.work",17,"present","Ontario"
"fulltime",15,"absent","Ontario"
"fulltime",15,"absent","Ontario"
"not.work",15,"present","Ontario"
"fulltime",11,"absent","Atlantic"
"not.work",23,"present","Atlantic"
"not.work",15,"present","Atlantic"
"not.work",15,"absent","BC"
"parttime",12,"absent","BC"
"parttime",12,"absent","BC"
"not.work",13,"present","Prairie"
"not.work",19,"present","Ontario"
"not.work",19,"present","Atlantic"
"not.work",3,"present","Atlantic"
"not.work",9,"present","Atlantic"
"fulltime",17,"present","Atlantic"
"not.work",1,"present","Atlantic"
"not.work",1,"present","Atlantic"
"parttime",13,"present","Prairie"
"not.work",13,"present","Prairie"
"not.work",19,"absent","BC"
"not.work",19,"absent","BC"
"fulltime",15,"absent","BC"
"parttime",30,"present","Ontario"
"not.work",9,"present","Atlantic"
"not.work",23,"present","Atlantic"
"fulltime",9,"absent","Ontario"
"fulltime",9,"absent","Ontario"
"not.work",13,"present","Prairie"
"parttime",13,"present","Ontario"
"not.work",17,"present","Atlantic"
"parttime",13,"present","Prairie"
"parttime",13,"present","Prairie"
"parttime",19,"present","Ontario"
"parttime",19,"present","Ontario"
"not.work",3,"present","Ontario"
"fulltime",14,"absent","Ontario"
"fulltime",14,"absent","Ontario"
"fulltime",11,"present","Ontario"
"fulltime",11,"present","Ontario"
"parttime",14,"present","Ontario"
"not.work",13,"present","Ontario"
"not.work",28,"present","Ontario"
"not.work",28,"present","Ontario"
"not.work",14,"present","Ontario"
"not.work",14,"present","Ontario"
"not.work",11,"present","Prairie"
"not.work",13,"present","Prairie"
"not.work",13,"present","Prairie"
"parttime",11,"present","Atlantic"
"parttime",11,"present","Atlantic"
"not.work",19,"present","BC"
"fulltime",6,"absent","BC"
"not.work",28,"absent","BC"
"fulltime",13,"absent","BC"
"fulltime",13,"absent","BC"
"not.work",5,"absent","BC"
"parttime",28,"present","BC"
"parttime",11,"present","BC"
"not.work",23,"present","BC"
"parttime",15,"present","BC"
"not.work",13,"present","BC"
"fulltime",22,"absent","Ontario"
"fulltime",15,"absent","Ontario"
"not.work",15,"present","Ontario"
"not.work",15,"present","Atlantic"
"fulltime",5,"present","Atlantic"
"fulltime",1,"absent","Prairie"
"fulltime",1,"absent","Prairie"
"not.work",9,"present","Atlantic"
"not.work",15,"present","Ontario"
"fulltime",13,"absent","Ontario"
"not.work",19,"present","Atlantic"
"parttime",8,"present","BC"
"fulltime",7,"present","Prairie"
"not.work",19,"present","Ontario"
"not.work",7,"present","Ontario"
"fulltime",9,"absent","Ontario"
"fulltime",9,"absent","Ontario"
"fulltime",24,"absent","Ontario"
"not.work",15,"present","Ontario"
"fulltime",13,"absent","Ontario"
"not.work",13,"absent","BC"
"fulltime",13,"absent","BC"
"fulltime",17,"present","Atlantic"
"fulltime",16,"absent","Atlantic"
"fulltime",18,"absent","Ontario"
"fulltime",18,"absent","Ontario"
"not.work",13,"absent","Ontario"
"parttime",15,"present","BC"
"not.work",13,"present","BC"
"not.work",7,"present","BC"
"fulltime",9,"present","Atlantic"
"not.work",23,"present","BC"
"not.work",17,"present","Prairie"
"not.work",15,"present","BC"
"not.work",11,"present","Prairie"
"not.work",17,"present","Prairie"
"not.work",17,"present","Prairie"
"fulltime",5,"present","Prairie"
"fulltime",5,"present","Prairie"
"not.work",26,"present","Ontario"
"fulltime",10,"absent","Quebec"
"fulltime",11,"absent","Quebec"
"fulltime",20,"present","Quebec"
"not.work",13,"present","Quebec"
"not.work",15,"present","Quebec"
"not.work",28,"present","Quebec"
"parttime",9,"present","Quebec"
"not.work",19,"present","Quebec"
"not.work",11,"present","Quebec"
"fulltime",11,"absent","Quebec"
"not.work",9,"present","Quebec"
"fulltime",10,"absent","Quebec"
"not.work",19,"present","Quebec"
"not.work",13,"present","Quebec"
"fulltime",3,"absent","Quebec"
"not.work",15,"present","Quebec"
"not.work",15,"present","Quebec"
"parttime",17,"present","Quebec"
"not.work",7,"present","Quebec"
"parttime",15,"absent","Quebec"
"not.work",19,"present","Quebec"
"fulltime",16,"absent","Quebec"
"not.work",5,"absent","Quebec"
"not.work",11,"present","Quebec"
"not.work",11,"present","Quebec"
"not.work",19,"present","Quebec"
"not.work",15,"present","Quebec"
"not.work",15,"present","Quebec"
"not.work",11,"present","Quebec"
"fulltime",5,"absent","Quebec"
"parttime",23,"present","Quebec"
"parttime",23,"present","Quebec"
"not.work",7,"present","Quebec"
"not.work",13,"present","Quebec"
"fulltime",15,"absent","Quebec"
"fulltime",5,"absent","Quebec"
"not.work",7,"present","Quebec"
"fulltime",6,"absent","Quebec"
"fulltime",5,"present","Quebec"
"fulltime",5,"present","Quebec"
"not.work",13,"present","Quebec"
"not.work",13,"present","Quebec"
"not.work",13,"present","Quebec"
"not.work",13,"absent","Quebec"
"not.work",17,"present","Quebec"
"fulltime",6,"present","Quebec"
"not.work",5,"present","Quebec"
"parttime",19,"present","Quebec"
"fulltime",3,"present","Quebec"
"not.work",23,"absent","Quebec"
"not.work",23,"absent","Quebec"
"fulltime",15,"absent","Quebec"
"not.work",11,"absent","Quebec"
"not.work",23,"absent","Quebec"
"not.work",13,"present","Quebec"
"parttime",23,"present","Quebec"
"fulltime",11,"absent","Quebec"
"not.work",9,"absent","Quebec"
"fulltime",2,"absent","Quebec"
"not.work",15,"present","Quebec"
"not.work",15,"absent","Quebec"
"not.work",15,"present","Quebec"
"not.work",11,"present","Quebec"
"not.work",11,"absent","Quebec"
"not.work",15,"present","Quebec"
