"wages","education","age","sex","language"
20.99,14,47,"Male","English"
NA,10,31,"Male","English"
40.32,14,42,"Male","English"
8.2,14,19,"Male","English"
11,13,27,"Female","English"
15,12.5,30,"Male","English"
NA,10,52,"Female","English"
40.8,20,60,"Male","English"
8,12,51,"Female","English"
14.5,10.5,45,"Female","English"
9,13,31,"Female","English"
14.4,8.5,51,"Male","English"
NA,5,79,"Male","Other"
NA,12,60,"Female","Other"
12,11,53,"Female","French"
NA,8,55,"Female","English"
NA,15.5,53,"Female","English"
7,14.3,18,"Male","English"
NA,6,73,"Female","Other"
25.92,18,48,"Male","English"
NA,13,60,"Female","English"
NA,9,69,"Female","English"
NA,12,18,"Male","English"
25.44,11,41,"Male","English"
10,12.1,34,"Female","English"
12.97,15.1,56,"Male","English"
7,14,19,"Male","English"
NA,14,33,"Female","English"
NA,11,43,"Male","English"
8.89,12,18,"Female","English"
21.57,9,41,"Male","Other"
NA,16,74,"Female","English"
10.4,NA,55,"Female","English"
NA,4,62,"Male","Other"
20.61,12.5,40,"Male","French"
11.11,11,41,"Male","Other"
NA,7,50,"Female","English"
NA,8,79,"Female","English"
NA,16,86,"Male","English"
NA,5,83,"Male","Other"
22.13,14,55,"Male","English"
NA,8,72,"Female","English"
13.5,17,30,"Male","English"
13.29,NA,29,"Female",NA
NA,12,53,"Female","English"
NA,12,50,"Female","Other"
NA,8,64,"Female","English"
21.56,19.1,32,"Male","English"
NA,12.5,30,"Female","English"
6.75,10,16,"Male","Other"
NA,14.1,23,"Female","English"
NA,8,62,"Female","French"
9,14,68,"Female","English"
NA,14.6,35,"Male","English"
13,14.8,25,"Female","Other"
NA,12,45,"Female","English"
5.54,18,23,"Male","English"
6.48,11,17,"Male","English"
40.8,16.8,39,"Male","English"
NA,17,67,"Male","English"
13.01,10.5,39,"Female","English"
NA,11,51,"Male","Other"
19.17,17,49,"Male","English"
NA,13,32,"Male","English"
NA,11.5,83,"Female","English"
25.75,12.5,31,"Male","English"
30,20,39,"Male","English"
NA,12.5,42,"Male","English"
NA,7,60,"Male","French"
9.25,10,40,"Female","English"
5.76,10,17,"Male","English"
3.75,11,17,"Male","English"
40.96,10.5,54,"Male","English"
21.39,18,41,"Female","English"
NA,15,74,"Female","English"
NA,13,67,"Female",NA
3.12,17.5,24,"Male","Other"
NA,11,42,"Male","English"
NA,10.5,37,"Male","English"
14.96,16.1,28,"Female","English"
NA,11,55,"Female","English"
12.55,13,37,"Male","Other"
6.75,15.5,21,"Female","English"
10.56,11.8,21,"Male","English"
10.75,12.1,18,"Male","English"
NA,10,72,"Female","English"
5.17,17.3,34,"Female","English"
NA,17,46,"Male","English"
NA,10,62,"Female","English"
19.15,13,50,"Male","English"
NA,11,32,"Female","English"
35.66,20,48,"Male","Other"
9.85,13.9,20,"Male","English"
27.8,12,34,"Female","English"
13.12,12,31,"Male","English"
41.38,11.1,44,"Male","Other"
31.5,15,42,"Male","English"
15,17,58,"Female","English"
14.85,13,38,"Male","French"
19.2,14,28,"Male","French"
7.31,11,63,"Female","English"
13.88,12,33,"Female","Other"
NA,13.5,70,"Female","English"
NA,10,16,"Female","English"
16,11,57,"Female","English"
7.52,11.6,19,"Male","English"
NA,0,80,"Female","Other"
12.84,12.5,26,"Female","English"
6.42,12.5,43,"Female","English"
17.58,12,31,"Male","English"
15.07,5,65,"Male","Other"
NA,11,35,"Female","English"
NA,8,64,"Male","English"
28.66,17,50,"Male","English"
6.06,12.5,20,"Female","English"
17.68,12,34,"Male","English"
28.78,16.3,40,"Male","English"
9.22,13,31,"Female","English"
7.6,11,27,"Male","English"
13.29,8,53,"Male","English"
NA,8,47,"Male","English"
7.2,14.6,19,"Male","English"
NA,11,17,"Female","English"
NA,12,36,"Male","English"
NA,8,70,"Male","English"
NA,15,47,"Male","English"
NA,10,64,"Male","French"
14.03,8,39,"Male","Other"
23.04,14,40,"Male","English"
12.3,20,40,"Male","English"
NA,13.1,41,"Male","Other"
NA,14,52,"Female","English"
21.5,13.6,24,"Male","English"
NA,5,84,"Male","French"
9.4,11,19,"Female","English"
11.5,8,59,"Male","English"
5.92,14.5,22,"Female","English"
NA,14,48,"Male","English"
NA,10.5,26,"Female","English"
NA,13.3,46,"Female","English"
NA,12,31,"Female","English"
NA,11,17,"Female","English"
NA,8.5,71,"Female","English"
27.79,13.5,57,"Female","English"
NA,NA,79,"Male","Other"
NA,8.5,61,"Female","English"
NA,8,68,"Female","English"
17.6,16.9,39,"Female","English"
12,6,65,"Male","French"
NA,14.5,25,"Female","English"
22.19,16,32,"Male","English"
NA,10,70,"Female","French"
NA,10,16,"Male","English"
9,14,20,"Male","English"
12.83,17.4,45,"Female","English"
5.9,10,16,"Male","English"
NA,10,20,"Female","English"
15.79,17.5,26,"Male","English"
NA,17.1,25,"Female","English"
7.15,11,17,"Male","English"
21.15,12,41,"Male","English"
NA,6,80,"Male","French"
NA,15,38,"Male","English"
17.14,12.5,30,"Female","French"
NA,12,71,"Male","English"
NA,8,70,"Male","English"
19.68,11.5,34,"Male","English"
10,16,31,"Male","English"
NA,6,72,"Female","Other"
7.66,16,20,"Female","English"
NA,6,62,"Male","Other"
NA,10,67,"Male","English"
NA,8,71,"Female","English"
7,8,35,"Female","English"
14.23,9,55,"Male","French"
6.5,16.3,20,"Female","English"
NA,13,48,"Female","English"
10.25,11.5,36,"Female","English"
NA,13,49,"Female","English"
10.5,14,25,"Male","French"
8.92,19.1,25,"Male","English"
NA,NA,56,"Male","Other"
26.88,13,37,"Male","English"
19.07,13,44,"Male","English"
NA,6,79,"Male","English"
12,14.1,36,"Female","English"
NA,13,86,"Male","English"
8.5,14,24,"Female","English"
NA,10,69,"Male","English"
19.67,12,36,"Female","Other"
NA,18.1,62,"Male","English"
NA,8,84,"Male","English"
NA,12,50,"Female","French"
NA,13,28,"Female","English"
NA,12,26,"Female","English"
23.04,20,38,"Male","English"
NA,10,48,"Female","English"
15.92,20,34,"Female","English"
NA,18,59,"Male","English"
8.83,10,64,"Female","English"
16.46,18,25,"Female","English"
NA,8,66,"Female","French"
18.24,10,56,"Male","English"
NA,12.5,42,"Female","English"
12,14,37,"Female","English"
28.8,10.1,58,"Male","English"
NA,12,72,"Male","English"
34.78,18.5,46,"Male","English"
12.8,12.5,27,"Female","English"
7.5,18.8,43,"Female","English"
18.19,10,57,"Female","English"
21.55,12,34,"Male","English"
7,16,52,"Female","French"
11.3,12,43,"Female","English"
9.58,18,38,"Male","English"
NA,12.5,36,"Female","Other"
NA,10,70,"Female","English"
NA,8,67,"Male","French"
15.43,17.8,38,"Female","English"
NA,12,68,"Female","English"
NA,12,80,"Female","English"
NA,9.5,70,"Female","English"
12.58,0,38,"Female","English"
NA,12,84,"Female","English"
16.22,15,46,"Female","English"
NA,5,72,"Female","English"
13.65,14.5,29,"Female","English"
NA,13,29,"Female","English"
NA,9,68,"Male","English"
16.8,17,30,"Female","English"
8.5,13,31,"Female","English"
NA,10.5,56,"Female","English"
20.29,20,39,"Female","English"
NA,16,24,"Female","French"
NA,12,60,"Male","English"
27.9,15,53,"Male","English"
7,12,30,"Male","English"
7.25,14.5,25,"Female","English"
14.75,16,49,"Female","English"
NA,13.5,35,"Male","French"
17.45,17,40,"Female","English"
NA,13,66,"Male","English"
16,16.5,46,"Female","English"
15.1,15.5,23,"Female","English"
NA,8,62,"Female","Other"
9,10,27,"Male","English"
11.6,12.3,28,"Female","English"
NA,14,46,"Male","French"
16.48,12,33,"Male","English"
NA,13.5,59,"Male","English"
NA,14,43,"Female","English"
NA,9,66,"Male","English"
26.88,17,52,"Male","English"
9.65,14,40,"Female","English"
NA,11,67,"Female","English"
23.35,20,44,"Male","English"
10.59,12.5,29,"Female","English"
NA,12.5,74,"Female","English"
7.79,12,20,"Female","English"
15.05,19,44,"Male","Other"
6.5,13,19,"Female","English"
4.8,10,34,"Male","Other"
NA,10.6,24,"Female","English"
NA,8,51,"Male","Other"
21.33,20,36,"Female","English"
22.99,12.5,51,"Female","English"
16.28,16,24,"Male","English"
7,12,18,"Male","English"
NA,18,69,"Male","English"
32.59,16,50,"Female","English"
9.25,9,25,"Male","Other"
7,13,19,"Male","English"
21.12,17,43,"Female","English"
NA,10,81,"Male","English"
25.6,NA,33,"Female","French"
18,13,44,"Male","French"
19.94,12,31,"Female","Other"
21.43,12,62,"Female","English"
5.8,14,33,"Male","English"
NA,10,72,"Male","English"
17.67,13,42,"Female","English"
16,13,43,"Female","English"
NA,12,52,"Male","English"
19.58,13,38,"Male","English"
NA,9,64,"Male","English"
15.65,14,49,"Male","English"
15.42,14,23,"Male","English"
7,13,47,"Female","English"
11.27,9.5,34,"Female","English"
29.87,NA,39,"Female",NA
15,11,35,"Male","English"
27.5,10,49,"Female","English"
NA,8,61,"Female","Other"
NA,8,80,"Male","English"
7,8,50,"Female","English"
NA,9,41,"Female","English"
29.53,17,44,"Female","English"
11.97,5.5,29,"Male","Other"
9,9,30,"Male","Other"
NA,5,52,"Female","Other"
25.6,13,60,"Male","English"
15.6,13,37,"Male","English"
NA,8,73,"Female","English"
11,4,54,"Male","Other"
NA,8,52,"Female","French"
11.25,12,35,"Male","English"
32.91,18,43,"Female","English"
14.2,14,37,"Male","English"
NA,10,45,"Male","English"
6.85,13,20,"Male","English"
28.8,20,44,"Male","English"
6.7,12,30,"Male","English"
42.31,NA,60,"Male",NA
6.62,10,17,"Female","English"
NA,12.5,41,"Female","English"
NA,14.5,51,"Female","English"
28.54,15,32,"Female","English"
22.27,19,50,"Male","English"
30.72,20,40,"Male","French"
NA,8,86,"Female","English"
26.39,18,33,"Female","English"
33.28,16.5,39,"Male","English"
6.36,14.5,23,"Male","English"
NA,18,42,"Female","Other"
NA,9,55,"Female","French"
12.86,13,30,"Female","English"
18.29,14.5,36,"Male","English"
13.6,16,28,"Female","English"
18.25,17,28,"Female","English"
16.62,9,32,"Female","French"
NA,18,24,"Female","English"
NA,7,58,"Female","English"
6.35,10.1,17,"Female","English"
NA,15,48,"Male","Other"
15.79,NA,42,"Male","English"
21.81,13,37,"Male","Other"
NA,13,22,"Male","English"
7.19,13,18,"Female","English"
NA,6.5,68,"Male","Other"
25.6,18,42,"Female","English"
19,11,41,"Female","English"
NA,12,84,"Male","English"
NA,8,18,"Female","English"
13.07,16,44,"Male","English"
7,12,48,"Female","English"
40.96,17,43,"Female","English"
34.67,17,35,"Female","English"
NA,12,22,"Female","French"
13.21,NA,24,"Female","English"
11.25,10.5,56,"Female","Other"
24,14.5,54,"Male","English"
NA,8,62,"Female","English"
7,14,45,"Female","English"
30.65,14,50,"Male",NA
9.1,12.3,19,"Male","English"
NA,13,81,"Female","English"
23.04,13.5,50,"Female","English"
NA,8,55,"Male","Other"
NA,12,35,"Male","Other"
20.1,17.1,32,"Female","English"
13.91,18,31,"Female","English"
18.72,18,42,"Male","English"
24.38,20,30,"Male","English"
6.83,13,27,"Female","English"
20.91,16.2,26,"Male","English"
14.85,12,30,"Female","English"
NA,14,60,"Female","English"
14.29,12.5,52,"Female","English"
NA,13,86,"Female","English"
NA,10.5,32,"Female","English"
NA,7,60,"Male","English"
8,16.1,20,"Female","English"
14,18,37,"Male","English"
8,13,23,"Male","English"
12,12,53,"Female","English"
NA,13.5,25,"Male","English"
17.43,17,34,"Male","English"
NA,18,81,"Male","Other"
9.89,11,66,"Female","English"
NA,12,57,"Female","English"
9.56,17,24,"Female","English"
12.13,12,51,"Female","English"
NA,8,73,"Female","Other"
NA,10,65,"Male","French"
15,12,32,"Male","Other"
NA,9.5,66,"Female","English"
4.82,15,23,"Male","English"
17.9,13,45,"Male","English"
12.55,12.5,35,"Female","Other"
27.73,17,52,"Female","English"
10,14,26,"Female","English"
9.83,14,37,"Female","English"
NA,8,60,"Female","English"
NA,9,69,"Female","English"
NA,0,88,"Female","Other"
22.23,16,41,"Female","Other"
19.2,18.1,43,"Male","English"
7.25,12,41,"Male","English"
12,13.5,41,"Female","English"
32.16,18,62,"Female","English"
5,11,16,"Male","English"
NA,12,64,"Male","English"
NA,12,18,"Female","Other"
24.32,16,21,"Male","English"
9.76,14,29,"Female","French"
21.6,11,48,"Male","English"
NA,4,33,"Male","Other"
16.5,12,31,"Female","English"
NA,NA,67,"Male","Other"
15,17,28,"Male","English"
19.2,18.5,27,"Male","English"
15.84,16.3,34,"Male","English"
NA,10.2,19,"Female","English"
NA,12.5,49,"Female","English"
NA,12,34,"Male","English"
11.2,8.5,48,"Male","French"
NA,12,66,"Female","English"
9,15.5,23,"Male","English"
9.6,10,54,"Female","Other"
14,17,38,"Female","English"
NA,0,88,"Male","Other"
NA,13,56,"Male","English"
NA,13.3,37,"Female","Other"
20,13,33,"Male","English"
8,17,57,"Female","English"
7.49,12,36,"Female","English"
8.18,13.3,19,"Female","Other"
NA,9,17,"Male","English"
18.77,13,32,"Male","English"
20.76,18,44,"Female","Other"
26.38,8,60,"Male","Other"
NA,8,63,"Female","English"
10,16,38,"Female","English"
NA,12,46,"Female","English"
NA,10,32,"Male","English"
7.1,9,38,"Female","Other"
33.6,13,44,"Male","English"
30.24,17,52,"Male","English"
NA,13,80,"Female","English"
13,18,29,"Female","Other"
18.74,17,41,"Female","English"
3.15,11.5,26,"Female","English"
11.26,12,55,"Female","English"
NA,15,72,"Female","English"
NA,12,35,"Female","Other"
NA,13,82,"Female","English"
7.25,12,20,"Female","English"
12.5,11,35,"Female","English"
8.8,12.3,35,"Female","French"
NA,16,56,"Male","English"
NA,8,83,"Female","Other"
14.4,17,62,"Female","English"
NA,9,37,"Male","English"
NA,8,70,"Female","English"
NA,5,49,"Female","Other"
24.33,15.3,37,"Male","English"
NA,12.9,18,"Female","English"
9,17,44,"Male","English"
21.6,13.1,49,"Female","English"
12.79,12,47,"Female","French"
15.36,11,64,"Male","English"
NA,10,68,"Male","English"
14.49,16,53,"Female","Other"
14.05,15,33,"Male","English"
16.42,7.6,39,"Male","French"
8.97,13.1,22,"Female","Other"
8,11.2,60,"Female","English"
13.5,16.1,36,"Female","English"
NA,11,55,"Female","English"
NA,8,57,"Female","Other"
12,20,29,"Male","English"
10.25,12.2,23,"Female","English"
27.43,16,55,"Male","English"
NA,10,45,"Female","English"
NA,12,46,"Female","Other"
NA,10,63,"Male","English"
NA,15,55,"Female","English"
11.32,17.5,34,"Male","English"
15.77,12.5,33,"Male","English"
NA,NA,26,"Female",NA
NA,NA,53,"Male",NA
10.87,14,35,"Male","English"
NA,8,85,"Female","English"
11.29,10,38,"Female","English"
28.8,12,55,"Male","English"
NA,12,33,"Female","English"
7.41,13,20,"Male","English"
15,13,32,"Male","English"
10.05,12,23,"Female","French"
NA,15,23,"Female","English"
7.08,16,27,"Male","English"
18.28,16.1,37,"Male","English"
7,NA,16,"Male",NA
NA,11,68,"Female","Other"
11.5,13.5,27,"Male","English"
16,15,46,"Female","English"
15,15.5,25,"Female","English"
12,13,47,"Female","English"
8.13,10,51,"Female","English"
19,8,53,"Male","English"
NA,8,54,"Male","Other"
7,18.5,26,"Female","English"
NA,13,53,"Female","English"
NA,8,20,"Male","English"
NA,13,70,"Female","French"
NA,8,74,"Male","English"
8.61,12,55,"Female","English"
23.46,18,49,"Female","English"
5.93,10.5,28,"Female","French"
NA,NA,71,"Female","English"
NA,11,37,"Female","English"
19.75,17.4,43,"Male","English"
7.2,17,23,"Female","English"
13.44,10.6,38,"Female","English"
15.5,12,50,"Female","English"
7.12,12,35,"Female","English"
9.14,17,41,"Female","English"
17.88,16,38,"Female","Other"
18.75,15,27,"Male","English"
NA,NA,18,"Female","English"
NA,11,69,"Female","English"
20.5,17,39,"Female","English"
NA,9.5,72,"Male","English"
NA,14,37,"Female","Other"
NA,13,55,"Male","English"
31.8,17.3,41,"Male","English"
6.75,12.6,19,"Female","English"
NA,7,77,"Female","English"
NA,15,74,"Female","English"
NA,10,49,"Female","English"
NA,12,34,"Female","English"
NA,10,16,"Male","English"
NA,12,24,"Male","English"
9.05,11.1,33,"Female","English"
7,11,17,"Female","English"
11.5,9,37,"Female","English"
NA,10,16,"Male","English"
11,10,34,"Female","French"
NA,11,86,"Male","English"
10.81,0,49,"Male","Other"
10.75,NA,20,"Male","English"
25.08,14,38,"Male","English"
NA,13,40,"Male","Other"
NA,13,20,"Female","English"
NA,11.5,42,"Female","English"
NA,12,79,"Male","English"
6.7,11,19,"Male","English"
NA,10,76,"Male","English"
NA,12,78,"Female","English"
10.2,12,61,"Female","English"
NA,14,21,"Male","English"
24,15,51,"Male","Other"
NA,12,46,"Male","English"
16.3,12.1,26,"Male","English"
18.39,12,51,"Male","English"
NA,10,34,"Male","English"
3.62,13,57,"Male","French"
NA,9,56,"Female","English"
24,11,58,"Male","English"
NA,14,35,"Female","French"
16,12.5,44,"Female","English"
14.5,12.6,36,"Female","English"
NA,9,88,"Male","English"
NA,8,24,"Female","English"
22.81,8,45,"Male","Other"
19.18,12,32,"Male","English"
NA,8,74,"Male","English"
8,11,39,"Female","English"
13.68,12,37,"Male","English"
NA,18,44,"Female","English"
NA,12,32,"Male","Other"
NA,14,31,"Male","English"
NA,15,24,"Male","English"
9.42,12.5,49,"Female","Other"
28.8,16,38,"Female","English"
NA,11,45,"Female","Other"
NA,8,69,"Male","English"
28.8,14,54,"Female","English"
NA,13.5,48,"Female","English"
21.23,15,37,"Male","English"
24.46,13,32,"Female","English"
NA,8.2,32,"Female","English"
NA,16,59,"Female","English"
NA,13,43,"Female","English"
16,12.5,41,"Male","English"
NA,13.5,34,"Male","English"
NA,10,54,"Female","English"
NA,13,47,"Male","English"
NA,14.6,20,"Male","English"
17.07,14,32,"Female","English"
NA,12,40,"Female","French"
38,17,46,"Male","English"
NA,11,17,"Male","English"
20.1,14,42,"Male","French"
18.19,12,50,"Female","French"
8,13,37,"Female","English"
NA,7,50,"Female","English"
7,13,23,"Male",NA
NA,6.9,56,"Female","French"
NA,12,59,"Female","English"
NA,9,26,"Female","English"
NA,10,57,"Male","English"
27.84,17.3,41,"Female","English"
NA,13,40,"Male","English"
17.59,9,61,"Male","English"
NA,13,47,"Female","English"
NA,12.3,47,"Male","English"
7,14.1,19,"Male","English"
NA,17,56,"Female","French"
15.36,11,45,"Male","English"
NA,13.5,70,"Female","English"
NA,15,37,"Male","English"
14,8,64,"Male","English"
NA,11,55,"Male","English"
15,13,34,"Male","English"
13.59,14.1,29,"Female","English"
NA,16.5,29,"Male","English"
NA,8,70,"Male","Other"
NA,20,87,"Female","English"
NA,10,47,"Male","Other"
9.6,10,17,"Female","English"
NA,10,53,"Female","English"
17,11.5,34,"Male","English"
9.5,3,62,"Female","Other"
17.5,12,43,"Female","French"
17.81,13,34,"Male","French"
7.16,13.8,21,"Male","English"
5.75,12,17,"Female","English"
NA,15,21,"Female","Other"
NA,11,21,"Female","English"
15,13,64,"Female","English"
9.65,12.5,53,"Female","English"
18.04,15,30,"Male","English"
NA,17,74,"Male","English"
27.75,16,36,"Male","English"
NA,9.5,33,"Male","English"
NA,12,37,"Male","English"
NA,12,72,"Female","English"
15.36,12,41,"Female","English"
19.91,13,47,"Female","English"
12,7,38,"Male","Other"
NA,13,62,"Female","Other"
NA,15,50,"Male","English"
3.59,13.6,21,"Female","English"
7.2,11,18,"Male","English"
13,15,22,"Male","English"
7,9.5,27,"Female","Other"
NA,8,77,"Female","English"
12.56,15,24,"Male","English"
NA,14,26,"Female","English"
NA,8.5,71,"Female","Other"
NA,16,35,"Male","Other"
10.28,NA,28,"Female","French"
NA,14,23,"Female","English"
10.39,NA,44,"Female","English"
NA,15,45,"Male","English"
NA,11,37,"Male","French"
NA,12,71,"Male","English"
6.44,7,54,"Female","French"
NA,NA,75,"Male","Other"
NA,11,61,"Female","English"
10,16.5,38,"Male","English"
NA,8,68,"Male","Other"
NA,12,70,"Male","French"
13.49,10.5,37,"Female","English"
5.85,13,19,"Male","English"
22.7,12.7,43,"Male","English"
13.07,19,42,"Male","English"
NA,16,39,"Male","English"
6.7,6,57,"Female","French"
NA,12.5,45,"Male","English"
NA,10.9,22,"Male","English"
NA,16,47,"Female","English"
NA,16,69,"Male","English"
NA,19.2,47,"Male","English"
NA,8,69,"Female","English"
7,13,19,"Female","English"
NA,15,78,"Female","English"
NA,18,66,"Female","French"
20.48,11,38,"Female","French"
25.6,18,32,"Female","English"
7.75,13,54,"Female","English"
9.18,12.6,20,"Male","English"
7.92,13,20,"Female","English"
24,NA,37,"Male","English"
NA,10,17,"Male","English"
NA,18,41,"Female","English"
43.2,16.5,37,"Male","English"
24,NA,61,"Male","English"
NA,12,76,"Female","English"
NA,10,85,"Female","English"
18.74,16,29,"Female","English"
22.98,15,36,"Female","Other"
14.04,9,61,"Female","English"
14.88,13,40,"Female","English"
7.6,9,57,"Female","English"
7.68,15,24,"Female","English"
NA,10.5,53,"Female","Other"
NA,8,54,"Female","Other"
NA,11,69,"Female","English"
6.9,16,24,"Female","French"
NA,9,81,"Male","English"
NA,18,55,"Female","Other"
NA,18,55,"Male","English"
8.75,11,34,"Female","English"
10.96,12.5,32,"Female","English"
13.73,19,41,"Female","English"
27,15,48,"Female","English"
NA,9,32,"Male","English"
12.21,12,54,"Female","French"
30.1,13,47,"Male","English"
18.24,11.5,51,"Male","French"
NA,NA,55,"Male","English"
NA,16,63,"Female","English"
10,12,34,"Female","Other"
18.54,12,38,"Male","French"
NA,12.5,51,"Female","English"
NA,10.5,57,"Male","Other"
NA,10,44,"Female","French"
25,11,60,"Male","English"
NA,13.3,41,"Male","French"
14.34,12,23,"Female","English"
NA,8,70,"Female","Other"
6.73,10,16,"Female","English"
7.85,9,57,"Female","English"
NA,13,28,"Male","English"
6.94,14,19,"Male","English"
NA,5,64,"Female","English"
14.07,12.7,56,"Female","English"
NA,8.5,18,"Female","English"
NA,9.5,56,"Male","English"
7,NA,19,"Female","English"
NA,8,61,"Male","English"
NA,14,80,"Female","English"
12,12,36,"Male","English"
8,14,43,"Female","English"
28.36,15,39,"Male","English"
9.49,9,55,"Female","English"
15.04,13,56,"Female","English"
NA,11.5,85,"Female","English"
NA,8,68,"Female","English"
NA,9,46,"Male","English"
16.9,12.6,42,"Female","English"
NA,13,38,"Male","English"
27.34,14.8,37,"Female","English"
8.05,12,29,"Female","English"
NA,14.6,31,"Female","English"
13.76,NA,29,"Male","English"
NA,8,66,"Male","English"
10,15,29,"Male","English"
19.2,16,30,"Female","Other"
NA,8,89,"Male","English"
5.6,12,29,"Female","English"
NA,19,49,"Male","Other"
NA,10,49,"Female","French"
NA,12,34,"Female","English"
NA,12,18,"Female","French"
NA,12,39,"Female","English"
11.36,12,51,"Male","English"
16.48,NA,37,"Male","English"
NA,19,56,"Female","English"
18.94,16,32,"Female","English"
9.43,11,21,"Male","English"
18.21,12,45,"Female","English"
NA,12.8,45,"Female","English"
20.84,13.8,39,"Female","Other"
24,17,31,"Male","English"
NA,10.5,80,"Male","English"
NA,5,28,"Male","Other"
NA,10,50,"Male","French"
27.84,18,53,"Male","English"
34.56,12,46,"Male","English"
NA,8,65,"Female","English"
15.87,10.5,45,"Female","Other"
31.9,8,58,"Male","Other"
6.7,11,18,"Female","English"
NA,9,70,"Male","English"
