"judge","nation","rater","decision","language","location","success"
"Marceau","Somalia","no","yes","English","Toronto",-0.99462
"MacGuigan","China","no","yes","English","Toronto",-0.99462
"Desjardins","Lebanon","no","no","French","Montreal",-1.09861
"MacGuigan","Sri.Lanka","yes","no","English","Montreal",-0.75377
"Desjardins","Sri.Lanka","no","no","French","Montreal",-0.75377
"Stone","Sri.Lanka","yes","no","English","Toronto",-0.75377
"Desjardins","Nicaragua","no","yes","English","other",-1.58563
"Desjardins","Sri.Lanka","no","no","English","Toronto",-0.75377
"Stone","Somalia","no","no","English","Toronto",-0.99462
"Marceau","Argentina","yes","yes","French","Montreal",-0.80012
"Desjardins","Argentina","yes","yes","French","Montreal",-0.80012
"Desjardins","Somalia","yes","yes","English","Toronto",-0.99462
"Stone","Lebanon","no","yes","English","Toronto",-1.09861
"Hugessen","Iran","yes","no","French","Montreal",-0.66329
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","Czechoslovakia","no","no","French","Montreal",0.40547
"Heald","Guatemala","no","no","English","Toronto",-1.90096
"Desjardins","China","yes","no","English","Toronto",-0.99462
"Urie","China","no","no","English","Montreal",-0.99462
"Stone","Iran","no","no","English","other",-0.66329
"Heald","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Desjardins","El.Salvador","no","no","English","other",-1.04597
"Marceau","Czechoslovakia","no","yes","French","Montreal",0.40547
"Hugessen","China","no","no","French","Montreal",-0.99462
"Urie","China","yes","yes","English","other",-0.99462
"Marceau","Somalia","no","yes","French","Montreal",-0.99462
"Marceau","Lebanon","yes","no","French","Montreal",-1.09861
"Stone","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Hugessen","Poland","no","no","French","Montreal",-1.81529
"MacGuigan","India","yes","yes","English","Toronto",-0.53222
"Pratte","Lebanon","yes","no","French","Montreal",-1.09861
"Desjardins","Sri.Lanka","no","yes","English","other",-0.75377
"Desjardins","Lebanon","no","yes","English","Toronto",-1.09861
"Desjardins","Lebanon","no","yes","English","Toronto",-1.09861
"Desjardins","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Pratte","China","no","yes","English","Toronto",-0.99462
"Stone","Sri.Lanka","no","no","English","Toronto",-0.75377
"Pratte","Lebanon","yes","no","French","Montreal",-1.09861
"MacGuigan","Czechoslovakia","no","no","French","Montreal",0.40547
"Desjardins","Iran","no","no","French","Montreal",-0.66329
"Pratte","Somalia","yes","no","French","Montreal",-0.99462
"Iacobucci","Somalia","no","no","English","Toronto",-0.99462
"Pratte","Iran","yes","no","English","Montreal",-0.66329
"Heald","Lebanon","no","no","English","Toronto",-1.09861
"Heald","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Iacobucci","Lebanon","no","no","English","Toronto",-1.09861
"Mahoney","Sri.Lanka","no","no","English","Toronto",-0.75377
"Heald","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"MacGuigan","El.Salvador","yes","no","French","Montreal",-1.04597
"Desjardins","Sri.Lanka","yes","no","English","Toronto",-0.75377
"MacGuigan","Somalia","no","no","French","Montreal",-0.99462
"Iacobucci","China","no","no","English","Toronto",-0.99462
"Marceau","Pakistan","yes","yes","French","Montreal",-0.48955
"Urie","China","no","no","English","Toronto",-0.99462
"Desjardins","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Heald","Argentina","yes","no","English","Toronto",-0.80012
"Marceau","China","no","yes","French","Montreal",-0.99462
"Heald","Lebanon","no","no","English","Toronto",-1.09861
"Desjardins","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Iacobucci","China","no","no","English","Toronto",-0.99462
"MacGuigan","China","yes","yes","French","Montreal",-0.99462
"MacGuigan","China","no","no","French","Montreal",-0.99462
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Marceau","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","Poland","no","no","English","Toronto",-1.81529
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","Bulgaria","no","no","French","Montreal",-2.09074
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Iacobucci","Sri.Lanka","no","no","English","Toronto",-0.75377
"Marceau","Nigeria","no","no","English","Montreal",-1.20831
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","China","yes","yes","English","Montreal",-0.99462
"MacGuigan","Ghana","yes","no","English","Toronto",-1.20831
"Heald","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Heald","Pakistan","yes","no","English","Toronto",-0.48955
"Iacobucci","El.Salvador","no","no","English","Toronto",-1.04597
"Heald","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Stone","El.Salvador","no","no","English","other",-1.04597
"Stone","China","no","no","English","other",-0.99462
"Heald","Bulgaria","no","no","English","Toronto",-2.09074
"Pratte","Sri.Lanka","no","no","English","Toronto",-0.75377
"Hugessen","Lebanon","no","no","English","Toronto",-1.09861
"Stone","Sri.Lanka","no","no","English","Toronto",-0.75377
"Marceau","Somalia","no","no","French","Montreal",-0.99462
"Hugessen","Iran","yes","no","French","Toronto",-0.66329
"Stone","China","no","no","English","Toronto",-0.99462
"Marceau","Poland","no","no","French","Montreal",-1.81529
"Heald","China","yes","no","English","Toronto",-0.99462
"Mahoney","China","yes","yes","English","Toronto",-0.99462
"Mahoney","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Mahoney","China","yes","yes","English","Toronto",-0.99462
"Heald","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Heald","China","no","no","English","other",-0.99462
"Pratte","Czechoslovakia","no","no","English","Toronto",0.40547
"Marceau","Iran","no","yes","English","Toronto",-0.66329
"Heald","Sri.Lanka","no","no","English","Toronto",-0.75377
"Heald","Bulgaria","no","no","English","other",-2.09074
"Pratte","Bulgaria","no","no","French","Montreal",-2.09074
"Desjardins","China","no","no","English","Toronto",-0.99462
"Pratte","China","no","no","English","Toronto",-0.99462
"Stone","Lebanon","yes","yes","English","Toronto",-1.09861
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Hugessen","Sri.Lanka","yes","no","French","Montreal",-0.75377
"Heald","Ghana","no","yes","English","Toronto",-1.20831
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","Bulgaria","no","yes","English","other",-2.09074
"Mahoney","China","no","yes","English","Toronto",-0.99462
"Hugessen","Somalia","no","yes","French","Montreal",-0.99462
"MacGuigan","Sri.Lanka","no","no","English","Toronto",-0.75377
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"Desjardins","Lebanon","no","yes","French","Montreal",-1.09861
"Desjardins","China","yes","no","English","other",-0.99462
"Hugessen","China","yes","no","English","Montreal",-0.99462
"Stone","Sri.Lanka","yes","no","English","Toronto",-0.75377
"Desjardins","Sri.Lanka","no","no","French","Montreal",-0.75377
"Stone","El.Salvador","yes","no","English","Toronto",-1.04597
"Desjardins","China","no","no","English","other",-0.99462
"Stone","Bulgaria","no","no","English","Toronto",-2.09074
"Marceau","China","no","no","French","Montreal",-0.99462
"Stone","Sri.Lanka","no","no","English","Toronto",-0.75377
"Heald","China","no","no","English","other",-0.99462
"Pratte","China","no","no","English","Toronto",-0.99462
"Desjardins","El.Salvador","no","no","English","other",-1.04597
"Desjardins","Bulgaria","no","no","English","other",-2.09074
"Pratte","China","yes","no","French","Montreal",-0.99462
"Pratte","Lebanon","yes","no","English","Toronto",-1.09861
"MacGuigan","El.Salvador","no","no","English","Toronto",-1.04597
"Stone","China","no","no","English","Toronto",-0.99462
"Pratte","Bulgaria","yes","no","English","other",-2.09074
"Stone","Somalia","no","no","English","Toronto",-0.99462
"Mahoney","Ghana","no","no","English","Toronto",-1.20831
"Stone","El.Salvador","yes","no","English","Toronto",-1.04597
"Hugessen","China","no","no","French","Montreal",-0.99462
"Hugessen","Poland","yes","no","French","Montreal",-1.81529
"Mahoney","Pakistan","yes","no","English","Toronto",-0.48955
"MacGuigan","Bulgaria","no","no","English","Montreal",-2.09074
"Desjardins","Bulgaria","no","no","English","Toronto",-2.09074
"MacGuigan","Iran","no","no","English","Toronto",-0.66329
"Mahoney","Somalia","yes","no","English","Toronto",-0.99462
"Heald","Iran","no","no","English","other",-0.66329
"MacGuigan","China","no","no","English","Toronto",-0.99462
"MacGuigan","China","no","no","English","Toronto",-0.99462
"MacGuigan","Somalia","yes","yes","English","Toronto",-0.99462
"MacGuigan","China","no","no","English","other",-0.99462
"MacGuigan","Nigeria","no","no","French","Montreal",-1.20831
"MacGuigan","Nigeria","yes","no","French","Montreal",-1.20831
"MacGuigan","China","no","yes","English","Toronto",-0.99462
"Desjardins","Sri.Lanka","no","no","English","Toronto",-0.75377
"MacGuigan","China","yes","yes","French","Toronto",-0.99462
"MacGuigan","Sri.Lanka","yes","no","French","Montreal",-0.75377
"Pratte","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","Argentina","no","no","English","Toronto",-0.80012
"Pratte","China","no","no","English","Toronto",-0.99462
"Pratte","Bulgaria","no","no","French","Montreal",-2.09074
"Hugessen","China","no","no","English","Toronto",-0.99462
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"Pratte","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Pratte","Bulgaria","no","no","French","Montreal",-2.09074
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"MacGuigan","Lebanon","no","yes","English","Toronto",-1.09861
"Pratte","China","no","no","French","Montreal",-0.99462
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Hugessen","Fiji","no","no","English","other",-0.66329
"MacGuigan","Czechoslovakia","no","no","French","Montreal",0.40547
"MacGuigan","El.Salvador","yes","no","English","Toronto",-1.04597
"MacGuigan","China","no","no","English","Toronto",-0.99462
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Mahoney","China","no","no","English","Toronto",-0.99462
"MacGuigan","China","yes","yes","English","Toronto",-0.99462
"Desjardins","Bulgaria","no","yes","French","Montreal",-2.09074
"Mahoney","Somalia","yes","no","English","other",-0.99462
"Heald","China","no","no","English","Toronto",-0.99462
"Hugessen","China","no","yes","English","Toronto",-0.99462
