"Positions","Putouts","Assists","Errors"
"2B",0.220609579100145,0.712525667351129,0.37037037037037
"2B",0.209724238026125,0.835728952772074,0.222222222222222
"2B",0.0892597968069666,0.421971252566735,0.185185185185185
"2B",0.152878567972908,0.577686516084873,0.567901234567901
"2B",0.11611030478955,0.595482546201232,0.407407407407407
"2B",0.21044992743106,0.903490759753593,0.925925925925926
"2B",0.203193033381713,0.983572895277207,0.185185185185185
"2B",0.136066763425254,0.429158110882957,0.240740740740741
"2B",0.185050798258345,0.924024640657084,0.62962962962963
"2B",0.201741654571843,0.852156057494867,0.592592592592593
"2B",0.25544267053701,0.850102669404518,0.333333333333333
"2B",0.120464441219158,0.433264887063655,0.259259259259259
"2B",0.16255442670537,0.587268993839836,0.296296296296296
"3B",0.0471698113207547,0.529774127310062,0.296296296296296
"3B",0.0279390420899855,0.218685831622177,0.444444444444444
"3B",0.0878084179970972,0.548254620123203,0.703703703703704
"3B",0.0533381712626996,0.279260780287474,0.259259259259259
"3B",0.0358006773101113,0.256673511293634,0.320987654320988
"3B",0.0761973875181422,0.595482546201232,0.37037037037037
"3B",0.079100145137881,0.59958932238193,0.925925925925926
"3B",0.0776487663280116,0.496919917864476,0.851851851851852
"3B",0.0424528301886792,0.304928131416838,0.592592592592593
"3B",0.0703918722786647,0.447638603696099,0.592592592592593
"3B",0.0522496371552975,0.349075975359343,0.888888888888889
"3B",0.0460812772133527,0.299794661190965,0.759259259259259
"3B",0.0856313497822932,0.685831622176591,0.777777777777778
"3B",0.0682148040638607,0.554414784394251,0.592592592592593
"3B",0.0693033381712627,0.5,0.648148148148148
"3B",0.0486211901306241,0.301848049281314,0.148148148148148
"3B",0.0435413642960813,0.322381930184805,0.351851851851852
"3B",0.0667634252539913,0.527720739219713,0.740740740740741
"3B",0.0602322206095791,0.357289527720739,0.592592592592593
"3B",0.0529753265602322,0.363449691991786,0.666666666666667
"3B",0.0798258345428157,0.632443531827515,0.555555555555556
"3B",0.0965166908563135,0.761806981519507,0.740740740740741
"3B",0.0805515239477504,0.464065708418891,0.407407407407407
"3B",0.0435413642960813,0.361396303901437,0.222222222222222
"C",0.494920174165457,0.190965092402464,0.481481481481481
"C",0.478229317851959,0.108829568788501,0.259259259259259
"C",0.62844702467344,0.13347022587269,0.222222222222222
"C",0.589259796806967,0.172484599589322,0.407407407407407
"C",0.363086598935656,0.108829568788501,0.185185185185185
"C",0.531204644412192,0.170431211498973,0.481481481481481
"C",0.292089985486212,0.0646817248459959,0.444444444444444
"C",0.350507982583454,0.0985626283367557,0.222222222222222
"C",0.458635703918723,0.0882956878850103,0.37037037037037
"C",0.497822931785196,0.0944558521560575,0.148148148148148
"C",0.384615384615385,0.111909650924025,0.481481481481481
"C",0.296081277213353,0.0893223819301848,0.148148148148148
"C",0.239235607160135,0.0438056125941136,0.185185185185185
"C",0.292452830188679,0.0749486652977413,0.203703703703704
"C",0.349540396710208,0.0636550308008214,0.17283950617284
"C",0.276850507982583,0.0451745379876797,0.185185185185185
"C",0.269230769230769,0.0616016427104723,0.314814814814815
"C",0.587808417997097,0.203285420944559,0.666666666666667
"C",0.324383164005806,0.0944558521560575,0.185185185185185
"C",0.34833091436865,0.117043121149897,0.166666666666667
"C",0.253991291727141,0.0687885010266941,0.148148148148148
"C",0.263788098693759,0.0790554414784394,0.296296296296296
"C",0.386792452830189,0.082135523613963,0.148148148148148
"C",0.514513788098694,0.0841889117043121,0.259259259259259
"OF",0.0584179970972424,0.00616016427104723,0.0740740740740741
"OF",0.161103047895501,0.0102669404517454,0.185185185185185
"OF",0.104499274310595,0.0123203285420945,0.185185185185185
"OF",0.116835994194485,0.00616016427104723,0.111111111111111
"OF",0.0638606676342525,0,0.111111111111111
"OF",0.119013062409289,0.00308008213552361,0.111111111111111
"OF",0.0471698113207547,0,0
"OF",0.089622641509434,0.0082135523613963,0.0925925925925926
"OF",0.10522496371553,0.0102669404517454,0.259259259259259
"OF",0.112481857764877,0.00616016427104723,0.0740740740740741
"OF",0.0856313497822932,0,0
"OF",0.0703918722786647,0.00410677618069815,0.0740740740740741
"OF",0.098451862602806,0.00958247775496236,0.111111111111111
"OF",0.058055152394775,0.0082135523613963,0
"OF",0.103047895500726,0.0112936344969199,0.0740740740740741
"OF",0.0776487663280116,0.00616016427104723,0.111111111111111
"OF",0.147314949201742,0.00616016427104723,0.111111111111111
"OF",0.0747460087082729,0.0102669404517454,0.0493827160493827
"OF",0.132075471698113,0.0184804928131417,0.148148148148148
"OF",0.0870827285921626,0.013347022587269,0.0740740740740741
"OF",0.145137880986938,0.0143737166324435,0.222222222222222
"SS",0.10377358490566,0.595482546201232,0.703703703703704
"SS",0.174165457184325,0.989733059548255,0.481481481481481
"SS",0.0682148040638607,0.28952772073922,0.462962962962963
"SS",0.178519593613933,0.798767967145791,0.666666666666667
"SS",0.210812772133527,0.948665297741273,1
"SS",0.0776487663280116,0.420944558521561,0.592592592592593
"SS",0.167634252539913,0.767967145790554,0.666666666666667
"SS",0.172714078374456,0.913757700205339,0.814814814814815
"SS",0.0899854862119013,0.427104722792608,0.314814814814815
"SS",0.0809143686502177,0.472279260780287,0.462962962962963
"SS",0.124818577648766,0.650924024640657,0.925925925925926
"SS",0.153846153846154,0.671457905544148,0.740740740740741
"SS",0.165457184325109,0.774127310061602,0.962962962962963
"SS",0.0653120464441219,0.350102669404517,0.444444444444444
"SS",0.0990566037735849,0.531827515400411,0.518518518518518
"SS",0.204644412191582,0.864476386036961,0.925925925925926
"SS",0.166182873730044,0.833675564681725,0.814814814814815
"SS",0.0849056603773585,0.552361396303901,0.444444444444444
"SS",0.15021770682148,0.735112936344969,0.740740740740741
"SS",0.180696661828737,0.91170431211499,0.592592592592593
"SS",0.15166908563135,0.763860369609856,0.62962962962963
"SS",0.166182873730044,0.930184804928131,0.555555555555556
"SS",0.142235123367199,0.726899383983573,0.555555555555556
"SS",0.213352685050798,0.913757700205339,0.481481481481481
"UT",0.121190130624093,0.0369609856262834,0.222222222222222
"UT",0.164731494920174,0.0811088295687885,0.333333333333333
"UT",0.0449927431059507,0.184804928131417,0.111111111111111
"UT",0.0957910014513788,0.0184804928131417,0
"UT",0.111030478955007,0.457905544147844,0.37037037037037
"UT",0.0769230769230769,0.295687885010267,0.259259259259259
"UT",0.0747460087082729,0.172484599589322,0.185185185185185
"UT",0.222786647314949,0.0513347022587269,0.037037037037037
"UT",0.159651669085631,0.0328542094455852,0.148148148148148
"UT",0.0587808417997097,0.301848049281314,0.148148148148148
"UT",0.058055152394775,0.0924024640657084,0.296296296296296
"UT",0.0631349782293179,0.340862422997947,0.518518518518518
"UT",0.129172714078374,0.0924024640657084,0.148148148148148
