"active","afraid","alert","angry","anxious","aroused","ashamed","astonished","at.ease","at.rest","attentive","blue","bored","calm","cheerful","clutched.up","confident","content","delighted","depressed","determined","distressed","drowsy","dull","elated","energetic","enthusiastic","excited","fearful","frustrated","full.of.pep","gloomy","grouchy","guilty","happy","hostile","idle","inactive","inspired","intense","interested","irritable","jittery","lively","lonely","nervous","placid","pleased","proud","quiescent","quiet","relaxed","sad","satisfied","scared","serene","sleepy","sluggish","sociable","sorry","still","strong","surprised","tense","tired","tranquil","unhappy","upset","vigorous","wakeful","warmhearted","wide.awake","alone","kindly","scornful","EA","TA","PA","NegAff","Extraversion","Neuroticism","Lie","Sociability","Impulsivity","MSQ_Round","ID","condition","MSQ_Time","TOD","TOD24","scale","exper"
0,0,0,0,NA,0,0,0,2,0,0,0,2,2,NA,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,2,3,3,0,0,2,0,0,0,2,NA,0,0,0,0,0,0,0,2,0,2,7,0,0,21,15,3,12,8,6,13,5,5.75,5.83,5.5,"msq","rob-1"
1,0,1,0,NA,0,0,0,0,0,0,0,1,1,NA,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,1,1,NA,NA,0,2,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,2,0,1,1,NA,0,2,0,2,1,0,1,1,1,13,15,6,5,14,8,4,7,6,6,16,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,2,0,1,3,3,0,0,1,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,1,13,0,2,8,7,1,4,2,6,18,5,5.75,5.83,5.5,"msq","rob-1"
2,0,1,0,NA,1,0,0,1,1,1,0,0,2,NA,0,2,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,NA,NA,0,0,1,0,0,2,0,0,0,1,2,0,2,2,0,2,0,1,1,1,2,0,1,2,0,0,0,NA,0,0,1,1,2,1,0,2,0,17,9,12,0,12,2,4,9,3,6,20,5,5.75,5.83,5.5,"msq","rob-1"
0,0,2,0,NA,0,0,0,3,3,3,0,0,3,NA,0,3,3,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,3,0,0,1,1,0,3,1,0,0,3,3,0,2,0,3,0,1,1,0,1,2,0,0,2,NA,0,0,0,2,2,3,2,2,0,13,2,11,0,8,8,2,4,4,6,22,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,1,1,1,0,1,1,NA,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,3,2,1,0,1,0,0,0,3,NA,0,0,0,1,0,0,0,0,0,1,11,2,1,8,4,0,6,1,6,24,5,5.75,5.83,5.5,"msq","rob-1"
0,0,1,0,NA,1,0,0,1,1,1,0,1,1,NA,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,NA,0,0,1,1,1,0,0,1,0,10,12,5,1,9,11,3,6,2,6,26,5,5.75,5.83,5.5,"msq","rob-1"
3,0,2,0,NA,0,0,0,3,1,2,1,1,3,NA,0,3,3,2,1,2,0,3,0,1,1,2,2,0,0,3,0,0,0,1,0,NA,NA,1,0,3,0,0,2,0,0,2,1,2,0,2,3,1,2,0,2,2,0,2,0,2,2,0,0,2,NA,0,0,1,1,3,2,0,3,0,15,5,21,0,18,8,2,9,8,6,27,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,1,NA,0,0,0,0,0,0,0,2,2,NA,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0,2,NA,NA,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,3,2,0,0,2,1,0,0,3,NA,0,0,0,0,0,0,0,0,0,1,8,1,3,18,12,2,9,7,6,29,5,5.75,5.83,5.5,"msq","rob-1"
0,0,1,0,NA,0,0,0,2,0,1,0,0,3,NA,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,0,0,1,0,2,0,1,1,3,2,1,1,0,2,1,2,1,0,2,1,0,0,2,NA,1,0,0,1,1,0,1,1,0,6,5,6,0,16,5,1,10,4,6,32,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,1,0,1,1,1,1,NA,0,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,0,1,0,0,0,1,0,1,0,2,0,2,2,1,2,0,2,3,2,1,0,1,1,0,0,2,NA,1,0,0,0,2,0,1,1,0,2,10,5,0,14,10,0,8,5,6,33,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,0,0,0,2,1,1,NA,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,2,NA,NA,0,0,0,2,1,0,1,0,0,0,0,1,2,0,1,0,0,0,3,3,0,2,0,0,0,0,3,NA,1,1,0,0,0,0,1,0,0,1,14,0,6,19,3,1,10,7,6,35,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,1,0,0,2,2,0,0,2,2,NA,0,2,1,1,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,1,1,NA,NA,0,1,1,1,0,0,0,0,2,1,1,2,3,1,0,1,0,2,2,2,1,0,2,1,0,0,2,NA,0,1,0,1,1,0,1,1,0,4,5,4,3,18,11,1,10,6,6,37,5,5.75,5.83,5.5,"msq","rob-1"
2,0,2,0,NA,1,1,2,1,1,1,0,1,2,NA,0,2,2,2,1,2,0,1,1,2,2,2,2,0,1,1,0,1,0,2,0,NA,NA,2,2,1,0,1,1,0,1,2,2,2,2,1,1,0,2,0,1,1,2,2,0,2,2,2,0,2,NA,0,0,1,1,1,0,1,2,0,13,10,18,3,13,14,3,5,5,6,40,5,5.75,5.83,5.5,"msq","rob-1"
0,0,2,0,NA,0,0,0,2,1,2,0,2,3,NA,1,2,2,0,0,2,0,3,3,0,1,2,0,0,0,0,0,1,0,1,0,NA,NA,0,0,2,1,0,0,0,0,2,2,0,0,0,2,0,2,0,3,3,3,1,0,3,1,1,0,3,NA,0,0,0,3,1,1,0,0,0,5,7,11,1,16,10,3,9,6,6,41,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,2,0,0,0,1,0,NA,0,1,3,0,0,2,1,2,1,0,0,1,0,1,1,0,1,1,0,1,1,NA,NA,1,1,1,1,1,0,1,1,2,0,0,1,1,1,0,1,2,2,2,3,1,0,2,1,0,1,3,NA,0,0,0,0,2,0,1,3,0,2,14,6,7,16,12,1,9,6,6,44,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,1,0,1,3,0,2,1,2,NA,0,1,2,1,2,1,1,3,0,0,0,1,1,0,1,0,1,2,1,1,1,NA,NA,1,0,1,1,0,1,1,1,1,0,3,0,2,2,1,1,1,2,3,3,1,1,2,0,0,0,3,NA,1,1,0,0,1,0,2,1,0,1,5,8,8,16,15,0,11,4,6,45,5,5.75,5.83,5.5,"msq","rob-1"
2,0,2,0,NA,3,0,3,2,2,2,0,0,1,NA,0,3,3,2,0,2,0,1,0,3,2,2,3,0,0,2,0,0,0,3,0,NA,NA,2,2,3,0,1,3,0,0,2,3,3,1,1,3,0,3,0,1,1,2,3,0,1,3,1,0,1,NA,0,0,2,2,2,2,0,2,0,21,11,24,1,18,9,1,9,7,6,52,5,5.75,5.83,5.5,"msq","rob-1"
0,1,1,1,NA,0,1,0,1,0,1,1,2,1,NA,0,2,1,0,0,1,1,3,1,0,0,0,1,1,1,0,2,2,1,1,2,NA,NA,1,0,2,2,1,1,1,1,2,1,1,1,2,1,1,1,0,1,3,2,1,0,1,2,1,2,3,NA,0,1,0,1,1,1,1,2,1,3,13,10,11,17,12,1,10,5,9,1,2,8.72,8.5,8.5,"msq","imps"
0,0,0,0,NA,0,0,0,1,1,0,1,3,1,NA,1,0,0,0,1,0,1,2,2,0,0,0,0,0,1,0,2,1,0,0,1,NA,NA,0,0,0,1,1,0,1,0,2,0,0,NA,3,1,0,0,0,1,2,3,0,0,1,0,0,1,3,NA,1,0,0,0,0,0,1,1,0,2,10,0,4,15,8,3,8,4,9,3,2,8.72,8.5,8.5,"msq","imps"
2,0,2,0,NA,2,0,1,3,3,1,0,1,2,NA,0,3,3,2,0,2,0,0,0,1,2,2,2,0,0,2,0,0,0,1,0,NA,NA,1,0,2,0,0,2,0,0,1,1,2,0,0,3,0,1,0,3,0,0,2,0,3,1,1,0,0,NA,0,0,1,2,3,2,0,3,0,22,6,17,0,17,1,3,12,4,9,5,2,8.72,8.5,8.5,"msq","imps"
1,0,0,0,NA,1,0,0,2,1,1,0,1,2,NA,0,2,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,2,0,NA,NA,0,0,1,1,0,1,0,1,1,0,1,0,1,2,0,1,0,2,1,1,1,0,1,1,0,0,2,NA,0,0,1,1,1,0,0,1,0,10,9,7,2,13,11,2,10,3,9,24,2,8.72,8.5,8.5,"msq","imps"
0,0,0,0,NA,0,0,0,3,3,0,0,2,3,NA,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,2,0,3,0,0,0,2,3,0,0,0,3,3,3,0,0,3,0,0,0,3,NA,0,0,0,0,1,0,2,0,0,0,1,0,0,16,12,3,10,4,9,31,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,1,0,1,3,1,1,0,2,3,NA,0,2,2,2,0,0,0,1,2,1,0,1,0,0,0,1,3,1,0,2,0,NA,NA,1,1,1,0,0,1,2,0,2,1,2,2,3,2,1,1,0,2,1,1,2,1,3,1,1,0,1,NA,0,0,0,1,2,1,3,2,0,11,4,9,0,12,11,9,7,3,9,32,2,8.72,8.5,8.5,"msq","imps"
1,0,2,0,NA,0,0,0,3,3,3,0,0,3,NA,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,2,2,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,2,2,1,0,3,1,0,1,2,NA,0,0,0,1,1,0,0,2,0,8,6,10,1,12,12,3,8,3,9,43,2,8.72,8.5,8.5,"msq","imps"
0,0,1,0,NA,0,0,0,1,1,0,0,3,0,NA,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,NA,NA,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,2,NA,0,0,0,1,0,0,0,0,0,5,18,1,4,14,9,2,6,6,9,44,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,0,0,0,1,1,0,1,3,3,NA,1,2,3,1,1,1,0,2,2,1,0,1,0,0,0,0,1,2,0,2,0,NA,NA,0,0,0,1,0,1,1,1,2,1,1,2,3,1,1,3,0,3,2,2,1,1,1,0,0,0,3,NA,1,1,1,0,2,1,1,2,3,6,6,5,3,8,8,0,2,4,9,45,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,1,0,0,1,1,1,0,1,2,NA,0,1,1,1,0,1,0,2,2,0,1,1,1,0,0,0,1,1,0,1,0,NA,NA,0,0,1,0,0,1,0,0,1,1,1,2,2,0,0,1,0,1,2,2,1,0,1,1,0,0,2,NA,1,0,0,1,1,0,0,1,0,7,8,9,0,14,14,0,9,5,9,55,2,8.72,8.5,8.5,"msq","imps"
1,0,2,0,NA,1,0,0,2,2,2,0,1,2,NA,0,2,1,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,1,2,1,0,0,0,0,1,2,1,2,1,2,2,0,1,0,2,2,1,1,0,2,2,0,1,2,NA,0,0,1,1,2,1,0,2,0,9,8,13,1,9,21,1,3,4,9,56,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,1,0,0,1,1,2,0,0,2,NA,0,1,1,2,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,NA,NA,2,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,2,0,1,1,0,0,1,NA,0,0,1,1,1,1,0,2,0,13,11,12,1,13,10,0,7,6,9,57,2,8.72,8.5,8.5,"msq","imps"
1,0,0,0,NA,0,0,0,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,2,1,0,1,1,1,0,0,0,1,1,0,1,0,NA,NA,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,2,2,1,0,1,0,0,1,2,NA,0,1,1,0,1,0,0,1,0,6,13,8,2,12,11,3,5,5,9,63,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,0,0,0,3,0,0,0,1,3,NA,0,0,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,1,1,0,2,0,0,0,1,NA,0,0,0,0,1,0,0,1,0,6,10,4,0,17,14,1,9,7,9,65,2,8.72,8.5,8.5,"msq","imps"
0,0,1,0,NA,1,0,0,2,1,1,1,2,2,NA,0,2,1,2,1,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,NA,NA,0,0,1,0,0,0,1,0,2,0,1,2,3,3,0,3,0,2,2,1,1,0,2,1,0,0,2,NA,0,0,1,1,1,0,2,1,0,6,5,8,0,14,6,0,10,4,9,66,2,8.72,8.5,8.5,"msq","imps"
2,0,1,2,NA,2,0,0,2,2,2,0,3,1,NA,1,3,2,1,0,2,0,1,3,2,1,0,2,0,3,2,0,2,0,1,1,NA,NA,1,2,0,2,1,2,0,1,1,0,1,1,3,3,0,2,0,1,1,2,2,2,3,2,0,1,1,NA,1,1,2,3,1,2,2,1,1,20,10,13,6,17,10,0,9,6,9,84,2,8.72,8.5,8.5,"msq","imps"
0,0,0,0,NA,0,0,0,1,0,0,0,0,3,NA,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,3,0,0,1,3,3,0,1,0,3,3,3,0,0,3,0,0,0,3,NA,0,0,0,0,1,0,0,0,0,0,3,0,0,7,18,2,4,2,9,89,2,8.72,8.5,8.5,"msq","imps"
0,0,0,1,NA,0,0,0,1,1,0,1,1,2,NA,0,0,0,0,2,0,1,3,3,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,0,0,1,0,0,0,1,0,1,0,0,2,3,1,1,1,0,0,3,3,0,1,1,0,0,0,3,NA,1,1,0,0,0,0,1,1,0,0,7,1,3,8,15,6,3,4,9,101,2,8.72,8.5,8.5,"msq","imps"
0,1,1,0,NA,0,0,0,2,2,2,0,1,3,NA,1,2,3,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,2,0,NA,NA,0,0,1,0,0,0,0,1,1,1,0,0,3,2,0,2,1,3,2,1,1,0,2,0,0,0,2,NA,0,0,0,0,2,0,0,2,0,4,6,5,3,11,11,5,6,3,9,105,2,8.72,8.5,8.5,"msq","imps"
0,1,2,0,NA,0,0,0,0,0,1,0,2,0,NA,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,NA,NA,0,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,1,NA,1,0,0,1,0,1,1,0,1,10,16,5,6,12,14,3,7,4,9,131,2,8.72,8.5,8.5,"msq","imps"
3,3,1,3,NA,2,3,2,1,0,2,1,2,0,NA,3,2,2,3,1,2,3,3,1,2,3,2,1,3,3,3,3,3,3,0,0,NA,NA,0,3,3,3,3,2,2,3,1,1,2,NA,0,0,1,2,3,1,2,1,3,3,1,3,0,3,2,NA,1,3,1,2,1,2,3,1,2,18,28,19,27,18,14,1,10,6,9,143,2,8.72,8.5,8.5,"msq","imps"
1,0,1,0,NA,0,0,0,1,0,1,0,2,2,NA,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,1,1,0,1,2,NA,NA,0,2,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,NA,0,0,1,2,0,1,1,NA,0,0,1,1,1,1,1,0,0,14,14,6,4,12,15,0,9,2,9,156,2,8.72,8.5,8.5,"msq","imps"
3,0,2,0,NA,2,0,0,2,2,1,0,1,2,NA,0,3,2,2,0,2,0,0,0,2,2,2,2,0,0,3,0,0,0,2,0,NA,NA,0,2,2,0,0,2,0,0,1,2,3,1,0,2,0,2,0,2,0,0,2,0,0,2,0,1,0,NA,0,0,2,1,2,2,0,2,0,24,13,19,0,12,18,2,7,4,9,169,2,8.72,8.5,8.5,"msq","imps"
0,0,0,1,NA,0,0,0,0,0,0,0,1,0,NA,1,2,2,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,1,NA,NA,0,3,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,3,NA,0,0,0,1,0,0,0,0,0,1,17,2,3,15,6,1,9,4,9,189,2,8.72,8.5,8.5,"msq","imps"
0,0,0,1,NA,0,0,0,0,0,0,0,3,3,NA,2,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,2,0,0,0,0,3,0,0,2,3,1,0,0,0,0,3,3,2,0,0,0,0,0,3,NA,3,0,0,0,0,0,0,0,0,0,8,3,2,21,3,2,13,6,9,205,2,8.72,8.5,8.5,"msq","imps"
0,0,1,0,NA,0,0,0,2,2,1,0,1,3,NA,0,2,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,0,0,2,0,0,0,0,0,2,1,0,1,2,2,0,2,0,2,1,1,2,0,2,0,0,0,1,NA,0,0,0,0,2,1,0,2,0,7,4,6,0,14,8,4,9,3,9,231,2,8.72,8.5,8.5,"msq","imps"
2,0,2,0,NA,2,0,0,3,2,3,0,2,2,NA,0,2,1,1,1,1,0,0,0,1,2,0,2,0,0,1,0,0,1,2,0,NA,NA,1,0,0,1,0,2,0,0,3,0,2,1,3,3,0,2,0,1,0,0,2,1,3,2,0,0,0,NA,0,1,1,2,2,3,0,2,0,22,2,15,3,14,11,3,8,6,9,1,3,8.8,8.5,8.5,"msq","Fern"
0,0,1,0,NA,0,0,0,3,2,1,0,1,2,NA,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,0,0,2,0,0,0,0,0,2,2,2,1,2,3,0,1,0,2,2,1,1,0,1,0,0,0,2,NA,0,0,0,2,3,1,0,2,0,6,6,6,0,13,3,1,11,2,9,4,3,8.8,8.5,8.5,"msq","Fern"
1,0,1,0,NA,1,0,0,2,1,0,1,1,2,NA,0,1,1,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,NA,NA,0,0,1,0,0,1,1,0,2,0,0,1,2,1,1,2,0,2,1,3,2,0,2,1,0,0,2,NA,0,0,1,1,2,1,2,1,0,13,6,7,0,15,20,2,9,5,9,5,3,8.8,8.5,8.5,"msq","Fern"
0,0,0,0,NA,0,0,0,2,2,0,0,1,0,NA,NA,0,1,1,0,0,1,0,1,NA,1,1,1,0,0,NA,1,NA,0,2,0,NA,NA,0,0,2,0,NA,1,0,0,1,1,0,NA,2,2,0,1,0,0,1,1,0,0,1,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,NA,NA,4,NA,7,15,2,1,4,9,7,3,8.8,8.5,8.5,"msq","Fern"
2,0,0,0,NA,0,0,0,0,0,0,0,1,2,NA,1,2,1,1,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,1,0,NA,NA,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,2,0,0,0,NA,0,0,1,1,2,0,0,1,0,15,12,7,1,10,9,4,3,5,9,8,3,8.8,8.5,8.5,"msq","Fern"
1,0,1,0,NA,1,0,0,2,1,1,0,0,2,NA,0,2,2,2,0,1,0,1,0,1,1,2,2,0,0,1,0,0,0,2,0,NA,NA,1,1,2,0,1,1,0,0,1,2,2,0,1,2,0,2,0,2,2,2,2,0,1,1,0,0,1,NA,0,0,1,1,2,1,0,2,0,12,11,14,1,16,7,2,9,5,9,11,3,8.8,8.5,8.5,"msq","Fern"
1,0,0,0,NA,0,0,0,1,1,0,1,0,1,NA,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,NA,NA,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,3,0,0,1,NA,0,0,0,0,0,1,0,0,0,8,15,4,1,15,8,1,11,4,9,12,3,8.8,8.5,8.5,"msq","Fern"
2,0,1,0,NA,1,0,0,2,2,1,1,3,2,NA,0,2,2,1,1,2,1,1,1,1,1,0,1,0,1,1,1,1,0,2,1,NA,NA,0,0,1,1,0,1,1,0,2,2,2,1,1,3,1,2,0,2,1,2,2,0,3,0,0,1,1,NA,1,1,0,1,2,0,1,2,1,12,6,10,4,20,6,1,11,7,9,13,3,8.8,8.5,8.5,"msq","Fern"
2,0,3,0,NA,1,0,0,2,2,1,0,1,1,NA,0,1,1,1,0,2,0,0,0,1,2,1,2,0,0,2,0,0,0,1,0,NA,NA,0,1,2,0,0,3,0,0,1,1,1,1,0,2,0,2,0,1,0,0,1,0,1,1,0,0,0,NA,0,0,1,2,2,2,0,2,0,23,11,15,0,16,10,1,5,9,9,14,3,8.8,8.5,8.5,"msq","Fern"
2,0,1,0,NA,0,0,0,2,2,1,0,1,2,NA,0,2,2,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,NA,NA,0,0,2,0,0,1,0,0,2,0,0,2,2,2,0,0,0,2,1,1,1,0,1,1,0,0,2,NA,0,0,0,1,1,1,1,1,0,11,6,9,0,19,7,0,11,7,9,15,3,8.8,8.5,8.5,"msq","Fern"
2,0,2,0,NA,1,0,0,3,3,2,0,0,3,NA,0,2,3,1,0,1,0,0,0,1,2,2,1,0,0,2,0,0,0,3,0,NA,NA,0,1,3,0,0,2,1,0,1,2,1,1,2,3,0,3,0,1,0,0,2,0,1,2,0,0,0,NA,0,0,2,3,1,2,2,2,0,24,6,16,0,9,13,3,3,5,9,18,3,8.8,8.5,8.5,"msq","Fern"
0,1,NA,0,NA,0,0,0,1,0,1,1,3,1,NA,1,1,1,0,0,1,1,2,2,0,0,0,0,1,1,0,1,1,0,1,0,NA,NA,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,2,2,0,1,1,0,0,1,3,NA,1,1,0,1,0,0,0,0,1,3,15,NA,7,11,12,0,5,4,9,23,3,8.8,8.5,8.5,"msq","Fern"
