"y","loci1","loci2","loci3","loci4","loci5","loci6","loci7","loci8","loci9","loci10","loci11","loci12"
0,14,7,2,6,4,3,3,1,2,2,13,5
0,14,8,7,8,1,3,2,4,4,5,14,9
0,14,7,6,3,5,2,3,2,3,2,14,5
0,7,5,6,5,5,9,2,1,3,3,13,10
0,2,7,7,6,4,9,3,2,3,2,13,3
0,8,14,7,9,14,3,3,4,4,5,9,14
0,3,14,9,14,14,6,2,4,4,2,8,14
0,2,14,8,3,14,4,3,2,3,6,14,14
0,14,14,8,3,14,9,3,2,4,5,10,14
0,14,14,5,7,14,9,3,1,3,2,13,14
0,14,14,4,4,14,14,2,2,4,2,14,5
0,14,7,8,3,5,9,3,2,4,2,9,5
0,3,14,9,6,2,14,14,14,3,2,14,9
0,8,1,9,7,4,3,1,2,2,2,14,10
0,2,7,8,3,5,9,3,4,5,4,14,11
0,3,7,6,5,4,6,2,1,3,2,14,5
0,2,7,8,2,4,3,3,4,3,2,13,3
0,7,7,5,6,3,8,3,2,3,6,8,5
0,3,6,8,3,5,12,3,4,2,2,13,3
0,3,5,8,3,5,12,3,1,4,5,14,14
0,2,7,5,6,2,4,2,4,4,5,14,14
0,14,7,7,7,6,4,2,2,2,5,13,14
0,14,3,7,7,7,4,3,4,2,3,7,14
0,4,7,6,4,4,9,2,2,4,4,5,14
0,2,4,7,8,6,4,3,2,4,5,9,14
0,3,14,6,7,14,4,2,2,4,5,8,14
0,8,14,14,5,14,9,2,1,3,3,13,14
0,4,14,6,4,14,9,3,2,2,1,5,14
0,14,14,8,7,14,9,2,2,4,4,8,14
0,2,14,6,9,14,3,3,1,4,5,10,14
0,5,14,5,6,14,3,3,2,3,6,11,14
0,7,0,8,1,5,14,1,2,4,2,13,9
0,3,6,1,6,2,14,3,4,2,2,6,9
0,3,14,4,7,14,7,3,2,2,2,5,14
0,3,14,8,5,14,9,3,4,4,5,8,14
0,14,14,8,3,14,14,3,4,4,4,14,14
0,14,14,3,6,14,3,2,2,4,4,14,14
0,8,5,4,6,3,3,14,2,4,5,14,9
0,14,14,8,3,14,14,14,2,14,14,14,14
