"intnum","persnum","age","educatn","earnings","hours","kids","married"
200,170,32,14,15000,2856,5,"divorced"
200,175,44,17,36000,1200,1,"married"
203,4,38,14,57000,1852,0,"married"
203,5,33,14,0,0,2,"married"
203,174,41,14,27000,1568,0,"married"
209,170,37,16,15000,1828,1,"married"
214,2,47,12,14000,1483,3,"married"
215,21,44,12,25000,1944,1,"married"
217,170,38,12,0,0,3,"married"
221,2,43,15,19000,2680,3,"married"
222,1,44,16,19326,1603,3,"divorced"
223,170,44,17,30000,1984,2,"married"
227,3,32,16,8500,1310,0,"divorced"
228,5,38,16,240000,2050,1,"married"
228,172,40,14,2000,323,2,"married"
242,173,33,13,0,0,1,"married"
244,6,35,NA,0,0,0,"never married"
245,170,44,16,37000,1821,3,"married"
246,3,41,17,35068,1673,2,"married"
250,2,47,12,0,0,3,"married"
263,5,42,12,13000,1960,3,"married"
265,2,49,13,17600,1820,2,"married"
266,5,33,12,0,0,2,"married"
267,1,46,17,22500,1480,2,"married"
277,5,36,13,35000,2681,0,"married"
277,176,30,12,0,0,1,"married"
277,186,41,12,6670,927,98,"married"
280,6,41,14,30000,2150,1,"married"
280,172,31,12,0,0,2,"married"
280,173,44,16,5250,316,2,"married"
284,170,30,16,28000,1555,1,"married"
287,4,41,13,51000,1936,1,"married"
287,170,38,12,9800,850,4,"married"
287,171,44,17,50800,1816,4,"divorced"
287,176,46,13,2520,1313,2,"married"
297,5,40,10,10000,1870,3,"divorced"
297,6,36,12,6000,1500,1,"married"
297,7,38,8,8000,1867,3,"married"
297,9,34,8,0,0,2,"married"
297,177,31,12,300,32,3,"separated"
301,4,42,12,0,0,3,"married"
301,5,38,99,1500,360,4,"married"
301,170,42,11,8000,960,2,"married"
302,3,43,14,11000,1700,2,"divorced"
302,174,37,15,6946,494,2,"married"
302,177,39,16,40000,1776,2,"married"
303,171,46,16,42000,1520,2,"married"
307,3,47,17,40000,1520,0,"never married"
308,3,43,14,8500,1206,2,"married"
308,171,45,12,23689,1647,5,"divorced"
308,177,37,17,58333,700,0,"married"
311,3,34,13,20500,1663,3,"separated"
312,170,40,12,5258,851,2,"married"
315,4,34,14,25000,1052,0,"married"
315,170,33,14,17000,960,1,"married"
317,3,46,15,19000,1360,3,"married"
317,4,41,12,800,173,4,"married"
318,3,30,12,18400,2300,0,"never married"
319,5,43,16,34600,1792,1,"divorced"
320,170,32,13,0,0,3,"married"
321,4,39,17,9040,1213,2,"married"
322,3,31,13,27000,1680,0,"never married"
323,4,38,16,0,0,2,"married"
323,171,40,17,34000,948,2,"married"
327,2,47,12,30000,2400,4,"married"
338,3,42,14,47200,1985,2,"separated"
340,3,37,99,94000,1779,1,"married"
343,170,48,12,21308,1984,2,"married"
344,171,50,14,4000,1040,0,"married"
344,178,31,16,22000,1624,2,"married"
351,3,36,10,15330,1876,3,"married"
351,4,35,12,0,0,3,"married"
351,6,32,12,7000,2340,3,"divorced"
352,2,47,12,0,0,2,"married"
354,171,37,14,6000,1600,0,"divorced"
355,3,39,14,38800,1853,2,"married"
355,171,35,16,16000,1562,2,"married"
356,2,44,12,45000,2100,2,"married"
356,174,40,12,4670,890,1,"married"
361,173,39,11,14460,1832,2,"married"
361,175,33,15,12000,1936,0,"married"
368,170,33,15,10000,867,1,"married"
374,4,44,16,15000,1853,0,"never married"
374,5,39,99,27000,2275,0,"married"
375,3,32,16,26000,1077,1,"married"
376,175,33,16,3000,2000,0,"never married"
378,170,41,12,21050,1960,1,"never married"
391,3,40,16,37000,1500,2,"married"
391,4,33,17,83500,2594,0,"never married"
391,174,37,17,12500,750,0,"divorced"
404,173,41,12,200,1760,0,"never married"
409,2,40,13,23250,1645,3,"married"
409,174,37,12,12000,1904,3,"married"
414,3,43,16,17630,2042,4,"divorced"
414,4,42,16,10000,1597,4,"married"
414,5,40,16,0,0,2,"married"
414,6,35,14,13000,1991,0,"married"
415,3,41,14,44000,2304,0,"never married"
417,170,30,12,21051,2510,0,"married"
419,2,40,10,0,0,3,"separated"
419,173,35,13,9000,2000,3,"married"
423,171,36,12,15800,1960,3,"married"
423,173,30,11,14000,2000,2,"married"
424,170,45,14,17500,1536,2,"married"
428,170,39,16,25740,1240,3,"married"
431,2,49,12,12500,1275,3,"married"
432,172,42,12,18000,3056,1,"married"
433,6,38,12,39000,1890,0,"married"
433,8,30,12,700,139,3,"divorced"
433,170,32,12,21000,1840,3,"married"
436,4,45,14,15500,1800,2,"married"
436,171,45,12,34000,2000,2,"married"
436,172,42,16,15255,1494,2,"married"
436,173,38,15,3750,867,2,"married"
439,170,40,14,2300,1454,0,"married"
440,1,45,16,24000,2000,2,"married"
441,1,49,17,33000,1400,2,"married"
442,2,49,13,0,0,1,"married"
443,4,41,11,18800,1943,1,"married"
443,6,34,12,2000,800,2,"married"
444,2,44,16,0,0,2,"married"
445,2,47,17,28000,1560,3,"married"
446,3,43,16,36800,2160,0,"divorced"
450,5,40,17,36000,4000,0,"separated"
450,22,46,14,14000,1984,1,"married"
450,172,42,13,0,2080,4,"married"
450,174,37,12,12085,1843,2,"married"
452,4,38,12,21500,2000,0,"never married"
452,170,46,12,0,0,3,"married"
452,171,41,12,17259,1200,4,"married"
455,2,46,9,0,0,2,"married"
455,170,46,12,2000,765,2,"married"
459,170,36,16,28000,1600,1,"married"
461,170,42,12,21000,1788,2,"married"
465,173,39,12,700,2080,2,"married"
473,4,30,12,12200,2055,2,"married"
473,170,43,12,0,0,4,"married"
478,4,40,9,12200,1540,5,"divorced"
479,170,31,14,21371,1520,1,"married"
485,172,45,11,9700,1516,2,"divorced"
486,170,33,12,3000,1530,0,"married"
487,170,34,12,3000,1734,2,"married"
490,170,37,12,20000,1840,2,"divorced"
495,2,44,15,32250,1940,4,"separated"
496,5,38,10,19000,2075,1,"separated"
497,2,50,12,16754,1560,3,"married"
498,2,43,12,23000,1940,2,"married"
503,170,43,12,12701,1530,2,"married"
512,2,41,12,28052,1989,2,"married"
514,4,42,14,0,0,2,"married"
517,3,38,16,65000,2695,0,"never married"
517,4,34,12,28000,1250,2,"married"
519,2,44,13,125000,2600,1,"divorced"
519,170,39,12,24000,2128,0,"married"
532,170,44,13,0,0,2,"married"
534,170,43,12,4000,1050,2,"married"
536,5,38,12,0,0,0,"married"
541,171,44,15,21500,2202,2,"separated"
544,170,33,14,11000,1591,2,"married"
548,3,45,14,13000,667,1,"married"
548,175,34,14,120,142,2,"married"
548,176,32,14,12100,1024,2,"divorced"
556,3,40,13,1200,245,3,"married"
556,4,37,12,15000,1701,2,"married"
563,3,41,11,24000,1910,2,"married"
563,7,32,10,0,0,2,"married"
564,3,42,12,9800,1421,3,"divorced"
564,4,30,12,12884,1850,1,"divorced"
565,4,32,16,0,0,1,"married"
565,172,39,13,27000,2132,1,"divorced"
567,173,37,9,8000,1481,3,"married"
569,4,35,12,3852,347,4,"never married"
570,3,44,12,13000,1992,2,"married"
570,7,37,12,22910,2064,2,"married"
570,8,35,13,21000,2295,3,"married"
573,3,37,17,90000,2618,4,"married"
573,4,32,17,5368,805,2,"married"
575,3,39,14,8000,768,1,"widowed"
577,3,35,12,42000,1872,1,"married"
577,4,31,12,10500,1680,2,"married"
580,4,40,15,10000,1410,0,"widowed"
581,171,34,11,0,0,4,"married"
582,5,40,13,36500,2016,2,"married"
582,173,37,16,1000,120,2,"married"
582,174,38,12,24000,1526,1,"married"
586,2,50,13,30100,1173,2,"divorced"
587,2,49,13,35000,1972,1,"married"
593,4,30,16,5000,160,1,"married"
593,170,32,17,38000,2232,0,"married"
595,2,48,15,110000,2880,3,"married"
596,5,42,17,0,0,3,"married"
596,170,43,16,3800,420,2,"married"
596,172,42,16,15000,682,2,"married"
596,173,33,16,110000,2455,0,"married"
597,6,41,10,4379,451,2,"married"
597,176,32,12,0,0,3,"married"
599,1,48,17,33900,2040,3,"divorced"
602,2,46,12,210,29,4,"married"
602,171,42,15,3000,1555,0,"married"
602,178,49,12,12000,1686,98,"married"
607,5,39,14,0,0,4,"married"
607,170,40,12,18000,2250,2,"married"
607,174,33,16,30000,760,3,"married"
607,176,34,14,37000,2195,0,"married"
608,3,41,13,0,0,2,"married"
608,5,35,12,0,0,0,"divorced"
608,7,30,12,0,0,3,"married"
608,170,43,14,15000,1974,2,"married"
610,170,38,12,22200,2000,2,"married"
613,5,32,16,20758,1000,0,"married"
613,173,31,17,43762,2022,0,"married"
616,170,39,17,65000,204,3,"married"
618,4,33,17,0,0,2,"married"
620,3,46,15,0,0,2,"married"
620,4,37,16,0,0,3,"married"
620,5,34,15,11000,929,2,"married"
620,6,32,16,27000,832,1,"married"
625,5,40,16,4000,1140,2,"married"
625,172,42,12,24000,1376,2,"married"
626,5,36,12,16560,2080,3,"married"
626,6,37,11,0,0,3,"divorced"
626,7,39,12,800,110,1,"divorced"
626,8,41,12,16000,208,4,"divorced"
626,9,42,12,25000,1923,2,"married"
628,2,47,12,0,765,5,"married"
630,4,37,16,8000,1560,0,"never married"
630,170,39,16,12000,1666,2,"married"
630,171,43,17,35487,1369,2,"married"
631,4,42,17,11500,420,2,"married"
631,5,39,12,10500,2046,4,"married"
631,174,42,99,4360,352,1,"married"
632,170,46,12,28000,2000,1,"married"
633,4,40,10,15786,2000,2,"divorced"
633,5,34,99,0,0,99,"no histories"
633,6,34,99,9000,2040,1,"separated"
634,4,49,12,8150,1971,4,"widowed"
634,176,37,12,0,0,3,"married"
636,170,38,14,5000,540,3,"married"
639,171,35,12,7000,914,2,"married"
639,172,34,14,25050,4233,1,"married"
639,175,35,13,17000,1952,1,"divorced"
639,177,31,12,23000,2500,2,"married"
641,171,42,16,25300,1316,2,"married"
644,170,38,12,0,0,2,"married"
647,170,41,14,9000,892,4,"married"
647,176,37,14,35000,2115,2,"married"
649,2,47,12,0,0,3,"married"
650,5,31,12,0,0,3,"divorced"
650,172,32,12,18000,1218,1,"married"
650,175,36,16,65000,1307,1,"married"
652,3,37,16,0,0,2,"married"
652,4,35,17,3986,192,0,"married"
652,173,31,16,28008,2206,0,"married"
654,2,47,12,3800,770,4,"divorced"
655,173,31,14,50000,1920,0,"married"
656,3,37,12,10000,971,1,"married"
656,4,36,16,5000,537,2,"married"
656,5,31,14,5000,390,2,"married"
657,3,41,99,33000,2876,1,"divorced"
657,171,34,13,33000,1920,0,"never married"
657,177,36,14,47000,1560,0,"married"
660,3,42,14,16000,3238,2,"married"
660,171,34,13,3500,61,0,"married"
664,8,38,16,33000,1337,2,"married"
664,175,34,12,1000,576,2,"married"
664,177,36,12,8159,735,3,"married"
664,178,33,16,33000,2064,0,"married"
664,179,45,99,33000,1960,2,"divorced"
672,2,46,17,46000,3000,2,"married"
673,2,45,12,23500,2040,2,"married"
673,172,35,14,0,0,2,"married"
674,2,49,12,17000,1980,3,"married"
677,3,41,12,22000,1885,1,"married"
677,4,40,99,0,0,2,"married"
677,6,33,12,0,0,2,"separated"
677,172,34,14,9000,1600,2,"married"
682,3,43,14,42000,1808,1,"divorced"
686,170,41,12,21000,1968,1,"married"
686,171,48,12,0,0,3,"married"
691,170,34,14,0,0,2,"married"
691,172,30,14,30000,857,1,"married"
692,5,33,12,3200,561,2,"married"
692,6,32,12,28000,1880,4,"married"
694,3,34,9,7200,867,1,"divorced"
694,4,31,12,1250,1040,3,"married"
698,7,31,14,44000,2024,2,"married"
698,173,48,12,36000,2550,2,"married"
700,2,45,12,0,0,3,"separated"
702,2,45,17,43500,2388,2,"married"
703,2,33,17,48000,2450,0,"married"
704,3,30,13,4200,871,2,"married"
709,5,38,99,0,0,3,"married"
709,6,31,14,15500,2156,1,"married"
709,170,36,10,0,0,4,"married"
711,3,32,14,9054,1185,2,"married"
712,4,36,12,22000,2214,1,"married"
712,6,35,12,28500,2138,2,"married"
713,4,41,12,17000,2144,2,"divorced"
713,7,32,11,8000,1058,2,"married"
713,176,31,12,6000,2024,1,"married"
717,21,44,17,35000,1600,2,"married"
719,2,45,17,37250,1699,2,"married"
722,170,41,99,20000,2130,2,"married"
725,3,40,10,18720,2480,1,"married"
726,3,42,16,27500,2033,0,"never married"
727,3,34,16,31100,2097,1,"never married"
728,3,34,13,0,0,3,"married"
729,4,41,12,1000,2401,4,"married"
729,5,30,15,21000,1774,0,"never married"
729,171,35,12,10000,1750,2,"married"
731,2,47,16,31200,2250,0,"married"
731,170,38,12,30000,1880,0,"married"
732,4,39,11,7000,2002,2,"never married"
732,5,39,10,16417,2080,2,"never married"
733,5,32,16,27400,1512,0,"married"
733,171,35,12,26500,2205,0,"married"
733,173,32,16,24000,2100,2,"married"
736,7,41,12,22500,2044,0,"never married"
736,170,40,12,5867,975,2,"married"
737,4,37,17,0,0,3,"married"
738,2,50,12,0,0,2,"married"
749,2,45,15,15000,2564,3,"separated"
749,171,38,16,19000,1020,3,"married"
750,3,34,12,25667,1760,98,"divorced"
750,170,32,13,15000,1470,1,"married"
751,4,35,15,5000,486,2,"married"
751,170,37,12,18000,2110,2,"married"
751,172,30,15,17000,1006,4,"married"
754,171,32,12,19000,1814,1,"married"
759,171,43,16,33000,1399,2,"married"
759,173,40,14,28000,2205,1,"married"
762,171,33,14,3333,1690,0,"divorced"
769,2,48,13,6000,1040,5,"married"
769,173,32,12,0,0,2,"married"
771,2,46,12,8551,1809,2,"divorced"
773,3,30,12,940,619,5,"married"
774,2,38,99,0,0,3,"married"
775,3,34,17,23663,2350,0,"never married"
775,4,30,16,6367,1332,0,"never married"
775,171,31,13,9263,1380,0,"never married"
776,4,31,12,10313,848,1,"divorced"
777,4,44,15,4284,320,1,"married"
777,173,36,14,12000,1525,1,"married"
779,4,48,16,10000,1440,2,"married"
779,5,42,13,22000,2220,4,"divorced"
779,6,45,16,16500,2000,2,"married"
779,172,49,16,41000,3264,3,"married"
780,2,48,12,0,0,3,"married"
781,1,49,12,46100,768,0,"never married"
783,3,30,17,31000,2200,0,"married"
784,4,32,14,41500,2656,0,"never married"
789,3,39,12,0,0,1,"married"
792,170,39,16,26000,1462,1,"never married"
796,4,34,12,1105,80,2,"married"
796,5,32,12,16400,2100,2,"married"
796,173,35,12,21000,1760,2,"married"
798,3,43,17,50000,1950,0,"married"
808,2,47,14,56000,2214,2,"divorced"
811,3,45,12,12000,2328,0,"divorced"
817,2,49,16,13729,655,3,"married"
818,4,38,15,19000,1480,3,"married"
818,170,37,16,75000,2470,0,"married"
819,170,36,16,1185,156,3,"married"
819,172,40,12,8000,1040,2,"married"
821,170,37,12,18000,1241,2,"married"
823,4,44,17,3250,1573,2,"married"
823,170,45,17,34000,1904,3,"married"
826,2,50,9,7872,624,4,"married"
826,173,30,12,24000,2234,1,"never married"
828,2,47,14,22000,1840,1,"married"
830,2,50,12,10000,2277,2,"married"
830,3,30,15,0,0,1,"divorced"
830,181,32,13,30000,1928,2,"married"
831,1,50,13,21000,720,0,"never married"
831,171,38,14,21000,1750,0,"never married"
832,4,42,12,30000,2450,1,"married"
832,172,32,12,45000,155,2,"married"
833,174,39,12,7000,1280,0,"married"
833,176,32,16,30000,1912,1,"married"
834,2,50,15,9311,1747,4,"married"
834,173,49,12,19200,1960,1,"married"
835,173,32,16,45000,1602,2,"married"
835,176,36,17,60000,2160,0,"married"
838,2,46,14,40000,2205,1,"divorced"
840,7,38,10,0,0,2,"never married"
840,9,36,11,3000,800,1,"never married"
840,21,41,11,0,0,3,"separated"
840,170,41,12,15000,2205,2,"divorced"
840,171,34,8,1800,520,2,"separated"
840,172,44,9,0,0,4,"married"
840,173,38,12,3920,245,3,"married"
840,184,37,10,900,260,4,"widowed"
844,2,45,12,16800,198,3,"married"
845,2,50,12,2400,104,3,"widowed"
846,3,41,12,18000,1846,4,"divorced"
846,6,37,11,11000,2141,2,"married"
846,7,35,16,16100,1870,3,"divorced"
846,170,40,17,20000,1733,3,"married"
853,173,38,14,31000,1815,0,"married"
854,171,46,12,27660,1838,2,"married"
855,3,44,17,4200,1350,2,"married"
855,4,41,16,3000,720,2,"married"
856,3,37,17,100000,3472,3,"married"
856,4,36,14,0,0,4,"married"
856,5,33,14,19000,1907,3,"married"
856,173,37,14,12000,2256,0,"married"
857,174,38,13,32465,2754,4,"married"
859,170,44,14,30590,1920,1,"married"
863,6,31,16,36200,1832,1,"married"
863,170,38,12,15000,1190,2,"married"
866,4,31,12,1500,325,3,"married"
868,6,31,14,42000,2205,1,"married"
868,172,40,12,55000,2400,0,"married"
868,173,32,14,4000,1695,2,"divorced"
869,2,49,16,3500,833,2,"married"
875,2,48,11,14400,2600,4,"married"
875,174,31,12,31000,1952,4,"married"
875,176,30,15,10000,272,1,"married"
875,177,46,12,10500,2080,2,"married"
876,170,41,12,20191,1880,2,"divorced"
878,2,47,12,43000,3347,98,"divorced"
879,171,45,12,20000,2940,3,"married"
880,175,35,12,0,0,3,"married"
881,170,42,16,0,0,2,"married"
885,3,43,12,7000,1530,3,"married"
891,175,50,12,75000,3250,1,"married"
892,170,45,13,52000,2880,1,"married"
893,2,49,14,0,0,2,"married"
894,1,50,14,3500,867,3,"married"
897,4,40,12,22000,1757,3,"married"
897,172,33,14,3400,520,0,"married"
898,5,35,12,32000,2331,0,"divorced"
898,181,32,15,15000,850,1,"married"
899,2,46,9,0,0,2,"married"
904,3,38,15,45000,1559,0,"never married"
904,4,32,12,30000,1850,0,"never married"
905,170,42,14,0,0,1,"married"
907,2,41,16,23000,1815,2,"married"
908,3,38,14,17000,2000,2,"married"
908,6,33,99,30000,1620,1,"married"
908,170,36,12,7800,1232,3,"married"
908,173,39,12,26000,2250,1,"married"
909,3,36,14,700,177,3,"married"
910,4,39,16,2491,120,1,"married"
910,5,36,14,14000,2056,3,"divorced"
910,6,30,16,9000,1506,0,"married"
912,1,46,12,6550,409,2,"married"
913,171,37,16,70000,2750,0,"married"
913,173,38,15,40000,2360,1,"married"
915,4,32,13,7378,1560,2,"married"
915,5,31,14,13000,915,2,"married"
915,172,34,13,1500,325,2,"married"
916,5,33,16,5978,288,3,"married"
916,170,39,11,0,0,5,"widowed"
916,172,39,99,56176,4160,1,"divorced"
916,174,34,99,0,0,0,"married"
916,180,33,12,40000,2545,0,"married"
931,2,41,12,11500,2100,2,"married"
934,170,45,12,32000,2929,3,"married"
934,171,49,12,18980,1867,3,"married"
935,2,49,12,26000,1920,3,"married"
935,181,46,8,1864,192,3,"married"
937,170,43,13,17000,2058,2,"divorced"
938,2,48,12,28950,2058,1,"divorced"
939,1,49,16,0,0,3,"married"
941,4,40,12,0,0,5,"separated"
941,182,49,12,0,0,99,"no histories"
946,172,41,17,51000,2330,1,"married"
948,170,42,99,0,0,3,"married"
950,170,41,13,5250,1536,1,"married"
951,170,46,16,18000,416,3,"married"
952,3,37,17,0,0,2,"married"
952,4,34,13,0,0,2,"married"
958,3,50,12,13318,1875,4,"married"
960,171,46,12,11000,312,1,"married"
961,3,31,14,1200,104,1,"married"
961,4,46,12,18000,1931,4,"married"
963,4,40,16,0,0,3,"married"
963,170,45,17,0,0,2,"married"
964,2,49,12,32500,2640,3,"married"
964,3,30,8,0,0,5,"never married"
965,22,46,15,55000,2058,0,"married"
967,170,38,16,25000,1095,2,"divorced"
967,172,34,12,16000,1248,0,"married"
970,3,32,12,0,0,2,"married"
971,3,36,17,25000,1400,0,"divorced"
976,2,47,17,41800,1568,2,"divorced"
976,172,39,17,9000,922,6,"divorced"
980,2,47,10,30000,2120,1,"divorced"
980,172,49,12,24000,1970,3,"married"
982,3,31,14,21000,1619,1,"married"
984,2,41,12,0,0,4,"widowed"
988,2,48,16,44000,2098,3,"married"
990,2,48,17,600,276,2,"married"
991,170,44,13,18400,2140,3,"married"
997,170,49,12,10609,1530,3,"married"
998,170,30,16,27000,758,1,"married"
999,4,34,13,45000,1716,2,"married"
999,5,30,12,52000,1996,0,"never married"
999,170,33,12,0,0,3,"married"
1000,3,39,16,24000,1242,2,"married"
1000,4,41,14,0,0,2,"married"
1000,171,37,16,17600,832,2,"married"
1010,3,38,12,32000,1896,0,"married"
1012,170,41,14,0,0,3,"married"
1013,170,35,12,40000,1974,2,"married"
1028,4,43,12,7500,139,3,"divorced"
1028,6,31,99,13000,192,4,"divorced"
1028,170,38,99,6067,510,2,"married"
1028,178,35,12,24000,2110,0,"married"
1029,3,32,16,0,0,1,"married"
1029,4,30,12,13000,1857,2,"divorced"
1033,170,45,13,25000,2750,1,"married"
1034,3,42,12,800,320,3,"divorced"
1036,2,48,14,24418,1824,3,"married"
1037,4,44,12,29800,2023,2,"divorced"
1037,170,40,12,16300,1820,3,"married"
1037,172,43,12,38000,2080,2,"married"
1038,3,46,11,20000,2000,3,"married"
1043,3,38,17,0,0,4,"married"
1043,6,33,15,18330,1249,0,"married"
1043,7,32,12,18000,1653,0,"married"
1045,3,46,15,25000,2040,1,"divorced"
1047,3,37,16,17000,1040,0,"never married"
1047,4,33,13,2000,325,1,"never married"
1047,21,44,12,30000,2240,2,"divorced"
1048,3,34,10,11000,2040,2,"married"
1051,171,39,12,18000,1952,4,"married"
1055,170,32,13,14500,1181,1,"married"
1060,21,45,17,15000,1097,2,"divorced"
1061,4,34,13,3800,2000,2,"married"
1062,4,41,16,15000,1610,2,"married"
1064,170,45,16,27000,2012,3,"married"
1065,2,46,17,38000,2880,2,"married"
1068,3,36,15,36000,2196,1,"married"
1070,170,42,14,42000,1880,2,"married"
1074,172,44,16,0,0,3,"married"
1074,174,38,12,38000,1992,0,"married"
1075,3,37,16,12000,1410,2,"married"
1075,4,36,12,32000,2025,2,"married"
1075,5,35,12,18000,2020,3,"married"
1075,175,31,12,0,0,2,"married"
1077,3,36,15,2103,448,2,"married"
1077,5,32,13,0,0,0,"married"
1079,4,36,12,0,0,2,"married"
1080,2,48,16,34000,1880,2,"married"
1081,4,39,12,32000,2160,1,"divorced"
1081,170,36,12,17316,1560,2,"married"
1084,3,38,12,16000,2000,0,"never married"
1084,4,37,14,22000,1715,1,"married"
1084,5,30,13,9000,1560,1,"married"
1084,170,34,12,40,8,2,"married"
1085,2,34,15,38600,2021,0,"never married"
1087,170,46,17,40500,1467,2,"married"
1088,4,42,12,14000,1960,3,"married"
1088,171,46,12,36000,1824,1,"married"
1088,172,42,12,21000,1260,3,"married"
1090,4,36,12,3800,1250,3,"married"
1092,3,36,16,1500,350,2,"married"
1092,4,33,16,59600,2365,1,"married"
1093,2,50,13,6000,920,3,"married"
1094,2,50,99,9700,1982,3,"separated"
1095,2,47,12,16000,2010,1,"married"
1095,171,44,12,28000,2336,0,"married"
1096,5,34,99,33744,2400,2,"married"
1097,3,40,12,16888,1912,1,"divorced"
1097,170,41,13,16119,1993,2,"married"
1098,170,41,16,3225,900,2,"divorced"
1098,173,35,12,18000,2032,1,"married"
1099,5,32,12,10000,1715,2,"married"
1100,2,47,99,22614,2046,3,"married"
1105,170,44,14,16750,2159,3,"married"
1107,3,40,12,135000,2080,0,"divorced"
1107,172,44,12,1000,208,2,"married"
1107,175,30,12,0,0,2,"married"
