"duration","spell","race","sex","reason","search","pubemp","ftp1","ftp2","ftp3","ftp4","nobs"
35,0,"nonwhite","male","leave","no","no",1,1,1,1,4
13,1,"white","female","leave","yes","no",1,0,0,0,1
2,1,"nonwhite","female","lose","yes","no",0,1,0,0,1
9,0,"white","female","lose","no","no",1,1,1,1,2
6,0,"white","male","new","no","no",0,0,0,0,2
3,0,"white","female","lose","no","no",1,0,0,1,1
104,1,"white","male","reentr","yes","yes",1,0,0,0,1
16,0,"nonwhite","female","lose","yes","no",1,0,0,0,4
1,1,"white","female","new","no","no",0,0,0,0,1
7,0,"white","female","new","yes","yes",1,0,1,0,1
65,0,"white","male","reentr","no","yes",1,1,1,1,4
9,1,"white","female","reentr","no","no",0,0,0,0,2
2,1,"white","female","leave","yes","no",1,0,0,0,1
5,0,"white","male","lose","no","no",1,0,0,1,1
2,1,"white","female","leave","yes","yes",0,0,0,0,1
2,1,"white","female","lose","no","no",0,1,0,0,1
8,1,"white","female","lose","no","yes",1,1,0,0,2
7,1,"white","male","reentr","no","no",0,0,0,0,2
1,1,"white","male","reentr","no","no",1,0,0,0,1
13,0,"white","female","lose","no","no",1,1,1,1,2
12,0,"white","female","lose","yes","no",1,1,1,1,3
8,0,"white","male","lose","yes","no",1,1,1,1,2
61,0,"white","female","reentr","yes","no",0,0,0,0,3
17,0,"white","female","reentr","no","no",0,0,0,0,2
26,0,"nonwhite","female","new","no","no",1,1,1,1,4
16,1,"nonwhite","female","reentr","no","no",1,0,0,0,1
2,1,"nonwhite","female","reentr","no","no",1,0,0,0,1
5,0,"nonwhite","female","reentr","no","no",1,0,0,1,1
3,0,"nonwhite","female","reentr","no","no",0,0,0,0,1
16,1,"white","female","reentr","no","no",1,0,0,0,1
26,0,"white","female","reentr","yes","no",1,0,1,0,1
4,0,"white","male","lose","yes","no",1,0,0,1,1
13,1,"white","female","new","no","no",1,0,0,0,1
58,0,"white","male","lose","no","no",1,1,1,0,3
14,1,"white","male","lose","yes","no",1,0,0,0,1
1,0,"white","female","lose","no","no",1,0,0,1,1
15,0,"white","male","lose","no","no",1,1,1,1,3
1,0,"white","female","reentr","no","no",1,0,0,1,1
7,0,"white","male","leave","no","no",1,1,1,1,2
10,1,"white","male","lose","yes","yes",0,1,1,0,3
18,1,"white","female","reentr","no","no",1,1,0,0,2
48,0,"white","male","lose","no","yes",1,1,1,1,4
21,1,"white","male","lose","no","no",0,1,0,0,1
12,0,"white","male","reentr","no","no",1,1,1,1,3
3,1,"white","female","lose","no","no",0,0,0,0,1
56,0,"white","male","leave","no","no",1,1,1,1,4
15,0,"white","female","reentr","no","yes",1,1,1,1,4
3,0,"white","male","lose","no","no",1,0,0,1,1
2,1,"white","female","reentr","no","no",0,1,0,0,1
3,1,"white","male","lose","no","no",1,0,0,0,1
12,0,"white","female","new","no","no",0,0,0,0,3
1,1,"white","male","lose","no","no",0,0,0,0,1
3,1,"white","male","lose","yes","no",1,0,0,0,1
5,1,"white","male","lose","no","yes",1,1,1,0,2
2,1,"white","female","lose","yes","yes",1,0,1,0,1
8,0,"white","male","leave","no","no",0,0,0,0,2
9,0,"white","male","reentr","no","no",1,1,1,1,2
26,1,"white","female","reentr","yes","no",0,0,0,0,1
1,0,"white","male","lose","no","no",1,0,0,0,1
7,1,"white","female","reentr","no","no",1,1,1,0,2
6,1,"white","female","new","no","no",0,0,0,0,1
5,1,"white","male","reentr","no","no",1,0,1,0,1
4,1,"nonwhite","female","lose","yes","no",1,0,0,0,1
9,0,"nonwhite","male","reentr","no","yes",0,0,0,0,1
5,1,"nonwhite","male","new","no","no",0,0,0,0,1
12,1,"white","female","reentr","no","no",1,1,1,0,3
4,0,"white","female","reentr","yes","no",1,0,0,0,1
65,0,"nonwhite","female","leave","no","no",1,1,1,1,4
8,1,"nonwhite","female","reentr","no","yes",1,1,0,0,2
8,1,"nonwhite","female","new","no","no",1,1,0,0,2
22,1,"nonwhite","female","reentr","no","no",0,0,0,0,1
19,0,"nonwhite","female","new","no","no",1,1,1,1,3
38,1,"nonwhite","male","leave","no","no",1,1,1,0,3
25,0,"nonwhite","male","lose","no","yes",1,1,1,1,4
12,0,"nonwhite","female","reentr","yes","no",1,0,1,1,1
26,1,"nonwhite","male","lose","yes","no",1,0,0,0,1
2,1,"white","male","reentr","yes","no",0,0,0,0,1
8,1,"nonwhite","female","lose","no","no",0,0,0,0,1
6,1,"nonwhite","female","new","no","no",0,0,0,1,1
2,0,"white","male","reentr","no","no",0,0,0,0,1
1,1,"white","male","reentr","no","no",0,1,0,0,1
1,0,"white","male","leave","no","no",1,0,0,1,1
3,1,"white","male","reentr","no","no",0,0,0,0,1
52,1,"white","male","leave","yes","no",1,0,0,0,1
1,1,"white","male","lose","no","no",0,0,0,0,1
1,0,"white","male","lose","no","no",1,0,0,1,1
2,0,"white","male","reentr","yes","no",0,1,0,0,1
1,1,"white","female","lose","no","no",0,0,0,0,1
2,1,"white","female","lose","no","no",0,0,0,0,1
20,1,"white","female","reentr","no","yes",1,1,1,0,3
35,1,"white","male","reentr","no","no",0,0,0,0,1
16,1,"white","female","reentr","yes","yes",1,0,1,1,1
22,0,"white","male","leave","yes","yes",1,0,0,0,1
1,0,"white","female","reentr","yes","no",1,0,1,0,1
12,0,"nonwhite","female","reentr","no","yes",1,1,0,0,2
11,0,"nonwhite","male","leave","no","yes",1,1,1,1,3
12,0,"nonwhite","male","leave","no","yes",1,1,1,1,3
7,1,"nonwhite","male","leave","yes","yes",1,0,1,0,1
21,1,"white","male","lose","no","no",0,1,0,0,1
27,0,"white","male","leave","yes","no",1,1,1,1,2
23,0,"white","male","reentr","yes","no",1,1,1,1,3
3,1,"white","female","lose","no","no",0,0,0,0,1
22,1,"nonwhite","male","new","yes","no",0,1,0,0,1
4,1,"white","female","leave","no","no",1,0,1,0,1
39,1,"white","male","lose","yes","no",1,0,0,0,1
26,0,"white","female","lose","no","no",0,0,0,0,1
19,0,"white","female","new","no","no",0,0,0,0,4
16,1,"nonwhite","male","new","no","no",0,0,0,0,2
11,0,"white","female","reentr","yes","no",1,1,1,1,3
17,0,"white","male","leave","no","yes",1,1,1,1,4
10,0,"white","female","lose","no","no",0,0,0,0,3
8,0,"white","female","new","no","no",0,0,0,0,1
25,0,"nonwhite","female","lose","yes","yes",1,1,1,1,4
48,0,"white","male","leave","no","no",1,1,1,1,4
2,1,"white","male","leave","yes","no",0,1,0,0,1
21,0,"white","male","lose","yes","yes",1,1,1,1,4
7,1,"nonwhite","male","new","no","no",0,0,0,1,2
23,0,"white","male","lose","no","yes",1,1,1,1,4
6,1,"white","male","lose","no","no",1,0,0,0,1
1,1,"nonwhite","female","reentr","yes","yes",0,0,0,0,1
43,1,"nonwhite","male","lose","yes","no",1,1,0,0,2
3,1,"white","female","reentr","yes","no",1,0,1,0,1
26,1,"white","female","leave","no","yes",1,1,1,0,3
0,1,"white","female","new","no","no",0,0,0,0,1
3,0,"white","female","leave","yes","no",1,0,0,1,1
78,1,"white","male","lose","no","no",1,0,0,0,1
13,1,"white","male","reentr","no","no",0,0,0,0,2
13,1,"white","female","lose","no","no",1,0,0,0,1
52,1,"white","female","new","no","no",0,0,0,0,1
52,0,"white","male","lose","no","no",1,1,0,0,2
2,0,"white","female","reentr","yes","no",0,0,0,0,1
104,1,"white","female","leave","no","no",0,0,0,0,1
7,1,"white","female","leave","no","yes",1,1,0,0,2
4,1,"white","male","reentr","yes","no",0,0,0,0,1
16,1,"white","female","reentr","yes","no",0,1,0,0,1
35,1,"nonwhite","female","reentr","no","no",1,0,1,1,1
6,1,"white","male","leave","no","no",0,0,0,0,2
17,0,"white","male","leave","no","no",0,0,0,0,4
4,0,"nonwhite","female","lose","no","no",1,0,0,1,1
5,1,"white","male","lose","no","no",1,1,1,0,2
38,1,"white","male","lose","yes","no",1,1,1,0,3
4,0,"white","female","reentr","yes","no",1,0,0,1,1
12,1,"white","female","leave","yes","yes",1,1,1,0,3
30,1,"white","male","reentr","no","no",1,0,0,0,1
4,0,"white","female","reentr","no","no",0,0,0,0,1
1,0,"nonwhite","female","reentr","no","no",1,0,1,0,1
6,1,"white","male","new","no","no",0,0,0,0,1
2,1,"white","male","leave","yes","no",1,0,0,0,1
25,0,"white","male","reentr","no","no",1,1,1,1,4
9,0,"white","male","lose","no","no",1,1,1,1,2
4,1,"white","female","reentr","no","no",0,0,0,0,1
61,0,"white","male","reentr","no","yes",1,1,1,1,3
3,1,"white","female","new","yes","no",0,0,0,0,1
22,1,"white","male","reentr","no","no",0,1,0,0,1
11,1,"white","male","lose","no","no",1,0,0,0,1
2,1,"white","male","lose","no","no",0,1,0,0,1
48,0,"white","male","lose","no","yes",1,1,1,1,4
1,1,"white","male","lose","no","no",1,0,0,0,1
16,1,"white","female","reentr","no","yes",1,1,0,1,2
15,0,"white","male","lose","yes","yes",1,1,1,1,4
26,0,"white","male","lose","no","yes",1,1,1,1,4
16,0,"white","male","lose","no","yes",1,1,1,1,4
8,1,"white","female","reentr","no","no",1,1,1,0,2
8,0,"white","male","leave","yes","yes",1,1,1,1,2
1,1,"white","female","reentr","no","yes",0,0,0,0,1
7,0,"white","male","leave","no","yes",1,1,1,1,2
7,0,"white","female","lose","no","yes",1,1,1,1,2
43,0,"white","female","lose","no","yes",1,1,1,1,4
4,1,"white","female","leave","yes","no",1,0,0,0,1
61,0,"white","male","lose","no","no",1,1,1,1,3
39,0,"white","male","leave","no","yes",1,1,0,0,2
4,1,"nonwhite","female","reentr","no","no",0,1,0,0,1
1,1,"nonwhite","female","leave","no","no",0,0,0,0,1
2,0,"white","male","lose","no","no",1,0,0,1,1
39,1,"white","male","leave","yes","yes",1,0,0,0,1
12,1,"white","male","lose","yes","yes",1,0,0,0,1
4,0,"white","male","leave","yes","no",1,0,1,0,1
8,1,"white","female","reentr","no","no",0,1,0,0,1
10,0,"white","male","lose","no","no",0,0,0,0,3
7,1,"nonwhite","male","leave","no","no",1,0,0,0,1
4,0,"white","female","lose","no","no",0,0,0,0,1
1,1,"white","male","lose","no","no",0,0,1,1,1
7,1,"nonwhite","female","reentr","yes","no",1,0,0,0,1
3,1,"nonwhite","male","reentr","no","no",1,0,0,0,1
12,0,"white","female","leave","no","yes",1,1,1,0,3
3,1,"white","female","leave","yes","no",1,0,1,0,1
4,0,"white","male","leave","yes","yes",1,0,0,1,1
117,0,"white","male","lose","no","yes",1,1,1,1,4
35,0,"nonwhite","female","reentr","no","no",1,1,1,1,4
6,0,"white","male","leave","yes","no",1,0,0,0,1
9,0,"nonwhite","female","new","no","no",0,0,0,0,2
100,0,"white","male","lose","no","yes",1,1,1,1,4
26,1,"white","female","new","yes","no",0,0,0,0,1
8,1,"white","male","reentr","no","no",0,1,0,0,1
9,0,"white","male","lose","no","no",1,1,1,1,2
2,1,"white","male","leave","yes","no",0,1,0,0,1
16,1,"white","female","new","no","no",0,0,0,0,1
8,1,"nonwhite","male","lose","no","no",1,1,0,0,2
4,1,"white","male","lose","yes","no",0,1,0,0,1
109,0,"nonwhite","female","lose","no","yes",1,1,1,1,2
49,0,"nonwhite","male","reentr","no","yes",1,1,1,1,3
1,0,"nonwhite","male","reentr","yes","no",0,0,0,0,1
12,1,"nonwhite","female","reentr","yes","no",1,0,0,0,1
61,0,"nonwhite","male","lose","no","yes",1,1,1,1,3
2,1,"nonwhite","male","lose","no","no",1,0,1,1,1
17,0,"nonwhite","female","lose","no","no",1,1,1,1,4
60,1,"white","female","lose","no","no",1,1,1,0,3
112,1,"white","female","reentr","no","no",1,1,1,0,3
52,1,"white","female","lose","no","no",1,0,1,0,1
17,0,"white","male","lose","yes","no",1,1,1,1,4
8,0,"nonwhite","male","new","no","no",1,1,0,0,2
104,1,"nonwhite","female","new","yes","yes",1,0,0,0,1
65,0,"nonwhite","male","lose","no","no",1,1,1,1,4
6,1,"white","female","lose","no","yes",1,1,0,0,2
29,0,"white","male","lose","no","yes",1,1,1,1,4
8,1,"nonwhite","male","lose","yes","no",0,1,0,0,1
26,1,"white","male","leave","yes","no",1,1,0,0,2
1,1,"white","male","leave","yes","no",0,0,0,0,1
16,1,"white","male","reentr","no","yes",1,1,0,0,2
6,1,"white","male","lose","yes","yes",0,1,0,0,1
30,0,"white","male","lose","no","no",1,1,1,0,3
3,1,"white","female","leave","no","no",0,0,0,0,1
12,1,"white","female","lose","no","no",0,0,0,0,3
12,1,"white","male","leave","no","no",1,0,1,0,1
8,1,"white","male","leave","no","no",1,0,1,0,1
13,1,"white","female","new","yes","no",1,0,1,0,1
16,1,"white","male","lose","yes","no",1,1,0,0,2
6,1,"white","male","lose","yes","no",1,1,0,1,1
43,0,"white","male","leave","no","no",1,1,1,1,4
52,0,"white","female","reentr","yes","no",0,0,0,0,1
12,0,"white","female","new","no","no",0,0,0,0,1
6,0,"white","female","reentr","no","no",0,0,0,0,2
1,0,"white","male","reentr","yes","no",0,0,0,0,1
13,0,"white","female","lose","no","no",1,1,1,1,3
47,0,"nonwhite","male","lose","no","no",1,1,1,0,2
4,1,"white","male","reentr","yes","no",0,0,0,0,1
4,0,"white","male","leave","no","no",1,0,0,1,1
3,1,"white","male","lose","no","no",1,0,0,0,1
12,1,"white","male","reentr","no","yes",0,1,0,0,1
12,1,"white","female","leave","yes","no",1,0,0,0,1
3,1,"white","male","leave","no","no",0,1,0,0,1
23,0,"white","female","reentr","no","no",0,0,0,0,4
2,0,"nonwhite","female","leave","yes","no",1,0,0,1,1
39,0,"white","male","lose","no","no",1,1,1,1,4
39,0,"white","male","lose","no","no",1,1,1,1,4
2,1,"white","male","new","no","no",0,0,0,0,1
24,0,"white","female","reentr","no","yes",1,1,1,1,4
43,1,"white","male","lose","yes","no",1,0,0,0,1
6,0,"nonwhite","female","reentr","yes","no",1,1,0,0,2
7,1,"nonwhite","female","reentr","yes","no",0,0,0,0,2
4,1,"nonwhite","male","reentr","yes","no",1,0,0,0,1
2,1,"white","female","leave","no","no",0,0,0,0,1
1,1,"white","female","reentr","no","no",0,0,0,0,1
1,1,"nonwhite","female","lose","no","no",0,0,0,0,1
17,0,"nonwhite","female","reentr","no","no",0,0,0,0,2
104,0,"nonwhite","female","reentr","no","no",1,0,0,1,1
1,1,"white","female","lose","no","no",0,0,0,0,1
4,1,"white","male","new","no","no",0,1,0,0,1
8,1,"white","female","reentr","yes","no",0,1,0,0,1
35,0,"white","male","lose","yes","no",1,1,1,1,4
1,1,"white","female","reentr","no","no",1,0,0,0,1
16,1,"nonwhite","female","leave","yes","yes",1,0,1,1,1
15,0,"white","female","lose","no","no",1,1,1,1,2
15,0,"white","female","reentr","no","no",1,1,1,1,4
11,0,"white","female","reentr","no","no",1,1,1,1,3
1,1,"white","female","reentr","no","no",0,0,0,0,1
2,0,"white","female","new","no","no",0,0,0,0,1
61,0,"white","male","leave","yes","no",1,1,1,1,3
39,1,"nonwhite","male","lose","no","no",1,0,0,0,1
11,0,"nonwhite","male","lose","no","no",1,1,1,0,3
4,0,"white","male","leave","yes","yes",1,0,1,0,1
13,0,"white","female","reentr","yes","no",1,1,1,1,2
20,1,"white","male","leave","no","no",1,1,1,0,3
15,0,"nonwhite","male","leave","no","yes",1,1,1,1,4
69,1,"white","male","lose","yes","yes",1,1,0,0,2
20,1,"white","female","reentr","no","no",0,0,0,0,2
4,0,"white","male","lose","yes","no",1,0,0,1,1
43,1,"white","male","lose","no","no",1,0,1,0,1
20,1,"white","female","reentr","no","no",0,0,0,0,3
11,1,"white","male","lose","yes","yes",1,0,1,0,1
3,1,"white","female","new","yes","no",0,0,0,0,1
4,1,"white","male","reentr","no","no",0,0,0,0,1
10,1,"white","male","lose","yes","yes",1,1,0,0,2
8,0,"white","female","reentr","yes","no",0,0,0,0,1
1,1,"white","female","reentr","yes","no",0,0,0,0,1
8,1,"nonwhite","female","lose","no","no",1,0,0,0,1
35,0,"white","male","lose","yes","no",1,1,1,1,4
12,1,"white","male","reentr","no","no",0,0,0,0,1
52,0,"nonwhite","female","reentr","no","no",1,0,0,1,1
25,0,"nonwhite","female","reentr","no","no",1,1,1,1,4
26,0,"nonwhite","male","new","no","no",1,0,0,1,1
18,0,"nonwhite","female","leave","no","no",1,1,1,1,2
2,1,"nonwhite","male","lose","no","no",1,0,0,0,1
28,0,"nonwhite","female","lose","yes","no",1,1,1,1,3
2,1,"white","male","lose","no","no",0,0,0,0,1
11,1,"white","male","lose","no","no",1,0,1,0,1
1,1,"nonwhite","female","reentr","no","no",0,0,0,0,1
2,1,"nonwhite","male","lose","no","no",1,0,1,0,1
17,1,"white","male","lose","yes","no",1,0,0,0,1
6,1,"white","male","lose","no","no",1,0,0,0,1
2,1,"white","female","lose","no","no",0,0,0,0,1
1,1,"white","female","reentr","yes","no",1,0,1,0,1
8,1,"white","female","reentr","no","no",1,0,0,0,1
7,0,"white","male","lose","no","no",1,1,1,1,2
14,1,"nonwhite","female","leave","no","yes",1,1,1,0,3
9,0,"nonwhite","female","leave","yes","yes",0,1,0,0,1
1,1,"white","male","lose","yes","yes",1,0,1,0,1
1,0,"white","female","lose","yes","no",1,0,0,1,1
17,1,"nonwhite","female","reentr","yes","no",1,1,0,0,2
29,0,"nonwhite","male","lose","no","yes",1,1,1,1,4
4,1,"white","male","new","no","no",0,0,0,0,1
9,0,"nonwhite","male","leave","yes","no",0,0,0,0,2
26,1,"white","male","leave","no","no",0,1,0,0,1
39,0,"white","female","leave","no","no",1,1,1,1,4
3,0,"nonwhite","male","lose","no","no",1,0,0,1,1
17,0,"white","male","leave","no","no",1,1,1,1,2
19,0,"nonwhite","male","lose","no","no",1,0,0,1,1
29,0,"nonwhite","male","lose","no","yes",1,1,1,1,4
2,1,"white","female","lose","no","no",1,0,1,0,1
13,0,"nonwhite","male","lose","yes","yes",1,0,0,1,1
30,1,"nonwhite","male","reentr","no","no",1,0,0,0,1
4,1,"nonwhite","male","new","yes","yes",0,0,0,0,1
1,0,"white","female","lose","no","no",0,0,0,0,1
5,0,"nonwhite","male","lose","no","no",1,1,1,0,2
6,0,"nonwhite","male","reentr","yes","yes",0,1,0,0,1
1,1,"white","female","lose","no","no",0,0,0,0,1
4,1,"white","male","reentr","yes","yes",1,0,0,0,1
15,1,"white","male","leave","no","no",1,1,0,0,2
2,1,"white","male","leave","yes","no",1,0,0,0,1
6,1,"white","female","lose","yes","no",1,0,0,0,1
2,0,"white","male","leave","no","no",1,0,0,1,1
29,0,"white","male","lose","no","no",1,1,1,1,4
1,1,"white","male","reentr","no","no",0,0,0,0,1
2,1,"white","female","reentr","yes","no",1,0,0,0,1
12,1,"white","female","lose","no","no",0,1,0,0,1
35,1,"white","male","reentr","no","no",1,0,1,0,1
13,1,"white","male","lose","no","yes",1,1,0,0,2
17,0,"white","male","lose","yes","no",1,1,1,1,4
2,1,"white","female","reentr","yes","no",0,1,0,0,1
0,1,"white","male","leave","no","no",0,1,0,0,1
1,1,"white","male","lose","no","no",1,0,1,0,1
10,1,"white","female","lose","yes","yes",0,1,0,0,1
13,1,"nonwhite","male","reentr","yes","yes",1,0,0,0,1
6,1,"white","female","reentr","yes","yes",1,0,0,0,1
1,1,"white","female","lose","no","no",0,0,0,0,1
6,1,"white","male","new","no","no",1,1,0,0,2
52,1,"white","male","lose","yes","no",1,0,0,1,1
8,1,"white","male","new","yes","no",1,0,0,0,1
12,0,"white","female","new","no","no",1,1,0,0,2
26,1,"nonwhite","male","leave","no","yes",1,1,0,0,2
52,1,"white","female","reentr","no","yes",1,0,0,0,1
9,1,"nonwhite","male","lose","yes","no",1,0,0,0,1
12,0,"white","male","lose","no","no",1,0,0,1,1
22,0,"white","female","lose","no","no",1,1,1,1,4
16,1,"white","female","reentr","yes","no",1,1,1,0,3
2,1,"white","female","reentr","no","no",0,1,0,0,1
61,0,"white","female","reentr","no","no",0,0,0,0,3
2,1,"nonwhite","male","leave","yes","no",1,0,0,0,1
52,0,"white","female","reentr","no","no",1,0,1,0,1
9,1,"nonwhite","female","new","no","no",1,1,0,0,2
39,1,"white","male","leave","no","no",1,1,1,0,2
26,1,"white","male","lose","no","yes",1,1,1,0,2
8,1,"white","male","leave","no","no",1,0,0,0,2
3,1,"white","male","lose","no","no",0,1,0,0,1
5,1,"white","female","lose","no","no",1,1,0,0,2
6,0,"nonwhite","male","reentr","yes","no",1,0,0,1,1
52,1,"nonwhite","male","reentr","yes","no",1,0,0,0,1
3,0,"nonwhite","female","reentr","no","no",1,0,0,1,1
4,1,"nonwhite","male","reentr","no","no",1,0,0,0,1
20,1,"nonwhite","female","leave","no","no",1,1,1,0,3
2,1,"nonwhite","male","reentr","no","no",1,0,0,0,1
3,0,"nonwhite","male","lose","no","no",1,0,0,1,1
52,1,"white","male","lose","yes","yes",1,0,0,0,1
21,0,"white","male","reentr","no","no",1,1,1,1,4
65,0,"white","male","leave","no","no",1,1,1,1,4
4,0,"white","female","new","no","no",1,0,0,1,1
3,1,"white","male","reentr","yes","no",1,0,1,0,1
4,1,"white","male","leave","yes","no",1,0,0,0,1
52,0,"white","female","lose","no","no",1,0,0,1,1
16,0,"white","female","reentr","yes","yes",1,1,0,0,2
86,1,"white","male","lose","no","yes",1,1,1,0,3
12,1,"white","male","lose","yes","yes",1,0,0,0,1
1,1,"white","male","leave","no","no",1,0,0,0,1
17,0,"white","female","leave","no","no",1,1,1,1,4
4,1,"white","male","leave","no","no",0,0,0,0,1
34,0,"white","male","lose","no","no",1,1,1,0,3
1,1,"white","female","reentr","no","no",1,0,0,0,1
38,0,"white","male","lose","yes","no",1,1,1,0,3
21,0,"white","male","leave","no","yes",1,1,1,1,4
60,1,"white","female","lose","no","no",0,0,0,0,3
2,1,"white","male","lose","yes","no",1,0,1,0,1
14,0,"white","male","lose","no","yes",1,1,1,1,4
1,1,"white","male","lose","no","no",0,0,0,0,1
8,1,"nonwhite","female","leave","no","no",1,1,0,0,2
1,0,"white","female","reentr","yes","no",1,0,0,1,1
4,0,"white","male","lose","no","no",1,0,0,1,1
3,1,"nonwhite","male","leave","no","no",0,1,0,0,1
2,0,"white","male","reentr","no","no",0,0,0,0,1
4,1,"white","female","lose","no","no",1,0,0,0,1
30,1,"white","female","reentr","yes","no",1,0,0,0,1
6,0,"white","male","reentr","no","no",0,0,0,0,2
7,1,"white","male","leave","no","no",1,1,1,0,2
6,1,"white","female","leave","no","no",1,1,0,0,2
43,0,"nonwhite","female","lose","no","no",1,1,1,0,2
12,1,"nonwhite","female","reentr","no","no",1,1,1,0,2
52,1,"white","female","leave","no","no",1,0,1,0,1
12,1,"nonwhite","female","reentr","no","no",1,1,1,0,3
21,0,"white","male","reentr","no","no",0,0,0,0,3
