"mathlevel","sat","language","sex","major","mathcourse","physiccourse","chemistcourse"
"170",630,"no","male","oss",1,0,1
"170",400,"no","female","oss",1,1,1
"170",700,"no","female","hum",0,0,1
"170",580,"no","male","eco",1,0,1
"170",460,"no","male","oss",1,0,1
"170",530,"no","male","oss",1,0,1
"170",640,"no","male","other",2,0,1
"170",590,"no","male","ns",1,1,1
"170",660,"no","male","oss",2,1,1
"170",600,"no","female","eco",1,1,1
"170",610,"no","male","ns",1,0,1
"170",660,"no","male","eco",1,0,1
"170",540,"no","male","eco",2,1,1
"170",620,"no","male","other",2,0,1
"170",680,"no","male","ns",1,1,1
"170",640,"no","male","other",0,1,1
"170",520,"no","female","eco",1,0,1
"170",590,"no","male","other",2,0,1
"170",570,"no","male","other",1,0,1
"170",540,"no","male","eco",1,1,1
"170",440,"no","female","other",1,1,1
"170",660,"no","female","oss",0,0,1
"170",570,"no","male","eco",1,1,1
"170",700,"no","female","eco",0,0,1
"170",600,"no","male","eco",1,1,1
"170",580,"no","female","other",1,1,0
"170",620,"no","female","other",1,0,1
"170",660,"no","male","eco",0,1,0
"170",630,"no","male","eco",1,1,1
"170",520,"no","male","eco",1,1,1
"170",610,"no","female","other",0,0,1
"170",640,"no","male","oss",1,0,1
"170",580,"no","male","eco",1,0,2
"170",600,"no","male","eco",1,0,1
"170",590,"no","female","hum",1,0,2
"170",620,"no","male","hum",1,1,1
"170",580,"no","male","eco",1,0,1
"170",710,"no","male","hum",1,0,2
"170",600,"no","male","eco",2,0,1
"170",660,"no","female","eco",1,1,0
"170",570,"no","male","other",1,1,0
"170",590,"no","female","hum",1,0,1
"170",560,"no","male","eco",1,0,0
"170",530,"no","female","other",1,0,1
"170",550,"no","male","oss",1,0,1
"170",550,"no","female","other",1,0,1
"170",620,"no","female","oss",1,0,1
"170",650,"yes","male","other",2,1,1
"170",600,"no","male","ns",0,1,1
"170",680,"yes","male","eco",1,1,1
"170",680,"no","male","eco",1,0,1
"170",520,"no","male","other",1,1,1
"170",640,"no","male","oss",2,1,1
"170",520,"no","female","other",1,0,1
"170",550,"no","female","eco",1,1,1
"170",640,"no","male","other",2,1,1
"170",620,"no","male","eco",1,0,1
"170",490,"no","male","eco",1,1,1
"170",550,"no","male","eco",2,0,1
"170",590,"no","female","eco",2,1,1
"170",620,"no","male","oss",1,0,1
"170",620,"no","female","oss",1,0,1
"170",660,"no","female","other",1,0,1
"171a",590,"yes","female","hum",2,0,1
"171a",730,"no","male","ns",1,1,1
"171a",650,"no","male","hum",2,0,1
"171a",600,"no","male","other",2,1,1
"171a",700,"no","female","ns",2,0,1
"171a",580,"no","male","oss",0,1,1
"171a",640,"yes","male","eco",1,0,2
"171a",590,"no","male","other",1,1,1
"171a",600,"no","female","other",1,1,1
"171a",620,"no","male","ns",2,0,2
"171a",640,"no","male","other",1,1,1
"171a",620,"no","female","eco",0,0,1
"171a",650,"no","male","eco",1,0,1
"171a",640,"no","male","oss",2,1,0
"171a",660,"no","male","ns",1,1,1
"171a",560,"no","male","ns",2,1,1
"171a",590,"no","male","ns",2,1,2
"171a",580,"no","male","ns",1,1,2
"171a",630,"no","male","oss",2,1,1
"171a",650,"no","male","eco",1,1,1
"171a",560,"no","male","oss",2,1,1
"171a",570,"no","male","oss",2,0,1
"171a",560,"no","male","other",1,1,1
"171a",660,"no","male","other",1,1,1
"171a",590,"no","male","oss",1,1,1
"171a",590,"no","female","ns",1,1,0
"171a",560,"no","male","eco",1,0,1
"171a",570,"no","female","eco",1,1,1
"171a",610,"no","male","oss",1,1,1
"171a",650,"no","male","oss",2,1,1
"171a",650,"yes","female","eco",1,0,0
"171a",620,"no","male","hum",1,1,1
"171a",530,"no","female","oss",1,0,2
"171a",650,"no","male","ns",1,0,1
"171a",660,"no","male","eco",1,1,1
"171a",660,"no","male","hum",1,0,1
"171a",640,"no","female","other",1,1,1
"171a",590,"no","female","eco",1,0,1
"171a",540,"no","female","hum",1,0,1
"171a",680,"no","male","eco",1,1,1
"171a",570,"yes","male","ns",1,1,1
"171a",610,"yes","female","other",1,0,0
"171a",560,"no","male","eco",2,1,1
"171a",640,"no","male","oss",1,1,2
"171a",620,"no","female","oss",0,0,1
"171a",610,"no","male","other",1,1,1
"171a",570,"yes","female","eco",1,1,1
"171a",650,"yes","male","oss",1,1,1
"171a",690,"yes","male","eco",1,1,0
"172a",670,"no","male","ns",1,1,0
"172a",640,"no","male","eco",1,1,2
"172a",670,"no","male","hum",1,1,1
"172a",550,"no","female","ns",2,1,2
"172a",710,"no","male","eco",2,1,1
"172a",540,"no","female","oss",1,1,1
"172a",650,"no","male","oss",1,0,1
"172a",710,"no","female","ns",2,1,1
"172a",580,"no","female","oss",2,0,1
"172a",660,"no","female","other",1,1,1
"172a",620,"no","male","other",2,1,1
"171b",660,"no","male","eco",1,1,1
"171b",650,"no","male","ns",2,2,1
"171b",610,"no","male","other",2,0,0
"171b",640,"no","female","other",1,1,2
"171b",610,"no","female","eco",1,1,1
"171b",610,"no","male","oss",2,1,1
"171b",590,"no","female","eco",1,0,1
"171b",610,"no","female","eco",2,0,1
"171b",690,"no","male","oss",2,0,1
"171b",580,"no","male","eco",1,1,1
"171b",580,"no","male","eco",2,1,1
"171b",670,"no","male","eco",2,1,1
"171b",560,"no","female","other",1,1,1
"171b",670,"no","male","ns",1,1,1
"171b",710,"no","male","eco",2,1,1
"171b",630,"no","female","eco",1,0,1
"171b",620,"no","male","eco",1,1,1
"171b",560,"no","female","ns",2,1,2
"171b",680,"no","male","oss",1,2,0
"171b",570,"no","female","other",2,1,1
"171b",670,"no","male","ns",2,1,1
"171b",660,"no","female","other",1,1,1
"171b",600,"no","male","other",1,1,1
"171b",630,"no","male","ns",1,1,1
"171b",640,"no","female","other",1,1,2
"171b",660,"no","male","eco",1,1,1
"171b",530,"no","male","oss",2,1,2
"171b",640,"no","male","eco",1,1,1
"171b",680,"no","male","other",2,1,1
"171b",550,"yes","male","other",1,0,1
"171b",660,"no","male","ns",2,0,2
"171b",630,"no","male","eco",3,1,1
"171b",690,"no","male","eco",2,1,1
"171b",560,"yes","male","eco",2,1,1
"171b",610,"yes","female","ns",1,1,1
"171b",660,"no","male","ns",2,1,1
"171b",600,"no","male","eco",2,1,1
"171b",530,"no","male","other",2,1,1
"171b",660,"no","female","eco",1,0,2
"171b",600,"no","female","oss",1,1,1
"171b",740,"yes","male","other",1,1,1
"171b",680,"no","male","other",1,1,1
"171b",650,"no","male","oss",0,1,1
"171b",720,"no","male","eco",2,1,0
"171b",560,"no","male","eco",1,0,1
"171b",620,"no","male","ns",2,1,1
"171b",580,"no","male","other",1,1,1
"171b",620,"no","female","eco",2,1,1
"171b",580,"no","female","ns",2,1,0
"171b",550,"yes","female","ns",1,1,1
"171b",660,"no","male","other",1,1,1
"171b",620,"no","female","oss",2,1,1
"171b",560,"no","male","ns",2,1,1
"171b",590,"yes","female","eco",2,0,1
"171b",640,"no","male","eco",1,1,1
"171b",600,"no","male","other",2,0,1
"171b",600,"no","male","hum",2,1,1
"171b",630,"no","female","eco",2,1,1
"171b",640,"yes","male","eco",1,1,1
"171b",660,"no","male","oss",1,1,2
"171b",610,"no","male","ns",1,1,1
"171b",600,"no","female","oss",2,0,1
"171b",640,"no","female","other",2,0,1
"171b",480,"no","male","other",1,1,0
"171b",590,"no","male","eco",2,1,1
"171b",660,"no","male","oss",1,1,1
"171b",620,"no","male","eco",1,1,1
"171b",690,"no","male","oss",1,0,1
"171b",650,"no","male","other",0,1,2
"171b",620,"no","female","eco",2,1,1
"171b",690,"no","male","eco",2,1,1
"171b",570,"no","male","eco",1,1,1
"171b",650,"no","male","ns",1,1,1
"171b",570,"no","female","ns",0,2,2
"171b",570,"no","male","hum",1,1,1
"171b",650,"no","male","ns",2,1,1
"171b",570,"no","male","ns",1,1,2
"171b",670,"no","female","eco",2,0,1
"171b",660,"yes","female","hum",2,0,1
"171b",630,"no","male","eco",1,1,1
"171b",730,"no","male","eco",2,1,1
"171b",680,"no","male","oss",1,1,1
"171b",630,"no","male","eco",2,1,1
"171b",620,"no","female","ns",1,0,2
"171b",570,"no","male","eco",2,0,1
"171b",620,"no","female","other",1,1,1
"171b",660,"no","female","eco",2,1,1
"171b",650,"no","male","eco",1,1,0
"171b",600,"no","male","hum",1,0,2
"171b",570,"no","female","other",1,2,1
"171b",660,"no","male","eco",1,1,1
"171b",670,"no","male","other",1,1,1
"171b",620,"no","female","oss",1,1,1
"171b",650,"no","female","ns",1,1,1
"171b",570,"no","female","other",2,1,1
"171b",580,"no","female","other",1,1,1
"171b",570,"no","male","eco",1,1,1
"171b",620,"yes","female","oss",2,1,1
"171b",610,"yes","female","eco",1,1,0
"171b",610,"no","female","other",2,1,1
"171b",640,"no","male","other",1,1,2
"171b",630,"no","female","oss",1,1,1
"171b",620,"no","male","hum",1,0,1
"171b",640,"no","female","ns",1,1,1
"171b",600,"no","male","eco",1,0,1
"171b",640,"no","male","ns",2,1,1
"171b",710,"no","male","ns",1,1,2
"171b",710,"no","female","other",1,0,1
"171b",670,"no","male","eco",1,1,1
"171b",540,"no","male","other",1,1,1
"171b",630,"no","male","ns",1,0,1
"171b",570,"no","male","other",1,1,1
"171b",650,"no","male","other",1,1,1
"171b",590,"no","male","eco",1,1,1
"171b",670,"no","female","ns",2,0,1
"171b",660,"yes","male","hum",1,0,1
"171b",620,"no","female","other",2,1,1
"171b",610,"no","female","other",1,1,1
"171b",660,"no","male","other",2,1,1
"171b",640,"no","female","eco",1,1,2
"171b",610,"no","male","other",1,2,1
"171b",620,"no","male","other",2,1,1
"171b",610,"no","male","eco",2,1,1
"171b",560,"no","male","ns",2,1,2
"171b",710,"no","male","eco",1,1,1
"171b",660,"no","male","eco",2,0,2
"171b",600,"no","male","other",2,0,1
"171b",650,"no","female","oss",2,1,1
"171b",660,"no","male","eco",2,1,2
"171b",630,"no","female","oss",1,1,1
"171b",620,"no","male","eco",2,0,2
"171b",730,"no","male","eco",2,1,1
"171b",640,"yes","female","other",1,0,1
"171b",700,"no","male","oss",0,1,1
"171b",610,"no","female","eco",2,0,1
"171b",600,"no","female","eco",1,1,1
"171b",660,"no","male","eco",2,1,1
"171b",520,"no","male","ns",0,0,1
"171b",490,"no","male","eco",1,1,1
"171b",630,"no","male","other",1,1,1
"171b",540,"no","female","eco",2,0,1
"171b",440,"no","female","eco",2,0,1
"171b",530,"no","male","oss",1,0,1
"171b",570,"yes","female","hum",1,0,1
"171b",630,"yes","female","ns",2,1,1
"171b",610,"no","male","ns",1,1,1
"171b",610,"no","male","eco",2,1,2
"171b",680,"no","male","other",1,1,1
"171b",570,"no","male","eco",0,0,0
"171b",600,"yes","female","hum",2,0,1
"171b",650,"no","male","ns",2,1,2
"171b",670,"no","male","oss",2,1,1
"171b",730,"no","male","ns",2,1,1
"171b",630,"yes","female","oss",2,0,1
"171b",690,"no","male","oss",2,1,1
"171b",530,"no","female","ns",1,0,1
"171b",520,"no","female","hum",0,1,1
"171b",530,"no","male","ns",0,0,1
"171b",490,"no","male","other",2,1,1
"171b",480,"no","male","eco",1,0,2
"171b",560,"no","female","other",2,1,1
"171b",620,"no","male","oss",2,0,1
"171b",640,"no","male","other",2,1,2
"171b",560,"no","male","other",2,1,1
"171b",700,"no","male","eco",2,0,1
"171b",690,"no","male","hum",2,1,1
"171b",600,"no","female","ns",2,1,2
"171b",660,"no","male","eco",2,0,1
"171b",670,"no","male","other",1,1,1
"171b",650,"no","male","ns",2,1,1
"171b",680,"yes","male","ns",1,1,1
"171b",630,"no","male","other",1,1,1
"171b",540,"no","male","ns",1,1,1
"171b",660,"no","female","ns",1,1,2
"171b",650,"no","male","eco",1,1,1
"171b",640,"no","male","other",1,1,2
"171b",530,"no","female","oss",1,0,1
"171b",680,"no","female","eco",2,0,1
"171b",600,"no","female","eco",1,1,1
"171b",630,"no","male","other",1,1,1
"171b",690,"no","male","eco",2,1,1
"171b",670,"no","female","eco",2,1,1
"171b",690,"no","male","oss",2,1,1
"171b",680,"yes","female","other",1,1,1
"171b",590,"no","female","ns",1,1,1
"171b",730,"no","female","hum",3,1,1
"171b",740,"no","male","eco",2,0,1
"171b",630,"no","male","oss",1,1,0
"171b",600,"no","male","hum",2,0,1
"171b",730,"yes","male","eco",2,1,1
"171b",590,"no","female","ns",0,1,1
"171b",590,"no","male","eco",1,0,1
"171b",630,"no","male","eco",2,1,1
"171b",630,"no","male","oss",1,1,1
"171b",590,"no","male","eco",2,1,1
"171b",610,"no","female","eco",2,1,1
"171b",650,"no","female","eco",2,0,1
"171b",690,"no","male","ns",0,1,1
"171b",640,"no","male","ns",1,1,1
"171b",650,"no","female","oss",1,1,1
"171b",600,"no","male","ns",0,1,1
"171b",610,"no","male","oss",2,1,1
"171b",580,"no","female","other",2,0,1
"171b",630,"no","female","ns",1,0,1
"171b",750,"no","male","oss",2,1,1
"171b",580,"no","male","eco",2,2,1
"171b",600,"no","male","hum",1,0,1
"171b",700,"no","male","eco",2,0,1
"171b",630,"no","male","ns",2,1,1
"171b",580,"no","female","ns",2,0,1
"171b",650,"no","male","eco",2,1,1
"171b",710,"no","female","ns",2,1,1
"171b",640,"no","female","ns",2,0,1
"171b",640,"yes","female","ns",1,0,2
"171b",650,"no","male","oss",2,2,1
"171b",650,"no","female","eco",1,0,1
"171b",690,"no","male","other",2,0,1
"171b",680,"no","male","eco",1,1,1
"171b",750,"yes","male","eco",2,1,1
"171b",630,"no","female","hum",1,1,1
"171b",600,"no","male","other",1,0,1
"171b",610,"no","male","eco",1,1,0
"171b",600,"no","male","eco",1,1,1
"171b",620,"no","female","eco",2,1,1
"171b",600,"no","male","eco",1,0,1
"171b",600,"no","female","oss",1,1,1
"171b",720,"no","male","eco",1,1,1
"171b",690,"no","female","oss",1,1,1
"172b",620,"no","male","eco",2,1,1
"172b",670,"no","male","other",2,1,2
"172b",620,"no","male","ns",2,1,1
"172b",750,"yes","male","ns",2,1,1
"172b",630,"no","male","eco",2,1,1
"172b",640,"no","female","other",2,1,2
"172b",720,"no","male","ns",3,1,1
"172b",620,"no","male","other",2,0,1
"172b",650,"no","male","other",1,1,1
"172b",630,"no","male","eco",2,1,1
"172b",690,"yes","female","ns",2,2,1
"172b",610,"no","female","other",2,2,1
"172b",670,"no","female","eco",2,1,1
"172b",620,"no","female","eco",2,1,1
"172b",780,"yes","male","oss",2,1,1
"172b",690,"no","male","eco",2,1,2
"172b",600,"no","male","ns",1,0,1
"172b",700,"no","male","eco",2,1,2
"172b",630,"yes","male","eco",2,0,2
"172b",590,"no","female","ns",1,1,2
"172b",590,"no","male","ns",2,1,1
"172b",590,"no","male","other",1,1,1
"172b",640,"no","male","ns",1,1,2
"172b",660,"no","male","other",2,1,1
"172b",750,"no","female","other",1,1,1
"172b",710,"no","male","oss",2,1,2
"172b",630,"no","male","eco",2,1,0
"172b",690,"no","male","eco",2,1,2
"172b",690,"no","male","ns",2,1,1
"172b",720,"no","male","other",2,1,1
"172b",590,"no","male","eco",2,0,1
"172b",650,"no","male","other",2,1,1
"172b",740,"no","male","ns",1,1,1
"172b",630,"no","female","ns",1,0,1
"172b",620,"no","male","eco",2,0,1
"172b",550,"no","male","eco",2,0,1
"172b",720,"no","female","other",1,0,2
"172b",510,"no","female","ns",2,0,1
"172b",720,"no","male","eco",2,1,1
"172b",600,"no","female","oss",1,1,1
"172b",560,"no","female","other",2,1,1
"172b",720,"no","male","ns",3,1,1
"221a",640,"yes","female","ns",2,1,1
"221a",600,"no","male","other",0,0,1
"221a",600,"no","female","eco",2,1,1
"221a",570,"no","female","eco",2,0,1
"221a",720,"no","female","ns",2,1,1
"221a",780,"no","female","oss",2,1,1
"221a",620,"no","male","other",2,1,0
"221a",740,"yes","male","other",0,1,1
"221a",640,"no","female","other",1,1,1
"221a",660,"yes","female","hum",2,1,0
"221a",620,"yes","female","oss",2,0,1
"221a",640,"no","female","oss",1,1,1
"221a",690,"no","male","eco",2,1,1
"221a",490,"no","female","eco",1,0,1
"221a",730,"yes","male","other",2,0,1
"221a",580,"no","female","hum",1,0,1
"221a",660,"no","male","other",2,1,0
"221a",560,"no","female","ns",1,1,1
"221a",640,"no","female","other",2,0,1
"221a",520,"no","female","other",1,0,0
"221a",670,"no","female","eco",2,1,1
"221a",590,"yes","male","ns",2,1,1
"221a",570,"no","male","ns",3,1,1
"221a",640,"no","female","hum",2,0,1
"221a",620,"yes","female","eco",2,1,1
"221a",600,"no","female","ns",2,0,1
"221a",650,"yes","male","eco",2,0,1
"221a",700,"no","male","other",2,0,1
"221a",640,"yes","female","eco",2,0,1
"221a",620,"no","female","eco",2,1,1
"221a",580,"yes","female","ns",1,0,1
"221b",650,"no","female","eco",2,1,1
"221b",630,"no","female","ns",2,1,1
"221b",610,"no","male","eco",1,1,1
"221b",640,"no","male","eco",2,1,1
"221b",650,"no","male","ns",1,0,0
"221b",670,"no","male","eco",2,1,1
"221b",560,"no","female","ns",1,1,1
"221b",620,"yes","female","ns",2,1,1
"221b",710,"no","male","eco",2,2,1
"221b",640,"yes","male","eco",2,1,1
"221b",730,"no","male","ns",2,1,0
"221b",710,"no","male","eco",2,1,1
"221b",580,"no","female","eco",2,0,1
"221b",650,"no","female","ns",2,1,1
"221b",590,"no","female","eco",2,2,1
"221b",710,"no","female","ns",1,0,1
"221b",650,"yes","female","ns",2,1,1
"221b",790,"no","male","oss",2,1,1
"221b",600,"no","male","ns",1,0,1
"221b",640,"no","female","ns",2,0,2
"221b",720,"no","male","oss",2,1,1
"221b",660,"no","female","eco",2,1,2
"221b",590,"yes","male","oss",1,1,1
"221b",660,"no","female","ns",3,0,0
"221b",630,"no","female","ns",2,1,1
"221b",680,"no","female","ns",1,1,2
"221b",570,"no","female","other",1,0,1
"221b",670,"no","male","eco",1,1,1
"221b",680,"no","male","ns",2,1,2
"221b",610,"no","female","ns",2,1,1
"221b",650,"no","male","eco",2,1,1
"221b",710,"no","male","other",2,1,2
"221b",710,"no","male","eco",2,1,2
"221b",670,"no","male","other",1,1,1
"221b",620,"no","female","ns",2,1,0
"221b",660,"no","female","oss",2,1,1
"221b",620,"no","female","oss",2,0,2
"221b",640,"yes","female","eco",1,1,1
"221b",780,"no","male","ns",3,1,1
"221b",690,"no","male","eco",2,1,2
"221b",720,"no","male","ns",2,1,1
"221b",700,"no","female","other",1,1,1
"221b",660,"yes","female","oss",2,1,2
"221b",690,"no","male","ns",2,0,2
"221b",700,"no","male","eco",2,0,0
"221b",610,"no","female","oss",2,1,1
"221b",520,"no","female","other",1,1,1
"221b",680,"yes","male","ns",2,1,2
"221b",680,"no","male","other",2,1,1
"221b",720,"no","male","ns",2,1,2
"221b",550,"no","male","eco",2,1,2
"221b",540,"no","male","eco",2,0,1
"221b",570,"no","male","other",1,1,1
"221b",580,"no","female","ns",2,1,1
"221b",700,"no","male","oss",2,1,1
"221b",780,"yes","female","eco",2,1,0
"221b",740,"no","male","eco",2,1,2
"221b",650,"no","male","eco",1,1,1
"221b",680,"no","male","other",2,1,2
"221b",670,"no","female","eco",2,1,1
"221b",650,"no","female","oss",2,1,2
"221b",630,"no","male","ns",2,1,1
"221b",730,"no","male","ns",1,0,1
"221b",690,"no","male","ns",1,1,1
"221b",590,"no","male","ns",1,1,1
"221b",650,"no","male","hum",2,1,1
"221b",640,"no","male","eco",2,1,1
"221b",600,"no","male","other",2,0,1
"221b",660,"yes","female","ns",2,1,1
"221b",690,"no","female","ns",1,1,1
"221b",740,"no","male","other",2,1,2
"221b",630,"no","male","eco",2,1,0
"221b",620,"no","female","ns",1,1,1
"221b",670,"yes","male","oss",2,1,2
"221b",660,"no","female","ns",2,1,1
"221b",670,"no","female","ns",2,1,1
"221b",670,"no","male","other",2,1,1
"221b",660,"no","male","ns",1,0,1
"221b",590,"no","female","ns",2,1,1
"221b",580,"no","female","oss",2,1,1
"221b",770,"no","male","oss",2,1,1
"221b",660,"no","male","other",2,1,1
"221b",710,"no","female","eco",2,0,1
"221b",590,"no","female","oss",2,0,1
