"dur","gdp"
39,0.06072
53,0.06072
107,0.06072
5,0.06508
9,0.06508
10,0.06508
16,0.06508
22,0.06508
24,0.06508
31,0.06508
31,0.06508
34,0.06508
38,0.06508
42,0.06508
65,0.06508
74,0.06508
101,0.06508
130,0.06508
1,0.0645
2,0.0645
2,0.0645
3,0.0645
4,0.0645
8,0.0645
11,0.0645
22,0.0645
23,0.0645
27,0.0645
32,0.0645
33,0.0645
35,0.0645
43,0.0645
43,0.0645
44,0.0645
3,0.0645
100,0.0645
2,0.06319
19,0.06319
20,0.06319
20,0.06319
20,0.06319
23,0.06319
24,0.06319
33,0.06319
33,0.06319
63,0.06319
67,0.06319
94,0.06319
116,0.06319
1,0.05579
8,0.05579
15,0.05579
15,0.05579
22,0.05579
23,0.05579
26,0.05579
27,0.05579
55,0.05579
160,0.05579
5,0.05197
8,0.05197
13,0.05197
20,0.05197
42,0.05197
53,0.05197
59,0.05197
83,0.05197
101,0.05197
8,0.03458
11,0.03458
15,0.03458
22,0.03458
58,0.03458
60,0.03458
108,0.03458
31,-0.00225
42,-0.00225
45,-0.00225
50,-0.00225
61,-0.00225
106,-0.00225
142,-0.00225
36,-0.09771
52,-0.09771
99,-0.09771
38,-0.12124
47,-0.12124
62,-0.12124
38,-0.13996
51,-0.13996
98,-0.13996
133,-0.13996
9,-0.1259
86,-0.1259
141,-0.12224
5,-0.10443
49,-0.10443
8,-0.08656
13,-0.08656
2,-0.06279
6,-0.06279
37,-0.06279
28,-0.0579
36,-0.0579
48,-0.0579
136,-0.0579
139,-0.0579
2,-0.04919
14,-0.04919
15,-0.04919
33,-0.04919
143,-0.04919
42,-0.04494
8,-0.027
122,-0.00601
56,-0.00693
14,-0.00528
14,-0.00528
106,-0.00528
127,-0.00528
131,-0.00528
140,-0.00528
141,-0.00528
163,-0.00528
22,-0.00155
23,-0.00155
29,-0.00155
99,-0.00155
118,-0.00155
2,-0.007
12,-0.007
12,-0.007
21,-0.007
21,-0.007
27,-0.007
38,-0.007
42,-0.007
117,-0.007
2,-0.00157
12,-0.00157
19,-0.00157
22,-0.00157
75,-0.00157
126,-0.00157
8,0.00134
36,0.00134
107,0.00134
5,-0.01281
5,-0.01281
29,-0.01281
151,-0.01281
9,-0.01538
16,-0.01538
29,-0.01538
35,-0.01538
65,-0.01538
136,-0.01538
50,-0.00703
55,-0.00703
1,-3e-05
12,-3e-05
27,-3e-05
