"spell","censor1","censor2","censor3","censor4","age","ui","reprate","disrate","logwage","tenure"
2,0,0,0,0,52,"no",0.275,0.055,6.3315,17
11,0,0,0,1,31,"yes",0.5,0.1,5.24702,0
27,0,0,0,1,51,"no",0.327,0.065,6.16121,3
6,0,0,0,1,35,"yes",0.5,0.1,5.53339,7
2,0,1,0,0,55,"no",0.398,0.08,5.96358,25
1,1,0,0,0,53,"yes",0.49,0.098,5.75574,1
5,0,0,0,1,33,"no",0.392,0.078,5.97889,12
1,0,1,0,0,27,"no",0.5,0.1,5.28827,0
1,0,0,1,0,33,"no",0.392,0.078,5.97889,4
1,1,0,0,0,43,"no",0.5,0.1,5.46806,5
13,1,0,0,0,32,"no",0.49,0.098,5.75574,4
3,1,0,0,0,28,"yes",0.5,0.1,4.92725,0
19,0,0,0,1,51,"yes",0.426,0.085,5.8944,0
9,0,0,0,1,36,"yes",0.286,0.057,6.29527,0
5,0,0,1,0,27,"no",0.5,0.1,5.18178,0
17,0,0,0,1,31,"yes",0.5,0.1,4.92725,2
15,0,0,0,1,42,"yes",0.288,0.058,6.286,4
4,0,0,0,1,50,"yes",0.377,0.075,6.01859,14
7,0,0,1,0,24,"yes",0.49,0.098,5.75574,0
3,1,0,0,0,36,"yes",0.261,0.052,6.38519,1
14,1,0,0,0,50,"no",0.5,0.1,4.83628,3
5,0,0,0,1,38,"no",0.5,0.1,5.65599,0
3,0,0,0,1,48,"no",0.426,0.085,5.8944,19
12,0,1,0,0,47,"yes",0.5,0.1,5.54908,4
2,0,0,0,1,33,"no",0.5,0.1,5.54908,4
2,1,0,0,0,33,"yes",0.231,0.046,6.51026,3
10,0,0,0,1,34,"yes",0.327,0.065,6.16121,4
1,0,0,0,1,22,"no",0.5,0.1,5.39816,0
5,0,0,0,1,26,"yes",0.5,0.013,5.75574,2
17,0,0,0,0,30,"yes",0.5,0.02,5.28827,0
7,0,1,0,0,23,"yes",0.5,0.025,5.06259,1
1,0,0,0,0,24,"no",0.5,0.038,4.63473,1
21,0,0,0,1,58,"yes",0.5,0.017,5.46806,11
16,0,0,1,0,34,"yes",0.5,0.014,5.64897,7
7,0,1,0,0,33,"yes",0.5,0.019,5.32301,4
5,1,0,0,0,47,"yes",0.5,0.037,4.67283,5
6,0,0,0,1,30,"yes",0.5,0.017,5.46806,3
1,1,0,0,0,49,"no",0.5,0.033,4.77912,3
5,0,0,0,1,34,"no",0.5,0.016,5.50126,2
9,0,0,1,0,24,"yes",0.5,0.018,5.39816,1
9,0,0,0,1,33,"yes",0.5,0.013,5.69036,1
1,1,0,0,0,38,"no",0.5,0.017,5.46806,3
6,0,1,0,0,28,"yes",0.5,0.015,5.59471,2
27,0,0,0,1,41,"yes",0.5,0.02,5.28827,1
13,1,0,0,0,36,"yes",0.375,0.008,6.16121,14
6,0,0,0,1,61,"yes",0.5,0.013,5.75574,1
5,1,0,0,0,30,"yes",0.5,0.019,5.32301,3
13,0,0,0,1,58,"yes",0.188,0.004,6.85435,3
23,0,0,0,1,40,"yes",0.5,0.014,5.62402,2
5,1,0,0,0,30,"yes",0.292,0.006,6.41017,4
2,1,0,0,0,53,"no",0.45,0.01,5.97889,0
13,1,0,0,0,43,"yes",0.375,0.008,6.16121,23
10,0,0,0,1,37,"yes",0.5,0.013,5.75574,8
10,0,0,0,1,30,"yes",0.5,0.017,5.46806,8
5,1,0,0,0,52,"yes",0.321,0.007,6.31536,2
2,0,0,1,0,54,"yes",0.5,0.015,5.57973,7
2,0,0,1,0,28,"no",0.5,0.03,4.86753,0
3,1,0,0,0,23,"yes",0.5,0.018,5.3799,4
2,0,1,0,0,36,"no",0.5,0.016,5.53339,1
20,1,0,0,0,55,"yes",0.5,0.016,5.50126,1
21,0,0,0,1,30,"yes",0.205,0.005,6.76734,3
9,1,0,0,0,33,"no",0.5,0.013,5.75574,0
17,0,0,0,1,48,"yes",0.5,0.012,5.80513,1
27,0,0,0,1,34,"no",0.5,0.05,4.36945,2
1,1,0,0,0,37,"yes",0.5,0.025,5.06259,1
8,1,0,0,0,54,"yes",0.346,0.008,6.24222,12
15,0,0,0,1,22,"yes",0.5,0.025,5.06259,2
9,1,0,0,0,21,"yes",0.5,0.014,5.62402,2
1,0,0,1,0,21,"no",0.45,0.01,5.97889,0
2,0,0,0,1,41,"yes",0.5,0.013,5.75574,0
7,1,0,0,0,55,"yes",0.188,0.004,6.85435,19
2,0,1,0,0,34,"no",0.474,0.011,5.92693,0
2,0,0,0,1,32,"no",0.5,0.02,5.28827,1
4,0,0,0,1,50,"yes",0.167,0.004,6.97261,3
22,1,0,0,0,40,"yes",0.5,0.013,5.75574,6
3,0,0,0,1,24,"no",0.375,0.008,6.16121,0
22,1,0,0,0,46,"yes",0.45,0.01,5.97889,2
4,0,0,1,0,27,"yes",0.375,0.008,6.16121,1
4,0,0,0,0,24,"yes",0.5,0.013,5.75574,3
1,1,0,0,0,37,"no",0.213,0.005,6.72863,5
1,0,1,0,0,23,"no",0.5,0.025,5.06259,0
1,1,0,0,0,54,"no",0.375,0.008,6.16121,3
2,1,0,0,0,34,"no",0.5,0.015,5.59471,1
1,1,0,0,0,44,"no",0.5,0.031,4.83628,8
1,1,0,0,0,24,"no",0.5,0.014,5.62402,0
5,0,1,0,0,30,"yes",0.5,0.019,5.36129,2
3,0,0,1,0,20,"no",0.5,0.013,5.75574,3
1,0,0,1,0,43,"no",0.5,0.013,5.75574,13
2,0,0,0,0,48,"yes",0.5,0.017,5.42935,1
2,0,0,0,1,21,"no",0.5,0.021,5.24702,0
1,1,0,0,0,35,"no",0.5,0.019,5.32301,2
2,1,0,0,0,27,"no",0.5,0.014,5.60947,0
10,0,0,0,1,29,"no",0.5,0.022,5.20401,1
15,1,0,0,0,28,"yes",0.375,0.008,6.16121,4
11,0,0,0,1,37,"yes",0.5,0.013,5.75574,6
3,0,1,0,0,25,"no",0.5,0.02,5.28827,0
15,0,1,0,0,25,"no",0.5,0.017,5.42935,0
9,1,0,0,0,40,"no",0.45,0.01,5.97889,0
2,0,0,0,1,37,"no",0.45,0.01,5.97889,0
1,0,0,1,0,42,"no",0.45,0.01,5.97889,0
1,1,0,0,0,41,"no",0.5,0.023,5.15906,2
1,0,1,0,0,40,"no",0.5,0.024,5.09987,2
1,0,0,1,0,21,"no",0.5,0.022,5.18178,0
5,0,0,0,1,30,"no",0.5,0.012,5.81711,0
7,0,0,0,1,37,"yes",0.5,0.028,4.95583,0
7,0,0,0,0,34,"yes",0.417,0.009,6.05678,4
13,0,0,0,1,21,"no",0.5,0.023,5.15906,1
13,0,0,0,1,40,"yes",0.5,0.011,5.8522,4
5,1,0,0,0,37,"no",0.5,0.017,5.46806,2
22,0,0,1,0,60,"yes",0.205,0.005,6.76734,3
3,0,0,1,0,31,"no",0.5,0.02,5.28827,1
4,0,1,0,0,23,"yes",0.5,0.018,5.3799,2
3,0,0,0,1,25,"yes",0.5,0.016,5.53339,2
3,0,1,0,0,37,"no",0.5,0.013,5.75574,3
9,0,1,0,0,24,"no",0.5,0.028,4.95583,0
1,1,0,0,0,42,"no",0.366,0.008,6.18621,14
2,0,0,1,0,43,"no",0.45,0.01,5.97889,1
13,1,0,0,0,36,"yes",0.45,0.01,5.97889,4
10,0,0,0,1,44,"yes",0.5,0.014,5.62402,7
2,0,0,0,0,38,"no",0.5,0.025,5.06259,0
2,0,1,0,0,22,"no",0.5,0.014,5.62402,0
1,1,0,0,0,31,"no",0.5,0.015,5.5835,8
3,0,0,0,1,27,"yes",0.6,0.12,5.24702,1
7,0,1,0,0,33,"yes",0.6,0.12,5.28827,8
1,0,0,0,0,42,"yes",0.6,0.12,5.59471,1
5,0,0,0,1,41,"yes",0.6,0.12,4.77912,0
19,0,0,0,1,44,"yes",0.582,0.116,5.97889,4
3,1,0,0,0,24,"yes",0.6,0.12,5.66643,2
2,0,0,0,1,30,"yes",0.6,0.12,5.39816,3
7,0,0,0,1,35,"no",0.6,0.12,5.62402,2
3,0,0,0,1,48,"yes",0.6,0.12,5.06259,6
7,0,0,0,1,49,"yes",0.265,0.053,6.76734,0
5,1,0,0,0,42,"yes",0.6,0.12,5.75574,2
7,1,0,0,0,42,"yes",0.6,0.12,5.69036,5
8,1,0,0,0,37,"yes",0.421,0.084,6.30445,4
5,1,0,0,0,27,"yes",0.6,0.12,5.70378,3
13,0,0,0,1,26,"yes",0.6,0.12,5.39816,0
1,1,0,0,0,24,"no",0.554,0.111,6.02828,0
6,0,0,0,1,29,"no",0.6,0.12,4.66344,0
5,0,0,0,1,46,"yes",0.6,0.12,5.51745,2
3,0,0,0,1,43,"yes",0.6,0.12,5.8522,2
2,0,0,0,1,42,"no",0.6,0.12,5.75574,1
21,0,0,0,1,31,"no",0.6,0.12,4.95583,0
20,0,0,0,1,25,"yes",0.539,0.108,6.05678,4
20,0,0,0,1,24,"yes",0.6,0.12,5.59471,1
2,0,0,0,1,27,"no",0.6,0.12,5.60947,0
25,0,0,0,1,58,"yes",0.6,0.12,4.83628,2
1,1,0,0,0,48,"no",0.6,0.12,5.46806,20
22,1,0,0,0,48,"yes",0.291,0.058,6.67203,6
20,0,0,0,1,54,"yes",0.224,0.045,6.9344,19
5,0,1,0,0,30,"no",0.6,0.12,5.06259,0
1,1,0,0,0,28,"no",0.6,0.12,5.87493,5
2,0,0,0,1,45,"yes",0.6,0.12,5.06259,3
11,0,0,0,1,37,"yes",0.6,0.12,5.46806,8
7,0,0,0,1,35,"yes",0.6,0.12,5.90536,2
16,0,0,0,1,43,"yes",0.6,0.12,5.75574,6
5,0,0,0,1,32,"no",0.582,0.116,5.97889,0
13,1,0,0,0,55,"yes",0.284,0.057,6.69703,7
10,0,0,0,1,53,"yes",0.469,0.094,6.19441,13
1,1,0,0,0,36,"yes",0.336,0.067,6.52649,1
15,0,0,0,1,31,"yes",0.473,0.095,6.18621,2
16,1,0,0,0,20,"yes",0.6,0.12,5.87493,3
7,0,0,0,1,28,"no",0.6,0.12,5.62402,1
6,0,0,0,1,61,"yes",0.6,0.12,5.87493,31
1,0,0,1,0,22,"no",0.6,0.12,5.75574,1
8,0,0,0,1,37,"yes",0.364,0.073,6.44889,6
15,0,0,0,1,28,"yes",0.6,0.12,5.60947,4
9,0,0,0,1,56,"yes",0.277,0.055,6.72143,21
10,0,0,0,1,33,"yes",0.359,0.072,6.46147,12
5,0,0,0,1,24,"yes",0.6,0.12,5.28827,1
5,0,0,0,1,59,"yes",0.6,0.12,5.78074,27
2,0,0,1,0,43,"yes",0.291,0.058,6.67203,2
5,0,0,0,1,35,"no",0.6,0.12,5.46806,1
11,0,0,0,1,27,"yes",0.485,0.097,6.16121,2
2,0,1,0,0,30,"no",0.6,0.12,5.92693,1
2,0,0,0,1,27,"no",0.582,0.116,5.97889,1
7,0,0,0,1,33,"yes",0.6,0.12,5.92693,7
7,0,0,0,1,26,"yes",0.6,0.12,5.24702,0
11,0,0,0,1,50,"yes",0.6,0.12,5.85793,20
8,0,0,0,1,41,"yes",0.6,0.12,5.75574,2
3,0,1,0,0,57,"yes",0.529,0.106,6.07535,12
9,0,0,0,1,21,"no",0.582,0.116,5.97889,1
19,1,0,0,0,28,"no",0.431,0.086,6.27852,10
14,1,0,0,0,52,"yes",0.253,0.051,6.81235,2
25,0,0,0,1,42,"yes",0.291,0.058,6.67203,6
9,0,0,0,1,33,"yes",0.428,0.086,6.286,3
11,1,0,0,0,48,"no",0.331,0.066,6.54391,1
3,0,0,0,1,43,"yes",0.416,0.083,6.31536,2
11,0,0,0,1,42,"yes",0.582,0.116,5.97889,3
3,0,0,0,1,29,"yes",0.364,0.073,6.44889,6
5,0,1,0,0,44,"yes",0.331,0.066,6.54391,6
7,0,0,0,1,39,"yes",0.6,0.12,5.62402,3
4,1,0,0,0,55,"no",0.265,0.053,6.76734,7
8,0,0,0,1,39,"yes",0.466,0.093,6.20254,3
4,1,0,0,0,52,"yes",0.6,0.12,5.39816,5
9,0,0,0,1,34,"no",0.6,0.12,5.69036,4
15,0,0,0,1,27,"yes",0.6,0.12,5.54908,2
11,0,0,0,1,61,"yes",0.582,0.116,5.97889,30
19,0,0,0,1,52,"no",0.6,0.12,5.82895,4
1,0,1,0,0,36,"yes",0.6,0.12,5.43372,5
1,1,0,0,0,38,"no",0.378,0.076,6.41017,9
14,0,0,0,1,40,"yes",0.291,0.058,6.67203,10
2,0,0,1,0,24,"no",0.6,0.12,5.53339,1
26,0,0,0,1,29,"yes",0.364,0.073,6.44889,11
13,0,0,0,1,44,"yes",0.6,0.12,5.80513,2
9,0,0,0,1,39,"yes",0.5,0.123,5.46806,2
8,0,0,0,1,56,"yes",0.408,0.061,6.16121,0
11,0,0,0,1,48,"yes",0.5,0.141,5.32301,23
8,0,0,0,1,40,"yes",0.5,0.096,5.71043,3
19,1,0,0,0,55,"yes",0.5,0.096,5.71373,0
9,0,0,1,0,37,"yes",0.5,0.184,5.06259,4
5,0,0,0,1,35,"no",0.5,0.204,4.95583,0
9,0,0,1,0,29,"yes",0.5,0.11,5.57973,9
1,0,1,0,0,47,"yes",0.5,0.123,5.46806,18
15,0,0,0,1,25,"yes",0.5,0.147,5.28827,2
11,1,0,0,0,25,"yes",0.5,0.131,5.39816,2
2,1,0,0,0,32,"no",0.5,0.123,5.46806,2
26,0,0,0,1,39,"yes",0.5,0.167,5.15906,1
4,0,0,1,0,28,"no",0.5,0.2,4.97673,1
1,1,0,0,0,30,"yes",0.5,0.123,5.46806,2
7,1,0,0,0,39,"yes",0.408,0.061,6.16121,7
6,0,0,1,0,43,"yes",0.5,0.184,5.06259,5
6,0,0,0,1,45,"yes",0.5,0.141,5.32301,2
3,0,0,0,1,35,"no",0.5,0.123,5.46806,1
1,0,1,0,0,26,"yes",0.49,0.074,5.97889,7
