"duration","ciep12","invest","fract","polar","numst2","crisis"
3,1,1,710,38,1,16
5,1,1,710,38,1,17
45,1,1,751,39,1,98
30,1,0,786,8,1,30
15,1,0,786,8,1,50
46,0,0,785,6,1,69
26,1,0,754,5,1,12
3,1,0,754,5,1,12
48,0,0,759,3,1,63
19,1,0,778,8,1,70
18,1,0,778,8,1,46
3,1,0,778,8,0,39
49,0,0,825,16,1,49
13,1,0,844,15,1,69
4,1,0,844,15,0,23
46,0,0,844,9,1,163
41,0,0,730,3,1,270
8,1,0,767,5,1,108
3,1,0,767,5,0,17
43,0,0,751,5,1,57
47,0,0,685,7,1,0
25,1,0,626,0,1,0
23,1,0,626,0,1,2
15,1,0,677,2,1,0
33,1,0,677,2,1,7
47,0,0,666,1,1,0
23,1,0,689,1,0,0
1,1,0,689,1,0,4
25,1,0,689,1,0,4
47,0,0,715,1,1,1
18,1,0,680,0,1,0
19,1,0,680,0,0,11
12,1,0,680,0,0,11
27,1,0,758,13,0,4
20,1,0,758,13,0,3
41,0,0,663,1,0,0
8,1,0,663,1,0,5
19,1,0,687,5,0,2
28,1,0,687,5,1,0
7,1,0,676,5,0,0
3,1,0,709,16,1,0
17,1,0,709,16,0,9
6,1,0,709,16,1,46
9,1,0,762,19,1,7
2,1,0,763,16,1,0
23,1,0,763,16,1,36
3,1,0,763,16,1,35
24,1,0,701,18,1,47
3,1,0,701,18,1,9
17,1,0,761,15,0,30
22,1,1,644,13,0,3
22,1,1,644,13,0,28
43,0,1,575,5,1,35
14,1,0,648,7,1,0
23,1,0,648,7,1,5
36,1,0,673,3,0,0
12,1,0,673,3,1,1
48,0,0,677,2,1,0
13,1,0,686,3,1,0
7,1,0,686,3,0,4
28,1,0,684,2,0,0
48,0,0,679,2,0,0
48,0,0,692,3,0,0
12,1,0,653,1,1,0
11,1,0,653,1,1,18
36,0,0,698,5,0,0
36,0,0,702,5,0,0
24,1,0,710,5,1,18
12,1,0,710,5,0,8
19,1,0,713,6,1,1
16,1,0,713,6,0,14
37,0,0,681,6,0,18
5,1,0,705,5,0,19
55,0,0,511,0,1,21
20,1,0,518,0,1,0
41,1,0,513,0,1,1
2,1,0,513,0,1,1
19,1,0,508,0,1,1
33,1,0,508,0,1,1
48,1,0,497,0,1,0
12,1,0,497,0,1,5
16,1,0,514,0,1,0
51,0,0,506,0,1,0
44,1,0,518,0,1,0
7,1,0,556,3,0,4
18,1,0,556,2,1,0
7,1,0,556,2,1,0
30,1,0,556,2,0,0
50,0,0,536,1,1,0
49,0,0,522,1,1,6
