"sex","white","age","play","round","season","cash","sex1","white1","age1","play1","win","win1"
"male","yes",19,"friend","3","2",3,"male","yes",30,"friend",1.5,1.5
"male","yes",22,"friend","1","2",0.5,"male","yes",22,"foe",0,0.5
"female","no",32,"foe","1","2",0.5,"female","no",24,"friend",0.5,0
"female","yes",28,"foe","3","2",4,"male","yes",30,"foe",0,0
"female","yes",40,"friend","2","2",1.5,"female","yes",27,"foe",0,1.5
"male","no",27,"foe","2","2",5,"male","no",27,"foe",0,0
"male","yes",32,"friend","1","2",0.5,"female","yes",32,"foe",0,0.5
"female","yes",24,"foe","3","2",15,"female","yes",27,"friend",15,0
"male","yes",31,"friend","1","2",0.2,"male","yes",31,"foe",0,0.2
"male","yes",23,"foe","2","2",1.5,"female","yes",23,"foe",0,0
"female","yes",33,"foe","3","2",8.5,"male","yes",28,"foe",0,0
"male","no",29,"friend","3","2",3.5,"male","no",26,"foe",0,3.5
"female","yes",25,"friend","1","2",1,"female","yes",25,"friend",0.5,0.5
"male","yes",36,"foe","1","2",1,"female","yes",32,"foe",0,0
"male","yes",19,"foe","3","2",6,"male","yes",19,"friend",6,0
"female","yes",24,"foe","1","2",2,"female","yes",29,"foe",0,0
"female","yes",22,"foe","1","2",2,"male","yes",26,"foe",0,0
"male","yes",33,"friend","1","2",0.2,"female","yes",23,"friend",0.1,0.1
"female","yes",23,"friend","2","2",2.5,"male","yes",40,"foe",0,2.5
"female","yes",20,"foe","1","2",0.5,"male","yes",23,"foe",0,0
"male","yes",49,"foe","3","2",8,"female","yes",31,"foe",0,0
"female","yes",24,"friend","1","2",1,"male","yes",19,"foe",0,1
"female","no",25,"foe","2","2",2,"male","no",40,"friend",2,0
"male","yes",26,"foe","3","2",6,"male","yes",26,"friend",6,0
"female","yes",25,"friend","1","2",0.2,"female","yes",29,"friend",0.1,0.1
"female","yes",46,"friend","2","2",0.5,"male","yes",29,"foe",0,0.5
"female","yes",29,"foe","3","2",2.5,"female","yes",24,"friend",2.5,0
"male","yes",39,"foe","3","2",6.5,"male","yes",20,"foe",0,0
"male","yes",28,"friend","1","2",2,"female","yes",26,"foe",0,2
"female","yes",32,"foe","2","2",5.5,"female","yes",27,"foe",0,0
"male","yes",34,"foe","1","2",1,"female","yes",34,"foe",0,0
"female","yes",36,"friend","3","2",6.5,"male","yes",23,"friend",3.25,3.25
"male","no",37,"foe","2","2",3.5,"female","no",49,"foe",0,0
"female","yes",32,"foe","2","2",1,"male","yes",19,"foe",0,0
"female","yes",22,"friend","1","2",0.2,"female","yes",21,"friend",0.1,0.1
"male","yes",25,"friend","3","2",2.5,"male","yes",28,"foe",0,2.5
"male","no",25,"foe","2","2",4,"female","no",24,"foe",0,0
"male","yes",43,"friend","1","2",1.5,"female","yes",26,"foe",0,1.5
"male","yes",26,"foe","3","2",5,"male","yes",37,"foe",0,0
"female","yes",34,"foe","1","2",1,"female","yes",31,"foe",0,0
