"Freq","Alcohol","Income","Status","Urban"
0,">2","0-50","Unmarried","SubCopenhagen"
1,">2","0-50","Unmarried","LargeCity"
5,">2","0-50","Unmarried","City"
1,">2","0-50","Unmarried","Country"
3,">2","50-100","Widow","Copenhagen"
0,">2","50-100","Widow","SubCopenhagen"
2,">2","50-100","Widow","LargeCity"
1,">2","50-100","Widow","City"
3,">2","50-100","Widow","Country"
14,">2","50-100","Married","Copenhagen"
21,">2","50-100","Married","SubCopenhagen"
14,">2","50-100","Married","LargeCity"
38,">2","50-100","Married","City"
35,">2","50-100","Married","Country"
2,">2","50-100","Unmarried","Copenhagen"
0,">2","50-100","Unmarried","SubCopenhagen"
3,">2","50-100","Unmarried","LargeCity"
12,">2","50-100","Unmarried","City"
13,">2","50-100","Unmarried","Country"
2,">2","100-150","Widow","Copenhagen"
1,">2","100-150","Widow","SubCopenhagen"
1,">2","100-150","Widow","LargeCity"
1,">2","100-150","Widow","City"
0,">2","100-150","Widow","Country"
20,">2","100-150","Married","Copenhagen"
31,">2","100-150","Married","SubCopenhagen"
10,">2","100-150","Married","LargeCity"
36,">2","100-150","Married","City"
21,">2","100-150","Married","Country"
0,">2","100-150","Unmarried","Copenhagen"
2,">2","100-150","Unmarried","SubCopenhagen"
3,">2","100-150","Unmarried","LargeCity"
9,">2","100-150","Unmarried","City"
7,">2","100-150","Unmarried","Country"
21,">2",">150","Widow","Copenhagen"
13,">2",">150","Widow","SubCopenhagen"
5,">2",">150","Widow","LargeCity"
20,">2",">150","Widow","City"
8,">2",">150","Widow","Country"
23,">2",">150","Married","Copenhagen"
47,">2",">150","Married","SubCopenhagen"
21,">2",">150","Married","LargeCity"
53,">2",">150","Married","City"
36,">2",">150","Married","Country"
38,">2",">150","Unmarried","Copenhagen"
20,">2",">150","Unmarried","SubCopenhagen"
13,">2",">150","Unmarried","LargeCity"
39,">2",">150","Unmarried","City"
26,">2",">150","Unmarried","Country"
