"sex","age","educ","country","y","v1","v2","v3","v4","v5","v6"
1,19,3,"Eastasia",4,1,2,3,5,5,5
1,48,1,"Oceana",4,2,1,3,3,4,5
NA,1,NA,"Oceana",4,3,4,3,4,4,4
0,84,2,"Eurasia",5,2,2,4,4,5,5
0,63,1,"Eurasia",4,2,1,3,5,5,4
1,17,1,"Oceana",5,2,1,4,4,5,5
1,50,1,"Eurasia",5,2,1,3,4,4,5
1,43,6,"Eastasia",5,4,2,4,5,4,5
1,43,1,"Eastasia",5,1,1,4,4,3,5
0,19,3,"Eastasia",5,3,3,4,5,5,5
1,59,1,"Eurasia",5,2,1,3,4,4,5
1,60,1,"Eurasia",5,3,1,3,4,4,5
0,40,4,"Eurasia",5,1,1,2,4,5,5
1,19,3,"Oceana",5,2,1,4,5,4,5
0,21,1,"Eastasia",5,4,3,4,5,4,5
0,70,1,"Eurasia",5,1,4,4,4,2,5
1,23,4,"Eastasia",5,2,1,3,5,4,5
0,55,2,"Eastasia",5,3,3,3,4,4,5
1,32,3,"Oceana",5,1,2,4,4,3,5
0,51,3,"Eurasia",3,2,2,2,3,3,3
1,44,5,"Eastasia",5,1,1,4,4,4,5
0,38,2,"Eurasia",5,2,1,4,4,3,5
1,45,3,"Eurasia",5,4,5,2,4,4,5
0,40,4,"Oceana",4,3,4,3,4,4,4
0,28,4,"Eurasia",5,4,5,4,5,5,5
0,48,1,"Oceana",5,2,2,3,4,4,5
1,41,1,"Eurasia",5,2,1,4,5,5,5
1,36,5,"Eurasia",5,4,5,4,5,5,5
1,64,1,"Eurasia",5,3,2,4,5,3,5
0,50,4,"Eastasia",5,2,1,4,4,4,5
1,42,1,"Eurasia",5,3,4,4,4,3,5
1,18,3,"Eurasia",5,2,4,4,3,2,5
1,36,2,"Eurasia",5,4,1,4,5,4,5
1,25,1,"Eastasia",5,2,1,3,5,5,5
0,55,5,"Eastasia",5,4,2,4,3,3,5
1,57,6,"Eastasia",4,3,3,3,3,3,4
1,37,3,"Eurasia",5,3,2,3,4,4,5
1,43,1,"Eastasia",5,4,2,4,5,3,5
1,NA,1,"Eastasia",5,2,2,4,5,5,5
1,34,3,"Eurasia",4,1,3,3,3,4,4
1,40,2,"Oceana",5,4,2,4,5,4,5
0,82,3,"Eastasia",5,3,3,4,5,5,5
0,21,3,"Eurasia",5,2,1,4,4,4,5
1,45,1,"Eurasia",5,4,5,4,5,5,5
1,23,5,"Eurasia",5,4,5,3,4,4,5
1,29,3,"Eurasia",5,4,1,4,4,4,5
0,23,5,"Eurasia",4,3,4,3,3,3,4
0,29,4,"Oceana",5,3,3,4,4,4,5
1,40,4,"Eurasia",5,4,4,4,4,4,5
1,45,1,"Eastasia",5,2,3,4,5,4,5
1,31,3,"Eurasia",5,2,1,4,4,4,5
0,75,3,"Oceana",4,3,3,3,3,4,4
0,56,1,"Eurasia",4,2,2,3,3,3,4
1,22,NA,"Eurasia",5,4,1,3,5,3,5
1,89,4,"Eurasia",5,2,1,4,3,4,5
1,44,4,"Eastasia",5,2,1,4,5,3,5
1,36,2,"Eastasia",4,3,3,3,3,3,3
0,24,5,"Eurasia",5,2,3,3,3,3,3
0,33,3,"Eastasia",4,3,3,3,3,3,3
1,34,4,"Eurasia",4,3,3,3,3,3,3
1,34,5,"Eurasia",5,2,3,3,3,3,4
0,40,3,"Eastasia",5,2,3,4,5,4,4
0,52,1,"Eurasia",5,3,2,3,3,3,3
1,46,2,"Eastasia",5,4,2,4,3,3,4
1,68,7,"Eastasia",5,4,4,4,4,4,4
0,50,5,"Eurasia",3,2,2,2,2,2,2
0,25,3,"Eurasia",4,1,1,1,1,1,1
0,19,3,"Eurasia",5,3,4,3,4,4,4
0,22,3,"Eastasia",5,3,3,3,3,3,3
1,30,1,"Eurasia",5,3,3,4,4,4,4
0,54,2,"Eurasia",5,4,4,4,5,4,3
1,60,1,"Eurasia",4,1,3,3,5,4,3
0,44,1,"Eurasia",5,3,1,3,3,3,3
1,45,3,"Eastasia",4,3,3,3,3,3,3
1,20,1,"Eurasia",5,3,4,4,4,4,3
1,34,3,"Eurasia",4,3,2,2,3,2,2
0,48,4,"Eurasia",5,2,5,4,3,3,4
0,38,5,"Eastasia",4,2,2,2,2,2,2
0,68,2,"Oceana",5,3,3,3,3,3,3
1,26,1,"Eurasia",5,4,2,4,5,2,2
1,19,1,"Eastasia",5,4,4,3,3,3,4
1,45,2,"Eurasia",3,1,2,1,3,2,2
0,54,1,"Eurasia",5,4,1,4,5,5,3
1,23,2,"Eurasia",5,1,2,4,3,3,3
0,28,5,"Eurasia",5,2,2,3,3,3,3
1,35,3,"Eastasia",5,3,3,3,3,3,3
1,55,1,"Eurasia",5,3,2,4,4,3,4
1,29,3,"Oceana",5,2,5,3,5,5,2
1,55,1,"Eurasia",5,4,3,4,3,4,4
0,NA,1,"Eurasia",5,2,5,4,3,3,4
0,33,7,"Oceana",5,3,5,4,5,4,3
1,40,1,"Eurasia",5,3,3,4,4,4,4
0,24,5,"Eurasia",5,3,2,4,4,3,4
1,27,1,"Eurasia",4,1,2,3,3,3,3
0,30,7,"Eurasia",5,3,2,4,5,3,3
1,45,4,"Eastasia",5,4,3,3,5,3,4
1,20,2,"Eurasia",5,3,3,4,4,3,4
1,44,1,"Oceana",4,3,5,2,4,4,1
1,55,1,"Eurasia",5,2,2,3,3,3,4
1,65,3,"Eastasia",5,4,4,4,3,4,4
1,33,2,"Eastasia",4,3,3,3,3,3,3
0,46,2,"Eurasia",5,4,2,4,4,4,4
0,50,1,"Eurasia",5,3,3,4,4,5,3
1,26,2,"Eurasia",5,4,4,4,4,4,4
0,70,1,"Eastasia",5,2,3,3,4,4,3
1,22,1,"Eurasia",5,4,3,3,4,3,3
1,41,1,"Eurasia",4,2,4,3,3,4,2
1,35,3,"Eurasia",4,2,2,3,2,2,3
1,39,5,"Eurasia",4,3,3,2,3,3,2
1,36,1,"Eurasia",5,3,4,3,2,4,2
1,41,2,"Eastasia",4,2,5,3,2,4,3
1,25,4,"Eastasia",5,3,4,4,3,4,4
0,44,2,"Eurasia",5,4,5,4,5,4,4
1,43,4,"Eastasia",5,1,3,1,3,3,3
0,49,3,"Eurasia",5,3,4,3,2,3,3
1,31,5,"Eurasia",4,3,2,2,3,1,3
0,53,1,"Eurasia",4,2,3,3,3,3,3
1,40,1,"Eurasia",4,2,3,3,3,3,2
0,42,5,"Eastasia",5,2,4,3,3,5,3
0,40,2,"Eurasia",5,4,1,1,5,4,2
0,23,3,"Eurasia",5,3,3,3,4,4,2
0,40,3,"Eurasia",5,3,3,3,3,3,3
1,44,4,"Eurasia",5,2,4,2,4,4,4
0,38,4,"Eurasia",4,1,2,2,1,2,1
0,48,3,"Eastasia",5,2,3,3,2,3,3
0,57,1,"Oceana",4,1,3,1,2,3,2
0,47,5,"Eastasia",4,3,3,3,3,5,3
0,28,3,"Eurasia",5,3,5,4,4,4,4
1,18,4,"Eurasia",4,3,3,3,3,3,3
1,42,1,"Oceana",5,4,1,3,3,2,4
0,41,1,"Oceana",5,3,4,3,3,4,4
1,41,6,"Eurasia",5,4,2,1,4,4,3
0,40,3,"Eurasia",4,3,2,3,4,3,3
0,24,4,"Eastasia",5,3,4,3,3,3,4
1,70,1,"Eastasia",3,2,1,1,2,1,1
1,18,4,"Eurasia",3,1,1,1,1,1,2
1,19,1,"Eastasia",5,3,3,3,3,3,3
0,53,4,"Eastasia",4,3,3,3,3,3,3
1,18,3,"Eurasia",5,4,4,4,4,4,4
