"HomeTeam","AwayTeam","HomeGoals","AwayGoals","Round","Year","Date"
"Eintracht Braunschweig","1. FC Koeln",1,1,10,1963,1963-11-09 09:30:00
"TSV 1860 Muenchen","1. FC Saarbruecken",7,1,10,1963,1963-11-09 09:30:00
"Borussia Dortmund","1. FC Kaiserslautern",9,3,11,1963,1963-11-16 09:30:00
"Werder Bremen","Eintracht Frankfurt",4,1,11,1963,1963-11-16 09:30:00
"1. FC Koeln","Hamburger SV",4,1,11,1963,1963-11-16 09:30:00
"1. FC Saarbruecken","Preussen Muenster",1,1,11,1963,1963-11-16 09:30:00
"Eintracht Braunschweig","Meidericher SV",0,0,11,1963,1963-11-16 09:30:00
"TSV 1860 Muenchen","Karlsruher SC",1,0,11,1963,1963-11-16 09:30:00
"VfB Stuttgart","1. FC Nuernberg",1,0,11,1963,1963-11-16 09:30:00
"Schalke 04","Hertha BSC Berlin",1,0,11,1963,1963-11-16 09:30:00
"1. FC Nuernberg","1. FC Koeln",2,2,12,1963,1963-11-23 09:30:00
"Hertha BSC Berlin","1. FC Saarbruecken",3,2,12,1963,1963-11-23 09:30:00
"Hamburger SV","VfB Stuttgart",1,1,12,1963,1963-11-23 09:30:00
"Preussen Muenster","Schalke 04",2,2,12,1963,1963-11-23 09:30:00
"1. FC Kaiserslautern","Eintracht Braunschweig",2,1,12,1963,1963-11-23 09:30:00
"Eintracht Frankfurt","TSV 1860 Muenchen",5,2,12,1963,1963-11-23 09:30:00
"Meidericher SV","Borussia Dortmund",3,3,12,1963,1963-11-23 09:30:00
"Karlsruher SC","Werder Bremen",1,1,12,1963,1963-11-23 09:30:00
"Borussia Dortmund","1. FC Koeln",2,3,13,1963,1963-11-30 09:30:00
"Werder Bremen","1. FC Saarbruecken",0,3,13,1963,1963-11-30 09:30:00
"1. FC Nuernberg","Meidericher SV",2,0,13,1963,1963-11-30 09:30:00
"Hertha BSC Berlin","Karlsruher SC",2,3,13,1963,1963-11-30 09:30:00
"1. FC Kaiserslautern","Hamburger SV",3,2,13,1963,1963-11-30 09:30:00
"Eintracht Frankfurt","Preussen Muenster",3,0,13,1963,1963-11-30 09:30:00
"VfB Stuttgart","Eintracht Braunschweig",5,0,13,1963,1963-11-30 09:30:00
"Schalke 04","TSV 1860 Muenchen",2,1,13,1963,1963-11-30 09:30:00
"Preussen Muenster","Werder Bremen",1,3,14,1963,1963-12-07 09:30:00
"Meidericher SV","VfB Stuttgart",3,0,14,1963,1963-12-07 09:30:00
"Karlsruher SC","Schalke 04",1,1,14,1963,1963-12-07 09:30:00
"1. FC Koeln","1. FC Kaiserslautern",5,1,14,1963,1963-12-07 09:30:00
"1. FC Saarbruecken","Eintracht Frankfurt",0,4,14,1963,1963-12-07 09:30:00
"Eintracht Braunschweig","1. FC Nuernberg",2,0,14,1963,1963-12-07 09:30:00
"TSV 1860 Muenchen","Hertha BSC Berlin",1,2,14,1963,1963-12-07 09:30:00
"Hamburger SV","Borussia Dortmund",2,1,14,1963,1963-12-21 09:30:00
"Borussia Dortmund","Eintracht Braunschweig",3,0,15,1963,1963-12-14 09:30:00
"Werder Bremen","TSV 1860 Muenchen",4,1,15,1963,1963-12-14 09:30:00
"1. FC Nuernberg","Hamburger SV",3,2,15,1963,1963-12-14 09:30:00
"Hertha BSC Berlin","Preussen Muenster",2,0,15,1963,1963-12-14 09:30:00
"1. FC Kaiserslautern","Meidericher SV",1,1,15,1963,1963-12-14 09:30:00
"Eintracht Frankfurt","Karlsruher SC",0,3,15,1963,1963-12-14 09:30:00
"VfB Stuttgart","1. FC Koeln",0,1,15,1963,1963-12-14 09:30:00
"Schalke 04","1. FC Saarbruecken",4,1,15,1963,1963-12-14 09:30:00
"Borussia Dortmund","Werder Bremen",4,3,16,1963,1964-01-11 09:30:00
"1. FC Nuernberg","Hertha BSC Berlin",2,3,16,1963,1964-01-11 09:30:00
"Hamburger SV","Preussen Muenster",5,0,16,1963,1964-01-11 09:30:00
"1. FC Kaiserslautern","Eintracht Frankfurt",1,1,16,1963,1964-01-11 09:30:00
"Meidericher SV","Karlsruher SC",2,0,16,1963,1964-01-11 09:30:00
"1. FC Koeln","1. FC Saarbruecken",1,3,16,1963,1964-01-11 09:30:00
"Eintracht Braunschweig","TSV 1860 Muenchen",0,1,16,1963,1964-01-11 09:30:00
"VfB Stuttgart","Schalke 04",2,0,16,1963,1964-02-08 09:30:00
"Werder Bremen","1. FC Nuernberg",2,1,17,1963,1964-01-18 09:30:00
"Hertha BSC Berlin","VfB Stuttgart",0,2,17,1963,1964-01-18 09:30:00
"Preussen Muenster","Eintracht Braunschweig",0,2,17,1963,1964-01-18 09:30:00
"Karlsruher SC","1. FC Koeln",2,2,17,1963,1964-01-18 09:30:00
"TSV 1860 Muenchen","Borussia Dortmund",6,1,17,1963,1964-01-18 09:30:00
"Schalke 04","1. FC Kaiserslautern",4,0,17,1963,1964-01-18 09:30:00
"Eintracht Frankfurt","Meidericher SV",2,2,17,1963,1964-02-08 09:30:00
"1. FC Saarbruecken","Hamburger SV",1,1,17,1963,1964-02-08 09:30:00
"Borussia Dortmund","Schalke 04",3,0,18,1963,1964-01-25 09:30:00
"1. FC Nuernberg","Eintracht Frankfurt",1,0,18,1963,1964-01-25 09:30:00
"Hamburger SV","Karlsruher SC",1,1,18,1963,1964-01-25 09:30:00
"Meidericher SV","Preussen Muenster",0,0,18,1963,1964-01-25 09:30:00
"1. FC Koeln","TSV 1860 Muenchen",2,2,18,1963,1964-01-25 09:30:00
"1. FC Kaiserslautern","Hertha BSC Berlin",3,0,18,1963,1964-02-08 09:30:00
"Eintracht Braunschweig","1. FC Saarbruecken",3,1,18,1963,1964-03-26 14:00:00
"VfB Stuttgart","Werder Bremen",2,0,18,1963,1964-03-30 09:30:00
"Werder Bremen","1. FC Kaiserslautern",2,0,19,1963,1964-02-01 09:30:00
"Karlsruher SC","Eintracht Braunschweig",3,1,19,1963,1964-02-01 09:30:00
"Schalke 04","1. FC Koeln",2,3,19,1963,1964-02-01 09:30:00
"Preussen Muenster","1. FC Nuernberg",0,1,19,1963,1964-02-08 09:30:00
"TSV 1860 Muenchen","VfB Stuttgart",1,1,19,1963,1964-03-25 14:00:00
"Hertha BSC Berlin","Meidericher SV",5,2,19,1963,1964-03-27 14:00:00
"Eintracht Frankfurt","Hamburger SV",2,2,19,1963,1964-03-30 09:30:00
"1. FC Saarbruecken","Borussia Dortmund",2,1,19,1963,1964-03-30 09:30:00
"Borussia Dortmund","Karlsruher SC",3,2,20,1963,1964-02-15 09:30:00
"1. FC Nuernberg","1. FC Saarbruecken",2,0,20,1963,1964-02-15 09:30:00
"Hamburger SV","Schalke 04",3,1,20,1963,1964-02-15 09:30:00
"1. FC Kaiserslautern","TSV 1860 Muenchen",2,1,20,1963,1964-02-15 09:30:00
"Meidericher SV","Werder Bremen",1,0,20,1963,1964-02-15 09:30:00
"1. FC Koeln","Hertha BSC Berlin",3,1,20,1963,1964-02-15 09:30:00
"Eintracht Braunschweig","Eintracht Frankfurt",0,3,20,1963,1964-02-15 09:30:00
"VfB Stuttgart","Preussen Muenster",0,3,20,1963,1964-02-15 09:30:00
"Werder Bremen","1. FC Koeln",1,1,21,1963,1964-02-22 09:30:00
"Hertha BSC Berlin","Hamburger SV",1,2,21,1963,1964-02-22 09:30:00
"Preussen Muenster","1. FC Kaiserslautern",1,0,21,1963,1964-02-22 09:30:00
"Eintracht Frankfurt","Borussia Dortmund",2,1,21,1963,1964-02-22 09:30:00
"Karlsruher SC","1. FC Nuernberg",1,3,21,1963,1964-02-22 09:30:00
"1. FC Saarbruecken","VfB Stuttgart",0,1,21,1963,1964-02-22 09:30:00
"Schalke 04","Eintracht Braunschweig",2,0,21,1963,1964-02-22 09:30:00
"TSV 1860 Muenchen","Meidericher SV",0,0,21,1963,1964-03-31 09:30:00
"Borussia Dortmund","Preussen Muenster",0,0,22,1963,1964-02-28 09:30:00
"1. FC Nuernberg","TSV 1860 Muenchen",2,2,22,1963,1964-02-28 09:30:00
"1. FC Kaiserslautern","1. FC Saarbruecken",2,4,22,1963,1964-02-28 09:30:00
"Meidericher SV","Schalke 04",3,0,22,1963,1964-02-28 09:30:00
"1. FC Koeln","Eintracht Frankfurt",1,1,22,1963,1964-02-28 09:30:00
"VfB Stuttgart","Karlsruher SC",4,1,22,1963,1964-02-28 09:30:00
"Hamburger SV","Werder Bremen",1,1,22,1963,1964-03-26 14:00:00
"Eintracht Braunschweig","Hertha BSC Berlin",1,1,22,1963,1964-03-30 09:30:00
"Werder Bremen","Eintracht Braunschweig",2,3,23,1963,1964-03-07 09:30:00
"Hertha BSC Berlin","Borussia Dortmund",0,0,23,1963,1964-03-07 09:30:00
"Preussen Muenster","1. FC Koeln",0,2,23,1963,1964-03-07 09:30:00
"Eintracht Frankfurt","VfB Stuttgart",3,2,23,1963,1964-03-07 09:30:00
"Karlsruher SC","1. FC Kaiserslautern",5,1,23,1963,1964-03-07 09:30:00
"1. FC Saarbruecken","Meidericher SV",0,2,23,1963,1964-03-07 09:30:00
"TSV 1860 Muenchen","Hamburger SV",9,2,23,1963,1964-03-07 09:30:00
"Schalke 04","1. FC Nuernberg",4,1,23,1963,1964-03-07 09:30:00
"Borussia Dortmund","VfB Stuttgart",7,1,24,1963,1964-03-14 09:30:00
"Werder Bremen","Schalke 04",1,0,24,1963,1964-03-14 09:30:00
"1. FC Kaiserslautern","1. FC Nuernberg",3,1,24,1963,1964-03-14 09:30:00
"Eintracht Frankfurt","Hertha BSC Berlin",4,0,24,1963,1964-03-14 09:30:00
"Meidericher SV","1. FC Koeln",2,2,24,1963,1964-03-14 09:30:00
"Karlsruher SC","1. FC Saarbruecken",2,2,24,1963,1964-03-14 09:30:00
"Eintracht Braunschweig","Hamburger SV",2,1,24,1963,1964-03-14 09:30:00
"TSV 1860 Muenchen","Preussen Muenster",3,1,24,1963,1964-03-14 09:30:00
"1. FC Saarbruecken","TSV 1860 Muenchen",1,2,25,1963,1964-03-21 09:30:00
"1. FC Nuernberg","Borussia Dortmund",4,0,25,1963,1964-03-25 09:30:00
"Hamburger SV","Meidericher SV",3,3,25,1963,1964-03-25 09:30:00
"Preussen Muenster","Karlsruher SC",0,0,25,1963,1964-03-25 09:30:00
"1. FC Koeln","Eintracht Braunschweig",4,1,25,1963,1964-03-25 09:30:00
"VfB Stuttgart","1. FC Kaiserslautern",4,0,25,1963,1964-03-25 09:30:00
"Schalke 04","Eintracht Frankfurt",1,2,25,1963,1964-03-25 09:30:00
"Hertha BSC Berlin","Werder Bremen",5,2,25,1963,1964-04-14 14:00:00
"1. FC Nuernberg","VfB Stuttgart",0,0,26,1963,1964-04-04 09:30:00
"Hertha BSC Berlin","Schalke 04",1,0,26,1963,1964-04-04 09:30:00
"Hamburger SV","1. FC Koeln",1,1,26,1963,1964-04-04 09:30:00
"Preussen Muenster","1. FC Saarbruecken",2,1,26,1963,1964-04-04 09:30:00
"1. FC Kaiserslautern","Borussia Dortmund",0,1,26,1963,1964-04-04 09:30:00
"Eintracht Frankfurt","Werder Bremen",7,0,26,1963,1964-04-04 09:30:00
"Meidericher SV","Eintracht Braunschweig",5,1,26,1963,1964-04-04 09:30:00
"Karlsruher SC","TSV 1860 Muenchen",1,0,26,1963,1964-04-04 09:30:00
"Borussia Dortmund","Meidericher SV",0,0,27,1963,1964-04-11 09:30:00
"Werder Bremen","Karlsruher SC",0,0,27,1963,1964-04-11 09:30:00
"1. FC Koeln","1. FC Nuernberg",5,0,27,1963,1964-04-11 09:30:00
"1. FC Saarbruecken","Hertha BSC Berlin",3,0,27,1963,1964-04-11 09:30:00
"Eintracht Braunschweig","1. FC Kaiserslautern",0,1,27,1963,1964-04-11 09:30:00
"TSV 1860 Muenchen","Eintracht Frankfurt",1,1,27,1963,1964-04-11 09:30:00
"VfB Stuttgart","Hamburger SV",2,2,27,1963,1964-04-11 09:30:00
"Schalke 04","Preussen Muenster",1,2,27,1963,1964-04-11 09:30:00
"Hamburger SV","1. FC Kaiserslautern",7,3,28,1963,1964-04-18 09:30:00
"Preussen Muenster","Eintracht Frankfurt",1,3,28,1963,1964-04-18 09:30:00
"Meidericher SV","1. FC Nuernberg",0,0,28,1963,1964-04-18 09:30:00
"Karlsruher SC","Hertha BSC Berlin",1,1,28,1963,1964-04-18 09:30:00
"1. FC Koeln","Borussia Dortmund",5,2,28,1963,1964-04-18 09:30:00
"1. FC Saarbruecken","Werder Bremen",3,2,28,1963,1964-04-18 09:30:00
"Eintracht Braunschweig","VfB Stuttgart",2,0,28,1963,1964-04-18 09:30:00
"TSV 1860 Muenchen","Schalke 04",7,1,28,1963,1964-04-18 09:30:00
"Werder Bremen","Preussen Muenster",4,2,29,1963,1964-04-25 09:30:00
"1. FC Nuernberg","Eintracht Braunschweig",1,0,29,1963,1964-04-25 09:30:00
"Hertha BSC Berlin","TSV 1860 Muenchen",3,1,29,1963,1964-04-25 09:30:00
"1. FC Kaiserslautern","1. FC Koeln",3,3,29,1963,1964-04-25 09:30:00
"Eintracht Frankfurt","1. FC Saarbruecken",3,1,29,1963,1964-04-25 09:30:00
"VfB Stuttgart","Meidericher SV",1,2,29,1963,1964-04-25 09:30:00
"Schalke 04","Karlsruher SC",2,1,29,1963,1964-04-25 09:30:00
"Borussia Dortmund","Hamburger SV",5,2,29,1963,1964-05-05 10:30:00
"Hamburger SV","1. FC Nuernberg",2,2,30,1963,1964-05-11 10:30:00
"Preussen Muenster","Hertha BSC Berlin",4,2,30,1963,1964-05-11 10:30:00
"Meidericher SV","1. FC Kaiserslautern",3,0,30,1963,1964-05-11 10:30:00
"Karlsruher SC","Eintracht Frankfurt",1,2,30,1963,1964-05-11 10:30:00
"1. FC Koeln","VfB Stuttgart",2,1,30,1963,1964-05-11 10:30:00
"1. FC Saarbruecken","Schalke 04",1,1,30,1963,1964-05-11 10:30:00
"Eintracht Braunschweig","Borussia Dortmund",2,0,30,1963,1964-05-11 10:30:00
"TSV 1860 Muenchen","Werder Bremen",3,2,30,1963,1964-05-11 10:30:00
"1. FC Koeln","Hertha BSC Berlin",2,3,1,1964,1964-08-22 10:30:00
"Hamburger SV","VfB Stuttgart",2,2,1,1964,1964-08-22 10:30:00
"1. FC Nuernberg","Borussia Neunkirchen",2,0,1,1964,1964-08-22 10:30:00
"Borussia Dortmund","Hannover 96",0,2,1,1964,1964-08-22 10:30:00
"Eintracht Braunschweig","TSV 1860 Muenchen",1,1,1,1964,1964-08-22 10:30:00
"1. FC Kaiserslautern","Werder Bremen",2,1,1,1964,1964-08-22 10:30:00
"Karlsruher SC","Meidericher SV",2,1,1,1964,1964-08-22 10:30:00
"Eintracht Frankfurt","Schalke 04",2,2,1,1964,1964-08-22 10:30:00
"Hertha BSC Berlin","Hamburger SV",0,0,2,1964,1964-08-29 10:30:00
"VfB Stuttgart","1. FC Nuernberg",3,1,2,1964,1964-08-29 10:30:00
"Borussia Neunkirchen","Borussia Dortmund",1,2,2,1964,1964-08-29 10:30:00
"Hannover 96","1. FC Koeln",2,0,2,1964,1964-08-29 10:30:00
"TSV 1860 Muenchen","Eintracht Frankfurt",0,1,2,1964,1964-08-29 10:30:00
"Werder Bremen","Eintracht Braunschweig",5,1,2,1964,1964-08-29 10:30:00
"Meidericher SV","1. FC Kaiserslautern",3,1,2,1964,1964-08-29 10:30:00
"Schalke 04","Karlsruher SC",1,1,2,1964,1964-08-29 10:30:00
"1. FC Koeln","Borussia Neunkirchen",4,3,3,1964,1964-09-05 10:30:00
"Hamburger SV","Hannover 96",3,0,3,1964,1964-09-05 10:30:00
"1. FC Nuernberg","Hertha BSC Berlin",2,0,3,1964,1964-09-05 10:30:00
"Borussia Dortmund","VfB Stuttgart",1,0,3,1964,1964-09-05 10:30:00
"Eintracht Braunschweig","Meidericher SV",0,1,3,1964,1964-09-05 10:30:00
"1. FC Kaiserslautern","Schalke 04",3,0,3,1964,1964-09-05 10:30:00
"Karlsruher SC","TSV 1860 Muenchen",1,5,3,1964,1964-09-05 10:30:00
"Eintracht Frankfurt","Werder Bremen",0,2,3,1964,1964-09-05 10:30:00
"Hertha BSC Berlin","Borussia Dortmund",0,0,4,1964,1964-09-12 10:30:00
"VfB Stuttgart","1. FC Koeln",3,3,4,1964,1964-09-12 10:30:00
"Borussia Neunkirchen","Hamburger SV",3,1,4,1964,1964-09-12 10:30:00
"Hannover 96","1. FC Nuernberg",2,2,4,1964,1964-09-12 10:30:00
"TSV 1860 Muenchen","1. FC Kaiserslautern",2,2,4,1964,1964-09-12 10:30:00
"Werder Bremen","Karlsruher SC",1,0,4,1964,1964-09-12 10:30:00
"Meidericher SV","Eintracht Frankfurt",1,3,4,1964,1964-09-12 10:30:00
"Schalke 04","Eintracht Braunschweig",0,3,4,1964,1964-09-12 10:30:00
"1. FC Koeln","Werder Bremen",4,2,5,1964,1964-09-19 10:30:00
"VfB Stuttgart","Hertha BSC Berlin",1,1,5,1964,1964-09-19 10:30:00
"Hamburger SV","Meidericher SV",3,0,5,1964,1964-09-19 10:30:00
"1. FC Nuernberg","Schalke 04",3,2,5,1964,1964-09-19 10:30:00
"Borussia Dortmund","TSV 1860 Muenchen",1,1,5,1964,1964-09-19 10:30:00
"Eintracht Braunschweig","Borussia Neunkirchen",1,0,5,1964,1964-09-19 10:30:00
"1. FC Kaiserslautern","Hannover 96",1,0,5,1964,1964-09-19 10:30:00
"Eintracht Frankfurt","Karlsruher SC",0,7,5,1964,1964-09-19 10:30:00
"Hertha BSC Berlin","Eintracht Frankfurt",1,3,6,1964,1964-09-26 10:30:00
"Borussia Neunkirchen","1. FC Kaiserslautern",0,3,6,1964,1964-09-26 10:30:00
"Hannover 96","Eintracht Braunschweig",2,2,6,1964,1964-09-26 10:30:00
"TSV 1860 Muenchen","1. FC Nuernberg",2,0,6,1964,1964-09-26 10:30:00
"Werder Bremen","Hamburger SV",0,0,6,1964,1964-09-26 10:30:00
"Meidericher SV","1. FC Koeln",0,3,6,1964,1964-09-26 10:30:00
"Karlsruher SC","VfB Stuttgart",0,0,6,1964,1964-09-26 10:30:00
"Schalke 04","Borussia Dortmund",2,6,6,1964,1964-09-26 10:30:00
"Hertha BSC Berlin","TSV 1860 Muenchen",2,1,7,1964,1964-10-10 10:30:00
"1. FC Koeln","Eintracht Braunschweig",5,1,7,1964,1964-10-10 10:30:00
"VfB Stuttgart","Schalke 04",2,1,7,1964,1964-10-10 10:30:00
"Hamburger SV","Eintracht Frankfurt",2,1,7,1964,1964-10-10 10:30:00
"Borussia Neunkirchen","Meidericher SV",4,2,7,1964,1964-10-10 10:30:00
"1. FC Nuernberg","Karlsruher SC",4,1,7,1964,1964-10-10 10:30:00
"Hannover 96","Werder Bremen",1,2,7,1964,1964-10-10 10:30:00
"Borussia Dortmund","1. FC Kaiserslautern",3,2,7,1964,1964-10-10 10:30:00
"TSV 1860 Muenchen","Hannover 96",4,0,8,1964,1964-10-17 10:30:00
"Eintracht Braunschweig","Borussia Dortmund",0,1,8,1964,1964-10-17 10:30:00
"Werder Bremen","Borussia Neunkirchen",2,0,8,1964,1964-10-17 10:30:00
"1. FC Kaiserslautern","1. FC Nuernberg",3,2,8,1964,1964-10-17 10:30:00
"Meidericher SV","VfB Stuttgart",3,3,8,1964,1964-10-17 10:30:00
"Karlsruher SC","Hamburger SV",2,2,8,1964,1964-10-17 10:30:00
"Schalke 04","Hertha BSC Berlin",3,0,8,1964,1964-10-17 10:30:00
"Eintracht Frankfurt","1. FC Koeln",1,4,8,1964,1964-10-17 10:30:00
"Hertha BSC Berlin","Meidericher SV",2,2,9,1964,1964-10-24 10:30:00
"1. FC Koeln","Karlsruher SC",4,1,9,1964,1964-10-24 10:30:00
"VfB Stuttgart","Werder Bremen",1,1,9,1964,1964-10-24 10:30:00
"Hamburger SV","1. FC Kaiserslautern",3,2,9,1964,1964-10-24 10:30:00
"Borussia Neunkirchen","TSV 1860 Muenchen",3,0,9,1964,1964-10-24 10:30:00
"1. FC Nuernberg","Eintracht Braunschweig",3,2,9,1964,1964-10-24 10:30:00
"Hannover 96","Schalke 04",1,0,9,1964,1964-10-24 10:30:00
"Borussia Dortmund","Eintracht Frankfurt",1,3,9,1964,1964-10-24 10:30:00
"TSV 1860 Muenchen","VfB Stuttgart",1,0,10,1964,1964-11-07 09:30:00
"Eintracht Braunschweig","Hamburger SV",2,0,10,1964,1964-11-07 09:30:00
"Werder Bremen","Hertha BSC Berlin",5,1,10,1964,1964-11-07 09:30:00
"1. FC Kaiserslautern","1. FC Koeln",2,2,10,1964,1964-11-07 09:30:00
"Meidericher SV","Hannover 96",1,0,10,1964,1964-11-07 09:30:00
"Karlsruher SC","Borussia Dortmund",2,0,10,1964,1964-11-07 09:30:00
"Schalke 04","Borussia Neunkirchen",1,1,10,1964,1964-11-07 09:30:00
"Eintracht Frankfurt","1. FC Nuernberg",1,1,10,1964,1964-11-07 09:30:00
"Hertha BSC Berlin","1. FC Kaiserslautern",5,3,11,1964,1964-11-14 09:30:00
