"hours","income","age","education","child5","child13","child17","nonwhite","owned","mortgage","occupation","unemp"
0,325,53,10,0,0,0,0,1,0,"other",2
0,175,60,16,0,0,0,0,1,0,"other",8
1326,386,29,12,0,2,1,0,0,0,"swcc",6
0,384,51,9,0,0,0,0,1,1,"swcc",6
0,330,29,12,1,2,0,0,0,0,"other",4
1560,503,36,14,0,0,0,0,1,1,"swcc",6
996,800,36,14,0,2,0,0,1,1,"mp",6
1800,334,47,12,0,0,1,0,1,1,"swcc",6
0,553,34,16,2,1,0,0,1,1,"mp",4
1920,810,56,13,0,0,0,0,1,1,"mp",4
0,306,35,10,1,2,1,0,1,1,"swcc",4
1352,260,23,12,1,0,0,0,1,1,"mp",4
0,584,55,12,0,0,0,0,1,1,"mp",3
1944,83,33,12,0,1,0,0,1,1,"swcc",3
2184,190,25,16,0,0,0,0,1,1,"swcc",3
1770,475,45,17,0,1,0,0,1,0,"mp",8
1432,150,23,16,0,0,0,0,0,0,"mp",8
555,366,48,16,0,0,1,0,1,1,"mp",8
24,311,28,12,2,0,0,0,1,1,"mp",3
760,714,54,12,0,0,0,0,1,1,"swcc",3
1634,37,40,16,0,2,0,0,0,0,"mp",3
1344,174,39,14,0,1,0,0,1,1,"mp",3
0,341,56,12,0,0,0,1,1,1,"mp",7
0,645,41,13,0,2,0,0,1,0,"mp",3
0,360,34,13,1,2,0,0,1,1,"mp",3
0,380,31,12,2,1,0,0,0,0,"other",3
158,182,38,10,0,2,0,0,1,1,"other",8
920,304,30,16,1,0,0,0,1,1,"swcc",4
0,293,24,13,1,0,0,0,0,0,"mp",7
1968,775,60,13,0,0,0,0,1,1,"mp",4
0,408,27,17,1,0,0,0,1,1,"mp",7
1667,217,37,15,2,0,0,0,0,0,"other",5
2080,317,42,10,0,0,0,0,1,0,"swcc",6
1655,293,37,12,0,2,1,0,1,1,"swcc",4
1208,430,32,12,1,1,0,0,1,1,"mp",4
1530,306,23,11,0,0,0,0,1,1,"swcc",4
0,485,53,15,0,0,0,0,1,1,"mp",4
0,142,60,0,0,0,0,0,0,0,"other",7
2220,248,51,10,0,0,0,0,1,0,"other",7
0,545,42,12,0,0,1,0,1,1,"fr",4
1648,250,49,16,0,0,0,0,1,0,"swcc",4
1000,290,21,13,0,0,0,0,0,0,"swcc",4
1960,346,57,16,0,0,0,0,1,1,"mp",6
0,1100,32,16,2,0,0,0,1,1,"mp",6
0,1320,40,16,0,3,1,0,1,1,"mp",3
1750,313,44,12,0,0,1,0,1,1,"mp",4
988,337,55,12,0,0,0,0,1,0,"swcc",4
0,383,37,17,2,0,0,0,1,1,"mp",5
2000,569,41,12,0,1,0,0,1,1,"swcc",5
0,557,36,16,2,2,0,0,1,1,"swcc",6
0,180,32,12,1,2,0,0,1,1,"other",3
1930,450,30,16,2,0,0,0,1,1,"fr",3
1584,380,38,17,1,1,0,0,1,1,"mp",3
2070,343,38,17,0,0,0,0,1,1,"mp",2
888,146,23,12,1,0,0,0,1,1,"mp",8
0,75,57,12,0,0,0,0,1,0,"other",3
2120,230,29,15,1,2,0,0,1,1,"mp",3
212,231,26,12,1,0,0,0,1,1,"swcc",3
856,199,27,14,1,0,0,0,1,0,"mp",3
1750,358,48,12,0,1,1,0,0,0,"mp",7
1897,126,20,12,0,0,0,0,1,1,"other",7
0,290,25,12,1,0,0,0,1,1,"mp",4
0,381,28,10,1,1,0,0,1,1,"swcc",8
0,450,37,17,1,1,0,0,1,1,"mp",4
2810,1021,48,17,0,0,0,0,1,1,"mp",4
2000,220,36,14,2,1,0,0,0,0,"mp",6
1896,460,40,16,0,0,0,0,1,1,"mp",4
0,67,26,14,3,2,0,0,0,0,"other",6
1813,280,53,16,0,0,0,0,1,1,"swcc",6
759,98,38,17,0,0,0,0,0,0,"other",5
0,1000,55,12,0,0,0,0,1,0,"mp",3
1575,811,32,14,0,0,0,0,1,1,"mp",3
1653,271,27,14,0,0,0,0,0,0,"other",3
0,504,30,16,1,0,0,0,1,1,"mp",5
1793,396,41,12,0,0,1,0,1,1,"mp",3
1980,225,38,12,0,1,0,0,1,1,"other",4
180,178,60,12,0,0,0,0,1,0,"other",7
38,301,32,12,2,1,0,0,1,1,"other",5
2083,82,37,15,0,0,1,0,0,0,"other",8
258,615,38,17,0,0,2,0,1,1,"mp",7
2084,851,50,14,0,0,0,0,1,1,"mp",3
1512,332,60,12,0,0,0,0,1,1,"other",3
0,603,34,14,2,0,0,0,1,0,"mp",2
2000,350,32,16,0,0,0,0,1,1,"mp",4
1440,80,41,16,0,1,0,0,1,0,"fr",3
1560,1150,47,17,0,0,1,0,1,1,"mp",3
0,237,28,13,1,0,1,0,1,1,"other",7
1944,430,38,16,1,2,0,1,1,1,"mp",3
1560,602,34,17,1,1,0,0,1,1,"swcc",6
0,282,22,12,1,0,0,0,1,0,"swcc",3
2024,584,41,12,0,0,1,0,1,1,"mp",3
1815,550,32,16,0,0,0,0,1,1,"mp",2
1920,470,57,12,0,0,1,0,0,0,"mp",3
1560,141,36,12,1,2,0,0,1,1,"other",5
1757,65,40,12,0,0,3,0,1,1,"other",8
2112,295,43,13,0,0,0,0,0,0,"other",5
0,380,27,12,2,0,0,0,0,0,"mp",5
1964,137,24,14,1,0,0,0,1,1,"other",4
1755,271,40,17,1,1,0,0,1,0,"other",4
2320,44,24,12,1,0,0,0,0,0,"swcc",5
0,110,25,12,1,0,0,0,0,0,"other",11
1200,238,34,14,0,1,0,0,1,1,"mp",11
1960,465,60,12,0,0,0,0,1,0,"other",11
2940,902,52,13,0,0,0,0,0,0,"mp",5
1336,320,32,12,1,3,0,0,1,1,"swcc",6
1822,356,35,13,0,0,1,0,1,1,"swcc",5
1968,140,38,17,0,4,0,0,0,0,"mp",5
563,47,26,12,3,1,0,1,0,0,"mp",6
1174,73,55,8,0,0,0,1,1,1,"fr",9
624,335,28,8,0,2,0,1,1,1,"other",9
0,122,24,12,3,0,0,0,0,0,"swcc",9
644,146,32,8,1,1,1,1,0,0,"other",9
696,97,24,9,0,2,0,1,0,0,"other",9
57,242,32,12,3,1,0,0,0,0,"swcc",2
0,350,59,10,0,0,0,0,1,0,"other",1
585,335,36,11,0,0,2,0,1,1,"other",2
492,558,35,12,0,2,1,0,1,1,"mp",2
0,555,30,15,1,0,0,0,1,1,"mp",7
2222,825,34,17,0,1,0,0,1,1,"mp",6
1360,691,38,16,0,2,0,0,1,0,"mp",7
1555,870,61,14,0,0,0,0,1,1,"swcc",7
0,197,35,12,0,3,0,0,1,1,"mp",5
0,1000,36,14,2,0,0,0,1,1,"mp",5
1880,320,52,14,0,0,0,0,1,1,"swcc",5
0,161,28,13,2,0,0,0,0,0,"mp",5
1900,269,33,13,0,1,1,0,1,1,"other",5
2074,400,27,14,0,0,0,0,1,1,"other",6
0,270,55,12,0,0,0,0,1,0,"other",6
520,120,63,9,0,0,0,0,1,0,"other",8
0,460,35,12,1,2,0,0,1,1,"mp",8
344,388,41,15,0,2,1,0,1,1,"mp",8
1968,319,27,16,0,0,0,0,1,1,"swcc",8
0,454,64,12,0,0,0,0,1,0,"other",8
1965,262,37,16,1,0,0,0,1,1,"other",6
1000,530,45,12,0,0,1,0,1,1,"swcc",7
0,209,26,13,1,0,0,0,0,0,"mp",6
2008,498,55,17,0,0,0,0,1,0,"other",7
0,571,33,17,2,0,0,0,1,1,"mp",2
1924,383,49,12,0,0,0,1,0,0,"mp",5
0,3275,60,12,0,0,0,0,1,0,"other",8
2070,871,63,15,0,0,0,0,1,1,"other",3
872,100,27,10,0,0,0,0,0,0,"fr",3
3568,919,36,14,1,1,0,0,1,1,"mp",5
714,333,58,16,0,0,0,0,1,1,"mp",6
276,131,44,14,0,0,0,0,0,0,"mp",11
2016,85,25,16,0,0,0,0,0,0,"other",8
0,166,22,9,3,0,0,0,0,0,"swcc",5
1040,705,45,13,0,0,0,0,1,1,"swcc",3
0,393,51,12,0,0,0,0,1,0,"other",3
1936,117,30,10,0,2,0,0,0,0,"other",3
4,484,41,12,0,1,0,0,1,1,"other",5
2495,121,28,12,0,1,0,0,0,0,"swcc",5
1885,236,28,16,0,0,0,0,1,1,"swcc",5
894,630,55,14,0,0,0,0,1,0,"swcc",6
1860,282,33,15,2,0,0,0,0,0,"swcc",8
1874,460,38,11,0,0,1,0,0,0,"mp",4
2268,330,48,7,0,0,0,0,1,0,"swcc",7
0,165,33,11,0,1,0,0,1,0,"fr",7
0,535,47,9,0,0,1,1,1,1,"mp",5
103,237,48,11,0,0,1,0,1,1,"mp",6
130,859,55,17,0,0,0,0,1,1,"mp",4
1880,500,53,16,0,0,0,1,1,1,"mp",4
1650,620,52,16,0,0,0,1,1,1,"mp",4
0,225,34,12,0,1,0,1,0,0,"other",4
698,497,32,14,1,0,0,0,0,0,"mp",3
744,450,34,16,1,1,0,0,0,0,"swcc",3
1200,2000,58,12,0,0,0,0,1,0,"mp",3
0,72,63,12,0,0,0,0,1,0,"other",9
588,237,49,10,0,0,0,1,1,1,"other",10
1216,200,27,12,2,1,0,1,1,1,"other",10
0,456,34,13,0,2,1,0,1,1,"swcc",5
784,291,29,14,0,0,0,0,0,0,"mp",5
0,244,34,16,2,0,0,0,1,1,"mp",3
0,180,35,16,2,2,0,0,0,0,"fr",4
2050,210,60,12,0,0,0,0,1,0,"swcc",3
2054,279,46,12,0,0,0,0,1,1,"swcc",3
2122,270,24,12,0,0,0,0,1,1,"other",3
1880,270,46,12,0,0,0,0,1,1,"swcc",3
0,100,34,11,0,1,2,1,0,0,"other",3
1972,181,29,13,1,1,0,1,1,1,"other",3
0,114,57,12,0,0,0,0,1,0,"other",6
1960,206,30,12,1,2,0,0,1,1,"other",3
0,168,57,12,0,0,0,0,1,0,"swcc",3
0,72,62,10,0,0,0,0,1,0,"other",3
1568,291,38,14,0,1,1,0,1,1,"mp",3
0,540,32,16,2,0,0,0,1,1,"mp",6
1632,386,43,12,0,0,0,0,1,0,"mp",4
1960,150,35,12,0,1,0,0,0,0,"other",3
0,211,62,12,0,0,0,0,1,0,"other",4
1880,303,39,12,0,0,1,0,1,1,"mp",3
1224,410,55,12,0,0,0,0,1,1,"other",4
1296,70,26,12,1,0,0,0,0,0,"swcc",4
0,160,24,12,1,0,0,0,0,0,"mp",4
775,373,36,16,1,1,0,0,1,1,"mp",5
0,607,32,15,2,0,0,0,1,1,"mp",7
0,456,39,14,1,1,0,0,1,1,"mp",5
2022,429,39,12,0,0,2,0,1,1,"mp",4
1729,159,34,12,0,0,0,0,1,1,"mp",6
1504,332,39,16,1,1,0,0,1,1,"mp",3
1436,274,43,17,0,1,1,0,1,0,"mp",3
0,380,43,13,0,0,0,0,1,1,"mp",6
1952,161,35,11,1,0,0,0,0,0,"other",6
0,77,28,12,0,2,0,0,0,0,"swcc",6
1692,100,41,17,1,2,0,0,1,1,"mp",8
0,94,50,12,0,0,0,1,1,0,"swcc",10
0,150,45,10,0,1,0,1,1,0,"other",10
432,122,40,14,0,1,0,0,0,0,"swcc",2
534,146,36,13,2,0,0,0,0,0,"other",3
2040,75,31,12,0,1,0,0,0,0,"swcc",4
2277,355,34,17,0,0,0,0,1,1,"mp",2
0,264,40,12,0,1,2,0,1,1,"swcc",3
1050,155,35,12,0,3,1,0,1,1,"other",4
1644,160,21,12,1,0,0,0,0,0,"swcc",4
0,482,39,12,0,1,0,0,1,0,"fr",1
2016,266,39,9,0,0,0,0,1,1,"swcc",3
200,212,53,12,0,0,0,0,1,0,"mp",7
1890,240,23,14,1,0,0,0,1,1,"swcc",7
2205,262,29,16,0,0,0,0,0,0,"mp",4
2808,235,36,10,0,1,1,0,1,0,"other",7
1056,420,37,12,0,2,1,0,1,0,"mp",5
2340,197,59,12,0,0,0,0,1,1,"mp",5
25,123,24,12,2,0,0,0,0,0,"swcc",4
1975,0,46,12,1,1,0,0,1,0,"swcc",7
2000,402,52,12,0,0,0,0,1,1,"swcc",3
1752,343,24,14,0,0,0,0,0,0,"swcc",3
1865,121,27,12,0,0,0,0,1,1,"mp",11
328,426,49,12,0,0,0,0,1,1,"swcc",11
0,72,28,12,2,0,0,0,1,1,"other",12
1288,107,43,10,0,0,0,0,1,0,"other",12
0,147,26,12,2,1,0,0,1,1,"other",12
2450,250,51,10,0,0,0,0,0,0,"swcc",4
750,501,37,12,1,0,1,0,1,1,"mp",3
1290,186,41,8,0,1,0,0,0,0,"other",9
0,107,22,11,2,0,0,0,0,0,"other",9
2061,335,38,14,0,1,2,0,1,1,"mp",6
1523,270,44,12,0,1,1,0,1,1,"swcc",5
1900,839,37,12,0,0,0,0,1,1,"mp",3
1656,262,37,12,0,0,1,0,1,1,"swcc",7
2450,309,45,12,0,0,0,0,1,1,"mp",4
785,171,21,15,1,0,0,0,0,0,"swcc",4
1800,123,60,14,0,0,0,1,1,1,"swcc",3
2100,647,55,13,0,0,1,0,1,1,"swcc",2
1759,269,36,14,0,1,1,1,1,1,"swcc",6
0,228,53,12,0,0,0,0,1,1,"other",4
1896,326,33,12,0,0,0,1,1,1,"swcc",8
0,236,37,13,0,1,0,0,1,1,"other",8
882,310,37,12,0,1,1,0,1,1,"mp",11
1596,194,36,9,0,2,2,0,1,1,"other",6
1834,123,35,11,0,0,2,0,1,1,"other",6
727,418,46,16,0,1,0,0,1,1,"mp",4
1936,160,26,14,1,0,0,0,0,0,"other",7
0,157,63,8,0,0,0,0,1,0,"other",7
0,245,62,12,0,0,0,0,1,0,"other",8
1214,215,22,15,0,0,0,0,0,0,"swcc",8
0,432,33,12,0,1,2,0,1,1,"other",8
0,320,28,14,2,0,0,0,0,0,"mp",6
0,800,26,13,2,0,0,0,1,1,"mp",8
0,240,62,12,0,0,0,0,1,0,"other",6
0,274,54,10,0,0,1,0,1,1,"swcc",5
0,237,31,12,1,1,0,0,1,1,"swcc",8
1764,370,33,13,0,3,0,0,0,0,"fr",9
2008,240,23,8,1,1,0,0,0,0,"other",5
1880,190,35,11,0,1,1,0,1,1,"swcc",5
1715,110,32,10,0,2,1,0,0,0,"other",5
0,99,26,10,1,1,0,0,0,0,"other",5
1312,431,36,12,0,2,1,0,1,1,"swcc",3
1720,336,25,16,0,0,0,0,0,0,"mp",5
1790,100,21,13,0,0,0,0,0,0,"mp",5
1920,218,29,12,1,0,0,0,0,0,"swcc",5
2046,220,38,12,0,2,0,1,1,1,"other",6
2390,70,28,13,1,1,0,1,0,0,"other",6
1920,380,32,12,0,0,1,1,0,0,"mp",3
0,141,56,15,0,0,0,0,0,0,"other",5
1516,534,26,17,0,0,0,0,1,1,"swcc",7
4742,230,31,17,1,2,0,0,1,1,"mp",8
1720,232,28,12,1,0,0,0,1,1,"swcc",8
0,208,57,15,0,0,0,0,1,0,"other",9
2000,104,25,12,1,0,0,0,1,1,"swcc",9
1709,121,61,7,0,0,0,0,1,1,"other",4
2540,280,32,12,0,0,0,0,1,1,"mp",3
1250,500,31,16,1,0,0,0,1,1,"mp",6
0,166,62,12,0,0,0,0,1,0,"other",4
1760,108,44,13,0,0,0,0,0,0,"other",3
1778,302,44,13,0,0,1,0,1,1,"other",3
2338,378,26,17,0,0,0,0,0,0,"mp",7
973,880,48,16,0,0,0,0,1,1,"mp",6
1764,222,42,15,0,0,2,0,1,1,"mp",3
0,384,64,17,0,0,0,0,1,0,"swcc",3
353,546,36,16,1,1,0,0,1,1,"mp",3
36,2345,35,17,2,1,0,0,1,1,"mp",2
741,500,37,16,0,2,0,0,1,1,"mp",3
0,264,35,10,0,2,0,0,1,1,"swcc",4
1656,190,21,13,1,0,0,0,0,0,"swcc",4
1628,685,35,15,0,0,1,0,1,1,"mp",6
0,144,40,12,1,1,0,0,0,0,"other",8
1682,741,55,13,0,0,1,0,1,0,"swcc",3
2250,360,27,16,1,0,0,0,1,1,"swcc",3
0,432,33,14,0,4,0,0,1,0,"swcc",3
2167,420,34,12,0,2,0,0,0,0,"mp",6
2510,432,28,14,0,4,0,0,1,1,"mp",3
1843,628,58,12,0,0,1,0,1,1,"mp",5
0,470,35,13,1,0,1,0,1,1,"mp",5
2080,481,24,12,0,0,0,0,1,1,"other",5
2100,280,36,14,0,1,1,0,1,1,"swcc",5
1777,240,31,12,0,2,0,0,1,1,"other",5
1568,100,33,17,1,1,0,0,1,1,"other",4
1800,563,51,14,0,0,0,0,1,1,"swcc",5
1837,322,27,17,0,0,0,0,1,1,"swcc",4
492,591,40,15,0,1,1,0,1,1,"mp",3
214,855,31,16,2,0,0,0,1,1,"mp",5
1636,190,28,15,0,0,0,0,1,1,"mp",5
2023,280,26,16,0,0,0,0,1,1,"mp",2
1616,363,35,12,1,1,0,0,1,1,"mp",5
1992,194,34,16,0,0,0,0,0,0,"swcc",5
1200,123,57,12,0,0,0,0,1,1,"other",6
759,188,29,12,0,3,0,0,1,1,"other",4
1000,175,62,12,0,0,0,0,1,1,"other",4
0,685,40,12,1,1,0,0,1,1,"swcc",5
0,754,52,12,0,0,0,0,0,0,"other",14
132,530,37,17,2,0,0,0,1,1,"mp",5
657,220,36,17,2,0,0,0,1,1,"mp",5
2000,482,40,12,0,0,1,0,1,1,"other",4
431,282,28,12,0,0,0,1,0,0,"swcc",7
2226,93,27,12,2,0,0,0,0,0,"other",5
1832,269,29,16,0,0,0,0,0,0,"swcc",5
2684,528,43,12,0,0,0,0,1,1,"mp",5
1008,288,31,14,1,0,0,0,1,1,"mp",9
396,197,58,12,0,0,0,0,1,1,"other",5
593,240,28,13,1,0,0,0,1,1,"other",7
2064,212,55,14,0,0,0,0,0,0,"swcc",7
1791,430,35,16,0,1,0,0,1,1,"mp",5
1912,264,26,12,0,0,0,0,1,1,"mp",5
0,186,32,10,1,1,0,0,1,1,"mp",6
0,76,60,7,0,0,0,0,1,1,"other",5
2196,307,31,13,0,2,0,0,1,1,"swcc",5
0,332,35,14,2,1,0,0,1,1,"mp",5
0,50,60,7,0,0,0,0,0,0,"fr",5
780,380,40,12,1,0,1,0,1,0,"swcc",9
0,1860,61,12,0,0,0,0,1,1,"mp",5
1482,184,25,12,1,0,0,0,0,0,"other",5
436,170,23,12,2,0,0,0,0,0,"other",5
700,520,53,12,0,0,0,0,1,0,"other",5
1365,2680,48,16,0,0,0,0,1,1,"mp",6
960,265,29,16,2,0,0,0,1,1,"swcc",6
258,350,31,12,0,1,0,0,1,1,"swcc",6
1800,160,24,14,0,0,0,0,0,0,"swcc",6
1687,374,35,12,0,0,1,0,1,1,"swcc",3
58,395,44,10,0,0,0,0,1,0,"mp",3
2096,564,42,12,0,0,1,0,1,1,"swcc",3
648,46,23,17,0,0,0,0,0,0,"swcc",9
1750,505,60,12,0,0,0,0,1,1,"other",3
1470,322,29,13,0,0,0,1,0,0,"swcc",7
1224,237,36,14,0,2,0,0,1,1,"mp",3
2000,0,29,12,1,0,0,0,1,1,"other",5
1306,485,32,16,1,0,0,0,1,1,"mp",3
892,355,27,12,1,0,0,0,1,1,"other",3
2064,461,43,12,0,0,1,0,1,1,"other",3
1920,319,45,15,0,1,0,0,1,1,"mp",5
1164,300,38,17,0,1,0,0,0,0,"mp",3
1800,137,38,12,0,1,1,0,1,1,"mp",6
2034,450,43,12,0,0,0,0,1,1,"swcc",5
2072,40,22,13,0,0,0,0,0,0,"other",2
1920,564,35,12,0,1,0,0,1,1,"mp",4
1040,106,54,11,0,0,0,0,1,1,"other",1
768,158,28,14,2,0,0,0,1,1,"swcc",1
1896,130,26,11,0,0,0,0,0,0,"mp",1
1043,379,56,16,0,0,0,0,1,0,"other",5
0,240,42,12,1,1,1,0,1,0,"other",11
0,294,46,7,1,1,0,0,1,1,"swcc",4
1985,133,35,11,0,0,1,0,1,1,"other",4
1752,250,28,14,1,0,0,0,1,1,"mp",4
1775,100,24,12,1,0,0,0,0,0,"swcc",4
942,120,24,14,0,0,0,0,0,0,"mp",7
1992,112,26,12,0,0,0,0,1,1,"mp",4
394,278,30,12,0,2,0,0,1,1,"other",4
0,476,27,12,2,1,0,0,1,1,"other",4
0,562,51,12,0,0,0,0,1,1,"mp",4
1976,24,22,12,0,0,0,0,0,0,"fr",7
2205,90,48,11,0,0,1,0,1,1,"other",7
1920,200,25,11,1,0,0,0,1,1,"mp",7
1974,276,41,12,0,0,0,0,1,1,"swcc",7
2064,182,24,14,1,0,0,0,1,1,"swcc",4
0,70,22,12,1,0,0,0,0,0,"fr",6
1800,97,41,13,0,0,1,0,0,0,"swcc",8
784,180,39,10,0,0,1,0,1,1,"swcc",5
2470,424,39,17,0,1,1,0,1,1,"swcc",5
1940,198,27,17,0,0,0,0,0,0,"mp",4
0,170,56,14,0,0,0,0,1,0,"swcc",5
0,80,24,13,1,0,0,0,1,1,"mp",5
0,624,50,10,0,0,0,0,0,0,"swcc",4
0,286,30,10,0,4,0,0,0,0,"swcc",5
793,79,24,10,2,0,0,0,1,1,"swcc",9
864,136,26,14,1,0,0,0,0,0,"other",3
1750,342,58,12,0,0,0,0,1,0,"mp",3
1976,80,30,12,0,0,0,0,0,0,"fr",3
1887,329,53,12,0,0,0,0,1,0,"swcc",3
1970,366,29,12,0,2,0,0,1,1,"mp",8
1896,83,63,12,0,0,0,0,1,0,"other",3
2055,174,24,12,0,2,0,0,0,0,"swcc",6
2026,194,26,14,1,0,0,0,0,0,"other",3
1452,237,26,11,0,0,0,0,1,0,"swcc",3
1656,180,38,17,1,1,0,0,1,1,"swcc",11
2000,650,33,16,0,0,0,0,1,1,"mp",2
2168,356,39,17,0,1,1,0,1,1,"mp",3
2000,116,48,12,0,0,0,0,1,1,"mp",7
0,292,63,13,0,0,0,0,1,1,"fr",7
0,77,60,12,0,0,0,0,1,1,"other",4
2592,280,35,10,0,0,0,0,1,1,"mp",4
1215,680,60,17,0,0,0,0,1,0,"mp",5
0,985,28,13,2,1,0,0,1,1,"mp",4
972,138,18,11,1,0,0,0,1,1,"other",5
0,261,34,12,3,1,0,0,1,1,"other",5
1936,267,45,11,0,0,0,0,1,1,"other",5
1242,180,29,12,1,0,0,0,1,1,"other",5
2295,440,41,16,0,1,0,0,1,1,"mp",7
1644,354,57,12,0,0,0,0,1,1,"swcc",6
2350,156,29,12,0,0,0,0,1,1,"swcc",6
2160,730,48,14,0,0,0,0,1,1,"mp",6
1190,315,23,14,0,0,0,0,1,1,"mp",5
1000,202,35,12,0,1,1,0,1,1,"swcc",3
436,360,31,17,1,0,0,0,1,1,"mp",6
0,283,44,12,0,0,1,0,1,1,"swcc",2
1331,397,51,12,0,0,0,0,1,1,"mp",5
2184,675,32,16,2,0,0,0,1,1,"mp",7
1263,115,39,12,0,2,0,0,0,0,"other",5
1568,279,26,13,1,0,0,0,1,1,"other",5
0,473,49,11,0,0,1,0,1,1,"swcc",5
1606,312,29,15,0,2,0,0,1,1,"swcc",5
1372,291,24,14,2,0,0,0,1,1,"other",4
2205,810,33,14,0,1,0,0,1,1,"swcc",2
490,417,36,16,1,1,0,0,1,1,"mp",6
0,471,47,9,0,0,0,0,1,0,"swcc",8
1035,220,21,14,0,0,0,0,0,0,"mp",5
294,497,42,13,0,2,1,0,1,0,"mp",8
1904,198,22,13,1,0,0,0,0,0,"swcc",8
1901,445,40,12,0,0,0,0,1,1,"swcc",9
1386,184,23,10,4,1,0,0,0,0,"other",2
2006,265,45,10,0,0,0,0,1,0,"other",2
696,347,63,17,0,0,0,0,1,0,"other",6
0,95,25,12,1,0,0,0,0,0,"swcc",5
0,233,63,12,0,0,0,0,1,0,"other",8
1908,348,29,14,0,0,0,0,1,1,"mp",6
691,410,36,12,1,1,0,0,1,1,"swcc",4
0,383,57,14,0,0,0,0,1,1,"other",3
243,496,42,16,0,2,0,0,0,0,"mp",3
1225,270,39,16,1,1,0,0,1,1,"swcc",5
0,412,42,12,0,2,1,0,1,1,"swcc",3
0,4566,46,17,0,0,1,0,1,1,"mp",3
0,473,58,12,0,0,0,0,1,0,"other",6
0,290,33,12,0,1,0,0,1,1,"other",5
1680,520,33,16,0,1,0,0,0,0,"mp",4
0,1123,47,15,0,0,0,0,1,1,"mp",5
1536,348,51,12,0,0,0,1,1,1,"mp",3
2000,694,27,12,1,0,0,0,1,1,"other",3
936,210,26,12,1,1,0,0,0,0,"swcc",4
1518,242,29,12,1,0,0,0,0,0,"mp",3
1544,290,37,17,0,0,0,0,0,0,"mp",6
2032,522,41,14,0,1,0,0,1,1,"mp",3
0,1578,48,13,0,2,0,0,1,1,"other",7
298,181,62,5,0,0,0,0,1,0,"other",4
735,500,32,15,0,0,0,0,1,1,"mp",4
1888,337,34,12,1,0,0,0,1,1,"mp",6
0,582,55,10,0,0,0,0,1,1,"mp",4
0,383,30,16,3,0,0,0,1,1,"mp",4
1200,415,31,12,2,0,0,0,1,1,"mp",3
958,459,43,9,0,1,1,0,1,1,"other",7
1365,463,41,14,0,0,0,0,1,0,"other",7
