"gameno","month","homeruns","playerstatus","player"
127,"August",0,0,"McGwire"
128,"August",0,0,"McGwire"
129,"August",1,0,"McGwire"
130,"August",1,0,"McGwire"
132,"August",0,0,"McGwire"
133,"August",1,0,"McGwire"
134,"August",0,0,"McGwire"
135,"August",0,0,"McGwire"
136,"August",0,0,"McGwire"
137,"August",1,0,"McGwire"
138,"August",0,0,"McGwire"
139,"September",2,0,"McGwire"
140,"September",2,0,"McGwire"
141,"September",0,0,"McGwire"
142,"September",1,0,"McGwire"
143,"September",0,0,"McGwire"
144,"September",1,0,"McGwire"
145,"September",1,0,"McGwire"
146,"September",0,0,"McGwire"
147,"September",0,0,"McGwire"
148,"September",0,0,"McGwire"
149,"September",0,0,"McGwire"
150,"September",0,0,"McGwire"
151,"September",0,0,"McGwire"
152,"September",1,0,"McGwire"
153,"September",0,0,"McGwire"
154,"September",0,0,"McGwire"
155,"September",1,0,"McGwire"
156,"September",0,0,"McGwire"
157,"September",1,0,"McGwire"
158,"September",0,0,"McGwire"
159,"September",0,0,"McGwire"
160,"September",0,0,"McGwire"
161,"September",1,0,"McGwire"
162,"September",2,0,"McGwire"
163,"September",2,0,"McGwire"
1,"March",0,0,"Sosa"
2,"April",0,0,"Sosa"
3,"April",0,0,"Sosa"
4,"April",0,0,"Sosa"
5,"April",1,0,"Sosa"
6,"April",0,0,"Sosa"
7,"April",0,0,"Sosa"
8,"April",0,0,"Sosa"
9,"April",0,0,"Sosa"
10,"April",0,0,"Sosa"
11,"April",1,0,"Sosa"
12,"April",0,0,"Sosa"
13,"April",0,0,"Sosa"
14,"April",1,0,"Sosa"
15,"April",0,0,"Sosa"
16,"April",0,0,"Sosa"
17,"April",0,0,"Sosa"
18,"April",0,0,"Sosa"
19,"April",0,0,"Sosa"
20,"April",0,0,"Sosa"
21,"April",1,0,"Sosa"
22,"April",1,0,"Sosa"
23,"April",0,0,"Sosa"
24,"April",0,0,"Sosa"
25,"April",1,0,"Sosa"
26,"April",0,0,"Sosa"
27,"April",0,0,"Sosa"
28,"May",0,0,"Sosa"
29,"May",0,0,"Sosa"
30,"May",1,0,"Sosa"
31,"May",0,0,"Sosa"
32,"May",0,0,"Sosa"
33,"May",0,0,"Sosa"
34,"May",0,0,"Sosa"
35,"May",0,0,"Sosa"
36,"May",0,0,"Sosa"
37,"May",0,0,"Sosa"
38,"May",0,0,"Sosa"
39,"May",0,0,"Sosa"
40,"May",0,0,"Sosa"
41,"May",0,0,"Sosa"
42,"May",1,0,"Sosa"
43,"May",0,0,"Sosa"
44,"May",0,0,"Sosa"
45,"May",0,0,"Sosa"
46,"May",0,0,"Sosa"
47,"May",1,0,"Sosa"
48,"May",0,0,"Sosa"
49,"May",0,0,"Sosa"
50,"May",2,0,"Sosa"
51,"May",2,0,"Sosa"
52,"May",0,0,"Sosa"
56,"June",2,0,"Sosa"
57,"June",0,0,"Sosa"
58,"June",1,0,"Sosa"
59,"June",1,0,"Sosa"
60,"June",1,0,"Sosa"
61,"June",1,0,"Sosa"
62,"June",1,0,"Sosa"
63,"June",0,0,"Sosa"
64,"June",0,0,"Sosa"
65,"June",0,0,"Sosa"
66,"June",1,0,"Sosa"
67,"June",0,0,"Sosa"
68,"June",3,0,"Sosa"
69,"June",0,0,"Sosa"
70,"June",1,0,"Sosa"
71,"June",0,0,"Sosa"
72,"June",2,0,"Sosa"
73,"June",2,0,"Sosa"
74,"June",1,0,"Sosa"
75,"June",0,0,"Sosa"
76,"June",0,0,"Sosa"
77,"June",1,0,"Sosa"
78,"June",1,0,"Sosa"
79,"June",0,0,"Sosa"
80,"June",0,0,"Sosa"
81,"June",0,0,"Sosa"
82,"June",1,0,"Sosa"
83,"July",0,0,"Sosa"
84,"July",0,0,"Sosa"
85,"July",0,0,"Sosa"
86,"July",0,0,"Sosa"
88,"July",1,0,"Sosa"
89,"July",1,0,"Sosa"
90,"July",0,0,"Sosa"
91,"July",0,0,"Sosa"
92,"July",0,0,"Sosa"
93,"July",0,0,"Sosa"
94,"July",0,0,"Sosa"
95,"July",1,0,"Sosa"
96,"July",0,0,"Sosa"
97,"July",0,0,"Sosa"
98,"July",0,0,"Sosa"
99,"July",0,0,"Sosa"
100,"July",1,0,"Sosa"
101,"July",0,0,"Sosa"
102,"July",0,0,"Sosa"
103,"July",0,0,"Sosa"
104,"July",0,0,"Sosa"
105,"July",1,0,"Sosa"
106,"July",2,0,"Sosa"
107,"July",1,0,"Sosa"
108,"July",0,0,"Sosa"
109,"July",0,0,"Sosa"
110,"July",1,0,"Sosa"
111,"August",0,0,"Sosa"
112,"August",0,0,"Sosa"
113,"August",0,0,"Sosa"
114,"August",0,0,"Sosa"
115,"August",1,0,"Sosa"
116,"August",0,0,"Sosa"
117,"August",1,0,"Sosa"
118,"August",0,0,"Sosa"
119,"August",2,0,"Sosa"
120,"August",0,0,"Sosa"
121,"August",0,0,"Sosa"
122,"August",0,0,"Sosa"
123,"August",0,0,"Sosa"
124,"August",1,0,"Sosa"
125,"August",0,0,"Sosa"
126,"August",1,0,"Sosa"
127,"August",0,0,"Sosa"
128,"August",1,0,"Sosa"
129,"August",0,0,"Sosa"
130,"August",2,0,"Sosa"
131,"August",0,0,"Sosa"
132,"August",0,0,"Sosa"
133,"August",1,0,"Sosa"
134,"August",0,0,"Sosa"
135,"August",1,0,"Sosa"
136,"August",0,0,"Sosa"
137,"August",1,0,"Sosa"
138,"August",1,0,"Sosa"
139,"September",0,0,"Sosa"
140,"September",1,0,"Sosa"
141,"September",1,0,"Sosa"
142,"September",1,0,"Sosa"
143,"September",0,0,"Sosa"
144,"September",0,0,"Sosa"
145,"September",0,0,"Sosa"
146,"September",0,0,"Sosa"
147,"September",0,0,"Sosa"
148,"September",1,0,"Sosa"
149,"September",1,0,"Sosa"
150,"September",2,0,"Sosa"
151,"September",0,0,"Sosa"
152,"September",0,0,"Sosa"
153,"September",1,0,"Sosa"
154,"September",0,0,"Sosa"
155,"September",0,0,"Sosa"
156,"September",0,0,"Sosa"
157,"September",0,0,"Sosa"
158,"September",0,0,"Sosa"
159,"September",2,0,"Sosa"
160,"September",1,0,"Sosa"
161,"September",0,0,"Sosa"
162,"September",0,0,"Sosa"
163,"September",0,0,"Sosa"
