"race","age","educate","income","vote"
"white",27,12,2.8997,1
"white",55,12,2.3866,1
"white",27,12,1.8429,1
"white",37,19,6.3352,1
"others",87,12,0.6911,1
"white",64,5,1.7723,1
"white",79,7,1.838,1
"white",60,12,2.5196,1
"white",39,19,11.8939,0
"white",64,14,4.6493,1
"white",36,14,7.7751,1
"white",35,12,3.3834,1
"white",27,16,4.0702,1
"white",28,14,4.0702,1
"white",22,12,2.8311,0
"white",60,12,4.4876,1
"white",23,14,2.2706,0
"white",66,8,0.2917,0
"white",26,17,6.274,1
"white",17,14,6.7838,1
"white",51,19,8.4934,1
"white",31,14,4.4578,0
"white",74,9,1.0809,1
"white",43,12,6.0903,1
"white",32,19,7.5945,1
"white",44,16,8.7517,1
"white",26,14,5.2331,1
"white",21,12,2.4868,1
"white",26,15,5.19,0
"white",51,12,5.8684,1
"others",77,16,0.1544,1
"white",48,12,4.2857,1
"white",35,19,3.8797,1
"white",81,12,1.3898,0
"white",33,14,0.9457,0
"white",64,12,4.3195,1
"white",25,12,8.7517,1
"white",31,14,5.8684,0
"others",71,10,2.7031,1
"white",32,9,1.2659,1
"others",23,16,0.5523,0
"white",24,12,11.6294,1
"white",53,12,2.4811,1
"others",39,12,2.8311,1
"white",60,8,2.5196,0
"white",42,13,1.2094,0
"white",49,19,4.3195,1
"others",26,12,3.8797,1
"white",49,14,3.7435,1
"white",30,19,4.8954,1
"white",22,12,2.1319,0
"white",29,12,3.4183,1
"white",30,19,2.7068,1
"white",23,11,1.0212,1
"white",30,12,1.726,0
"white",41,19,3.2449,1
"white",59,12,4.6408,1
"white",62,17,7.7751,1
"white",24,9,3.7042,0
"white",29,19,2.1885,1
"white",34,6,1.7723,1
"white",41,14,4.4876,1
"white",69,12,2.4189,1
"white",21,12,3.7972,1
"white",39,16,11.6294,1
"white",66,8,0.9457,1
"white",84,5,0.9214,0
"white",30,12,2.7722,0
"white",25,15,0.1544,0
"white",68,14,2.8311,1
"white",26,19,3.064,1
"others",25,12,4.0702,1
"others",71,10,0.8236,1
"white",80,8,1.1839,1
"white",76,8,0.253,1
"white",28,16,2.7852,1
"white",33,14,5.6622,1
"white",69,8,2.7722,1
"white",58,12,2.7031,1
"white",23,16,1.3566,1
"white",23,12,2.522,1
"white",89,19,5.6622,1
"white",71,7,1.0809,0
"white",40,11,0.5523,1
"white",43,12,2.5196,1
"white",27,16,4.8954,1
"white",22,12,1.8967,0
"white",60,8,2.917,1
"white",42,16,13.0045,1
"white",56,12,3.7042,1
"others",33,12,7.4874,1
"white",32,12,2.4189,1
"white",41,14,7.8949,1
"white",24,16,3.4183,1
"white",54,16,2.9072,1
"others",23,12,0.7594,0
"white",33,12,6.274,1
"white",57,11,0.6177,1
"white",31,14,2.1309,1
"white",24,12,6.7838,1
"white",60,19,8.7545,1
"white",63,10,3.064,1
"white",22,10,0.1727,0
"white",64,8,1.3131,0
"white",33,19,5.2331,1
"white",36,16,0.9457,1
"white",52,12,4.669,1
"white",50,14,4.3195,1
"white",62,7,0.6765,0
"white",46,16,11.2307,1
"white",50,12,6.274,0
"white",36,12,1.4498,0
"white",30,16,11.8939,1
"white",63,10,2.7031,1
"white",43,7,2.3866,1
"white",49,8,2.917,1
"others",52,8,3.3834,1
"white",45,12,7.8949,1
"others",41,13,4.669,1
"white",71,11,0.978,1
"white",70,10,1.6049,1
"white",52,8,6.0903,1
"white",30,16,2.2788,0
"white",83,8,0.7953,1
"white",21,12,8.722,1
"white",45,16,6.3304,1
"others",63,10,0.2253,1
"white",39,11,3.4183,1
"white",33,12,4.4578,1
"white",65,8,1.3566,1
"white",33,16,5.1229,1
"white",73,4,0.2649,1
"white",39,12,7.8949,1
"white",29,16,2.8311,1
"white",55,13,4.2313,1
"white",33,17,4.3348,1
"white",25,12,0.9689,1
"white",60,8,5.2331,1
"white",38,14,6.9491,0
"white",39,12,4.2857,1
"white",36,16,2.4193,0
"white",62,9,2.4868,1
"white",35,16,4.4312,1
"white",68,12,1.1893,1
"white",77,3,2.2788,1
"white",82,12,0.2649,1
"white",34,10,4.0702,1
"white",26,16,2.2706,1
"white",27,12,4.4312,0
"white",40,14,5.9111,1
"white",29,12,4.0702,1
"white",28,17,4.8954,1
"white",32,16,11.6294,1
"white",75,5,1.8967,1
"white",50,12,1.7723,1
"white",74,8,1.726,1
"others",70,7,0.253,1
"others",36,12,1.7723,1
"others",44,19,4.3348,1
"white",41,17,3.7972,1
"white",62,6,2.917,1
"white",36,12,5.19,1
"white",32,14,4.8954,0
"others",31,16,4.8954,1
"white",39,14,4.4876,1
"white",79,5,0.9457,0
"white",51,8,3.1676,0
"white",23,12,6.7838,1
"white",25,10,3.4183,0
"white",60,12,3.7435,1
"white",67,14,7.5945,1
"others",25,12,1.1046,0
"white",37,16,6.9491,1
"others",54,8,2.7068,0
"white",21,8,1.3566,1
"white",19,14,8.722,1
"others",65,8,1.3131,0
"white",44,11,5.2331,1
"others",38,12,6.274,1
"white",51,12,6.3304,1
"white",30,12,3.7042,0
"white",18,12,7.0036,1
"others",48,10,7.8949,1
"others",44,16,3.1676,1
"white",53,12,5.19,0
"white",84,12,1.655,1
"white",60,9,3.6476,0
"white",48,12,5.9111,0
"white",23,16,2.9161,1
"white",41,15,9.3205,1
"white",52,12,4.6408,1
"white",27,19,4.9624,1
"white",29,16,11.2307,1
"white",26,14,4.3195,1
"white",68,3,1.0212,1
"white",36,10,2.5196,0
"white",60,8,1.3566,0
"white",84,7,0.2364,1
"white",67,19,11.8939,1
"white",72,10,3.58,1
"others",53,8,0.2071,1
"white",60,12,3.3834,1
"white",45,13,6.9491,1
"white",66,12,6.7838,1
"white",43,13,5.9111,1
"white",37,12,2.917,1
"white",67,8,0.9689,1
"white",47,12,4.4312,1
"white",92,12,0.1544,1
"white",45,12,5.178,1
"white",31,9,1.7723,0
"others",21,13,2.8311,1
"white",34,12,1.3246,1
"white",38,19,4.8954,1
"others",31,16,4.0702,1
"white",38,12,4.4578,1
"others",68,12,2.4193,1
"others",59,5,0.2071,0
"white",76,14,5.9469,1
"white",51,12,6.0903,1
"others",22,15,4.4876,1
"white",52,14,4.4876,1
"white",44,13,5.9469,1
"white",31,14,1.261,0
"white",73,12,2.2706,1
"white",25,12,2.7722,1
"white",37,19,11.8939,1
"white",20,12,2.522,0
"white",41,12,3.3458,0
"white",61,11,2.7722,1
"white",20,14,6.5589,1
"white",53,12,1.5788,1
"white",26,16,5.3986,1
"white",24,13,2.0543,0
"white",29,12,3.1676,1
"others",42,9,1.3257,1
"white",77,12,1.2868,1
"others",29,12,4.4876,0
"white",31,14,0.978,1
"white",50,16,6.3304,1
"others",57,14,4.4312,1
"others",72,5,0.7594,1
"white",54,17,10.0376,1
"white",64,12,2.917,1
"white",48,15,5.178,1
"white",54,12,4.3348,0
"white",46,13,4.0006,1
"white",52,12,6.6298,1
"white",29,7,1.4398,0
"white",35,16,5.178,1
"white",23,12,4.4312,1
"white",26,12,1.3131,1
"white",26,15,3.3458,1
"white",23,10,1.4498,0
"white",37,19,5.8684,1
"white",61,12,3.3558,1
"white",23,12,3.4183,1
"white",37,12,3.9394,1
"white",79,7,1.3131,0
"white",32,12,5.6622,1
"white",65,12,4.669,1
"white",36,12,6.5589,1
"white",29,14,8.3565,1
"white",46,12,7.8949,1
"white",24,11,1.6049,1
"white",68,13,1.864,1
"others",18,10,0.9457,0
"white",31,10,2.4803,1
"white",83,13,1.555,1
"white",25,12,10.64,1
"others",42,14,2.7031,1
"white",27,12,1.3131,1
"white",26,12,2.7852,1
"others",21,12,2.7068,1
"white",79,8,0.5813,1
"white",45,12,8.6696,1
"white",35,12,7.7751,1
"white",30,16,6.274,1
"white",56,10,1.1046,0
"others",24,11,7.5945,1
"white",44,14,13.0045,1
"others",68,16,0.1544,1
"white",57,15,4.8901,1
"white",56,19,8.722,1
"white",43,14,1.7443,1
"white",65,12,1.7443,1
"white",21,12,1.838,0
"white",19,12,1.9703,1
"white",36,12,3.3458,0
"others",64,4,0.9457,0
"others",29,10,1.1277,0
"white",50,19,3.9394,0
"white",63,12,1.261,1
"white",74,19,3.1676,1
"others",29,13,1.838,1
"white",25,9,0.7953,1
"white",26,16,6.3352,1
"white",44,12,4.0702,0
"others",27,12,2.5196,1
"white",35,17,5.19,1
"white",66,16,8.722,1
"others",63,11,3.7042,0
"others",29,0.5,2.9072,0
"white",30,19,6.7838,1
"white",37,12,3.6476,1
"others",36,19,11.8939,0
"white",28,14,2.522,1
"white",30,12,1.726,0
"white",51,17,7.0281,1
"white",51,14,8.7545,1
"white",41,9,4.0702,1
"white",36,9,4.4578,1
"white",50,8,3.4183,1
"white",62,16,2.0299,1
"white",19,14,3.6476,0
"white",67,7,1.3257,1
"white",39,12,3.3834,1
"white",26,16,5.8684,1
"white",65,17,11.2351,1
"white",35,13,4.3348,1
"white",26,12,4.669,1
"white",45,12,4.4876,1
"white",21,14,1.864,0
"white",72,8,3.7042,1
"white",21,12,1.6702,0
"white",47,12,7.0281,1
"others",46,16,7.7751,1
"white",19,12,0.6304,1
"others",46,10,1.3566,1
"white",60,14,1.8429,1
"white",83,4,0.6765,0
"white",77,16,3.3558,1
"white",64,8,6.3304,1
"others",30,12,1.5788,1
"white",40,16,3.3458,1
"white",74,14,0.7594,1
"white",70,14,2.7068,1
"white",60,5,1.655,1
"white",65,12,2.8311,1
"others",34,14,2.917,1
"white",27,12,5.3986,1
"white",62,0,1.8561,1
"white",29,14,4.8954,1
"white",29,16,6.0903,1
"white",42,12,3.58,1
"white",40,19,5.2331,0
"white",46,17,10.64,1
"white",28,8,1.1893,0
"white",18,12,0.1936,0
"white",73,8,1.1277,1
"white",55,12,3.58,1
"white",66,3,1.3257,1
"white",27,14,5.1229,1
"white",29,16,5.178,1
"white",47,12,2.3866,1
"white",34,12,1.655,1
"white",48,12,4.4578,1
"others",21,12,6.3352,0
"white",49,12,1.8127,1
"others",39,12,6.3352,1
"white",23,12,4.0702,1
"white",51,10,3.3834,0
"white",43,16,8.3565,1
"white",31,8,2.4811,0
"white",31,12,2.2706,0
"white",36,16,5.6622,1
"white",36,10,2.2788,1
"white",41,12,4.3348,1
"white",73,8,2.8997,1
"white",63,12,0.9689,1
"others",35,16,5.3986,0
"white",40,16,6.274,1
"white",52,19,13.3041,1
"white",26,12,7.0281,0
"others",33,19,2.7068,1
"white",34,12,7.8949,1
"others",76,7,1.2659,0
"white",22,16,4.4312,1
"others",46,7,0.5523,1
"white",22,12,4.0006,0
"white",57,12,6.7838,1
"white",48,16,2.1309,1
"white",41,14,5.4713,1
"white",30,12,5.6622,0
"white",37,10,2.9072,1
"white",72,8,3.3834,1
"white",56,8,1.2659,1
"others",28,8,0.5813,0
"white",43,8,3.58,1
"white",65,14,2.1885,1
"others",53,8,3.4183,1
"white",20,13,5.1229,1
"white",26,6,1.7443,0
"white",73,16,6.6992,1
"white",33,10,4.669,0
"white",40,19,4.4876,1
"white",65,8,0.5813,0
"white",48,8,6.0903,1
"white",33,10,2.9161,1
"white",74,7,2.3866,1
"white",24,11,2.917,0
"white",21,14,6.7838,1
"white",35,12,4.8901,0
"white",26,8,2.1309,1
"white",28,13,1.8967,0
"white",33,13,1.3898,1
"white",24,14,5.2331,1
"white",49,19,4.3754,1
"white",71,12,4.0702,1
"white",41,11,2.5196,0
"white",88,8,2.2856,1
"others",83,3,4.0702,0
"white",46,12,2.917,1
"white",37,11,6.6298,1
"white",37,8,1.6472,0
"white",42,12,5.1229,0
"white",72,8,1.7443,1
"white",37,12,5.1229,0
"others",35,4,3.4183,1
"white",75,12,1.8429,1
"white",63,12,3.2949,1
"others",32,11,0.2364,0
"others",54,3,1.8561,1
"white",47,16,6.7838,1
"others",37,12,8.3565,0
"white",48,12,0.6304,0
"white",34,10,2.1309,0
"white",23,15,1.3131,0
"white",48,12,3.7042,1
"white",52,14,7.5945,1
"white",18,12,4.669,0
"white",38,12,4.6408,1
"white",29,16,3.7435,1
"white",25,16,5.1229,1
"white",55,14,6.7838,1
"white",78,1,1.1046,0
"others",78,17,5.4713,1
"white",30,16,12.4066,1
"white",68,8,1.7443,1
"white",38,12,2.2706,1
"white",48,12,6.7838,1
"others",66,5,0.5523,0
"white",36,13,7.5945,1
"white",24,16,1.5879,1
"white",43,8,3.3834,1
"white",49,12,3.58,1
"white",82,12,1.0809,1
"white",49,11,5.9469,1
"white",22,12,1.0212,1
"white",39,12,3.7972,1
"white",63,11,1.7723,1
"white",62,8,0.5523,1
"white",41,12,2.8311,1
"white",79,7,5.2331,0
"white",79,8,0.7594,0
"white",33,12,3.58,1
"others",65,6,0.2649,0
"white",32,16,7.0036,1
"white",33,12,6.6992,1
"white",29,16,7.7751,1
"white",80,16,1.3898,1
"white",36,12,6.7838,1
"white",48,12,2.9161,1
"white",25,12,2.522,1
"white",33,14,6.5589,1
"white",24,12,3.3834,1
"white",59,8,1.4055,0
"white",32,10,5.9469,1
"white",24,11,5.4713,1
"others",25,8,2.7852,0
"white",47,12,3.7435,1
"white",60,14,2.4189,1
"white",38,8,1.3566,0
"others",34,17,13.3041,1
"white",46,19,8.3565,1
"white",25,12,6.3304,1
"others",67,5,0.2253,1
"white",41,14,4.3195,1
"others",31,12,4.9624,1
"others",34,12,8.4934,1
"white",24,12,1.4055,0
"white",29,17,2.7722,0
"others",40,12,1.3566,1
"white",46,10,3.8606,0
"white",23,16,4.8954,1
"white",26,16,4.0702,1
"white",55,14,5.6622,1
"white",56,17,11.3918,1
"others",21,12,0.9457,1
"white",54,12,0.8284,1
"white",42,12,4.4312,1
"white",41,13,5.4713,1
"white",31,12,3.7435,1
"others",33,10,1.5788,1
"white",27,15,2.0021,1
"white",52,12,3.3834,1
"white",75,14,3.7435,1
"white",46,9,6.0903,1
"others",21,12,4.0702,1
"white",36,14,4.4578,1
"white",37,13,6.9491,1
"white",58,14,1.4398,1
"white",53,16,7.0036,1
"white",88,6,4.3754,0
"white",35,10,2.7852,1
"white",50,12,6.0903,1
"others",25,12,5.9469,0
"others",32,8,1.2868,1
"white",72,12,7.5945,1
"white",19,12,0.6304,1
"white",68,8,0.6765,1
"white",76,8,0.9457,0
"white",58,7,3.3458,1
"white",37,16,4.3754,1
"white",40,12,11.8908,1
"white",70,14,3.1676,1
"white",31,12,9.5029,1
"white",64,16,1.1046,1
"others",61,15,7.7751,1
"white",28,11,2.1885,1
"white",25,12,4.3348,1
"white",45,16,4.6408,1
"others",31,9,0.5813,1
"white",28,12,2.3866,0
"white",61,7,6.3304,0
"white",26,12,6.0903,1
"white",62,12,6.6992,1
"white",63,12,1.1893,0
"white",26,12,1.6049,0
"white",37,14,4.4312,1
"white",80,10,0.973,1
"white",27,12,2.3866,1
"white",81,8,2.1319,0
"white",22,10,2.4189,0
"white",32,12,2.9161,0
"white",19,12,6.6992,1
"others",49,16,11.8908,1
"others",51,10,0,0
"white",66,9,3.3834,1
"white",36,12,0.1544,1
"others",26,14,2.1619,1
"white",73,12,0.5813,1
"white",71,4,0.253,1
"white",53,19,11.2351,1
"white",65,10,2.1619,0
"white",65,8,0.9214,0
"white",23,12,3.9394,1
"white",29,12,2.1279,1
"white",81,7,1.0212,0
"white",55,11,1.4398,0
"white",32,13,1.6472,1
"white",62,13,3.6476,1
"white",37,15,2.4193,0
"others",34,10,0.978,0
"white",45,12,4.9624,1
"white",35,10,2.0299,1
"white",33,14,5.2331,1
"white",57,12,6.6992,1
"white",45,8,0.6911,0
"others",39,3,2.7852,0
"white",66,13,2.4193,1
"white",63,14,2.1319,1
"white",36,19,4.6493,1
"white",28,11,0.7594,0
"others",56,11,2.7068,1
"white",24,16,3.7972,1
"white",30,9,3.4183,0
"others",28,12,4.4312,1
"white",45,19,7.8949,1
"white",53,19,11.8939,1
"white",33,12,3.8797,1
"white",24,16,1.8967,1
"others",25,12,6.0903,0
"white",48,12,3.2949,1
"white",36,12,13.6702,1
"white",51,12,6.0903,1
"others",51,12,3.8797,0
"white",30,12,4.9624,0
"white",64,16,1.4927,1
"white",63,12,2.8997,1
"white",22,14,2.7852,1
"white",46,12,0.4607,1
"white",37,17,1.8429,1
"white",25,19,2.4811,1
"others",33,14,0.253,1
"white",55,13,8.7545,1
"white",45,9,3.58,1
"white",32,16,3.3458,1
"others",21,13,0.2071,1
"white",23,11,2.7031,0
"white",72,11,1.3566,1
"white",64,6,1.3566,1
"white",85,7,2.1319,1
"white",40,16,4.4312,1
"white",28,11,1.8967,1
"white",48,14,7.0281,1
"white",43,10,4.4312,1
"white",76,9,1.0212,1
"white",55,19,2.4189,1
"white",29,12,3.7042,0
"others",35,10,0.6765,1
"white",48,12,0.1727,0
"white",21,15,6.274,0
"white",18,12,3.7972,0
"white",46,12,8.7545,1
"white",59,12,4.669,1
"white",37,12,4.669,0
"white",27,16,6.0903,1
"white",70,10,2.7852,1
"white",27,16,2.8311,1
"white",52,14,6.3304,1
"white",54,14,4.669,1
"others",48,16,13.3041,1
"white",54,12,4.4312,1
"white",40,12,3.2449,0
"white",77,12,0.1936,1
"white",43,16,4.8954,1
"white",76,16,0.7568,1
"white",67,12,1.1046,1
"white",67,12,1.7443,1
"others",44,3,0.2253,0
"white",55,6,0.1727,0
"white",64,7,1.1277,1
"white",59,14,8.4934,1
"others",70,15,0.7294,1
"white",60,12,7.0281,1
"white",56,6,0.6765,1
"white",36,13,5.1229,1
"others",32,14,1.864,1
"white",43,14,0.6177,1
"white",36,16,2.522,1
"white",78,12,1.9045,1
"white",66,8,1.5788,1
"white",37,16,11.6294,1
"white",34,17,2.9193,1
"white",35,12,3.3102,0
"white",32,13,2.7068,1
"white",78,12,1.7443,1
"white",64,10,2.5196,0
"white",80,12,2.7852,1
"white",39,12,2.4811,1
"white",28,12,1.3566,1
"others",36,12,1.6702,0
"white",60,12,4.0702,1
"white",41,12,5.178,0
"white",30,12,2.9193,1
"white",48,12,8.4934,1
"white",81,3,0.253,1
"white",65,12,3.7435,1
"white",31,19,0.2917,0
"white",18,12,6.274,1
"white",23,12,0.6911,0
"white",35,13,4.8954,1
"white",57,6,2.522,1
"others",25,14,1.9703,1
"white",47,10,12.4066,1
"others",29,17,6.9491,0
"white",23,12,3.7042,0
"white",51,12,2.7852,0
"white",46,12,0.8236,1
"white",64,4,1.8561,1
"others",61,3,1.1893,0
"white",82,16,7.0281,1
"others",61,8,0.4607,0
"white",61,16,11.8939,1
"others",33,11,2.2706,0
"white",30,14,2.2856,1
"white",32,15,5.4713,1
"white",40,8,1.8561,0
"others",66,1,0.2253,0
"white",32,16,6.9491,1
"white",27,12,3.3834,1
"others",61,19,6.9491,1
"white",62,8,5.1229,0
"white",23,12,2.7852,1
"white",59,12,6.0903,1
"white",75,8,1.2094,1
"white",31,12,4.4312,1
"white",62,12,3.3458,1
"white",57,11,2.1279,1
"others",29,12,4.669,0
"others",44,9,0.6177,0
"others",37,10,1.5788,0
"white",28,12,7.7751,1
"white",26,19,4.6493,1
"white",54,12,4.2857,0
"white",43,13,5.19,1
"others",38,19,3.58,1
"white",60,10,11.3918,1
"white",50,19,14.9247,1
"white",28,9,2.3866,1
"white",54,3,2.917,1
"white",70,7,2.0021,0
"white",42,8,2.3866,1
"white",38,12,5.178,0
"others",31,12,2.7852,1
"others",24,9,0.7594,0
"white",55,12,8.722,1
"white",31,15,4.3195,1
"white",24,14,2.3866,1
"white",24,16,4.4876,0
"white",74,10,0.7953,0
"white",55,12,4.8901,1
"white",28,12,3.6476,1
"white",40,13,3.7972,1
"white",47,19,10.1506,1
"others",46,6,0.7294,1
"white",21,8,2.5196,0
"white",30,16,3.2949,0
"white",31,16,1.261,1
"others",21,12,1.0212,0
"white",59,8,4.6493,1
"white",42,12,6.3304,1
"white",50,11,5.9469,0
"white",51,10,1.838,0
"white",38,12,3.8797,1
"others",64,13,4.4876,1
"white",60,14,4.8901,1
"white",64,12,6.9491,1
"white",40,19,11.2351,1
"white",36,12,1.9703,0
"white",67,11,3.1356,1
"white",30,12,4.669,0
"white",29,13,2.4189,1
"white",30,12,8.7545,0
"white",30,13,1.2094,1
"white",21,12,3.2449,1
"white",39,12,5.2331,1
"white",39,12,4.9624,1
"white",68,13,2.522,1
"white",55,12,6.0903,1
"white",77,10,0.253,0
"others",38,13,3.064,1
"white",42,12,2.4193,0
"white",42,19,13.3041,1
"white",80,8,1.261,0
"others",20,14,2.7722,0
"white",51,10,4.2313,1
"white",60,10,2.7852,1
"white",42,12,8.722,1
"white",27,13,4.0006,0
"white",47,12,6.274,1
"white",48,12,2.4193,1
"white",61,10,1.8429,0
"white",58,12,2.9072,1
"white",36,11,3.4183,0
"others",34,11,2.2706,0
"white",45,16,7.8949,1
"white",70,12,3.2949,1
"others",22,12,0.6304,0
"white",72,8,1.7443,1
"white",25,12,2.9072,0
"white",18,9,0.7294,0
"white",21,13,3.7042,0
"white",39,19,8.7517,1
"white",20,13,0.8284,0
"white",53,8,4.669,1
"others",35,14,5.2331,1
"white",19,14,2.9072,1
"white",24,12,3.4183,1
"white",35,12,3.2449,1
"white",78,16,1.4498,1
"white",27,12,4.4578,1
"white",46,14,6.0903,1
"others",72,3,0.6765,1
"white",64,12,1.0212,1
"white",62,12,1.7443,1
"white",48,16,2.8997,1
"others",53,7,0.5405,1
"others",83,12,1.9045,1
"white",38,14,4.3348,1
"white",81,5,0.7294,1
"white",39,12,3.4183,1
"white",32,8,3.58,0
"white",65,12,3.7435,1
"white",64,12,3.3458,1
"white",52,12,2.7852,1
"white",28,10,1.655,0
"white",56,12,2.4803,1
"white",51,12,4.4312,1
"white",50,10,2.917,1
"white",22,12,2.2706,1
"white",31,14,3.58,1
"others",22,8,0.5813,0
"white",37,19,5.1229,1
"white",39,12,3.58,1
"white",47,17,0.6177,1
"white",35,14,8.722,1
"white",43,19,3.3458,1
"white",28,14,2.4803,1
"white",32,14,3.46,1
"white",67,8,2.1885,1
"white",54,12,11.8939,1
"white",33,13,0.2162,1
"white",28,12,2.7722,1
"white",60,11,0.8236,0
"white",43,12,5.6622,1
"white",25,13,3.3102,0
"white",44,16,8.7517,1
"white",76,8,0.253,1
"others",49,0.5,1.3566,1
"white",65,12,0.9457,1
"white",22,12,3.7042,1
"white",35,16,11.2307,0
"others",26,14,3.7435,1
"white",29,12,0.9457,1
"white",26,16,7.0281,1
"white",61,12,6.5589,1
"white",50,12,2.7852,1
"white",24,12,1.261,1
"white",64,12,2.4811,1
"others",34,14,4.2857,1
"white",33,12,4.6493,1
"white",28,12,2.4811,1
"others",33,11,1.5788,0
"white",21,14,6.6992,1
"white",49,14,5.178,1
"white",54,12,0.9457,1
"others",84,7,0.8236,0
"white",43,12,5.2331,1
"others",33,12,3.3558,1
"white",24,9,0.2364,0
"white",28,16,2.4803,1
"others",43,19,9.3205,1
"white",63,12,0.6304,1
"others",44,14,8.3565,1
"others",44,13,7.0036,1
"white",42,13,2.2092,0
"white",27,14,8.7545,1
"white",23,13,3.46,0
"white",65,13,4.8901,1
"white",32,12,5.3986,1
"white",78,0.5,0.9689,0
"others",27,17,2.8311,0
"white",46,12,3.4183,1
"white",33,15,7.4874,1
