"wage76","grade76","exp76","black","south76","smsa76","region","smsa66","momdad14","sinmom14","nodaded","nomomed","daded","momed","famed","age76","col4"
1.7984,12,10,0,0,1,1,1,1,0,0,0,14,12,2,28,1
1.9359,12,14,0,0,1,1,1,1,0,0,0,11,12,6,32,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,12,12,3,32,1
NA,14,5,0,0,1,1,1,1,0,0,0,8,12,6,25,1
2.6391,18,10,0,0,0,1,1,1,0,0,0,14,13,1,34,1
1.0986,12,8,0,0,1,1,1,1,0,0,0,7,12,6,26,1
2.8904,18,8,0,0,1,2,1,1,0,0,0,16,16,1,32,1
1.4183,12,7,0,0,1,1,1,1,0,0,0,11,12,6,25,1
1.8437,14,9,0,0,0,1,0,0,1,1,0,9.9372,16,4,29,1
NA,15,5,0,0,0,1,0,1,0,0,0,12,12,3,26,1
1.7492,NA,NA,0,0,0,2,0,0,1,1,0,9.9372,12,4,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,13,9,5,31,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,6,9,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,8,8,31,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,6,6,8,27,1
0.7324,12,7,0,0,1,2,1,1,0,0,0,12,12,3,25,1
1.5195,12,7,1,0,1,2,1,0,1,1,0,9.9372,11,9,25,1
1.7405,12,11,1,0,1,2,1,0,0,1,1,9.9372,10.251,9,29,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,9,8,26,1
NA,NA,NA,1,NA,0,2,1,0,1,1,1,9.9372,10.251,9,27,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,13,6,32,1
2.109,16,2,0,0,1,2,1,1,0,0,0,10,10,7,24,1
1.7527,18,10,0,0,1,2,1,0,1,1,0,9.9372,12,4,34,1
0.9361,11,11,0,0,1,2,1,0,0,0,0,6,10,8,28,1
NA,NA,NA,0,NA,0,2,1,0,1,1,1,9.9372,10.251,9,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,8,8,8,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,8,8,33,1
NA,NA,NA,1,NA,0,2,1,0,0,1,1,9.9372,10.251,9,34,1
NA,NA,NA,1,NA,0,2,1,1,0,1,1,9.9372,10.251,9,29,1
1.1939,7,17,1,0,1,2,1,0,1,1,1,9.9372,10.251,9,30,1
2.2638,16,8,0,0,1,2,1,1,0,0,0,12,12,3,30,1
2.245,10,15,0,0,1,2,1,1,0,0,0,8,6,8,31,1
2.4389,18,10,0,0,1,2,1,1,0,0,0,8,11,8,34,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,10,9,24,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,12,4,27,1
NA,NA,NA,1,NA,0,2,1,0,0,1,1,9.9372,10.251,9,24,1
NA,12,14,0,0,1,2,1,1,0,1,0,9.9372,5,9,32,1
NA,13,8,1,0,1,2,1,1,0,0,0,9,10,7,27,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,9,9,7,26,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,9,9,7,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,11,8,24,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,10,9,26,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,10,12,6,30,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,10,12,6,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,2,6,8,28,1
1.1756,6,15,0,0,1,2,1,1,0,0,0,2,6,8,27,1
NA,NA,NA,1,NA,0,2,0,1,0,0,0,12,13,2,28,1
0.8544,11,7,1,0,1,2,1,1,0,0,0,6,12,6,24,1
2.3026,12,16,0,0,1,2,1,1,0,0,0,11,10,7,34,1
1.5707,9,11,0,0,1,2,1,0,1,1,0,9.9372,12,4,26,1
1.831,15,11,0,0,1,2,1,1,0,0,0,10,12,6,32,1
1.8718,11,17,0,0,1,2,1,1,0,0,0,8,10,8,34,1
NA,NA,NA,1,NA,0,2,1,0,1,0,0,12,9,5,31,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,12,12,3,25,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,12,12,3,29,1
1.2355,12,6,1,0,1,2,1,0,1,1,0,9.9372,10,9,24,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,12,4,26,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,12,4,25,1
1.335,16,2,0,1,1,2,1,1,0,0,0,12,10,5,24,1
1.2613,12,6,0,0,1,2,1,1,0,0,0,12,11,5,24,1
1.8856,13,6,0,0,1,2,1,0,1,1,0,9.9372,12,4,25,1
1.8262,17,5,0,0,1,2,1,1,0,0,0,10,10,7,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,10,10,7,26,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,18,15,1,34,1
1.4816,12,7,0,0,1,2,1,1,0,0,0,10,11,7,25,1
1.9988,12,8,1,0,1,2,1,1,0,0,0,12,10,5,26,1
NA,14,4,1,0,1,2,1,1,0,0,0,11,12,6,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,12,12,3,25,1
NA,NA,NA,1,NA,0,2,1,0,0,0,0,8,3,8,32,1
1.0296,11,14,1,1,0,2,1,1,0,0,0,5,5,8,31,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,12,12,3,29,1
NA,13,7,1,0,1,2,1,1,0,0,0,12,12,3,26,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,4,4,8,30,1
1.4679,10,8,0,0,1,2,1,0,0,0,1,5,10.251,9,24,1
1.953,12,9,0,0,1,2,1,0,1,1,0,9.9372,8,9,27,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,29,1
1.4469,12,9,0,0,1,2,1,1,0,0,0,10,12,6,27,1
1.7422,12,6,0,0,1,2,1,0,1,1,0,9.9372,4,9,24,1
1.6827,16,8,0,0,1,2,1,1,0,0,0,12,12,3,30,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,27,1
NA,14,7,0,0,1,2,1,0,1,1,0,9.9372,12,4,27,1
2.0015,16,10,0,0,1,2,1,1,0,0,0,12,12,3,32,1
1.9066,13,13,0,0,1,2,1,1,0,0,0,10,12,6,32,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,12,6,28,1
NA,NA,NA,1,NA,0,2,1,1,0,1,1,9.9372,10.251,9,33,1
2.0399,12,16,0,0,1,2,1,1,0,0,0,10,10,7,34,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,10,10,7,26,1
1.7783,12,6,0,0,1,2,1,0,0,0,0,10,10,7,24,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,11,9,25,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,16,12,2,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,9,8,25,1
0.7561,9,9,1,0,1,2,1,1,0,0,0,12,11,5,24,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,10,10,7,28,1
2.7492,16,12,0,0,1,2,1,1,0,0,0,12,12,3,34,1
NA,NA,NA,0,NA,0,2,1,1,0,0,1,12,10.251,5,29,1
2.0464,16,6,0,0,1,2,1,1,0,0,0,11,11,7,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,8,5,29,1
1.7918,12,8,0,1,1,2,1,1,0,0,0,8,9,8,26,1
NA,16,3,0,0,1,2,1,1,0,0,0,16,16,1,25,1
1.9359,18,0,0,0,1,2,1,1,0,0,0,16,16,1,24,1
NA,16,7,0,0,1,2,1,1,0,0,0,18,12,2,29,1
1.7405,13,12,0,0,1,2,1,1,0,0,0,8,12,6,31,1
1.4656,14,8,0,0,1,2,1,1,0,0,0,12,12,3,28,1
1.6827,15,7,0,0,1,2,1,1,0,0,0,12,12,3,28,1
1.8358,12,7,0,0,1,2,1,0,0,0,0,12,9,5,25,1
1.5707,8,17,0,0,1,2,1,1,0,0,0,12,11,5,31,1
NA,NA,NA,0,NA,0,2,1,1,0,1,1,9.9372,10.251,9,31,1
1.6956,12,8,0,0,1,2,1,1,0,0,0,6,11,8,26,1
1.7509,12,7,0,0,1,2,1,1,0,0,0,12,9,5,25,1
NA,NA,NA,1,NA,0,2,1,0,1,1,1,9.9372,10.251,9,32,1
1.9459,16,3,0,0,1,2,1,1,0,0,0,14,12,2,25,1
NA,NA,NA,1,NA,0,2,1,0,0,1,1,9.9372,10.251,9,24,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,9,9,26,1
2.0643,16,6,0,0,1,2,1,1,0,0,0,12,12,3,28,1
2.3145,17,4,0,0,1,2,1,1,0,0,0,12,12,3,27,1
2.0255,12,6,0,0,1,2,1,1,0,0,0,12,10,5,24,1
1.7934,14,9,0,0,1,2,1,1,0,0,0,12,16,2,29,1
1.0403,12,6,0,0,1,2,1,0,1,1,0,9.9372,12,4,24,1
1.203,7,19,0,1,0,2,1,1,0,0,1,2,10.251,9,32,1
NA,12,8,0,0,1,2,1,0,0,0,0,12,12,3,26,1
0.9163,12,6,0,0,1,2,1,0,0,0,0,12,12,3,24,1
NA,13,8,0,0,1,2,1,1,0,0,0,10,12,6,27,1
1.6094,12,8,0,0,1,2,1,1,0,0,0,10,12,6,26,1
1.7047,11,14,0,0,1,2,1,1,0,0,0,8,6,8,31,1
2.4362,12,7,0,0,1,2,1,1,0,0,0,8,6,8,25,1
2.0919,18,7,0,1,1,2,1,1,0,0,0,8,8,8,31,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,8,8,8,34,1
NA,NA,NA,0,NA,0,2,1,1,0,0,1,10,10.251,9,24,1
NA,NA,NA,1,NA,0,2,1,1,0,1,0,9.9372,8,9,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,7,7,8,33,1
1.141,12,10,1,0,1,2,1,0,1,1,0,9.9372,9,9,28,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,5,11,8,29,1
1.9892,18,1,0,0,1,2,1,0,1,1,0,9.9372,4,9,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,6,6,8,26,1
1.8326,16,3,0,0,1,2,1,1,0,0,0,9,10,7,25,1
1.7716,14,4,0,0,1,2,1,1,0,0,0,16,12,2,24,1
1.3218,14,6,0,0,1,2,1,1,0,0,0,12,12,3,26,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,7,12,6,34,1
2.1005,16,7,0,1,1,2,0,1,0,0,0,14,11,5,29,1
NA,12,8,0,0,1,2,1,1,0,0,0,4,3,8,26,1
2.1576,14,10,0,0,1,2,1,1,0,0,0,15,12,2,30,1
1.2528,15,7,0,1,1,2,0,1,0,0,0,12,12,3,28,1
0.7031,13,5,0,1,1,2,1,1,0,0,0,12,12,3,24,1
1.6194,13,13,0,1,1,2,1,0,0,0,0,16,16,1,32,1
2.0992,17,7,0,0,1,2,1,1,0,0,0,12,13,2,30,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,15,17,1,30,1
1.8326,18,2,0,0,1,2,1,1,0,0,0,14,12,2,26,1
2.0399,18,8,0,0,1,2,0,1,0,0,0,16,16,1,32,1
1.6094,17,4,0,0,1,2,1,1,0,0,0,16,17,1,27,1
NA,NA,NA,0,NA,0,2,0,1,0,0,0,18,18,1,31,1
1.2528,16,4,0,0,1,2,1,1,0,0,0,18,18,1,26,1
NA,16,4,0,0,1,2,1,1,0,0,0,18,16,1,26,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,26,1
1.8229,17,4,0,0,1,2,0,1,0,0,0,12,8,5,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,11,12,6,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,14,14,1,29,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,25,1
1.8718,12,12,0,0,1,2,1,0,1,1,0,9.9372,8,9,30,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,16,13,1,24,1
2.0399,18,4,0,0,1,2,1,1,0,0,0,10,12,6,28,1
1.6332,12,8,0,0,1,2,1,1,0,0,0,10,12,6,26,1
1.8326,18,7,0,0,1,2,1,1,0,0,0,12,13,2,31,1
2.4078,14,11,0,0,1,2,1,1,0,0,0,12,12,3,31,1
1.9755,13,9,0,0,1,2,1,1,0,0,0,12,12,3,28,1
2.4458,14,12,0,0,1,2,1,1,0,0,0,13,12,2,32,1
NA,14,5,0,1,1,2,1,0,1,1,0,9.9372,12,4,25,1
2.1126,18,10,0,0,0,2,1,1,0,0,0,18,18,1,34,1
NA,NA,NA,0,NA,0,2,1,0,0,0,0,16,14,1,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,33,1
2.2225,16,12,0,0,1,2,1,1,0,0,0,14,12,2,34,1
2.3758,17,5,0,0,1,2,0,1,0,0,0,14,17,1,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,7,10,8,33,1
NA,NA,NA,1,NA,0,2,1,0,1,1,0,9.9372,11,9,26,1
NA,14,8,1,0,1,2,1,1,0,1,0,9.9372,12,4,28,1
1.8326,12,15,0,0,1,2,1,1,0,1,0,9.9372,8,9,33,1
1.5261,13,8,0,0,1,2,1,0,1,1,0,9.9372,8,9,27,1
NA,15,6,0,0,1,2,1,1,0,0,0,12,8,5,27,1
NA,NA,NA,1,NA,0,2,1,1,0,0,0,4,8,8,25,1
2.1972,14,4,1,0,1,2,1,1,0,0,0,8,12,6,24,1
1.9199,18,5,0,0,1,2,0,1,0,0,0,8,9,8,29,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,8,8,8,32,1
NA,15,7,0,0,1,2,1,1,0,0,0,10,12,6,28,1
1.4134,12,6,0,0,1,2,1,1,0,0,0,10,12,6,24,1
1.8326,13,8,0,0,1,2,1,1,0,0,0,12,15,2,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,5,4,8,25,1
NA,16,3,0,0,1,2,1,1,0,0,0,12,13,2,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,13,2,27,1
2.3076,18,8,0,0,1,2,1,1,0,0,0,12,12,3,32,1
NA,17,3,0,0,1,2,1,1,0,0,0,12,12,3,26,1
NA,12,16,0,0,1,2,1,1,0,0,0,7,8,8,34,1
1.981,11,7,0,0,1,2,1,1,0,0,0,9,11,7,24,1
2.0149,15,6,0,0,1,2,1,1,0,0,0,8,11,8,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,8,11,8,25,1
1.6658,14,9,0,0,1,2,0,1,0,1,0,9.9372,8,9,29,1
2.2742,17,6,0,0,1,2,1,1,0,0,0,8,12,6,29,1
1.3863,12,10,0,0,1,2,1,1,0,0,0,9,11,7,28,1
1.4085,9,9,0,0,1,2,1,1,0,0,0,9,11,7,24,1
1.5518,12,8,0,0,0,2,1,0,0,0,0,12,12,3,26,1
1.1787,12,6,0,0,1,2,1,0,0,0,0,12,12,3,24,1
2.1691,12,16,0,0,1,2,1,1,0,1,0,9.9372,12,4,34,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,31,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,26,1
1.8326,13,15,0,0,1,2,1,1,0,0,0,9,10,7,34,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,9,11,7,33,1
1.2149,12,8,0,0,1,2,1,1,0,0,0,8,10,8,26,1
1.5707,16,5,0,0,1,2,1,1,0,0,0,5,5,8,27,1
1.8718,9,14,0,0,1,2,1,1,0,0,1,5,10.251,9,29,1
1.3429,16,3,0,0,1,2,1,1,0,0,0,5,4,8,25,1
NA,NA,NA,0,NA,0,2,1,1,0,0,1,6,10.251,9,31,1
2.2638,18,6,0,0,1,2,1,1,0,0,0,15,14,1,30,1
1.8165,16,7,0,0,0,2,1,1,0,0,0,13,12,2,29,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,16,12,2,30,1
1.9488,14,8,0,0,1,2,1,1,0,0,0,12,12,3,28,1
NA,12,7,0,0,1,2,1,1,0,0,0,12,9,5,25,1
1.8485,14,11,0,0,1,2,1,1,0,1,0,9.9372,12,4,31,1
0.6931,12,10,0,0,1,2,1,1,0,0,0,10,11,7,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,9,5,24,1
2.1005,12,9,0,0,1,2,1,1,0,0,0,10,10,7,27,1
1.7527,14,6,0,0,1,2,1,0,1,1,0,9.9372,12,4,26,1
1.539,17,3,0,0,1,2,1,1,0,0,0,12,12,3,26,1
2.2235,16,7,0,0,1,2,1,0,1,1,0,9.9372,12,4,29,1
2.0707,16,9,0,1,1,2,0,1,0,0,0,12,12,3,31,1
1.8485,14,8,0,0,1,2,1,1,0,0,0,12,12,3,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,10,12,6,26,1
1.7405,12,7,0,0,1,2,1,0,0,1,1,9.9372,10.251,9,25,1
1.953,16,7,0,0,1,2,1,1,0,0,0,12,12,3,29,1
1.8485,14,8,0,0,1,2,1,1,0,0,0,12,9,5,28,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,9,5,25,1
1.9373,12,12,0,0,1,2,1,0,0,1,0,9.9372,12,4,30,1
1.8165,13,15,0,0,1,2,1,1,0,0,0,10,12,6,34,1
1.5304,16,4,0,0,1,2,1,1,0,0,0,15,10,5,26,1
2.1576,12,16,0,0,1,2,1,1,0,0,0,12,12,3,34,1
1.9974,18,9,0,1,1,2,0,1,0,0,0,12,12,3,33,1
2.6391,12,7,0,0,1,2,1,1,0,0,0,8,14,6,25,1
1.3218,13,5,0,1,0,2,1,1,0,0,0,12,12,3,24,1
2.0894,12,13,0,0,1,2,1,0,1,1,0,9.9372,7,9,31,1
1.3962,12,7,0,0,1,2,1,1,0,0,0,9,12,6,25,1
1.8779,16,4,0,0,1,2,1,1,0,0,0,11,12,6,26,1
1.0986,12,7,0,0,1,2,1,0,1,1,0,9.9372,12,4,25,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,12,4,24,1
1.7527,16,8,0,0,1,2,1,1,0,0,0,8,10,8,30,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,8,10,8,25,1
NA,11,7,1,0,1,2,1,0,0,1,1,9.9372,10.251,9,24,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,14,14,1,29,1
0.9746,16,2,0,0,1,2,1,1,0,0,0,10,12,6,24,1
1.7817,18,7,0,0,0,2,1,1,0,0,0,8,8,8,31,1
NA,17,1,0,0,1,2,1,1,0,0,0,12,12,3,24,1
1.1787,17,3,0,0,1,2,1,1,0,0,0,12,8,5,26,1
1.3481,16,2,0,0,0,2,1,1,0,0,0,12,8,5,24,1
2.3026,18,1,0,0,1,2,1,1,0,0,0,12,12,3,25,1
1.5369,18,4,0,0,1,2,1,1,0,0,0,8,11,8,28,1
1.4816,16,6,0,0,1,2,0,1,0,0,0,16,18,1,28,1
1.8326,16,5,0,0,1,2,0,1,0,0,0,16,17,1,27,1
1.0473,17,4,0,0,1,2,1,1,0,0,0,11,12,6,27,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,10,9,34,1
1.8718,14,7,0,0,1,2,1,1,0,0,0,10,12,6,27,1
2.0894,13,6,0,0,1,2,1,1,0,0,0,10,12,6,25,1
1.6094,12,6,0,0,1,2,1,1,0,0,0,10,12,6,24,1
2.1175,16,4,0,0,1,2,1,1,0,0,0,14,12,2,26,1
NA,16,2,0,0,1,2,1,1,0,0,0,14,12,2,24,1
1.6094,12,13,0,0,1,2,1,1,0,0,0,8,6,8,31,1
NA,NA,NA,0,NA,0,2,1,0,1,1,0,9.9372,8,9,27,1
1.9359,17,9,0,0,1,2,1,1,0,0,0,12,12,3,32,1
2.3979,12,9,0,0,1,2,1,1,0,0,0,12,10,5,27,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,12,12,3,25,1
2.0321,12,7,0,0,1,2,1,1,0,0,0,8,12,6,25,1
0.9439,13,5,0,0,1,2,1,1,0,0,0,12,13,2,24,1
2.0732,12,9,0,0,1,1,1,1,0,0,0,8,9,8,27,1
NA,NA,NA,0,NA,0,1,1,0,1,0,0,12,12,3,24,1
1.203,16,3,0,0,1,1,1,1,0,0,0,7,8,8,25,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,16,16,1,29,1
1.4085,18,6,0,0,1,1,1,1,0,0,0,16,12,2,30,1
2.1576,16,5,0,0,1,1,1,1,0,1,0,9.9372,12,4,27,1
2.1838,12,13,0,0,1,1,1,1,0,0,0,8,12,6,31,1
1.9066,12,16,0,0,1,1,1,1,0,1,0,9.9372,12,4,34,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,9,12,6,27,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,12,15,2,31,1
1.9459,12,15,0,0,0,1,1,1,0,0,1,7,10.251,9,33,1
0.9163,18,9,0,1,1,1,1,1,0,0,0,16,16,1,33,1
1.8326,11,10,0,0,1,1,1,1,0,0,0,11,9,7,27,1
1.4279,13,12,0,0,1,1,1,1,0,0,0,8,12,6,31,1
1.7509,13,9,0,0,1,1,1,1,0,0,0,8,12,6,28,1
1.8132,12,8,1,0,1,1,1,1,0,0,0,12,9,5,26,1
1.9459,12,13,0,0,1,1,1,1,0,0,0,11,9,7,31,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,11,9,7,28,1
1.5041,12,6,0,0,1,1,1,1,0,0,0,11,9,7,24,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,12,16,2,32,1
1.6094,16,6,0,0,1,1,1,0,1,1,0,9.9372,12,4,28,1
1.6371,12,7,0,0,0,1,1,1,0,0,1,12,10.251,5,25,1
0.9163,16,3,0,0,1,1,1,1,0,0,0,12,12,3,25,1
1.1474,12,6,0,0,0,1,1,1,0,0,0,12,12,3,24,1
1.3218,12,11,0,0,1,1,1,1,0,0,0,9,12,6,29,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,13,16,1,31,1
NA,16,11,0,0,1,1,1,1,0,0,0,16,16,1,33,1
NA,14,14,1,0,1,1,1,1,0,0,0,5,6,8,34,1
1.5195,15,13,0,0,0,1,1,0,1,1,0,9.9372,12,4,34,1
1.0116,12,9,1,0,1,1,1,0,0,1,1,9.9372,10.251,9,27,1
2.2523,12,10,0,0,1,1,1,0,1,1,0,9.9372,12,4,28,1
2.4114,16,10,0,0,1,1,0,1,0,0,0,8,9,8,32,1
NA,NA,NA,0,0,1,1,1,1,0,0,0,14,9,5,32,1
1.0613,16,3,0,0,0,1,1,1,0,0,0,12,14,2,25,1
1.6094,16,3,0,0,1,1,1,0,0,1,1,9.9372,10.251,9,25,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,10,11,7,31,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,12,12,3,28,1
1.9824,18,8,0,0,1,1,1,1,0,0,0,16,12,2,32,1
2.5377,18,5,0,0,1,1,1,1,0,0,0,18,12,2,29,1
1.8132,17,3,1,0,1,1,1,1,0,0,0,18,18,1,26,1
NA,NA,NA,1,NA,0,1,1,0,0,0,0,12,12,3,27,1
NA,NA,NA,1,NA,0,1,1,1,0,0,1,7,10.251,9,27,1
NA,16,10,0,0,1,1,1,1,0,0,0,8,8,8,32,1
1.6956,12,10,0,0,1,1,1,1,0,0,0,10,11,7,28,1
1.0225,13,9,0,0,1,1,1,1,0,0,0,12,8,5,28,1
NA,12,8,0,0,1,1,1,1,0,0,0,12,8,5,26,1
2.6686,18,10,0,0,1,1,1,1,0,0,0,16,12,2,34,1
2.2976,16,5,0,0,1,1,1,1,0,0,0,16,12,2,27,1
1.9459,12,11,0,0,1,1,1,1,0,0,0,11,11,7,29,1
NA,12,12,0,0,1,1,1,0,0,1,1,9.9372,10.251,9,30,1
1.7527,16,6,0,0,1,1,1,1,0,0,0,9,12,6,28,1
2.1494,16,9,0,0,1,1,1,1,0,0,0,6,12,6,31,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,9,14,6,27,1
1.9257,12,10,0,0,1,1,1,0,0,0,1,12,10.251,5,28,1
2.1187,15,10,0,0,1,1,1,1,0,0,1,11,10.251,9,31,1
NA,12,9,0,0,1,1,1,1,0,0,0,18,14,1,27,1
1.8453,13,14,0,0,1,1,1,1,0,0,0,13,8,5,33,1
1.9301,12,14,0,0,1,1,1,1,0,0,0,12,12,3,32,1
2.0399,14,10,0,0,1,1,1,1,0,0,0,8,8,8,30,1
NA,12,8,0,0,1,1,1,1,0,0,0,11,12,6,26,1
NA,12,15,0,0,1,1,1,1,0,0,0,8,7,8,33,1
1.3481,15,6,0,0,1,1,1,1,0,0,0,12,14,2,27,1
1.5041,12,6,0,0,1,1,1,1,0,0,0,12,14,2,24,1
NA,12,8,0,0,1,1,1,1,0,0,0,7,7,8,26,1
1.8165,12,9,0,0,1,1,1,1,0,0,0,10,12,6,27,1
