"Tuna.hid","Tuna.id","Tuna.choice","price.skw","price.cosw","price.sko","price.coso","price.pw"
73,2,"coso",0.81,0.69,0.81,0.19,0.65
74,1,"coso",0.82,0.69,0.82,0.29,0.65
74,2,"coso",0.88,0.69,0.82,0.29,0.65
75,1,"skw",0.87,0.59,0.87,0.59,0.59
76,1,"skw",0.69,0.89,0.69,0.89,0.7
76,2,"skw",0.69,0.84,0.69,0.84,0.59
76,3,"skw",0.89,0.89,0.89,0.89,0.67
76,4,"sko",0.69,0.84,0.69,0.84,0.59
76,5,"sko",0.69,0.84,0.69,0.84,0.59
76,6,"sko",0.69,0.84,0.69,0.84,0.59
76,7,"sko",0.69,0.84,0.69,0.89,0.59
77,1,"skw",0.69,0.89,0.69,0.89,0.59
77,2,"skw",0.69,0.84,0.69,0.84,0.59
77,3,"skw",0.69,0.84,0.69,0.84,0.59
77,4,"skw",0.69,0.68,0.69,0.68,0.59
77,5,"skw",0.89,0.89,0.89,0.89,0.59
77,6,"skw",0.89,0.89,0.69,0.89,0.59
77,7,"skw",0.89,0.89,0.89,0.89,0.59
77,8,"skw",0.89,0.89,0.89,0.89,0.67
77,9,"skw",0.49,0.39,0.89,0.39,0.67
77,10,"skw",0.49,0.89,0.89,0.45,0.67
77,11,"skw",0.89,0.79,0.89,0.79,0.67
77,12,"skw",0.29,0.39,0.89,0.39,0.67
77,13,"skw",0.59,0.79,0.69,0.89,0.67
77,14,"skw",0.59,0.79,0.89,0.89,0.67
77,15,"skw",0.87,0.49,0.69,0.39,0.67
77,16,"skw",0.87,0.69,0.69,0.69,0.67
77,17,"skw",0.87,0.87,0.37,0.87,0.67
77,18,"skw",0.87,0.87,0.69,0.87,0.67
77,19,"skw",0.87,0.87,0.39,0.87,0.69
77,20,"skw",0.82,0.87,0.69,0.87,0.69
77,21,"skw",0.59,0.67,0.67,0.67,0.69
77,22,"skw",0.59,0.67,0.67,0.69,0.65
77,23,"skw",0.59,0.39,0.69,0.39,0.65
77,24,"skw",0.82,0.57,0.82,0.57,0.65
77,25,"skw",0.82,0.69,0.81,0.19,0.65
77,26,"skw",0.82,0.69,0.82,0.69,0.65
77,27,"cosw",0.87,0.59,0.87,0.59,0.59
77,28,"cosw",0.87,0.84,0.87,0.84,0.59
77,29,"coso",0.67,0.67,0.67,0.39,0.65
77,30,"coso",0.69,0.69,0.69,0.39,0.65
77,31,"coso",0.69,0.87,0.69,0.29,0.65
78,1,"skw",0.29,0.39,0.89,0.39,0.67
78,2,"skw",0.29,0.39,0.89,0.39,0.67
78,3,"skw",0.49,0.49,0.89,0.49,0.67
78,4,"skw",0.29,0.69,0.29,0.69,0.17
78,5,"cosw",0.87,0.59,0.87,0.89,0.59
78,6,"cosw",0.82,0.5,0.69,0.69,0.65
78,7,"sko",0.69,0.68,0.69,0.68,0.59
78,8,"pw",0.69,0.69,0.69,0.69,0.65
79,1,"sko",0.69,0.89,0.69,0.89,0.59
79,2,"sko",0.69,0.89,0.69,0.89,0.7
80,1,"coso",0.67,0.67,0.67,0.39,0.65
81,1,"skw",0.39,0.87,0.39,0.87,0.67
82,1,"coso",0.87,0.59,0.87,0.59,0.59
82,2,"coso",0.87,0.59,0.87,0.59,0.59
82,3,"pw",0.59,0.59,0.59,0.59,0.59
82,4,"pw",0.89,0.89,0.89,0.89,0.59
83,1,"skw",0.29,0.39,0.89,0.39,0.67
83,2,"skw",0.29,0.39,0.89,0.39,0.67
83,3,"skw",0.49,0.49,0.89,0.49,0.67
83,4,"skw",0.49,0.49,0.89,0.49,0.67
83,5,"cosw",0.69,0.5,0.69,0.69,0.65
83,6,"sko",0.69,0.89,0.69,0.89,0.7
83,7,"sko",0.69,0.84,0.69,0.84,0.59
83,8,"sko",0.69,0.84,0.69,0.89,0.59
83,9,"sko",0.89,0.89,0.59,0.89,0.59
83,10,"sko",0.33,0.79,0.33,0.79,0.67
83,11,"coso",0.59,0.59,0.59,0.59,0.59
83,12,"coso",0.87,0.59,0.87,0.59,0.59
83,13,"coso",0.87,0.59,0.87,0.59,0.59
83,14,"coso",0.67,0.67,0.67,0.39,0.65
83,15,"coso",0.67,0.67,0.67,0.39,0.65
83,16,"coso",0.69,0.69,0.69,0.39,0.65
83,17,"coso",0.69,0.69,0.69,0.39,0.65
83,18,"coso",0.82,0.69,0.69,0.5,0.65
83,19,"coso",0.82,0.69,0.69,0.5,0.65
83,20,"coso",0.69,0.87,0.69,0.29,0.65
83,21,"coso",0.88,0.69,0.82,0.29,0.65
84,1,"cosw",0.87,0.59,0.87,0.89,0.59
85,1,"skw",0.69,0.89,0.69,0.89,0.59
85,2,"skw",0.69,0.84,0.69,0.84,0.59
85,3,"skw",0.49,0.79,0.89,0.79,0.67
85,4,"skw",0.49,0.79,0.89,0.89,0.67
85,5,"cosw",0.87,0.59,0.87,0.59,0.59
86,1,"skw",0.69,0.84,0.69,0.84,0.59
86,2,"skw",0.79,0.84,0.79,0.84,0.59
86,3,"skw",0.79,0.84,0.79,0.89,0.59
87,1,"skw",0.79,0.84,0.79,0.89,0.59
87,2,"skw",0.49,0.89,0.89,0.45,0.67
87,3,"cosw",0.87,0.59,0.87,0.59,0.59
87,4,"sko",0.69,0.84,0.69,0.84,0.59
87,5,"sko",0.79,0.84,0.79,0.89,0.59
87,6,"sko",0.89,0.89,0.59,0.89,0.59
87,7,"coso",0.59,0.59,0.59,0.59,0.59
87,8,"coso",0.59,0.59,0.59,0.59,0.59
87,9,"coso",0.69,0.84,0.69,0.84,0.59
87,10,"coso",0.79,0.84,0.79,0.84,0.59
87,11,"coso",0.69,0.69,0.69,0.39,0.65
87,12,"coso",0.69,0.69,0.69,0.5,0.65
88,1,"skw",0.29,0.89,0.29,0.89,0.67
88,2,"skw",0.49,0.89,0.49,0.89,0.67
88,3,"skw",0.49,0.79,0.49,0.89,0.67
88,4,"skw",0.59,0.79,0.49,0.89,0.67
88,5,"skw",0.37,0.87,0.37,0.87,0.67
88,6,"cosw",0.69,0.39,0.69,0.39,0.65
89,1,"skw",0.69,0.89,0.69,0.89,0.59
89,2,"skw",0.49,0.89,0.89,0.45,0.67
89,3,"skw",0.29,0.39,0.89,0.39,0.67
89,4,"skw",0.89,0.99,0.89,0.59,0.67
89,5,"skw",0.49,0.49,0.89,0.49,0.67
89,6,"skw",0.49,0.49,0.89,0.49,0.67
89,7,"cosw",0.87,0.59,0.87,0.59,0.59
89,8,"cosw",0.89,0.89,0.89,0.79,0.67
89,9,"cosw",0.69,0.87,0.69,0.69,0.67
89,10,"cosw",0.69,0.5,0.69,0.69,0.65
89,11,"sko",0.69,0.84,0.69,0.89,0.59
89,12,"coso",0.59,0.59,0.59,0.59,0.59
89,13,"coso",0.87,0.59,0.87,0.59,0.59
89,14,"coso",0.87,0.59,0.87,0.59,0.59
89,15,"coso",0.67,0.67,0.67,0.39,0.65
89,16,"coso",0.69,0.87,0.69,0.29,0.65
89,17,"coso",0.82,0.69,0.82,0.29,0.65
90,1,"skw",0.49,0.89,0.89,0.45,0.67
90,2,"sko",0.69,0.84,0.69,0.84,0.59
90,3,"sko",0.69,0.84,0.69,0.84,0.59
90,4,"sko",0.69,0.84,0.87,0.84,0.59
90,5,"coso",0.59,0.59,0.59,0.59,0.59
90,6,"coso",0.67,0.67,0.67,0.39,0.65
91,1,"cosw",0.69,0.89,0.69,0.89,0.7
91,2,"cosw",0.87,0.59,0.87,0.59,0.59
91,3,"cosw",0.69,0.84,0.69,0.84,0.59
92,1,"skw",0.69,0.87,0.69,0.87,0.67
92,2,"skw",0.69,0.87,0.69,0.87,0.69
92,3,"skw",0.67,0.67,0.67,0.69,0.65
92,4,"skw",0.82,0.87,0.69,0.69,0.65
92,5,"skw",0.33,0.69,0.33,0.69,0.65
92,6,"skw",0.69,0.87,0.69,0.87,0.65
92,7,"cosw",0.82,0.57,0.82,0.57,0.65
93,1,"skw",0.69,0.84,0.69,0.84,0.59
93,2,"skw",0.69,0.84,0.69,0.89,0.59
93,3,"skw",0.69,0.84,0.69,0.89,0.59
93,4,"skw",0.69,0.68,0.69,0.68,0.59
93,5,"skw",0.69,0.89,0.89,0.89,0.59
93,6,"skw",0.49,0.89,0.89,0.45,0.67
93,7,"skw",0.29,0.39,0.89,0.39,0.67
93,8,"skw",0.49,0.49,0.89,0.49,0.67
93,9,"skw",0.89,0.89,0.69,0.89,0.67
93,10,"cosw",0.87,0.59,0.87,0.59,0.59
93,11,"cosw",0.87,0.59,0.87,0.59,0.59
93,12,"sko",0.69,0.84,0.69,0.84,0.59
93,13,"sko",0.89,0.89,0.59,0.89,0.59
93,14,"coso",0.69,0.59,0.59,0.59,0.59
93,15,"coso",0.87,0.59,0.87,0.59,0.59
93,16,"coso",0.67,0.67,0.67,0.39,0.65
93,17,"coso",0.69,0.69,0.69,0.39,0.65
93,18,"coso",0.69,0.69,0.69,0.5,0.65
93,19,"coso",0.69,0.87,0.69,0.29,0.65
94,1,"skw",0.49,0.89,0.89,0.45,0.67
94,2,"sko",0.89,0.39,0.49,0.39,0.67
94,3,"coso",0.82,0.69,0.82,0.29,0.65
95,1,"skw",0.49,0.79,0.49,0.89,0.67
95,2,"skw",0.59,0.79,0.49,0.89,0.67
95,3,"cosw",0.89,0.39,0.89,0.39,0.67
95,4,"cosw",0.89,0.59,0.89,0.39,0.67
95,5,"cosw",0.69,0.39,0.69,0.39,0.67
95,6,"cosw",0.69,0.59,0.69,0.39,0.67
95,7,"cosw",0.69,0.69,0.69,0.69,0.65
95,8,"sko",0.69,0.89,0.69,0.89,0.67
96,1,"skw",0.69,0.84,0.69,0.84,0.59
96,2,"skw",0.49,0.49,0.89,0.49,0.67
96,3,"coso",0.67,0.67,0.67,0.39,0.65
96,4,"coso",0.69,0.69,0.69,0.39,0.65
97,1,"sko",0.89,0.39,0.49,0.39,0.67
98,1,"coso",0.89,0.49,0.89,0.89,0.67
98,2,"coso",0.67,0.67,0.67,0.39,0.65
99,1,"skw",0.29,0.39,0.89,0.39,0.67
100,1,"skw",0.69,0.89,0.69,0.89,0.7
100,2,"skw",0.69,0.84,0.69,0.84,0.59
100,3,"skw",0.69,0.84,0.69,0.84,0.59
100,4,"skw",0.59,0.89,0.89,0.89,0.59
100,5,"skw",0.59,0.79,0.89,0.89,0.67
100,6,"skw",0.82,0.69,0.81,0.69,0.65
100,7,"cosw",0.87,0.84,0.87,0.84,0.59
100,8,"cosw",0.88,0.87,0.82,0.69,0.65
100,9,"cosw",0.81,0.59,0.81,0.19,0.65
100,10,"coso",0.88,0.69,0.82,0.29,0.65
101,1,"skw",0.69,0.84,0.69,0.84,0.59
101,2,"skw",0.59,0.89,0.89,0.89,0.59
101,3,"coso",0.69,0.87,0.69,0.29,0.65
102,1,"skw",0.69,0.89,0.69,0.89,0.7
103,1,"skw",0.69,0.84,0.69,0.89,0.59
103,2,"skw",0.69,0.87,0.69,0.87,0.67
104,1,"skw",0.87,0.59,0.87,0.59,0.59
105,1,"skw",0.69,0.89,0.69,0.89,0.7
105,2,"skw",0.87,0.59,0.87,0.89,0.59
105,3,"skw",0.87,0.99,0.89,0.59,0.67
105,4,"cosw",0.87,0.59,0.87,0.59,0.59
106,1,"skw",0.69,0.89,0.69,0.89,0.7
106,2,"sko",0.89,0.39,0.49,0.39,0.67
107,1,"pw",0.89,0.89,0.89,0.79,0.67
107,2,"pw",0.33,0.79,0.33,0.79,0.67
