"cost","output","pl","sl","pk","sk","pf","sf"
4.714,550,2.05,0.0806,158,0.292,35.1,0.6275
4.357,563,2.32,0.0703,162,0.4024,31.9,0.5273
3.919,566,2.31,0.065,198,0.3776,33.5,0.5574
3.442,592,1.92,0.0915,164,0.4564,22.5,0.4521
4.898,671,2.05,0.1479,164,0.3432,35.1,0.5089
3.584,696,1.76,0.0702,161,0.3709,10.3,0.5589
5.535,719,1.7,0.0703,174,0.4946,26.9,0.4351
4.406,742,2.04,0.1516,157,0.4633,20.7,0.3851
4.289,795,2.24,0.0483,185,0.3569,26.5,0.5949
6.731,800,1.7,0.117,157,0.3396,26.9,0.5434
6.895,808,1.68,0.0859,203,0.406,39.7,0.5081
5.112,811,2.29,0.0847,178,0.2884,28.5,0.6269
5.141,855,2,0.1457,183,0.4317,34.3,0.4226
5.72,860,2.31,0.0597,168,0.4528,33.5,0.4875
4.691,909,1.45,0.0921,196,0.4435,17.6,0.4644
6.832,913,1.7,0.125,166,0.4028,26.9,0.4721
4.813,924,1.76,0.1163,172,0.5402,10.3,0.3436
6.754,984,1.7,0.1083,158,0.2435,26.9,0.6482
5.127,991,2.09,0.0861,174,0.4965,30,0.4174
6.388,1000,1.55,0.0408,225,0.3881,28.2,0.6667
4.509,1098,2.11,0.0781,168,0.4481,24.4,0.4738
7.185,1109,2.05,0.0752,177,0.2527,35.1,0.6721
6.8,1118,2.3,0.1299,161,0.3511,23.6,0.5311
7.743,1122,2.19,0.0977,162,0.3743,29.1,0.5279
7.968,1137,2.04,0.0655,158,0.4552,20.7,0.4793
8.858,1156,2.31,0.1052,176,0.3154,33.5,0.5794
8.588,1166,1.7,0.1224,183,0.4339,26.9,0.4436
6.449,1170,2.05,0.0935,166,0.2549,35.1,0.6516
8.488,1215,2.19,0.0695,164,0.439,29.1,0.4915
8.877,1279,2,0.0635,207,0.333,34.3,0.6034
10.274,1291,2.32,0.0559,175,0.8048,31.9,0.1393
6.024,1290,1.55,0.0432,225,0.3511,28.2,0.6057
8.258,1331,2.13,0.0462,178,0.4353,30,0.5185
13.376,1373,2.2,0.1324,157,0.3233,36.2,0.5443
10.69,1420,2.2,0.0902,138,0.3139,36.2,0.5959
8.308,1474,1.85,0.0755,163,0.4425,24.6,0.4819
6.082,1497,1.76,0.0767,168,0.5871,10.3,0.3362
9.284,1545,1.8,0.0836,158,0.4498,20.2,0.4665
10.879,1649,2.32,0.0975,177,0.3991,31.9,0.5035
8.477,1668,1.8,0.0833,170,0.4524,20.2,0.4643
6.877,1782,2.13,0.0618,183,0.6377,10.7,0.3005
15.106,1831,1.98,0.1337,162,0.3361,35.5,0.5302
8.031,1833,1.76,0.0915,177,0.6501,10.3,0.2584
8.082,1838,1.45,0.0671,196,0.481,17.6,0.4519
10.866,1787,2.24,0.105,164,0.4125,26.5,0.4824
8.596,1918,1.69,0.0803,158,0.5513,12.9,0.3684
8.673,1930,1.81,0.0733,157,0.3436,22.6,0.5831
15.437,2028,2.11,0.0808,163,0.3989,24.4,0.5204
8.211,2057,1.76,0.1239,161,0.6164,10.3,0.2597
11.982,2084,1.77,0.0905,156,0.4103,21.3,0.4992
16.674,2226,2,0.0779,217,0.343,34.3,0.5791
12.62,2304,2.3,0.0775,161,0.4865,23.6,0.436
12.905,2341,2.04,0.0945,183,0.4076,20.7,0.498
11.615,2353,1.69,0.1006,167,0.5561,12.9,0.3433
9.321,2367,1.76,0.099,161,0.5751,10.3,0.3259
12.962,2451,2.04,0.0951,163,0.3183,20.7,0.5866
16.932,2457,2.2,0.0614,170,0.3234,36.2,0.6152
9.648,2507,1.76,0.0964,174,0.5755,10.3,0.3281
18.35,2530,2.31,0.0735,197,0.446,33.5,0.4805
17.333,2576,1.92,0.1398,162,0.4275,22.5,0.4327
12.015,2607,1.76,0.1116,155,0.532,10.3,0.3564
11.32,2870,1.76,0.1333,167,0.5822,10.3,0.2845
22.337,2993,2.31,0.0581,176,0.4385,33.5,0.5034
19.035,3202,2.3,0.0983,170,0.4974,23.6,0.5034
12.205,3286,1.61,0.0681,183,0.4779,17.8,0.454
17.078,3312,1.68,0.0393,190,0.3314,28.8,0.6294
25.528,3498,2.09,0.1141,170,0.3714,30,0.5145
24.021,3538,2.09,0.084,176,0.3761,30,0.5399
32.197,3794,2.05,0.0976,159,0.4118,35.1,0.4906
26.652,3841,2.29,0.1059,157,0.3679,28.5,0.5262
20.164,4014,2.11,0.0809,161,0.5348,24.4,0.3843
14.132,4217,1.53,0.047,172,0.5252,18.1,0.4278
21.41,4305,2.11,0.0848,203,0.8448,24.4,0.0703
23.244,4494,2.04,0.0624,167,0.5105,20.7,0.4271
29.845,4764,2.19,0.1328,195,0.353,29.1,0.5143
32.318,5277,1.92,0.0719,161,0.3582,29.1,0.5699
21.988,5283,2.04,0.063,159,0.4491,20.7,0.4879
35.229,5668,2.11,0.0977,177,0.5088,24.4,0.3936
17.467,5681,1.76,0.0802,157,0.5323,10.3,0.3875
22.828,5819,1.79,0.0854,196,0.3921,18.5,0.5226
33.154,6000,2.11,0.1043,183,0.4186,24.4,0.4771
32.228,6119,1.54,0.0797,189,0.3503,26.2,0.57
34.168,6136,1.92,0.0653,160,0.6791,22.5,0.2556
40.594,7193,2.12,0.0729,162,0.355,28.6,0.5721
33.354,7886,1.61,0.0587,178,0.5835,17.8,0.3578
64.542,8419,2.32,0.1108,199,0.391,31.9,0.4982
41.238,8642,2.24,0.0517,182,0.3259,26.5,0.6224
47.993,8787,2.31,0.0841,190,0.3407,33.5,0.5753
69.878,9484,2.11,0.0759,165,0.4044,24.4,0.5198
44.894,9956,1.68,0.0688,203,0.2942,28.8,0.637
67.12,11477,2.24,0.067,151,0.3458,26.5,0.5872
73.05,11796,2.12,0.1033,148,0.3914,28.6,0.5054
139.422,14359,2.31,0.105,212,0.4102,33.5,0.4848
119.939,16719,2.3,0.0906,162,0.434,23.6,0.4754
23.22,3018,2.01,0.1292,163,0.3282,35.1,0.5425
7.797,874,2.05,0.1084,155,0.2123,35.1,0.6793
1.61,14,1.99,0.1764,199,0.6352,35.4,0.1884
28.996,4174,2.28,0.1067,157,0.3675,28.55,0.5258
37.767,6356,1.92,0.0713,160.2,0.6656,22.5,0.2631
37.496,8291,1.91,0.0764,171,0.5175,22.43,0.406
64.888,13702,1.66,0.0877,192,0.3692,22.9,0.5431
52.083,8545,2.17,0.085,186,0.5933,26.4,0.3217
132.901,19170,2.3,0.091,162,0.4511,23.6,0.3217
31.98,4548,2.18,0.0862,159,0.3119,36,0.602
12.483,2106,1.77,0.0945,156,0.394,21.3,0.5115
5.817,895,2.27,0.0924,174.36,0.2975,28.56,0.6101
12.072,1787,2.11,0.0595,178,0.4036,30,0.5369
9.391,2050,1.8,0.0803,157.98,0.3377,22.5,0.582
