"Ketchup.hid","Ketchup.id","Ketchup.choice","price.heinz","price.hunts","price.delmonte","price.stb"
79,6,"stb",1.46,1.43,0.99,0.75
79,7,"stb",1.39,1.39,0.99,0.79
79,8,"stb",1.39,1.31,0.99,0.99
80,1,"heinz",1.19,1.39,1.49,0.89
80,2,"heinz",1.19,1.36,1.39,0.95
80,3,"heinz",1.19,1.53,1.46,0.95
80,4,"heinz",0.99,1.53,1.46,0.95
81,1,"heinz",1.19,1.29,1.39,0.95
81,2,"heinz",0.79,1.43,1.45,0.99
81,3,"heinz",0.99,1.39,1.49,0.89
81,4,"heinz",1.39,0.89,1.39,0.95
81,5,"heinz",1.39,0.89,1.49,0.95
81,6,"hunts",1.46,1.43,1.45,0.99
81,7,"hunts",1.39,0.89,1.49,0.89
81,8,"hunts",1.39,0.89,1.49,0.95
81,9,"stb",1.39,1.49,1.49,0.89
81,10,"stb",0.99,1.39,1.49,0.89
81,11,"stb",1.39,1.39,1.49,0.89
81,12,"stb",0.99,1.29,1.39,0.95
81,13,"stb",1.46,1.43,1.39,0.75
81,14,"stb",1.46,1.43,1.45,0.99
81,15,"stb",0.99,1.36,1.49,0.95
81,16,"stb",1.46,1.29,1.49,0.95
81,17,"stb",1.19,1.53,1.49,0.95
81,18,"stb",1.19,1.53,1.49,0.95
81,19,"stb",1.19,1.53,1.49,0.95
81,20,"stb",1.46,1.53,1.49,0.95
81,21,"stb",1.46,1.43,1.49,0.75
81,22,"stb",1.46,1.43,1.49,0.75
82,1,"heinz",0.99,1.39,1.49,0.89
83,1,"heinz",0.99,1.39,1.49,0.89
83,2,"heinz",1.39,1.36,1.39,0.95
83,3,"heinz",1.46,1.36,1.39,0.95
83,4,"heinz",1.46,1.29,1.49,0.95
83,5,"heinz",1.19,1.19,1.47,0.79
84,1,"heinz",1.39,1.39,1.49,0.89
85,1,"hunts",1.46,1.43,1.49,0.79
85,2,"stb",1.46,1.36,1.39,0.95
86,1,"hunts",1.46,1.43,1.46,0.79
86,2,"stb",1.19,1.43,1.46,0.75
87,1,"heinz",1.47,1.43,1.45,0.99
88,1,"heinz",0.99,1.39,1.49,0.89
89,1,"stb",1.39,1.39,1.49,0.89
90,1,"delmonte",1.46,1.43,0.89,0.99
91,1,"heinz",1.19,1.19,1.49,0.95
91,2,"heinz",0.99,1.39,1.49,0.89
91,3,"heinz",1.19,1.36,1.39,0.95
91,4,"heinz",1.19,1.29,1.49,0.95
92,1,"stb",1.39,1.39,1.49,0.89
92,2,"stb",0.99,1.43,1.46,0.99
93,1,"hunts",1.19,1.29,1.39,0.95
94,1,"heinz",1.39,1.36,1.39,0.95
94,2,"stb",0.99,1.49,1.49,0.99
95,1,"heinz",1.39,1.39,1.49,0.89
95,2,"heinz",0.99,1.39,1.49,0.89
95,3,"heinz",0.79,1.43,1.45,0.99
95,4,"hunts",1.39,0.89,1.39,0.95
95,5,"delmonte",0.99,1.49,1.39,0.89
95,6,"stb",1.46,1.43,1.49,0.79
96,1,"heinz",1.46,1.29,1.49,0.95
97,1,"hunts",1.19,1.29,1.39,0.95
98,1,"hunts",0.99,1.19,1.39,0.95
99,1,"heinz",0.99,1.49,1.29,0.99
99,2,"heinz",0.99,1.36,1.49,0.95
99,3,"heinz",1.46,1.29,1.49,0.95
99,4,"heinz",0.99,1.19,1.46,0.95
99,5,"heinz",0.99,1.53,1.46,0.95
99,6,"heinz",1.46,1.43,1.46,0.79
99,7,"heinz",0.79,1.43,0.99,0.75
99,8,"hunts",1.19,0.89,1.49,0.89
99,9,"hunts",1.19,0.79,1.49,0.95
99,10,"hunts",1.39,0.89,1.49,0.95
99,11,"delmonte",1.46,1.43,0.89,0.79
99,12,"stb",1.39,1.39,0.99,0.79
100,1,"heinz",1.39,1.39,1.49,0.89
100,2,"hunts",1.46,1.29,1.39,0.95
101,1,"stb",1.39,1.36,1.39,0.95
102,1,"heinz",0.99,1.49,1.49,0.89
103,1,"heinz",1.46,1.36,1.39,0.95
103,2,"heinz",1.46,1.43,1.45,0.99
103,3,"heinz",0.99,1.39,1.49,0.89
103,4,"heinz",0.99,1.36,1.39,0.95
103,5,"heinz",1.19,1.36,1.39,0.95
103,6,"heinz",0.99,1.49,1.46,0.95
103,7,"heinz",1.46,1.53,1.49,0.95
103,8,"heinz",1.46,1.53,1.49,0.95
104,1,"heinz",0.99,1.53,1.49,0.95
105,1,"heinz",0.99,1.19,1.46,0.95
106,1,"heinz",0.99,1.53,1.46,0.95
106,2,"hunts",1.46,1.29,1.46,0.95
107,1,"heinz",0.79,1.43,1.45,0.99
108,1,"heinz",0.99,1.49,1.29,0.99
108,2,"heinz",1.39,0.89,1.49,0.95
109,1,"heinz",1.39,1.36,1.39,0.95
109,2,"hunts",1.39,1.39,1.49,0.89
109,3,"hunts",1.39,0.89,1.39,0.95
110,1,"heinz",1.46,1.43,1.45,0.99
111,1,"heinz",1.39,1.49,1.49,0.89
111,2,"hunts",1.39,0.79,1.39,0.95
111,3,"hunts",1.46,1.19,1.49,0.95
111,4,"stb",1.46,1.49,1.49,0.95
112,1,"heinz",0.99,1.39,1.49,0.89
113,1,"heinz",0.99,1.39,1.49,0.89
114,1,"heinz",1.39,1.49,1.49,0.99
114,2,"stb",1.19,1.36,1.39,0.95
114,3,"stb",1.46,1.19,1.39,0.79
114,4,"stb",1.46,1.43,1.39,0.75
115,1,"stb",1.19,1.39,1.49,0.99
116,1,"hunts",1.19,1.29,1.39,0.95
117,1,"heinz",1.39,1.39,1.49,0.89
117,2,"heinz",0.99,1.39,1.49,0.89
117,3,"heinz",0.79,1.43,1.45,0.99
117,4,"hunts",1.46,1.19,1.47,0.79
117,5,"hunts",1.19,1.53,1.47,0.95
117,6,"stb",1.19,1.29,1.49,0.95
118,1,"stb",1.39,1.36,1.39,0.95
118,2,"stb",1.46,1.36,1.46,0.95
119,1,"heinz",0.99,1.49,1.49,0.89
120,1,"stb",1.46,1.43,1.49,0.79
121,1,"stb",0.99,1.39,1.49,0.89
121,2,"stb",1.39,0.99,1.39,0.99
121,3,"stb",1.39,0.79,1.39,0.95
122,1,"hunts",1.46,1.43,0.99,0.99
123,1,"heinz",0.99,1.36,1.49,0.95
124,1,"heinz",1.39,0.79,1.39,0.95
124,2,"heinz",1.19,1.36,1.39,0.95
124,3,"hunts",0.99,1.43,1.49,0.75
124,4,"hunts",1.47,1.43,0.99,0.99
124,5,"hunts",1.47,1.43,1.45,0.99
124,6,"stb",1.39,1.36,1.39,0.95
125,1,"heinz",1.39,1.39,1.39,0.89
125,2,"hunts",1.46,1.49,1.49,0.95
125,3,"hunts",1.46,1.43,1.49,0.99
125,4,"hunts",1.46,1.43,1.49,0.75
126,1,"stb",1.39,1.39,1.49,0.89
127,1,"hunts",1.47,1.43,1.45,0.99
128,1,"heinz",1.19,1.49,1.29,0.99
128,2,"heinz",1.19,1.49,1.49,0.95
129,1,"heinz",1.39,1.49,1.49,0.89
130,1,"heinz",0.99,1.39,1.49,0.89
130,2,"heinz",1.46,1.43,1.46,0.79
131,1,"heinz",0.99,1.49,1.39,0.89
131,2,"heinz",0.99,1.39,1.49,0.89
131,3,"hunts",1.39,0.89,1.39,0.95
131,4,"stb",1.19,1.49,1.39,0.89
131,5,"stb",1.39,1.49,1.49,0.89
131,6,"stb",1.39,1.39,1.49,0.89
131,7,"stb",1.39,1.39,1.49,0.89
131,8,"stb",1.19,1.39,1.49,0.89
131,9,"stb",1.39,1.39,1.49,0.89
131,10,"stb",1.39,0.89,1.39,0.89
131,11,"stb",1.39,1.36,1.39,0.95
131,12,"stb",1.39,1.36,1.39,0.95
132,1,"heinz",0.99,1.43,1.46,0.99
132,2,"hunts",1.39,0.79,1.39,0.95
133,1,"heinz",0.99,1.19,1.46,0.95
134,1,"stb",1.46,1.43,1.46,0.99
135,1,"stb",1.46,1.29,1.39,0.95
136,1,"hunts",1.19,1.19,1.39,0.79
137,1,"heinz",1.46,1.43,1.49,0.99
138,1,"stb",1.39,1.39,1.49,0.89
139,1,"heinz",0.99,1.49,1.49,0.89
140,1,"heinz",0.99,1.39,1.49,0.89
140,2,"heinz",1.39,0.89,1.39,0.89
141,1,"hunts",1.19,0.89,1.49,0.99
142,1,"heinz",1.39,1.39,1.49,0.89
143,1,"hunts",1.47,1.43,1.45,0.99
144,1,"heinz",1.39,0.89,1.39,0.95
145,1,"heinz",1.19,1.39,1.49,0.89
146,1,"heinz",1.46,1.43,1.46,0.99
147,1,"heinz",0.99,1.53,1.46,0.95
147,2,"stb",1.19,1.39,1.49,0.89
147,3,"stb",1.19,1.39,1.49,0.89
147,4,"stb",1.19,0.89,1.49,0.89
148,1,"hunts",1.19,1.36,1.49,0.99
149,1,"hunts",1.19,1.19,1.47,0.95
149,2,"delmonte",1.46,1.53,0.89,0.99
150,1,"hunts",1.39,0.89,1.39,0.99
151,1,"delmonte",1.19,0.89,1.39,0.95
152,1,"heinz",1.19,0.89,1.49,0.89
152,2,"heinz",0.99,1.49,1.49,0.89
152,3,"heinz",0.99,1.39,1.49,0.89
153,1,"heinz",0.99,1.36,1.39,0.95
153,2,"heinz",1.39,1.43,1.45,0.99
153,3,"delmonte",0.99,1.39,1.49,0.89
153,4,"delmonte",1.46,1.44,1.46,0.79
153,5,"stb",0.99,1.43,1.49,0.75
154,1,"heinz",1.39,1.36,1.49,0.95
155,1,"stb",1.19,1.53,1.49,0.95
156,1,"heinz",0.99,1.39,1.49,0.89
157,1,"stb",1.46,1.43,1.46,0.79
158,1,"heinz",1.39,1.39,1.49,0.89
159,1,"heinz",1.19,1.36,1.39,0.95
159,2,"stb",1.19,0.89,1.49,0.89
160,1,"heinz",1.39,1.36,1.49,0.95
160,2,"stb",1.19,1.39,1.49,0.89
161,1,"stb",1.46,1.43,1.46,0.99
161,2,"stb",1.46,1.43,1.46,0.75
161,3,"stb",1.46,1.43,1.46,0.99
161,4,"stb",1.39,1.39,1.45,0.79
161,5,"stb",1.46,1.36,1.39,0.95
162,1,"delmonte",1.46,1.43,0.99,0.99
163,1,"heinz",0.99,1.36,1.49,0.95
163,2,"heinz",0.99,0.89,1.39,0.89
163,3,"heinz",0.99,1.39,1.49,0.89
163,4,"hunts",1.39,1.39,1.49,0.89
163,5,"hunts",1.19,0.89,1.49,0.99
163,6,"hunts",1.46,1.36,1.49,0.95
163,7,"hunts",1.19,1.53,1.46,0.79
164,1,"heinz",1.46,1.43,1.45,0.99
164,2,"stb",0.99,1.43,1.49,0.75
165,1,"heinz",0.99,1.19,1.49,0.95
165,2,"stb",1.19,1.19,1.47,0.79
166,1,"heinz",0.99,1.43,1.46,0.79
166,2,"hunts",1.46,1.29,1.39,0.95
167,1,"heinz",0.99,1.36,1.39,0.95
167,2,"heinz",1.46,1.43,1.45,0.99
168,1,"heinz",1.19,1.43,1.46,0.75
169,1,"heinz",1.19,1.49,1.39,0.89
169,2,"heinz",1.19,1.39,1.49,0.89
169,3,"heinz",1.19,1.39,1.49,0.89
169,4,"hunts",1.46,1.43,1.49,0.79
169,5,"hunts",1.47,1.43,1.45,0.99
169,6,"hunts",1.47,1.43,1.45,0.99
169,7,"stb",1.19,1.49,1.39,0.89
169,8,"stb",1.39,1.36,1.39,0.95
170,1,"hunts",1.46,1.29,1.49,0.95
171,1,"hunts",1.46,1.53,1.46,0.95
171,2,"hunts",1.39,1.36,1.39,0.95
172,1,"stb",1.46,1.43,0.99,0.75
173,1,"heinz",1.39,1.36,1.39,0.95
174,1,"heinz",1.19,1.39,1.49,0.89
174,2,"heinz",1.39,1.36,1.39,0.95
174,3,"heinz",1.19,1.29,1.39,0.95
174,4,"heinz",0.99,1.53,1.49,0.95
175,1,"hunts",1.19,1.19,1.39,0.95
176,1,"hunts",1.19,1.36,1.39,0.95
177,1,"hunts",1.46,1.53,1.46,0.95
178,1,"heinz",1.19,1.29,1.49,0.95
178,2,"hunts",0.99,1.19,1.46,0.95
179,1,"heinz",1.19,1.49,1.39,0.89
179,2,"heinz",0.99,1.39,1.49,0.89
179,3,"stb",1.19,1.49,1.39,0.89
179,4,"stb",1.39,0.89,1.39,0.89
180,1,"heinz",1.39,1.39,1.49,0.89
180,2,"heinz",1.19,1.39,1.49,0.89
181,1,"stb",1.39,1.49,1.49,0.89
182,1,"stb",1.39,1.39,1.49,0.89
182,2,"stb",0.99,1.39,1.49,0.89
183,1,"heinz",1.46,1.36,1.39,0.95
183,2,"heinz",1.46,1.53,1.46,0.95
183,3,"heinz",1.39,1.31,0.99,0.99
183,4,"heinz",1.39,0.89,1.39,0.89
184,1,"heinz",0.99,1.39,1.49,0.89
185,1,"heinz",1.19,1.19,1.46,0.95
185,2,"stb",1.19,1.39,1.49,0.99
186,1,"stb",1.39,1.39,1.49,0.89
187,1,"heinz",0.99,1.36,1.39,0.95
187,2,"heinz",0.99,1.36,1.39,0.95
187,3,"heinz",1.46,1.43,1.45,0.99
187,4,"heinz",1.19,1.36,1.46,0.95
188,1,"delmonte",1.46,1.43,0.89,0.99
189,1,"hunts",1.39,0.89,1.39,0.95
190,1,"heinz",1.39,1.36,1.39,0.95
190,2,"heinz",1.19,1.36,1.39,0.95
190,3,"heinz",1.19,1.36,1.39,0.95
190,4,"heinz",0.99,1.36,1.39,0.95
190,5,"heinz",1.19,1.36,1.39,0.95
190,6,"heinz",1.19,1.36,1.39,0.95
190,7,"heinz",1.46,1.29,1.39,0.95
190,8,"heinz",1.46,1.19,1.39,0.79
190,9,"heinz",1.46,1.43,1.45,0.99
191,1,"heinz",1.46,1.53,1.46,0.95
191,2,"heinz",1.46,1.43,1.46,0.75
191,3,"heinz",1.39,1.39,1.46,0.79
191,4,"hunts",1.19,1.39,1.49,0.89
192,1,"heinz",0.99,1.49,1.49,0.89
192,2,"hunts",1.39,0.89,1.39,0.95
192,3,"delmonte",1.39,1.39,1.49,0.89
193,1,"heinz",1.39,1.49,1.49,0.99
194,1,"heinz",0.99,0.99,1.46,0.95
194,2,"heinz",0.99,1.43,1.46,0.99
194,3,"hunts",1.39,0.79,1.39,0.95
194,4,"stb",1.19,1.39,1.49,0.89
194,5,"stb",1.46,1.43,1.46,0.75
195,1,"hunts",1.39,0.79,1.39,0.95
195,2,"hunts",1.39,1.36,1.39,0.95
196,1,"heinz",0.99,1.39,1.49,0.89
196,2,"heinz",1.46,1.43,0.99,0.75
197,1,"hunts",1.46,1.29,1.39,0.95
198,1,"heinz",0.99,1.36,1.39,0.95
198,2,"heinz",1.46,1.36,1.49,0.95
199,1,"stb",1.39,1.39,1.39,0.89
200,1,"delmonte",1.39,1.39,1.29,0.99
200,2,"stb",0.99,1.36,1.39,0.95
201,1,"stb",1.19,1.49,1.39,0.89
201,2,"stb",1.19,1.36,1.39,0.95
201,3,"stb",1.46,1.44,1.46,0.79
202,1,"stb",0.99,1.49,1.49,0.89
202,2,"stb",1.39,1.49,1.49,0.89
202,3,"stb",1.39,1.39,1.49,0.89
202,4,"stb",1.39,1.39,1.49,0.89
202,5,"stb",1.19,1.39,1.49,0.89
202,6,"stb",1.19,1.39,1.49,0.89
202,7,"stb",1.19,1.39,1.49,0.89
202,8,"stb",1.39,1.39,1.39,0.89
202,9,"stb",1.19,1.36,1.39,0.95
203,1,"heinz",0.99,1.49,1.49,0.89
203,2,"hunts",1.39,0.89,1.39,0.95
203,3,"hunts",1.39,0.79,1.39,0.95
204,1,"stb",1.19,1.36,1.47,0.95
204,2,"stb",1.46,1.53,1.47,0.99
205,1,"stb",1.19,1.39,1.49,0.89
205,2,"stb",1.39,1.36,1.39,0.95
205,3,"stb",0.99,1.53,1.49,0.95
206,1,"heinz",0.99,1.36,1.39,0.95
207,1,"hunts",1.46,1.29,1.39,0.95
207,2,"stb",1.39,1.49,1.49,0.89
208,1,"hunts",1.39,1.36,1.39,0.95
209,1,"heinz",1.19,1.19,1.39,0.95
209,2,"heinz",1.46,1.43,0.89,0.99
209,3,"hunts",1.19,1.29,1.39,0.95
209,4,"hunts",1.19,1.19,1.39,0.79
209,5,"hunts",1.46,1.29,1.39,0.95
209,6,"stb",1.19,1.39,1.49,0.89
210,1,"heinz",1.19,1.49,1.39,0.89
210,2,"heinz",1.39,1.39,1.49,0.89
210,3,"heinz",1.19,1.39,1.49,0.89
210,4,"heinz",1.39,1.36,1.39,0.99
210,5,"heinz",1.39,0.79,1.39,0.95
210,6,"heinz",1.19,1.36,1.39,0.95
210,7,"heinz",1.46,1.29,1.46,0.95
210,8,"stb",1.39,1.39,1.49,0.89
211,1,"heinz",0.99,1.43,1.46,0.99
212,1,"stb",0.99,1.49,1.49,0.89
212,2,"stb",0.99,1.36,1.39,0.95
212,3,"stb",1.19,1.39,1.49,0.89
213,1,"heinz",0.79,1.43,1.45,0.99
214,1,"stb",1.19,1.39,1.49,0.89
215,1,"stb",1.39,1.39,1.49,0.89
216,1,"heinz",0.99,1.39,1.49,0.89
217,1,"heinz",1.39,1.39,1.49,0.89
217,2,"heinz",1.19,1.39,1.49,0.89
217,3,"heinz",1.19,1.36,1.46,0.95
217,4,"heinz",1.19,1.36,1.46,0.95
217,5,"heinz",1.46,1.36,1.46,0.95
217,6,"heinz",0.99,1.53,1.46,0.95
217,7,"heinz",0.99,1.43,1.46,0.99
217,8,"heinz",0.79,1.43,1.46,0.99
217,9,"heinz",0.99,1.43,1.46,0.99
217,10,"heinz",0.99,1.43,1.46,0.99
217,11,"hunts",1.46,1.44,1.46,0.79
217,12,"hunts",1.46,1.53,1.46,0.95
218,1,"heinz",0.79,1.43,1.45,0.99
218,2,"stb",0.99,1.49,1.39,0.89
218,3,"stb",1.19,1.39,1.49,0.99
218,4,"stb",1.39,1.39,1.49,0.89
218,5,"stb",1.39,1.39,1.49,0.89
218,6,"stb",1.39,1.36,1.39,0.95
