"tmathssk","treadssk","classk","totexpk","sex","freelunk","race","schidkn"
478,421,"regular",3,"girl","no","white",43
449,408,"small.class",6,"girl","yes","black",19
454,393,"regular.with.aide",1,"girl","yes","black",19
429,398,"small.class",6,"boy","yes","black",19
513,450,"small.class",1,"girl","no","white",60
468,445,"regular.with.aide",8,"girl","no","white",59
500,424,"regular",13,"boy","yes","white",51
500,467,"regular.with.aide",10,"girl","no","white",68
459,400,"small.class",13,"boy","no","white",8
513,434,"small.class",9,"girl","yes","white",12
418,390,"regular.with.aide",5,"girl","yes","white",39
473,416,"regular.with.aide",13,"girl","no","white",76
449,425,"regular",8,"girl","yes","white",3
463,470,"regular",6,"girl","yes","black",27
459,472,"regular",11,"girl","yes","white",11
528,428,"regular",8,"boy","no","white",3
489,470,"regular.with.aide",20,"girl","yes","black",27
559,439,"regular",8,"boy","yes","white",72
494,430,"regular.with.aide",5,"girl","no","white",34
506,467,"regular.with.aide",9,"boy","no","black",3
536,470,"regular.with.aide",10,"girl","yes","white",72
494,434,"regular",18,"girl","yes","black",25
484,434,"regular.with.aide",10,"boy","no","black",24
412,397,"small.class",3,"boy","yes","black",45
559,445,"small.class",12,"boy","no","white",50
506,421,"regular.with.aide",3,"girl","no","white",58
489,408,"small.class",5,"girl","yes","black",29
547,565,"regular.with.aide",9,"boy","no","white",49
500,428,"small.class",6,"girl","no","white",62
473,390,"regular.with.aide",12,"girl","no","black",20
434,405,"regular",8,"girl","yes","white",66
489,447,"small.class",10,"girl","no","white",42
444,407,"small.class",8,"boy","yes","white",78
418,414,"regular.with.aide",22,"girl","yes","black",33
489,434,"regular",2,"boy","no","white",76
576,456,"regular",11,"girl","yes","black",22
463,418,"regular",0,"boy","yes","black",27
473,433,"regular",14,"girl","yes","white",42
489,465,"regular.with.aide",20,"girl","yes","black",27
459,434,"regular.with.aide",1,"boy","yes","black",20
520,427,"regular",0,"boy","no","white",59
484,437,"regular.with.aide",7,"girl","yes","black",22
513,503,"small.class",7,"boy","no","white",63
468,442,"regular",7,"boy","yes","black",28
478,414,"regular.with.aide",15,"boy","yes","black",21
418,421,"regular.with.aide",7,"boy","no","black",54
513,421,"regular",0,"girl","yes","black",31
506,431,"small.class",21,"girl","no","white",56
576,450,"regular",0,"boy","yes","black",31
459,425,"regular.with.aide",12,"girl","no","black",10
520,428,"small.class",12,"boy","yes","white",80
576,456,"regular.with.aide",20,"girl","yes","white",3
559,605,"regular.with.aide",5,"boy","no","white",34
412,416,"regular.with.aide",10,"girl","yes","black",28
489,395,"regular.with.aide",11,"boy","yes","white",75
528,467,"regular",12,"girl","yes","black",27
444,390,"regular.with.aide",9,"boy","yes","black",53
454,413,"regular",0,"boy","no","other",17
500,440,"regular.with.aide",1,"girl","no","black",20
444,410,"small.class",1,"boy","no","white",57
478,445,"regular.with.aide",9,"girl","yes","white",65
536,453,"small.class",5,"boy","no","white",58
513,483,"small.class",3,"girl","yes","black",44
478,407,"regular.with.aide",8,"girl","no","black",17
468,411,"small.class",1,"girl","yes","black",26
463,397,"regular",2,"boy","yes","white",57
547,455,"regular.with.aide",17,"boy","no","other",43
484,413,"regular.with.aide",13,"girl","no","white",55
468,407,"regular.with.aide",9,"girl","yes","white",53
468,402,"regular.with.aide",8,"boy","no","white",5
449,424,"regular.with.aide",13,"girl","yes","white",48
489,440,"regular.with.aide",9,"girl","yes","white",65
478,421,"regular",10,"boy","yes","white",63
559,554,"regular",14,"girl","no","white",42
484,439,"regular.with.aide",10,"girl","yes","black",24
449,411,"regular",2,"boy","yes","black",32
454,425,"small.class",1,"boy","no","black",26
478,427,"regular.with.aide",7,"boy","no","black",54
454,439,"regular.with.aide",9,"boy","no","white",1
484,458,"small.class",4,"boy","no","white",7
484,430,"regular.with.aide",9,"girl","no","white",49
454,408,"regular",11,"boy","yes","black",15
429,407,"small.class",1,"girl","yes","black",37
513,433,"regular",0,"boy","yes","white",67
473,436,"regular",0,"boy","yes","white",7
423,418,"small.class",3,"girl","no","black",56
463,443,"regular",15,"girl","yes","black",26
478,403,"small.class",3,"girl","yes","black",44
459,419,"regular",13,"girl","no","white",55
459,408,"regular.with.aide",10,"girl","yes","white",72
478,433,"regular",3,"boy","no","black",53
423,411,"regular.with.aide",3,"boy","no","white",66
559,503,"regular",10,"boy","no","white",63
449,463,"regular",11,"girl","yes","white",11
463,388,"regular.with.aide",3,"girl","no","white",42
449,414,"regular.with.aide",5,"boy","no","white",34
459,390,"regular.with.aide",11,"boy","no","white",75
454,413,"small.class",12,"boy","yes","white",2
494,470,"regular.with.aide",14,"boy","yes","white",36
434,405,"regular.with.aide",6,"boy","yes","black",16
547,442,"small.class",11,"boy","no","black",23
429,393,"regular",8,"girl","yes","white",5
494,418,"regular.with.aide",18,"girl","no","white",52
500,443,"regular",16,"girl","no","white",62
468,428,"regular.with.aide",1,"boy","yes","black",14
444,410,"regular",15,"boy","no","white",36
500,437,"regular",10,"girl","yes","white",63
506,461,"regular.with.aide",20,"boy","no","black",27
528,472,"regular",1,"boy","yes","white",21
506,434,"small.class",9,"boy","yes","black",22
439,427,"small.class",15,"boy","no","white",70
559,453,"regular",8,"boy","yes","white",72
478,418,"regular",4,"girl","yes","black",20
494,445,"regular",4,"girl","yes","white",39
484,463,"small.class",16,"boy","no","black",51
484,437,"regular",13,"girl","no","white",54
468,411,"regular",4,"boy","yes","white",39
528,434,"small.class",9,"boy","yes","white",12
439,433,"regular",13,"girl","no","black",60
506,456,"regular.with.aide",1,"girl","yes","black",20
459,398,"regular",9,"girl","no","black",18
559,463,"regular",4,"boy","yes","white",39
576,470,"small.class",12,"boy","yes","black",25
439,411,"regular",11,"boy","no","white",64
500,413,"small.class",1,"girl","yes","black",27
520,440,"regular.with.aide",8,"girl","no","white",57
459,395,"regular",2,"girl","yes","black",32
489,434,"small.class",11,"boy","no","white",59
528,492,"regular",13,"boy","no","white",54
559,465,"small.class",14,"girl","yes","white",21
473,448,"small.class",6,"girl","yes","white",72
405,411,"regular",11,"boy","no","white",51
602,518,"regular",12,"girl","no","white",65
484,422,"small.class",6,"boy","yes","white",62
547,470,"small.class",4,"boy","no","white",7
484,443,"regular.with.aide",15,"boy","yes","black",21
449,428,"regular.with.aide",5,"girl","yes","white",34
454,397,"small.class",9,"boy","yes","black",53
459,390,"small.class",1,"boy","no","white",57
473,418,"regular.with.aide",1,"boy","yes","black",19
484,470,"regular",10,"boy","yes","black",68
513,431,"regular.with.aide",3,"girl","yes","white",66
536,580,"small.class",12,"girl","no","black",50
478,456,"small.class",8,"girl","no","white",58
513,433,"regular.with.aide",21,"girl","no","black",23
473,403,"small.class",12,"girl","no","white",80
473,408,"small.class",15,"boy","no","white",43
478,416,"regular.with.aide",8,"girl","yes","white",74
484,443,"regular",1,"girl","yes","black",22
459,421,"small.class",20,"boy","no","white",17
536,442,"small.class",6,"boy","no","white",69
528,424,"regular.with.aide",9,"girl","yes","white",49
484,421,"regular",9,"boy","no","black",18
494,450,"regular",5,"boy","no","white",1
418,397,"regular.with.aide",6,"boy","yes","black",16
439,450,"regular",0,"girl","yes","black",27
473,410,"regular",4,"boy","yes","black",20
626,510,"small.class",14,"girl","no","white",74
423,418,"regular",12,"boy","yes","black",45
444,408,"regular.with.aide",22,"girl","yes","black",33
500,467,"small.class",2,"girl","no","white",34
444,424,"regular.with.aide",13,"boy","yes","white",67
468,436,"regular",8,"boy","no","white",4
536,447,"regular",6,"girl","yes","black",63
494,468,"small.class",3,"boy","no","white",44
473,430,"small.class",15,"girl","no","white",55
454,388,"regular.with.aide",12,"boy","yes","black",63
449,422,"regular.with.aide",2,"girl","yes","white",25
463,424,"regular.with.aide",9,"boy","no","white",3
489,442,"regular",17,"girl","no","white",34
429,418,"small.class",14,"boy","no","white",52
454,447,"regular.with.aide",17,"girl","no","white",58
536,485,"regular",15,"girl","no","white",41
468,407,"regular.with.aide",6,"boy","yes","black",26
500,431,"regular.with.aide",8,"girl","no","white",17
484,448,"regular.with.aide",9,"boy","yes","white",49
547,450,"regular",4,"girl","yes","black",20
536,465,"regular.with.aide",13,"girl","no","white",80
454,408,"regular",3,"boy","no","white",56
463,431,"regular.with.aide",13,"girl","no","white",66
473,434,"regular.with.aide",5,"boy","yes","black",33
489,434,"small.class",11,"girl","no","white",61
528,465,"small.class",7,"girl","yes","white",63
489,407,"regular",10,"girl","yes","black",30
478,431,"small.class",12,"girl","no","white",6
473,393,"regular",9,"boy","no","black",18
320,360,"regular",6,"girl","yes","black",33
463,408,"regular",1,"boy","no","white",76
602,518,"small.class",3,"boy","yes","black",22
500,436,"regular",1,"girl","no","white",76
444,403,"regular",0,"boy","yes","black",17
528,485,"small.class",8,"girl","no","white",68
536,448,"small.class",6,"boy","no","white",68
536,467,"regular",11,"boy","no","white",49
473,428,"regular",15,"girl","yes","black",26
513,465,"regular",10,"boy","yes","black",18
513,492,"regular.with.aide",3,"girl","no","white",78
399,400,"regular",5,"boy","no","white",9
434,398,"regular",9,"boy","yes","white",18
520,470,"regular",11,"girl","no","white",49
506,424,"regular",5,"boy","no","white",47
626,580,"regular.with.aide",13,"girl","no","white",11
468,421,"small.class",13,"girl","yes","white",8
536,461,"regular",24,"girl","yes","black",22
459,427,"regular",13,"boy","no","white",51
473,443,"small.class",7,"boy","no","white",36
547,497,"regular.with.aide",11,"girl","yes","black",31
520,425,"small.class",8,"boy","no","white",76
412,408,"small.class",5,"girl","no","white",35
513,450,"regular.with.aide",7,"girl","no","white",54
520,456,"regular.with.aide",14,"girl","yes","white",73
494,439,"small.class",4,"boy","yes","white",13
506,456,"regular.with.aide",17,"boy","no","white",58
536,418,"small.class",9,"boy","no","black",22
478,430,"regular",17,"girl","no","white",34
478,424,"small.class",8,"boy","no","white",57
500,400,"small.class",11,"girl","yes","white",61
459,424,"small.class",15,"boy","no","white",55
478,410,"regular.with.aide",13,"boy","no","white",76
484,411,"small.class",2,"girl","yes","black",16
484,425,"small.class",8,"boy","no","white",76
559,495,"regular.with.aide",10,"boy","no","white",72
520,456,"small.class",4,"boy","no","white",7
513,453,"small.class",0,"boy","no","white",43
520,476,"regular.with.aide",18,"boy","no","white",52
494,437,"regular.with.aide",0,"boy","no","black",44
473,419,"regular",4,"boy","no","black",20
478,428,"small.class",12,"girl","yes","black",15
459,522,"regular.with.aide",5,"boy","no","white",64
500,472,"small.class",4,"girl","no","white",63
513,470,"small.class",3,"boy","yes","black",28
484,443,"small.class",21,"boy","no","black",20
506,453,"regular.with.aide",12,"boy","no","white",12
454,431,"regular",5,"boy","no","white",47
468,433,"regular.with.aide",22,"boy","yes","black",33
576,485,"regular.with.aide",14,"boy","no","white",9
484,458,"regular",3,"boy","no","white",10
449,421,"small.class",12,"girl","yes","black",15
459,431,"regular",15,"girl","yes","black",26
439,391,"small.class",7,"boy","yes","white",61
459,416,"regular",0,"boy","yes","white",67
494,445,"regular",4,"girl","yes","black",48
478,407,"regular.with.aide",3,"girl","yes","black",15
365,397,"regular.with.aide",17,"boy","yes","black",16
449,448,"regular.with.aide",14,"boy","yes","white",36
478,455,"small.class",13,"girl","no","white",8
454,413,"small.class",2,"girl","yes","black",16
454,422,"regular.with.aide",8,"girl","no","white",38
468,440,"regular.with.aide",21,"girl","yes","white",40
513,455,"regular",2,"girl","yes","white",40
423,393,"regular",4,"boy","no","black",20
559,437,"regular",10,"boy","yes","black",30
478,425,"regular",17,"girl","no","white",34
399,390,"regular.with.aide",8,"boy","yes","white",57
494,437,"small.class",6,"boy","no","white",50
423,422,"regular.with.aide",11,"boy","no","white",6
473,436,"regular",24,"girl","yes","black",44
459,414,"small.class",6,"boy","yes","white",62
559,495,"regular.with.aide",24,"boy","yes","black",30
576,455,"regular.with.aide",21,"girl","no","white",40
494,418,"small.class",2,"boy","yes","black",16
602,497,"small.class",18,"boy","no","white",41
500,425,"small.class",8,"boy","no","white",76
449,451,"regular",2,"boy","yes","white",40
494,442,"regular",12,"boy","no","white",46
484,456,"regular.with.aide",12,"girl","yes","black",63
489,413,"regular.with.aide",1,"boy","yes","black",14
439,413,"regular",5,"boy","yes","white",9
489,425,"regular",5,"boy","no","white",37
444,411,"regular",4,"boy","yes","white",35
506,448,"small.class",8,"boy","yes","white",68
528,425,"regular",0,"girl","yes","black",31
412,393,"regular",13,"girl","yes","white",79
418,410,"regular.with.aide",2,"boy","yes","black",32
459,398,"small.class",6,"boy","yes","white",39
489,434,"regular",9,"boy","no","black",18
434,425,"small.class",27,"girl","yes","white",40
559,424,"regular",19,"boy","no","white",73
478,430,"regular",7,"boy","yes","black",28
626,470,"small.class",3,"boy","yes","black",22
626,565,"small.class",14,"boy","no","white",1
473,421,"small.class",1,"girl","no","white",57
513,538,"regular",10,"boy","no","white",63
418,397,"regular",6,"girl","yes","black",33
454,410,"regular",6,"girl","no","white",2
602,455,"small.class",9,"girl","no","white",12
463,407,"regular.with.aide",15,"girl","no","white",47
559,510,"regular.with.aide",13,"boy","no","white",11
520,442,"small.class",11,"boy","yes","black",27
468,450,"regular.with.aide",9,"boy","no","white",65
500,439,"regular",16,"boy","no","white",69
547,461,"small.class",2,"boy","yes","black",30
559,518,"regular.with.aide",24,"boy","no","black",30
506,434,"small.class",15,"girl","no","white",43
473,451,"regular.with.aide",27,"girl","no","white",70
459,419,"small.class",12,"boy","no","white",74
418,400,"regular",10,"boy","yes","black",1
468,421,"regular.with.aide",3,"girl","yes","black",15
473,408,"regular",2,"girl","yes","white",76
423,388,"regular.with.aide",12,"girl","yes","white",8
536,451,"regular",15,"boy","no","white",41
449,418,"regular.with.aide",2,"girl","yes","black",32
484,419,"regular.with.aide",1,"boy","yes","black",19
429,410,"regular",16,"girl","yes","white",62
468,414,"small.class",12,"boy","yes","white",74
494,453,"regular",13,"girl","no","white",54
520,470,"regular",8,"boy","yes","white",3
365,391,"small.class",9,"girl","yes","black",53
576,455,"regular",0,"boy","no","white",59
449,397,"regular",11,"boy","no","white",75
473,431,"regular",3,"boy","no","white",58
449,439,"regular.with.aide",5,"boy","no","white",64
489,442,"regular.with.aide",1,"girl","yes","black",19
547,447,"small.class",11,"boy","yes","black",27
412,410,"small.class",3,"boy","no","white",56
602,497,"regular.with.aide",13,"boy","no","white",11
559,474,"regular.with.aide",27,"girl","yes","white",70
513,439,"regular",5,"boy","no","white",1
384,358,"regular",20,"boy","yes","white",64
429,413,"regular",5,"boy","no","white",47
449,411,"regular.with.aide",7,"boy","yes","white",4
484,416,"regular.with.aide",17,"boy","no","white",43
484,447,"regular",1,"girl","no","white",21
513,448,"regular",6,"boy","no","white",13
494,445,"regular",0,"boy","no","white",7
484,422,"small.class",12,"boy","yes","white",25
439,403,"regular.with.aide",15,"girl","no","white",47
536,470,"regular",12,"boy","no","white",72
500,442,"regular",8,"girl","no","white",4
463,414,"small.class",14,"girl","yes","black",33
494,427,"regular.with.aide",12,"boy","no","white",51
513,451,"regular.with.aide",10,"boy","no","white",72
528,476,"regular",3,"boy","no","white",10
418,391,"regular.with.aide",12,"boy","yes","white",10
489,418,"small.class",10,"girl","no","black",51
520,443,"regular.with.aide",9,"boy","no","white",7
500,437,"regular",1,"girl","yes","white",76
454,414,"regular.with.aide",11,"boy","yes","black",18
434,434,"small.class",2,"boy","yes","white",34
444,397,"regular",2,"boy","yes","white",57
494,451,"regular.with.aide",2,"girl","yes","white",25
399,380,"regular.with.aide",11,"boy","yes","black",45
429,400,"small.class",1,"girl","yes","black",16
489,450,"small.class",0,"boy","no","white",4
484,416,"small.class",4,"girl","yes","white",40
494,451,"regular.with.aide",20,"boy","yes","black",27
547,436,"small.class",12,"boy","yes","white",25
520,472,"small.class",16,"boy","no","white",72
500,447,"regular",16,"girl","no","white",68
473,407,"regular",3,"boy","no","white",43
439,442,"regular",15,"girl","no","white",36
478,439,"regular",12,"boy","yes","black",45
547,450,"small.class",6,"girl","yes","white",72
513,470,"regular",0,"boy","no","black",27
489,431,"regular.with.aide",11,"girl","no","white",6
500,431,"regular.with.aide",11,"girl","no","white",75
439,442,"regular",0,"girl","no","black",27
439,393,"regular.with.aide",3,"girl","no","white",42
484,414,"regular.with.aide",5,"boy","yes","black",21
429,400,"regular.with.aide",3,"boy","yes","white",66
520,455,"regular",1,"girl","yes","black",21
520,427,"regular.with.aide",12,"boy","no","white",63
449,405,"regular",5,"girl","yes","black",29
489,427,"small.class",20,"boy","yes","black",17
500,465,"regular",6,"boy","no","white",13
478,440,"regular.with.aide",9,"girl","no","white",49
463,413,"regular.with.aide",13,"boy","no","white",76
444,424,"regular.with.aide",14,"girl","yes","white",36
528,440,"regular",24,"boy","yes","black",22
506,443,"regular",12,"girl","no","white",72
449,424,"regular.with.aide",6,"girl","yes","black",26
602,451,"regular.with.aide",14,"girl","no","white",36
494,427,"regular",1,"boy","yes","black",23
478,431,"regular",8,"girl","no","white",66
500,461,"regular",13,"boy","no","white",54
439,439,"regular.with.aide",7,"boy","no","white",56
463,416,"regular.with.aide",0,"boy","yes","black",44
454,421,"regular",3,"girl","no","white",43
429,391,"regular.with.aide",9,"girl","yes","white",1
559,490,"small.class",14,"boy","yes","white",59
459,424,"small.class",17,"girl","yes","white",48
478,437,"regular",24,"girl","yes","black",22
559,463,"regular",11,"boy","no","white",49
468,411,"small.class",11,"boy","no","black",23
412,388,"regular.with.aide",7,"boy","yes","white",56
468,421,"regular",13,"girl","yes","white",50
478,421,"regular.with.aide",22,"boy","yes","black",33
439,418,"small.class",14,"girl","yes","black",32
439,418,"regular.with.aide",21,"boy","yes","white",40
520,451,"regular.with.aide",6,"boy","no","white",69
506,414,"regular.with.aide",17,"girl","yes","black",2
444,433,"regular",7,"boy","yes","black",28
412,395,"regular",4,"girl","yes","white",35
468,437,"regular",2,"boy","yes","black",32
439,416,"small.class",21,"girl","yes","black",15
463,424,"regular.with.aide",7,"boy","no","black",22
473,403,"small.class",6,"girl","yes","white",39
468,467,"small.class",16,"girl","no","white",51
494,439,"regular",2,"boy","yes","white",76
429,422,"regular.with.aide",9,"girl","yes","white",7
513,433,"regular",12,"boy","no","white",46
463,407,"regular.with.aide",17,"boy","no","black",2
513,474,"regular",0,"girl","no","white",17
500,433,"regular",1,"boy","no","black",23
513,436,"regular.with.aide",6,"boy","no","white",69
459,407,"small.class",12,"boy","yes","white",80
513,442,"small.class",0,"boy","no","white",42
500,437,"small.class",13,"boy","no","white",8
429,398,"small.class",3,"girl","yes","black",45
439,407,"regular",3,"boy","no","white",56
429,407,"regular.with.aide",6,"boy","yes","black",16
536,450,"regular",1,"boy","no","white",76
459,448,"small.class",16,"boy","no","white",51
459,447,"regular.with.aide",17,"girl","yes","black",29
439,419,"regular",13,"girl","no","white",54
434,397,"regular",5,"boy","yes","black",29
494,437,"small.class",12,"girl","no","white",54
473,487,"regular.with.aide",20,"girl","yes","black",27
449,402,"regular",12,"girl","yes","black",45
463,434,"small.class",8,"girl","no","white",49
602,461,"regular",24,"boy","yes","black",44
494,478,"regular.with.aide",14,"girl","yes","white",9
506,460,"small.class",14,"boy","no","white",9
528,436,"regular.with.aide",14,"girl","yes","white",70
506,421,"small.class",12,"boy","yes","white",50
429,425,"small.class",11,"boy","yes","black",60
459,434,"regular.with.aide",12,"girl","yes","white",50
506,487,"small.class",14,"boy","no","white",9
484,434,"regular",1,"girl","yes","white",6
412,370,"small.class",15,"girl","no","white",51
494,422,"regular",1,"boy","yes","black",22
547,442,"regular.with.aide",14,"boy","no","white",70
463,419,"regular",18,"girl","yes","white",25
412,422,"regular",11,"girl","yes","black",11
412,397,"regular",6,"boy","yes","black",2
418,398,"regular.with.aide",5,"boy","no","white",34
547,507,"regular",12,"girl","no","white",46
536,461,"regular",10,"boy","no","white",70
439,402,"small.class",7,"boy","no","white",36
520,439,"small.class",6,"girl","yes","white",69
478,434,"regular.with.aide",13,"boy","no","white",67
513,418,"small.class",12,"girl","yes","white",74
528,443,"regular",0,"girl","no","black",59
547,456,"regular",19,"girl","no","white",73
520,468,"small.class",3,"girl","yes","white",44
520,436,"regular",5,"boy","no","white",37
454,421,"regular",18,"girl","yes","black",25
439,408,"small.class",8,"boy","no","white",70
439,400,"regular",8,"girl","no","white",5
449,422,"small.class",12,"boy","yes","white",6
536,458,"regular",8,"girl","no","white",3
494,430,"small.class",8,"boy","yes","white",76
478,425,"regular.with.aide",8,"boy","no","white",57
489,463,"regular.with.aide",13,"girl","no","white",66
444,431,"regular.with.aide",9,"girl","no","white",3
559,487,"regular",10,"girl","yes","white",68
473,416,"regular",10,"girl","yes","white",70
500,408,"regular.with.aide",21,"girl","no","black",23
463,407,"small.class",15,"boy","no","white",43
602,480,"regular.with.aide",13,"girl","no","white",11
459,416,"regular",6,"boy","no","white",63
468,442,"regular",0,"girl","yes","white",7
520,447,"regular.with.aide",13,"boy","no","white",80
449,456,"regular.with.aide",11,"boy","no","white",9
423,407,"regular",6,"boy","yes","black",24
494,465,"regular",15,"girl","yes","white",7
463,421,"regular",20,"girl","no","black",23
459,431,"regular.with.aide",1,"girl","yes","black",14
468,421,"small.class",3,"girl","yes","white",56
489,453,"regular.with.aide",0,"boy","yes","black",19
478,391,"regular.with.aide",10,"boy","yes","white",68
463,453,"regular.with.aide",11,"boy","yes","black",9
418,408,"regular",11,"boy","yes","black",15
494,456,"small.class",8,"girl","yes","white",38
547,476,"regular",10,"girl","no","white",68
489,416,"small.class",2,"boy","yes","white",39
454,427,"regular",5,"boy","no","white",9
500,421,"regular.with.aide",4,"boy","no","white",62
468,408,"regular",5,"boy","yes","black",29
536,440,"regular.with.aide",5,"girl","no","white",60
602,503,"small.class",14,"boy","no","white",74
484,421,"regular",22,"boy","no","white",61
463,424,"small.class",11,"boy","no","white",47
449,398,"regular",10,"girl","no","white",1
500,419,"regular.with.aide",17,"boy","no","black",2
434,422,"regular.with.aide",10,"boy","no","white",72
528,428,"regular",20,"girl","yes","white",12
478,448,"small.class",5,"boy","yes","black",29
500,458,"regular.with.aide",10,"boy","yes","white",68
559,458,"small.class",9,"boy","no","white",3
506,450,"regular.with.aide",12,"boy","no","white",10
506,460,"small.class",14,"boy","no","white",52
473,439,"regular.with.aide",16,"boy","yes","black",22
473,430,"small.class",16,"boy","yes","white",51
423,400,"small.class",21,"girl","no","white",56
528,450,"regular.with.aide",12,"boy","no","white",51
