"whrswk","hhi","whi","hhi2","education","race","hispanic","experience","kidslt6","kids618","husby","region","wght"
40,"yes","yes","yes","12years","white","no",11,1,0,30,"northcentral",136106
40,"yes","yes","yes","12years","white","no",23,0,2,26,"northcentral",135222
0,"no","no","no","13-15years","white","no",14,2,1,0,"northcentral",138354
40,"no","yes","no","13-15years","white","no",10,0,5,3.44,"northcentral",29144
40,"no","yes","yes","12years","white","no",23,0,2,27,"northcentral",135329
0,"no","no","no","12years","white","no",24,0,0,0,"northcentral",112047
60,"yes","no","yes","16years","white","no",31,0,0,35.007,"northcentral",106484
50,"no","no","no","16years","white","no",19,0,2,20,"northcentral",112094
32,"no","no","no","12years","white","no",29,0,1,21.616,"northcentral",111042
25,"no","no","no","12years","white","no",23,0,2,0,"northcentral",112047
0,"no","no","no","12years","white","no",46,0,0,0,"northcentral",114022
40,"no","no","no",">16years","white","no",17,0,2,0,"northcentral",112047
40,"yes","no","yes","12years","white","no",9,0,1,30,"northcentral",114583
40,"yes","no","yes","12years","white","no",16,0,2,16.5,"northcentral",116303
0,"no","no","no","12years","white","no",6,3,0,9.36,"northcentral",120942
22,"yes","no","yes","13-15years","white","no",15,2,0,56,"northcentral",256216
40,"yes","no","yes","16years","white","no",28,0,1,75,"northcentral",255363
30,"yes","no","yes","13-15years","white","no",21,0,1,38,"northcentral",250416
0,"yes","no","yes","12years","white","no",31,0,0,45,"northcentral",201024
45,"no","yes","no","16years","white","no",18,0,2,38,"northcentral",206304
30,"no","yes","yes","16years","white","no",39,0,0,40,"northcentral",215758
45,"no","yes","no","16years","white","no",19,0,0,28,"northcentral",202928
0,"yes","no","yes","13-15years","white","no",20,0,4,52,"northcentral",206304
40,"yes","no","yes","16years","white","no",20,0,2,51,"northcentral",202928
40,"yes","no","yes",">16years","white","no",17,0,2,25,"northcentral",214490
40,"no","no","no","12years","white","no",22,0,4,6,"northcentral",204310
0,"no","no","no","12years","white","no",38,0,0,0,"northcentral",206155
35,"yes","no","yes","12years","white","no",12,0,0,35,"northcentral",204919
40,"yes","yes","yes","13-15years","white","no",16,0,3,32,"northcentral",212996
0,"no","no","no","13-15years","white","no",24,0,3,10.582,"northcentral",209510
0,"no","no","no","13-15years","white","no",35,0,0,0,"northcentral",199024
0,"no","no","no","12years","white","no",45,0,0,0,"northcentral",73038
40,"no","yes","no","16years","white","no",5,0,0,0,"northcentral",70249
0,"no","no","no","13-15years","white","no",10,1,0,30,"northcentral",69205
37,"yes","no","yes","13-15years","white","no",21,0,1,19.5,"northcentral",70755
15,"yes","no","yes","12years","white","no",26,0,0,16,"northcentral",68694
32,"yes","no","yes","12years","white","no",42,0,0,15.8,"northcentral",69622
40,"yes","no","yes","12years","white","no",25,1,1,24,"northcentral",70755
0,"yes","no","yes","13-15years","white","no",17,2,1,47,"northcentral",71933
40,"no","yes","no","12years","white","no",28,0,0,2.5,"northcentral",68050
24,"yes","no","yes","16years","white","no",28,0,1,40,"northcentral",68050
0,"yes","no","yes","13-15years","white","no",41,0,0,58,"northcentral",75229
0,"no","no","no","12years","white","no",36,0,0,0,"northcentral",25059
34,"no","no","no","9-11years","white","no",26.5,0,0,21.8,"northcentral",26379
36,"no","yes","yes","12years","white","no",40,0,0,10.78,"northcentral",26240
0,"no","no","no","13-15years","white","no",42,0,0,2,"northcentral",28047
16,"no","no","no","13-15years","white","no",18,1,3,0,"northcentral",26818
24,"yes","no","yes","16years","white","no",20,0,7,5,"northcentral",26379
0,"no","no","no","12years","white","no",42,0,0,0,"northcentral",25957
0,"no","no","no","13-15years","white","no",42,0,0,0,"northcentral",28047
20,"no","no","no","12years","white","no",26,0,1,5,"northcentral",26379
0,"no","no","no","13-15years","white","no",19,0,2,0,"northcentral",30293
26,"yes","no","yes","12years","white","no",32,0,0,40,"northcentral",29518
24,"yes","no","yes","12years","white","no",47,0,0,11,"northcentral",31010
0,"yes","no","yes","12years","white","no",41,0,0,7.483,"northcentral",29984
40,"yes","no","yes","12years","white","no",11,1,2,33.648,"northcentral",229631
40,"yes","no","yes","12years","white","no",27,0,0,58,"northcentral",236861
40,"no","no","no","12years","white","no",13,0,2,10.172,"northcentral",242347
0,"yes","no","yes","12years","white","no",46,0,0,0,"northcentral",238914
0,"no","yes","no","12years","white","no",46,0,0,0,"northcentral",238914
40,"no","yes","no","9-11years","white","no",47.5,0,0,0,"northcentral",238914
0,"no","no","no","12years","white","no",17,3,0,0,"northcentral",240214
0,"yes","no","yes","12years","white","no",28,0,0,37,"northcentral",232573
0,"no","no","no","12years","white","no",12,2,1,0,"northcentral",229631
45,"yes","no","yes","12years","white","no",28,0,2,40,"other",203983
10,"yes","no","yes","12years","white","no",17,0,3,40.808,"other",210684
20,"yes","no","yes","12years","white","no",8,2,1,25,"other",210575
0,"no","yes","yes","12years","white","no",42,0,0,0,"other",202617
15,"yes","no","yes","12years","white","no",39,0,0,30,"other",202617
32,"no","yes","yes","13-15years","white","no",34,0,0,40,"other",173240
18,"yes","no","yes",">16years","white","yes",13,1,1,60,"other",100757
50,"yes","no","yes","16years","white","no",23,0,2,53,"other",178188
40,"yes","yes","yes","12years","white","no",20,0,1,22,"other",181152
40,"yes","yes","yes","13-15years","white","no",22,0,2,31,"other",178188
0,"yes","no","yes","12years","white","no",29,0,1,37,"other",176516
30,"yes","no","yes","12years","white","no",19,0,3,50,"other",183695
40,"no","yes","yes","16years","white","no",31,0,0,47,"other",171646
17,"yes","no","yes","12years","white","no",15,1,1,30.4,"other",182315
40,"no","yes","no",">16years","white","no",8,0,0,18,"other",182315
36,"no","yes","yes","13-15years","white","no",19,0,3,22,"other",181152
35,"no","yes","no","13-15years","white","no",35,0,1,2.6,"other",169269
20,"no","no","no","12years","white","no",26,0,2,0,"other",178188
38,"yes","yes","yes","16years","white","no",21,0,0,54,"other",178188
30,"yes","no","yes","9-11years","white","no",44.5,0,0,22,"other",189454
40,"yes","no","yes","13-15years","white","no",28,0,1,44.44,"other",176516
50,"no","yes","no","12years","white","no",44,0,0,0,"other",189454
37,"yes","no","yes","12years","white","no",26,0,3,23.12,"other",178188
30,"no","yes","no",">16years","white","no",34,0,1,0,"other",177795
37,"yes","yes","yes",">16years","white","no",10,1,0,28,"other",184874
35,"no","yes","no","16years","white","no",30,0,0,67,"other",171646
40,"no","no","no","9-11years","white","no",10.5,0,0,10,"other",312467
0,"yes","no","yes","12years","white","no",12,3,1,2.7,"other",298857
0,"no","no","no","9-11years","white","no",19.5,0,0,0,"other",310168
16,"yes","no","yes","12years","white","no",44,0,0,34.875,"other",324383
20,"yes","no","yes","12years","white","no",15,0,2,28.2,"other",113484
40,"yes","no","yes","16years","white","no",3,1,0,38.715,"other",85249
10,"yes","no","yes","16years","white","no",12,2,1,48,"other",108122
45,"yes","no","yes","16years","white","no",21,0,2,34.8,"other",105675
22,"yes","no","yes","13-15years","white","no",30,0,0,59,"other",104683
20,"yes","no","yes","16years","white","no",21,1,1,0,"other",110915
32,"yes","no","yes","16years","white","no",9,2,0,55.5,"other",113484
40,"no","yes","no","13-15years","white","yes",10,0,2,33,"other",46036
40,"yes","no","yes","13-15years","white","yes",10,2,0,26,"other",46036
40,"yes","no","yes","12years","white","no",16,0,1,24.241,"other",111023
36,"no","yes","no","13-15years","white","no",10,0,0,30,"other",106132
18,"yes","no","yes","13-15years","white","no",18,0,3,60,"other",110315
40,"no","yes","no",">16years","black","no",19,0,1,26,"other",98010
0,"yes","no","yes","12years","white","no",9,2,0,29,"other",110966
40,"no","yes","yes","12years","white","no",36,0,0,35,"other",103079
40,"yes","no","yes",">16years","white","no",33,0,0,55,"other",106772
48,"no","yes","no","13-15years","white","no",19,0,2,3,"other",110315
40,"yes","yes","yes","12years","white","no",32,0,0,50,"other",107492
0,"yes","no","yes","12years","white","no",46,0,0,0,"other",110423
40,"no","yes","no","13-15years","black","no",32,0,0,0,"other",115351
25,"yes","yes","yes","12years","white","no",21,1,1,45,"other",113532
40,"yes","yes","yes","16years","white","no",13,0,0,36.7,"other",114260
0,"yes","no","yes","16years","white","no",22,1,1,85,"other",111674
40,"no","yes","no","12years","white","no",34,0,0,30,"other",106085
28,"yes","no","yes","12years","white","no",13,2,0,14,"other",111547
40,"yes","no","yes","12years","white","no",36,0,1,28,"other",103565
20,"yes","no","yes","9-11years","white","no",16.5,0,0,43,"other",111547
45,"yes","no","yes","12years","white","no",23,0,2,25,"other",109022
0,"yes","no","yes","16years","white","no",23,1,1,44,"other",109022
0,"yes","no","yes","13-15years","white","no",21,0,0,58,"other",147488
0,"yes","no","yes","12years","white","no",21,0,2,37,"other",185401
40,"no","no","no","16years","black","no",20,0,2,52,"other",160201
0,"yes","no","yes","12years","white","no",18,1,0,35,"other",180315
0,"no","no","no","13-15years","white","no",22,0,1,40,"other",136320
20,"no","yes","no",">16years","white","no",-1,0,0,0,"other",188710
35,"no","yes","no","12years","white","yes",8,1,0,0,"other",76968
35,"yes","yes","yes","12years","white","yes",44,0,0,0,"other",97146
8,"no","no","no",">16years","white","yes",33,0,0,99.999,"other",94059
0,"yes","no","yes","16years","white","no",40,0,0,0.75,"other",197290
0,"no","no","no","9-11years","white","no",28.5,0,0,45,"other",188837
40,"no","yes","no","13-15years","white","no",25,0,2,0.8,"other",188837
40,"yes","no","yes","9-11years","white","no",42.5,0,0,23,"other",185813
0,"yes","no","yes","12years","white","no",19,0,0,38,"other",191979
30,"no","yes","yes","12years","white","no",30,0,0,35,"other",187065
35,"yes","yes","yes","12years","white","no",20,1,0,44,"other",191979
40,"no","yes","no","12years","white","no",47,0,0,0,"other",192166
0,"yes","no","yes","12years","white","no",38,0,0,40,"other",185813
45,"no","yes","no","9-11years","black","no",35.5,0,0,7,"other",195056
30,"no","no","no","12years","black","no",23,1,3,4.2,"other",170564
35,"no","yes","yes","16years","black","no",27,0,0,99.999,"other",177470
30,"yes","no","yes","12years","white","no",19,0,3,30,"other",191979
40,"yes","no","yes","16years","white","no",22,0,1,55,"other",185557
40,"yes","no","yes","13-15years","white","no",35,0,0,0,"other",176270
45,"no","yes","no","16years","white","no",7,0,0,65,"other",181491
30,"yes","yes","yes","12years","white","no",11,1,0,40,"other",181491
25,"yes","no","yes","16years","white","no",22,0,2,36,"other",185557
40,"yes","yes","yes","12years","white","no",23,1,1,42,"other",185557
40,"yes","yes","yes","12years","white","no",9,0,0,52,"other",189757
0,"yes","no","yes","12years","white","no",46,0,0,25,"other",188828
20,"yes","no","yes","12years","white","no",42,0,0,0,"other",182586
40,"no","no","no","16years","white","no",18,1,1,0,"other",188644
0,"yes","no","yes","16years","white","no",18,0,0,23,"other",188644
0,"no","no","no","12years","white","no",32,0,0,0,"other",183816
30,"yes","no","yes",">16years","white","no",22,0,2,40,"other",183816
45,"no","yes","no",">16years","white","no",24,0,2,51,"other",183816
40,"yes","no","yes","13-15years","white","no",17,1,0,65,"other",183906
0,"yes","no","yes","13-15years","white","no",35,0,1,9,"other",171843
40,"no","yes","no","9-11years","black","no",47.5,0,0,0,"other",270760
40,"no","yes","yes","13-15years","white","no",10,0,0,32,"other",176933
0,"yes","no","yes","12years","white","no",15,2,0,50,"other",185087
35,"no","no","yes","9-11years","white","no",10.5,1,1,20,"other",184991
0,"no","no","no","12years","white","no",11,1,3,0,"other",176933
44,"no","yes","no","16years","white","no",13,1,0,0,"other",183650
40,"yes","yes","yes","13-15years","black","no",21,0,1,37,"other",162124
40,"no","yes","no","16years","white","no",12,2,1,53,"other",185087
45,"yes","no","yes","12years","white","no",10,0,2,20,"other",175559
0,"no","no","no","9-11years","white","no",4.5,2,0,9.2,"other",192470
0,"no","no","no","<9years","white","no",10,3,0,0,"other",192470
40,"no","yes","yes",">16years","white","no",36,0,0,0,"other",178000
20,"no","yes","yes","13-15years","white","no",9,0,0,30.8,"other",176933
22,"yes","no","yes",">16years","white","no",19,0,2,51.576,"other",180897
0,"no","no","no","12years","black","no",14,3,0,0,"other",234958
40,"no","yes","yes","16years","white","no",18,0,1,13.347,"other",181481
35,"yes","no","yes","12years","white","no",8,1,1,11.34,"other",182551
0,"yes","no","yes","12years","white","no",20,1,1,57,"other",181481
40,"yes","yes","yes",">16years","white","no",35,0,0,76.685,"other",175653
0,"yes","no","yes","12years","white","no",39,0,0,0,"other",175653
0,"no","no","no","16years","white","no",39,0,0,0,"other",189798
0,"yes","no","yes","12years","white","no",16,1,2,27,"other",182646
0,"yes","no","yes","12years","white","no",46,0,0,7,"other",181658
20,"no","no","no","9-11years","white","no",46.5,0,0,19,"other",189798
40,"no","yes","no","12years","white","no",23,0,2,10,"other",180792
40,"no","no","no","12years","white","no",28,0,0,5,"other",179227
40,"no","yes","no","12years","white","no",34,0,0,0,"other",171869
37,"yes","no","yes","12years","white","no",41,0,0,5,"other",178027
0,"no","no","no","9-11years","white","no",31.5,0,0,0,"other",179227
40,"no","yes","no","13-15years","white","no",14,2,0,59,"other",185115
40,"no","yes","no","12years","white","no",33,0,0,0,"other",171869
44,"no","yes","yes","12years","white","no",44,0,0,31,"other",192364
10,"yes","no","yes","9-11years","white","no",22.5,1,2,0,"other",183935
25,"no","no","no",">16years","white","no",23,0,1,60,"other",179227
50,"yes","no","yes",">16years","white","no",16,1,1,45,"other",183935
26,"yes","yes","yes","9-11years","white","no",42.5,0,0,30,"other",178027
40,"yes","yes","yes",">16years","white","no",17,0,3,45,"other",180925
25,"yes","yes","yes","12years","white","no",40,0,0,17,"other",177110
40,"no","yes","no","16years","white","no",7,1,0,37,"other",106633
40,"no","yes","yes","16years","white","no",9,1,0,35,"other",111547
28,"yes","no","yes","12years","white","no",13,0,0,12,"other",111547
15,"yes","no","yes",">16years","white","no",16,0,2,68,"other",110836
60,"no","yes","yes",">16years","white","no",10,0,0,66,"other",111547
32,"yes","no","yes","16years","white","no",28,0,0,30,"other",107999
0,"no","no","no","13-15years","white","no",18,2,2,0,"other",110836
35,"no","yes","yes","16years","white","no",12,0,0,29.5,"other",111547
5,"yes","no","yes","13-15years","white","no",22,0,1,99.999,"other",109022
40,"no","yes","no","<9years","white","no",36,0,0,0,"other",107999
0,"yes","no","yes",">16years","white","no",28,0,0,54,"other",103565
40,"no","yes","yes",">16years","white","no",3,0,0,40,"other",111489
40,"no","yes","yes","12years","white","no",31,0,0,42,"other",107999
8,"yes","no","yes","16years","white","no",29,0,1,65,"other",103565
50,"no","yes","no",">16years","white","no",12,1,0,14,"other",110836
35,"no","yes","no","13-15years","white","no",39,0,0,63,"other",107276
20,"yes","no","yes",">16years","white","no",25,0,0,60,"other",107999
36,"yes","yes","yes","12years","white","no",44,0,0,0,"other",120069
40,"no","yes","no","9-11years","white","no",41.5,0,0,28,"other",111120
30,"no","no","yes","16years","white","no",26,0,1,43,"other",111869
6,"no","no","no","<9years","white","no",32,0,1,21,"other",107999
40,"no","yes","no",">16years","white","no",24,0,2,52,"other",107999
40,"yes","yes","yes","12years","white","no",32,0,0,36,"other",107999
0,"no","no","no",">16years","white","no",20,0,2,20,"other",83793
40,"no","yes","yes","13-15years","white","no",11,1,0,35,"other",111547
50,"no","yes","yes","16years","white","no",3,0,0,28,"other",115997
40,"yes","no","yes","13-15years","white","no",28,0,0,44,"other",107999
35,"no","no","no","13-15years","white","no",25,0,2,9.999,"other",109022
40,"yes","no","yes","12years","white","no",36,0,0,30,"other",107276
32,"no","yes","no","16years","white","no",17,1,0,18,"other",114807
50,"yes","no","yes","13-15years","white","no",11,0,0,27,"other",111547
40,"no","no","no","12years","white","no",28,0,0,41.2,"other",107999
25,"yes","no","yes","12years","white","no",40,0,0,52,"other",107276
40,"no","yes","no",">16years","white","no",11,0,0,30,"other",115544
40,"yes","no","yes","12years","white","no",18,0,0,33,"other",114807
0,"yes","no","yes","9-11years","white","no",29.5,0,3,46,"other",107999
37,"no","yes","no","13-15years","white","no",11,0,0,49,"other",111547
0,"no","no","no","16years","white","no",8,0,0,40,"other",86796
20,"no","no","no","16years","white","no",2,0,0,7,"other",120153
45,"yes","no","yes","13-15years","white","no",19,0,3,40,"other",114807
40,"no","yes","no","12years","white","no",39,0,0,0,"other",111120
4,"no","no","no","12years","white","yes",14,0,0,10.4,"other",61627
40,"no","yes","no","<9years","white","yes",20,2,1,9,"other",78160
40,"yes","no","yes","<9years","white","yes",32,0,1,20,"other",39576
40,"no","no","no","12years","white","yes",13,0,2,13,"other",40876
40,"no","yes","no",">16years","white","no",6,0,0,32,"other",70042
0,"yes","no","yes","16years","white","no",23,1,3,65,"other",71612
25,"no","yes","no","13-15years","white","no",20,0,1,37,"other",72803
44,"no","yes","yes","13-15years","white","no",36,0,0,30,"other",70465
0,"no","no","yes","<9years","white","no",48,0,0,0,"other",76139
0,"yes","no","yes","12years","white","no",43,0,0,22,"other",76139
0,"yes","no","yes","9-11years","white","no",46.5,0,0,0,"other",76139
16,"yes","no","yes","12years","white","no",40,0,0,25,"other",71961
35,"no","no","no","13-15years","white","no",10,0,3,6,"other",71529
25,"no","no","no","12years","white","no",6,3,0,22,"other",77810
40,"no","yes","yes","<9years","white","no",38,0,0,26,"other",69472
60,"no","no","no","12years","white","no",26,2,1,0,"other",73132
35,"no","yes","no","9-11years","white","no",39.5,0,1,0,"other",71961
40,"no","yes","no","9-11years","white","yes",23.5,0,2,14,"other",166601
25,"yes","no","yes","12years","white","no",10,1,1,30.4,"other",288317
40,"no","no","no","12years","white","no",15,0,0,0,"other",301603
40,"no","yes","no","<9years","white","no",48,0,0,17,"other",313742
5,"yes","no","yes","13-15years","white","no",20,0,2,42,"other",185401
0,"yes","no","yes",">16years","white","no",22,0,2,80,"other",180656
32,"yes","no","yes",">16years","white","no",22,0,2,45.806,"other",180656
0,"yes","no","yes","12years","white","no",40,0,0,0,"other",175334
35,"yes","yes","yes","12years","white","no",29,0,1,31.5,"other",176516
0,"no","no","no","<9years","white","yes",44,0,0,0,"other",84917
40,"no","yes","yes","12years","white","no",30,0,0,32,"other",181970
50,"yes","yes","yes","16years","white","no",27,0,1,69,"other",178523
45,"yes","no","yes",">16years","white","no",26,0,1,51.5,"other",178523
20,"yes","no","yes","12years","white","no",30,0,0,40,"other",181970
25,"no","no","no","13-15years","white","no",42,0,0,0,"other",195308
50,"yes","yes","yes","16years","white","no",25,0,1,40.059,"other",196790
20,"yes","no","yes","12years","white","no",19,0,2,59.381,"other",201959
25,"yes","no","yes","13-15years","white","no",25,0,1,40,"other",198654
40,"yes","yes","yes","12years","white","no",25,0,1,47,"other",198862
20,"yes","no","yes","12years","white","no",28,0,2,90,"other",92309
50,"no","yes","no","16years","white","no",17,0,0,40,"other",94734
40,"yes","no","yes","16years","white","no",32,0,0,55,"other",88520
40,"yes","yes","yes","13-15years","white","no",25,0,1,38,"other",93184
40,"yes","yes","yes","13-15years","white","no",24,0,0,45,"other",177684
38,"yes","yes","yes","9-11years","white","no",32.5,0,0,30,"other",147384
55,"no","yes","no","12years","white","no",45,0,0,0,"other",158187
43,"yes","no","yes","13-15years","white","no",14,0,2,0,"other",181358
0,"no","no","no","9-11years","white","no",41.5,0,0,0,"other",174414
0,"yes","no","yes","12years","white","no",39,0,0,27,"other",179447
0,"yes","no","yes","12years","white","no",42,0,0,0,"other",179447
40,"yes","no","yes","12years","white","no",24,0,3,29.74,"other",182367
35,"yes","yes","yes","16years","white","no",31,0,0,80,"other",140107
0,"yes","no","yes","16years","white","no",10,1,1,41,"other",150904
0,"yes","no","yes","12years","white","no",37,0,0,0,"other",140107
0,"yes","no","yes","12years","white","no",13,2,1,34.975,"other",150904
0,"yes","no","yes","9-11years","white","yes",7.5,1,0,18.076,"other",67174
40,"no","yes","no","16years","white","no",6,1,0,10.2,"other",195128
40,"no","yes","no","13-15years","white","no",5,0,0,0,"other",212262
45,"no","yes","no","16years","white","no",3,0,0,0,"other",212262
20,"yes","no","yes","12years","white","no",36,0,0,40,"other",195609
0,"yes","no","yes","13-15years","white","no",23,0,3,50,"other",180806
0,"no","no","no","<9years","white","no",12,2,2,0,"other",184898
45,"no","yes","no","16years","white","no",11,1,1,0,"other",182549
0,"yes","no","yes","12years","white","no",41,0,0,26,"other",175559
40,"no","yes","no","13-15years","white","no",6,0,0,9.9,"other",184898
35,"no","no","no","12years","white","no",12,0,0,0,"other",195128
40,"no","yes","no","12years","black","no",25,0,1,26,"other",180195
40,"no","yes","no",">16years","white","no",7,2,1,0,"other",204120
40,"no","yes","no","12years","white","no",20,0,2,47,"other",97511
0,"yes","no","yes","12years","white","no",32,0,0,36.56,"other",95016
40,"no","yes","no","13-15years","white","no",11,1,0,26,"other",115544
20,"no","no","no","13-15years","white","no",15,1,1,0.4,"other",86796
0,"no","yes","no","13-15years","white","no",11,1,0,42,"other",115544
30,"yes","no","yes",">16years","white","no",28,0,0,0,"other",103565
24,"yes","no","yes","13-15years","white","no",32,0,0,52,"other",103565
44,"no","yes","no","13-15years","white","no",29,0,0,10,"other",107999
30,"no","yes","yes","12years","white","no",45,0,0,63,"other",115915
40,"no","yes","no",">16years","white","no",11,0,0,12,"other",111547
30,"yes","no","yes","12years","white","no",20,0,2,50.96,"other",110836
40,"no","yes","yes","12years","white","no",13,0,0,30,"other",86796
8,"no","yes","no",">16years","white","no",28,0,0,0,"other",195315
6,"no","no","no","12years","white","no",47,0,0,2,"other",110423
50,"yes","yes","yes","<9years","white","no",40,0,0,0,"other",106085
35,"yes","yes","yes","12years","white","no",40,0,0,0,"other",109885
40,"yes","yes","yes","16years","white","no",22,0,0,75,"other",109022
40,"no","yes","no","13-15years","white","no",24,0,3,99.999,"other",109022
35,"no","yes","no","16years","white","no",22,0,0,0,"other",109022
0,"yes","no","yes","16years","white","no",18,1,2,99.999,"other",110836
38,"no","yes","yes","13-15years","white","no",36,0,0,42,"other",107276
45,"no","no","no","12years","white","no",18,0,2,0,"other",83793
0,"yes","no","yes","12years","white","no",43,0,0,6,"other",115915
40,"yes","no","yes","12years","white","no",12,0,0,27,"other",106633
0,"yes","no","yes","13-15years","white","no",18,2,0,0,"other",114807
40,"no","yes","no","12years","white","no",39,0,0,39.7,"other",109139
40,"no","yes","no","12years","white","no",16,0,2,35,"other",187948
40,"yes","yes","yes","13-15years","white","no",7,0,0,17,"other",372990
24,"yes","no","yes","12years","white","no",21,0,0,32,"other",370804
38,"yes","no","yes","12years","white","no",26,0,2,24.289,"other",364736
0,"yes","no","yes","12years","white","no",10,2,0,54.045,"other",356743
40,"yes","yes","yes","13-15years","white","no",22,2,0,25.5,"other",364736
32,"yes","no","yes","13-15years","white","no",14,0,2,31,"other",186591
42,"yes","no","yes","9-11years","white","no",22.5,0,0,17,"other",185401
0,"yes","no","yes","12years","white","no",15,0,3,29,"other",93296
40,"no","yes","no","13-15years","white","no",13,2,0,0,"other",107670
13,"no","no","no","13-15years","white","no",22,1,0,60.5,"other",105233
16,"yes","no","yes","12years","white","no",19,0,0,33,"other",109564
20,"no","no","no","13-15years","white","yes",7,0,0,0,"other",45666
35,"yes","no","yes","12years","white","no",40,0,0,20,"other",106045
40,"yes","no","yes","12years","white","no",15,2,0,0,"other",110267
0,"no","no","no","12years","white","no",37,0,0,0.32,"other",169486
40,"yes","no","yes","12years","white","no",32,0,3,9.5,"other",178523
40,"no","no","no","12years","white","no",38,0,0,0,"other",174414
40,"no","yes","no",">16years","white","no",24,0,1,0,"other",175589
40,"no","yes","no","12years","white","no",13,0,0,14.12,"other",181358
40,"yes","no","yes","12years","white","no",22,0,2,19.261,"other",180641
0,"no","yes","no","13-15years","white","no",44,0,0,0.4,"other",183993
0,"no","no","no","16years","white","no",20,0,2,80,"other",138966
0,"yes","no","yes","16years","white","no",36,0,0,45,"other",177910
40,"no","yes","no","16years","white","no",16,0,1,13,"other",138966
19,"yes","no","yes","13-15years","white","no",17,0,2,51,"other",97139
30,"no","no","no","12years","white","no",13,1,0,20,"other",97762
40,"no","no","no","13-15years","white","no",15,2,0,0,"other",97762
0,"no","no","no","13-15years","white","no",21,0,2,0,"other",95549
40,"no","yes","no","12years","white","no",32,0,0,40,"other",92309
20,"yes","no","yes","16years","white","no",29,0,0,36,"other",88520
0,"no","no","no","<9years","white","no",20,0,2,18.5,"other",95342
40,"yes","no","yes","12years","white","no",45,0,0,34,"other",189697
40,"yes","yes","yes","16years","white","no",33,0,0,25,"other",140107
0,"yes","no","yes","12years","white","no",17,2,0,60,"other",150904
40,"no","yes","no","12years","white","no",28,0,0,0,"other",146105
40,"yes","yes","yes","12years","white","no",31,0,0,33,"other",146105
20,"yes","no","yes","13-15years","white","no",29,0,0,3,"other",146105
40,"no","yes","yes","13-15years","white","no",34,0,0,25,"other",140107
40,"yes","yes","yes","9-11years","white","no",25.5,2,0,40,"other",113358
70,"no","no","yes",">16years","white","no",3,0,0,40,"other",150826
0,"yes","no","yes","12years","white","no",37,0,0,20,"other",140107
35,"yes","yes","yes","12years","white","no",14,0,2,34,"other",150904
20,"yes","no","yes","12years","white","no",21,1,2,57,"other",149942
30,"yes","no","yes","16years","white","no",13,1,0,80,"other",143581
0,"yes","no","yes","12years","white","no",20,3,0,45,"other",142665
0,"yes","no","yes","12years","white","no",33,0,0,23.14,"other",133307
