"occupation","region","nkids","nkids2","nadults","lnx","stobacco","salcohol","age"
"bluecol","flanders",2,0,3,14.14927,0,0.0195271,2
"inactself","flanders",0,0,2,13.87441,0,0.0582536,4
"inactself","flanders",0,0,2,13.91548,0,0.0473324,1
"inactself","flanders",0,0,1,12.71226,0,0,3
"inactself","flanders",0,0,1,13.28451,0,0.0113466,4
"inactself","flanders",2,1,2,14.17863,0.0020031,0.0202892,1
"inactself","flanders",0,0,1,13.51237,0,0.0154368,3
"inactself","flanders",0,0,2,13.40375,0,0,4
"whitecol","flanders",1,0,2,14.25334,0,0.0158241,2
"bluecol","flanders",1,0,4,14.05442,0,0.0025987,2
"bluecol","flanders",1,0,2,13.91952,0,0,2
"whitecol","flanders",1,0,3,14.18676,0.0560316,0.0138003,2
"bluecol","flanders",1,1,2,14.60019,0,0.0075777,1
"inactself","flanders",0,0,1,13.3927,0,0.0270207,4
"inactself","flanders",0,0,1,13.60246,0.0350694,0.0028065,3
"inactself","flanders",0,0,1,13.90529,0.0516057,0.0184399,4
"inactself","flanders",0,0,1,13.23359,0,0.0950745,4
"bluecol","flanders",3,0,2,13.45318,0.0793719,0.0020688,2
"bluecol","flanders",2,0,2,13.91845,0.0048988,0.0022735,2
"inactself","flanders",2,0,1,13.14856,0,0.0042785,1
"inactself","flanders",0,0,1,13.29082,0,0.0052726,4
"whitecol","flanders",2,0,2,14.43993,0.0047238,0.0023072,1
"whitecol","flanders",0,0,3,14.31762,0.0114695,0.0108727,2
"whitecol","flanders",0,0,1,12.99821,0.1720933,0,0
"whitecol","flanders",0,0,2,15.02855,0,0.0117217,2
"inactself","flanders",0,0,2,13.12097,0,0.0045263,4
"bluecol","flanders",0,0,1,13.25496,0.0683488,0,3
"inactself","flanders",0,0,2,13.83368,0,0.0080739,3
"whitecol","flanders",1,0,3,14.48861,0,0,2
"inactself","flanders",0,0,2,13.4764,0.0438795,0.004649,2
"whitecol","flanders",0,0,1,13.15751,0,0,0
"inactself","flanders",0,0,1,12.84662,0,0.0025612,1
"inactself","flanders",1,0,3,13.5734,0.0115725,0,3
"bluecol","flanders",0,0,2,13.96346,0,0.009056,2
"inactself","flanders",0,0,1,13.54629,0.0572011,0.0042017,3
"inactself","flanders",0,0,2,13.41265,0,0.0102154,4
"whitecol","flanders",1,0,2,13.70479,0,0.0018901,1
"bluecol","flanders",3,0,2,14.42725,0,0.0032696,2
"inactself","flanders",0,0,1,13.21305,0,0,4
"inactself","flanders",0,0,1,13.57022,0,0.0061037,4
"whitecol","flanders",1,0,2,14.34753,0,0.0012124,1
"whitecol","flanders",3,0,2,14.23432,0.0019735,0.0059836,0
"bluecol","flanders",1,0,2,14.24288,0.0025045,0.0175708,2
"whitecol","flanders",0,0,1,13.40462,0,0.0201612,2
"inactself","flanders",0,0,2,13.90093,0,0.02494,4
"inactself","flanders",0,0,3,13.34042,0,0.0026824,3
"inactself","flanders",0,0,2,14.313,0,0.0189786,4
"inactself","flanders",0,0,1,13.21638,0,0.0111417,4
"whitecol","flanders",0,0,4,13.72692,0.0335394,0,2
"whitecol","flanders",0,0,2,14.26341,0,0.0179729,1
"whitecol","flanders",1,0,3,14.07419,0,0.0092463,2
"whitecol","flanders",0,0,4,14.18953,0,0,2
"whitecol","flanders",0,0,2,13.63109,0,0.0028861,0
"whitecol","flanders",0,0,5,14.33666,0,0.0083161,2
"inactself","flanders",0,0,3,14.15135,0,0,4
"inactself","flanders",0,0,2,13.31888,0.0475404,0.0010845,4
"inactself","flanders",0,0,1,13.27475,0,0.0018341,4
"whitecol","flanders",1,0,3,13.7511,0.0228451,0.0070903,3
"bluecol","flanders",1,0,1,12.98901,0,0,0
"bluecol","flanders",0,0,2,13.65436,0,0.0007331,1
"inactself","flanders",0,0,1,13.11908,0.0395378,0.0077534,4
"bluecol","flanders",1,0,2,14.16094,0.002952,0.0057511,1
"inactself","flanders",0,0,2,14.05851,0.0021826,0.0163003,4
"bluecol","flanders",2,0,2,14.12689,0.0288434,0.002795,2
"whitecol","flanders",0,0,2,13.66922,0.0055029,0.0792378,3
"whitecol","flanders",3,0,1,14.04437,0,0.006634,2
"inactself","flanders",0,0,1,13.07388,0.0906921,0,3
"inactself","flanders",0,0,1,13.80702,0.0038122,0.0080239,3
"inactself","flanders",0,0,1,13.33672,0,0,4
"whitecol","flanders",1,0,2,13.76925,0.0467536,0.0015082,1
"whitecol","flanders",3,0,2,14.51196,0,0.0241511,2
"bluecol","flanders",0,0,2,13.47704,0.0086861,0,1
"whitecol","flanders",0,0,1,13.43674,0,0,0
"whitecol","flanders",1,0,2,13.66774,0,0,2
"inactself","flanders",0,0,1,14.13624,0,0.062037,4
"inactself","flanders",0,0,2,13.88488,0,0.0107704,4
"inactself","flanders",0,0,1,13.09764,0,0.0118083,4
"inactself","flanders",0,0,2,14.10381,0,0.0031031,4
"whitecol","flanders",0,0,2,14.01858,0,0.0078031,3
"whitecol","flanders",0,0,2,13.98579,0,0,2
"inactself","flanders",0,0,2,14.32876,0,0.0054587,4
"inactself","flanders",0,0,1,13.03576,0,0.002146,2
"whitecol","flanders",0,0,2,13.8896,0,0.0165028,1
"inactself","flanders",0,0,3,14.46795,0,0.0091969,3
"whitecol","flanders",0,0,2,13.87044,0.0520601,0.0478196,3
"whitecol","flanders",0,0,1,12.60327,0.0088226,0,1
"inactself","flanders",0,0,1,12.74015,0,0.0324291,4
"whitecol","flanders",0,0,2,14.17515,0.00134,0.0211639,2
"whitecol","flanders",1,0,3,14.34496,0,0.0156248,2
"whitecol","flanders",2,0,2,13.54836,0,0.0066932,2
"inactself","flanders",1,0,2,13.92883,0,0.0077411,0
"inactself","flanders",0,0,2,13.68425,0,0.0159272,0
"bluecol","flanders",3,1,3,13.95246,0.0065924,0,1
"bluecol","flanders",2,0,1,13.1069,0.0994455,0.0079946,1
"inactself","flanders",0,0,2,14.41003,0,0.020347,3
"whitecol","flanders",0,0,2,13.68503,0,0.0042248,3
"bluecol","flanders",0,0,2,13.41227,0.0195763,0.0369795,3
"inactself","flanders",0,0,2,13.57018,0,0,4
"whitecol","flanders",0,0,3,14.33254,0,0,3
"whitecol","flanders",0,0,4,14.27402,0.0022697,0.0109875,2
"whitecol","flanders",1,0,2,13.67989,0.0288601,0.0110264,0
"bluecol","flanders",0,0,2,13.75938,0,0.0019293,1
"inactself","flanders",0,0,4,13.90791,0.0271006,0,3
"whitecol","flanders",1,0,2,13.6664,0,0.037582,1
"inactself","flanders",0,0,2,13.56233,0,0.0679544,2
"inactself","flanders",0,0,1,13.1517,0,0.0101148,4
"inactself","flanders",3,0,2,13.91217,0.0145259,0.0018684,1
"whitecol","flanders",0,0,4,14.17493,0.0206073,0.0114401,2
"whitecol","flanders",1,1,2,13.98182,0,0.0124782,0
"whitecol","flanders",0,0,2,14.19052,0,0.04643,2
"whitecol","flanders",0,0,2,13.76984,0,0.0231244,1
"inactself","flanders",3,0,2,14.39949,0,0.014886,1
"inactself","flanders",0,0,1,13.69983,0,0.0575284,3
"whitecol","flanders",2,1,2,14.11389,0,0.0008548,1
"whitecol","flanders",2,0,2,14.48254,0,0.0190552,2
"inactself","flanders",0,0,2,13.37841,0.0259542,0.0122618,4
"inactself","flanders",0,0,2,13.604,0,0.0017792,4
"bluecol","flanders",0,0,1,13.30888,0,0,0
"whitecol","flanders",0,0,3,14.08088,0.0046384,0.0027517,4
"whitecol","flanders",2,0,2,14.22318,0,0.004997,1
"inactself","flanders",0,0,2,14.00932,0,0,4
"inactself","flanders",0,0,1,14.15318,0.0117117,0.0393901,4
"inactself","flanders",0,0,2,13.61958,0.0167796,0.0166482,4
"inactself","flanders",0,0,2,13.77012,0.0024361,0.0052489,4
"inactself","flanders",0,0,1,13.74282,0,0.0139113,4
"whitecol","flanders",2,0,2,14.23394,0,0.0131503,1
"inactself","flanders",0,0,1,13.46431,0,0,3
"whitecol","flanders",3,0,2,14.52452,0.0002953,0.0103289,2
"inactself","flanders",0,0,2,13.77105,0.0240875,0.0190379,4
"bluecol","flanders",2,0,3,13.81264,0,0.0060654,2
"inactself","flanders",1,0,2,14.79469,0,0.007568,1
"whitecol","flanders",2,0,2,14.26393,0.010959,0.002437,1
"whitecol","flanders",4,0,2,14.01416,0,0.0043878,1
"whitecol","flanders",1,0,3,14.2774,0.0036142,0.0051416,2
"whitecol","flanders",2,0,2,14.21169,0,0.020994,1
"whitecol","flanders",0,0,4,14.09575,0,0.0029922,3
"inactself","flanders",4,0,4,13.85391,0.0177839,0,2
"bluecol","flanders",3,0,2,13.858,0.0023145,0.0339387,2
"inactself","flanders",0,0,2,14.17684,0,0.0031793,4
"inactself","flanders",0,0,1,12.94154,0.0138033,0,4
"inactself","flanders",0,0,2,13.89156,0,0.0146577,4
"inactself","flanders",0,0,2,14.28629,0,0.0196391,4
"inactself","flanders",0,0,3,13.71334,0.0510369,0.0033094,4
"inactself","flanders",0,0,2,14.19544,0.0314448,0.0502099,4
"bluecol","flanders",2,0,3,13.90852,0,0.0379198,3
"inactself","flanders",0,0,2,13.08169,0,0.0153394,4
"whitecol","flanders",1,0,3,14.43075,0.0083671,0.0542608,2
"inactself","flanders",0,0,2,14.63811,0,0.0116394,4
"inactself","flanders",0,0,3,13.93062,0.0040107,0.0236258,4
"inactself","flanders",0,0,2,13.19645,0,0.0040784,4
"bluecol","flanders",2,0,2,14.35884,0.0227841,0.0713843,1
"whitecol","flanders",0,0,1,13.56956,0.0032227,0.0133818,2
"whitecol","flanders",0,0,4,14.08165,0.0408304,0.0104467,3
"whitecol","flanders",0,0,3,14.08945,0.0189487,0.0188293,3
"whitecol","flanders",0,0,2,14.248,0.0120694,0,2
"bluecol","flanders",2,0,2,13.95881,0,0.0041488,1
"bluecol","flanders",0,0,2,13.8168,0,0.0019415,1
"bluecol","flanders",0,0,2,13.56192,0.0159277,0.0025825,1
"inactself","flanders",0,0,1,13.14132,0,0,4
"inactself","flanders",0,0,2,14.0662,0,0.0162409,4
"inactself","flanders",0,0,2,13.79348,0,0.0036434,4
"inactself","flanders",2,1,2,13.83309,0,0,1
"whitecol","flanders",1,0,2,13.68477,0.0172455,0.0094775,1
"whitecol","flanders",0,0,2,13.95632,0.0262681,0.0208373,1
"bluecol","flanders",0,0,3,13.95985,0,0.02361,3
"bluecol","flanders",2,0,2,13.96028,0,0.019779,1
"bluecol","flanders",0,0,4,13.77924,0,0.0093947,3
"bluecol","flanders",2,0,2,14.15297,0.0071244,0.0025261,1
"inactself","flanders",0,0,2,14.1833,0,0.0301161,3
"inactself","flanders",0,0,1,13.42177,0,0.0160111,4
"whitecol","flanders",0,0,4,14.03025,0,0.0096713,2
"whitecol","flanders",2,0,2,13.69063,0.0709447,0.0388986,1
"bluecol","flanders",2,0,2,13.89497,0.0127569,0.0006096,1
"bluecol","flanders",0,0,4,14.12443,0,0,2
"whitecol","flanders",0,0,2,13.69481,0,0,3
"bluecol","flanders",0,0,2,13.96852,0.0033055,0,2
"bluecol","flanders",0,1,2,13.92472,0.1207818,0.0094567,0
"whitecol","flanders",1,0,2,14.18184,0,0.0326463,1
"bluecol","flanders",1,0,4,14.20607,0.0294356,0.0214941,2
"whitecol","flanders",2,0,2,14.00812,0.0183206,0.0348893,1
"inactself","flanders",0,0,2,13.72105,0.0086386,0.003561,3
"inactself","flanders",0,0,1,13.3828,0,0.0036625,4
"inactself","flanders",0,0,3,13.70612,0,0,3
"inactself","flanders",0,0,2,13.51401,0,0.0063755,4
"whitecol","flanders",0,0,2,14.25813,0,0.0070067,1
"whitecol","flanders",0,0,2,13.54049,0,0.0188479,1
"whitecol","flanders",0,0,1,13.96283,0.0289975,0.0774234,3
"whitecol","flanders",1,0,4,14.38795,0,0.0556386,3
"whitecol","flanders",2,0,2,14.23495,0,0.0471601,1
"bluecol","flanders",2,0,2,13.77616,0.064842,0,1
"bluecol","flanders",1,1,2,13.87527,0.0207314,0,1
"inactself","flanders",1,0,2,14.08092,0.0082134,0.0215435,1
"whitecol","flanders",0,0,3,14.30711,0.0026423,0.0092407,3
"bluecol","flanders",0,0,3,13.78768,0.0044152,0,2
"bluecol","flanders",1,0,2,13.42581,0,0,3
"bluecol","flanders",1,0,2,13.73723,0,0.0080458,1
"whitecol","flanders",0,0,2,13.70917,0.0063351,0.0273202,0
"inactself","flanders",0,0,1,12.49395,0.0699615,0.0059389,4
"inactself","flanders",0,0,2,13.1377,0,0,4
"bluecol","flanders",3,0,2,13.86807,0,0,1
"inactself","flanders",0,0,2,14.27979,0,0.0142112,3
"inactself","flanders",0,0,2,13.40971,0.0688342,0.103895,4
"whitecol","flanders",0,0,3,14.38169,0.0085852,0.0095792,3
"inactself","flanders",1,0,3,13.94035,0,0.0121592,3
"inactself","flanders",0,0,2,13.73667,0,0,4
"whitecol","flanders",1,0,2,13.96328,0.0232911,0.0034574,2
"inactself","flanders",2,0,3,14.09392,0,0.0110551,2
"inactself","flanders",0,0,2,13.49996,0,0,4
"whitecol","flanders",0,0,2,14.02114,0,0.0180835,3
"inactself","flanders",0,0,3,13.51828,0.0104998,0,4
"inactself","flanders",0,0,1,12.28412,0,0,4
"inactself","flanders",0,0,1,13.077,0,0.0092628,4
"whitecol","flanders",0,0,1,13.38232,0,0.0173216,2
"whitecol","flanders",2,0,2,14.92683,0,0.011738,1
"inactself","flanders",0,0,2,13.15672,0,0.0031306,4
"whitecol","flanders",1,2,2,13.88455,0,0.0017247,0
"inactself","flanders",0,0,4,14.12813,0,0.0319584,3
"whitecol","flanders",1,0,2,14.37121,0.0106015,0.0176232,1
"inactself","flanders",0,0,1,12.07553,0.0060163,0,2
"whitecol","flanders",0,0,2,13.8787,0.0110399,0.0054861,4
"inactself","flanders",0,0,2,14.37325,0,0,4
"inactself","flanders",0,0,2,13.42636,0,0.0476011,4
"bluecol","flanders",0,0,2,13.51891,0,0.0291064,4
"whitecol","flanders",1,0,2,13.61805,0,0.011491,1
"bluecol","flanders",1,0,2,13.63997,0.0421927,0,1
"bluecol","flanders",0,0,1,12.90688,0,0.0657343,1
"whitecol","flanders",0,0,1,14.0617,0,0.0022421,2
"inactself","flanders",0,0,1,12.90754,0,0.0168691,4
"inactself","flanders",0,0,1,12.62049,0,0,4
"inactself","flanders",0,0,1,12.81138,0,0.0025221,4
"whitecol","flanders",0,0,1,13.44331,0,0.0079075,1
"inactself","flanders",0,0,2,14.04853,0,0.0086122,4
"whitecol","flanders",3,0,2,14.00433,0,0.0607241,1
"inactself","flanders",0,0,2,13.91928,0,0.0041213,4
"whitecol","flanders",0,0,2,13.6208,0,0,0
"whitecol","flanders",0,0,2,14.29067,0,0.001261,2
"inactself","flanders",0,0,2,13.54758,0,0.0508575,4
"whitecol","flanders",1,0,2,13.94454,0,0.0328339,2
"bluecol","flanders",0,0,2,13.94775,0.0252325,0.0028912,0
"inactself","flanders",2,0,3,13.62587,0,0.0043953,2
"whitecol","flanders",0,0,2,13.91859,0,0.003951,3
"whitecol","flanders",2,0,2,14.27491,0.0324421,0.0314447,2
"inactself","flanders",0,0,2,14.01668,0,0.0629425,4
"whitecol","flanders",2,0,2,13.9326,0,0.0017345,1
"inactself","flanders",0,0,2,14.20415,0,0.0153928,3
"bluecol","flanders",3,0,2,14.19693,0,0.0159161,1
"bluecol","flanders",2,0,2,14.01285,0.0411751,0.0213173,1
"bluecol","flanders",2,0,3,13.84233,0.0373596,0,1
"whitecol","flanders",0,0,3,13.7947,0.0127547,0.009079,3
"bluecol","flanders",0,0,3,14.16172,0,0,2
"inactself","flanders",0,0,2,14.2189,0,0.0075917,3
"whitecol","flanders",1,0,2,13.86999,0.0040909,0,0
"inactself","flanders",0,0,2,13.9794,0,0.0109092,2
"whitecol","flanders",1,1,2,14.37989,0,0,1
"inactself","flanders",0,0,2,13.5473,0,0,4
"whitecol","flanders",2,0,2,14.06785,0,0.0160835,1
"inactself","flanders",1,1,2,14.09961,0.0260131,0.0027067,1
"bluecol","flanders",2,0,2,13.85233,0,0.0155565,2
"whitecol","flanders",1,0,2,14.79514,0.0018022,0.0008053,2
"inactself","flanders",0,0,2,13.59397,0,0,4
"inactself","flanders",0,0,1,12.7332,0,0,4
"whitecol","flanders",3,0,2,14.0484,0,0.0154868,1
"inactself","flanders",0,0,2,13.44216,0,0,4
"whitecol","flanders",0,0,2,13.62681,0.0072461,0.0405345,1
"whitecol","flanders",0,0,3,13.86404,0,0.009854,2
"inactself","flanders",1,0,2,14.04243,0,0.0065034,1
"whitecol","flanders",2,0,2,14.24166,0,0.0013243,1
"bluecol","flanders",3,0,2,14.0799,0,0,1
"inactself","flanders",1,0,1,12.65391,0.0067096,0,0
"bluecol","flanders",0,0,3,13.72501,0.0870084,0.0143058,2
"bluecol","flanders",0,0,2,14.09444,0,0.019968,1
"bluecol","flanders",2,0,2,14.01441,0,0.0016671,2
"inactself","flanders",0,0,3,13.97748,0,0,4
"whitecol","flanders",2,0,2,14.21898,0,0,2
"whitecol","flanders",2,0,2,14.36206,0,0.0064193,1
"whitecol","flanders",3,0,2,13.8133,0,0,1
"inactself","flanders",0,0,3,13.58254,0,0.0113459,4
"inactself","flanders",0,0,1,13.46847,0,0.0939252,4
"inactself","flanders",0,0,3,13.65215,0.0067822,0,4
"whitecol","flanders",0,0,2,14.30819,0,0.0246752,4
"bluecol","flanders",0,0,2,13.57857,0.0618474,0.002114,3
"inactself","flanders",2,0,2,13.87429,0.0108623,0.0044722,1
"inactself","flanders",0,0,1,12.754,0.0333013,0.0095394,4
"whitecol","flanders",0,0,4,13.97741,0.0653613,0.0033171,2
"inactself","flanders",0,0,3,13.58635,0,0,4
"whitecol","flanders",0,0,3,14.09502,0,0.0270218,2
"whitecol","flanders",2,0,1,13.53416,0.0233716,0,1
"whitecol","flanders",0,0,5,13.70678,0,0.0051239,2
"bluecol","flanders",1,0,1,13.67154,0,0,2
"whitecol","flanders",0,0,7,14.5125,0.0172137,0.0293291,4
"whitecol","flanders",3,0,2,14.75004,0,0.0056889,1
"inactself","flanders",0,0,3,13.60569,0.0221429,0,4
"whitecol","flanders",0,0,2,14.36656,0,0.003873,1
"bluecol","flanders",1,0,2,13.52427,0.0077074,0,2
"inactself","flanders",0,0,1,12.9483,0,0,4
"whitecol","flanders",2,0,2,14.06107,0,0,1
"inactself","flanders",0,0,4,13.52517,0,0,3
"bluecol","flanders",3,1,2,14.18888,0.063072,0.0125153,2
"inactself","flanders",0,0,3,14.23434,0.002826,0.0119433,4
"whitecol","flanders",0,0,3,14.30707,0.0056518,0.040065,2
"inactself","flanders",0,0,2,13.57615,0,0,3
"inactself","flanders",0,0,2,14.03985,0.0023971,0,0
"inactself","flanders",0,0,2,13.38482,0.0134788,0.0609915,3
"inactself","flanders",0,0,2,13.58094,0,0.0098621,4
"bluecol","flanders",1,0,2,13.86403,0,0.0102542,2
"inactself","flanders",0,0,1,13.53992,0,0,4
"whitecol","flanders",0,0,3,14.36246,0,0,1
"whitecol","flanders",1,0,3,14.45355,0,0.0422494,2
"bluecol","flanders",2,0,2,14.31832,0.0557485,0.0005661,1
"bluecol","flanders",2,1,2,14.10209,0,0.0075684,1
"whitecol","flanders",4,0,2,14.47833,0,0.0115634,1
"inactself","flanders",0,0,1,12.82241,0,0,4
"whitecol","flanders",0,0,2,14.02785,0,0.0037168,3
"whitecol","flanders",0,0,5,14.21644,0,0,3
"inactself","flanders",0,0,2,13.63316,0.0108004,0.0046802,4
"bluecol","flanders",1,0,3,14.11575,0,0,2
"whitecol","flanders",2,0,2,14.24971,0,0.0055347,2
"bluecol","flanders",0,0,1,13.23992,0,0,2
"inactself","flanders",0,0,2,14.90113,0.0454933,0.0223968,4
"bluecol","flanders",1,0,2,14.06035,0.0456733,0.0364015,2
"inactself","flanders",0,0,2,14.16674,0,0.0298309,3
"inactself","flanders",0,0,2,13.90075,0,0.0751749,4
"inactself","flanders",0,0,2,14.13958,0,0.0301063,4
"inactself","flanders",0,0,2,14.20308,0,0.0464884,4
"whitecol","flanders",0,0,2,13.52587,0.0251533,0.0217146,3
"inactself","flanders",0,0,2,13.62636,0,0.0211729,4
"whitecol","flanders",0,0,3,14.53061,0,0.0156453,4
"inactself","flanders",0,0,2,12.90081,0.0398367,0.1458082,4
"bluecol","flanders",0,0,2,13.8672,0,0.0149916,1
"inactself","flanders",0,0,2,13.99335,0.0022601,0.0131303,4
"inactself","flanders",0,0,2,14.23429,0,0.0427077,4
"whitecol","flanders",0,0,2,14.08133,0,0,0
"whitecol","flanders",1,0,2,13.69936,0,0.0158805,1
"inactself","flanders",0,0,3,13.68789,0.0081801,0.0297074,3
"whitecol","flanders",0,0,2,14.14384,0,0.017149,3
"inactself","flanders",0,0,2,13.55725,0,0,4
"whitecol","flanders",0,0,2,13.81612,0.0958415,0.0012592,3
"inactself","flanders",0,0,1,13.80897,0,0.02332,4
"inactself","flanders",0,0,2,13.56495,0,0.0138444,4
"inactself","flanders",0,0,2,13.29661,0,0,4
"whitecol","flanders",0,0,3,14.66275,0,0.0075553,3
"inactself","flanders",0,0,1,13.0318,0,0,4
"inactself","flanders",0,0,2,13.74768,0,0.0225509,4
"inactself","flanders",0,0,2,14.09984,0,0.0269462,4
"whitecol","flanders",1,0,2,14.12164,0.0599929,0.0210108,1
"inactself","flanders",0,0,2,13.84549,0.0106052,0.0077327,4
"whitecol","flanders",3,0,2,14.45999,0.0006614,0.016989,1
"whitecol","flanders",2,0,2,13.80699,0.0260329,0.009194,1
"bluecol","flanders",2,0,2,14.43095,0,0.0273557,1
"whitecol","flanders",0,0,3,14.45979,0.0159088,0.0011593,2
"whitecol","flanders",1,0,2,14.10515,0.002066,0.0318067,1
"bluecol","flanders",0,0,2,13.72005,0.0459431,0.0083085,0
"bluecol","flanders",0,0,5,14.14086,0,0.0053564,3
"whitecol","flanders",0,0,3,14.61703,0,0.034106,3
"inactself","flanders",0,0,2,13.9272,0,0.0095192,4
"inactself","flanders",0,0,1,13.28758,0,0.0193888,4
"inactself","flanders",0,0,1,13.50572,0,0.0197723,4
"inactself","flanders",0,0,3,14.1399,0,0.0167873,4
"whitecol","flanders",2,0,2,14.27191,0,0.0120807,1
"inactself","flanders",1,0,2,13.96861,0,0.0053696,1
"inactself","flanders",0,0,2,13.22742,0.0102631,0.0027872,4
"inactself","flanders",0,0,4,13.96968,0,0.017794,3
"inactself","flanders",0,0,1,13.23718,0,0.0138009,4
"whitecol","flanders",2,0,2,14.1194,0,0.0030374,1
"whitecol","flanders",2,0,2,13.89347,0,0.0090354,1
"inactself","flanders",2,0,2,13.76558,0,0.0015011,1
"whitecol","flanders",1,1,2,13.65126,0,0,0
"whitecol","flanders",0,0,4,14.36102,0,0.00663,2
"inactself","flanders",0,1,2,14.19475,0,0.0183456,1
"bluecol","flanders",0,0,1,13.00151,0.0613681,0.0063375,2
"bluecol","brussels",0,0,2,13.28429,0.0843634,0.006042,2
"inactself","flanders",0,0,2,13.62641,0.0195722,0.023094,4
"whitecol","flanders",2,0,1,14.17708,0,0.0020897,2
"inactself","flanders",3,0,4,14.63947,0.0116077,0.0021268,2
"whitecol","flanders",0,0,2,14.16996,0.0440229,0.0111801,2
"inactself","flanders",0,0,1,13.51235,0,0.020962,3
"inactself","flanders",1,0,3,13.82496,0,0,2
"inactself","flanders",0,0,1,13.05407,0.0299106,0.0935093,4
"inactself","flanders",0,0,1,13.35196,0,0.0312855,4
"whitecol","flanders",0,0,2,14.05916,0.014672,0.0362286,3
"whitecol","flanders",0,0,2,14.21993,0,0.0206055,2
"inactself","flanders",0,0,2,13.85469,0,0,4
"whitecol","flanders",1,0,2,13.06917,0.1063074,0,0
"inactself","flanders",0,0,1,13.17541,0,0,4
"whitecol","flanders",0,1,2,14.22395,0.0305423,0.0302478,1
"whitecol","flanders",0,0,1,13.67847,0.0085328,0.0056426,1
"whitecol","flanders",3,1,2,14.77599,0,0.0009369,1
"inactself","flanders",0,0,1,13.25653,0,0.0054775,4
"bluecol","flanders",1,0,2,13.69482,0,0.017926,1
"inactself","flanders",2,0,2,14.27959,0.0090534,0.0202458,2
"whitecol","flanders",2,0,2,14.14116,0,0.0104757,1
"bluecol","flanders",3,0,2,14.2021,0,0,1
"whitecol","flanders",2,0,2,14.66626,0,0.0008542,2
"whitecol","flanders",2,0,2,14.3577,0,0.0072417,1
"inactself","flanders",0,0,2,14.22181,0,0,4
"inactself","flanders",0,0,2,13.83157,0,0.0028341,4
"inactself","flanders",0,0,2,13.77957,0.1885464,0,2
"inactself","flanders",0,0,2,13.23182,0,0.0115518,4
"inactself","walloon",0,0,2,13.78245,0,0,4
"whitecol","flanders",2,0,2,14.08867,0,0.0140537,2
"inactself","brussels",0,0,2,14.18053,0.0150777,0.013127,4
"whitecol","brussels",0,0,1,14.0295,0.0020345,0.0009591,1
"whitecol","flanders",0,0,3,14.12256,0.0487272,0.0224981,2
"whitecol","brussels",2,0,2,14.38964,0.0143277,0.0132396,2
"inactself","flanders",0,0,2,13.7578,0,0.0097889,4
"inactself","flanders",0,0,2,13.42706,0.0106178,0.0218949,4
"inactself","brussels",3,0,2,14.57433,0.0157772,0.022204,2
"inactself","brussels",2,0,2,14.08069,0.0009665,0.0116533,1
"inactself","brussels",0,0,2,14.12673,0.0158231,0.0455355,4
"inactself","brussels",0,0,1,13.52578,0,0.0289191,4
"whitecol","flanders",0,0,2,13.38475,0,0,0
