"bid1","bidh","bidl","answers","age","sex","income"
12,24,6,"nn",1,"male",3
6,18,3,"yy",2,"male",3
12,24,6,"yn",1,"male",2
24,48,12,"yy",4,"male",2
24,48,12,"yn",2,"female",1
48,120,24,"nn",3,"female",8
48,120,24,"yn",4,"female",3
12,24,6,"yn",5,"female",2
12,24,6,"yy",3,"female",3
6,18,3,"nn",3,"female",2
48,120,24,"nn",6,"female",3
24,48,12,"yy",1,"male",2
6,18,3,"yy",1,"male",3
48,120,24,"nn",3,"female",4
48,120,24,"yn",3,"male",3
24,48,12,"nn",2,"female",8
12,24,6,"yn",4,"male",3
12,24,6,"yy",2,"female",3
6,18,3,"yy",3,"male",2
24,48,12,"nn",2,"female",2
48,120,24,"yn",2,"male",2
24,48,12,"yn",3,"male",3
6,18,3,"yy",1,"female",2
6,18,3,"yn",5,"male",2
12,24,6,"nn",2,"female",2
12,24,6,"nn",1,"male",2
12,24,6,"yy",4,"female",3
6,18,3,"nn",4,"male",1
6,18,3,"nn",4,"male",3
6,18,3,"yy",2,"female",1
24,48,12,"nn",2,"male",3
24,48,12,"yn",1,"male",3
48,120,24,"nn",6,"female",1
48,120,24,"nn",1,"female",2
6,18,3,"nn",6,"female",1
6,18,3,"nn",6,"male",1
12,24,6,"nn",6,"female",1
24,48,12,"nn",2,"female",1
48,120,24,"nn",3,"female",3
48,120,24,"nn",2,"female",2
48,120,24,"yn",1,"female",2
48,120,24,"yn",1,"male",3
24,48,12,"nn",3,"female",1
24,48,12,"ny",5,"male",1
12,24,6,"yn",1,"female",1
12,24,6,"nn",5,"male",1
6,18,3,"nn",4,"female",1
6,18,3,"yn",1,"male",4
12,24,6,"yn",4,"male",5
24,48,12,"nn",1,"male",7
48,120,24,"nn",3,"male",4
6,18,3,"nn",3,"female",4
24,48,12,"nn",6,"male",1
48,120,24,"nn",3,"female",2
6,18,3,"nn",3,"male",2
12,24,6,"nn",5,"female",1
48,120,24,"nn",6,"male",1
12,24,6,"nn",4,"female",2
24,48,12,"nn",5,"female",1
6,18,3,"nn",6,"female",1
6,18,3,"nn",5,"female",1
24,48,12,"nn",4,"male",2
12,24,6,"nn",4,"female",2
12,24,6,"nn",5,"female",1
48,120,24,"nn",4,"female",2
24,48,12,"yn",3,"female",1
24,48,12,"nn",6,"female",1
48,120,24,"nn",5,"female",1
24,48,12,"nn",3,"male",2
12,24,6,"nn",3,"female",1
48,120,24,"nn",1,"female",1
6,18,3,"nn",5,"female",1
12,24,6,"nn",3,"female",2
48,120,24,"nn",5,"female",2
48,120,24,"nn",4,"male",1
24,48,12,"nn",6,"female",1
48,120,24,"nn",6,"female",1
24,48,12,"nn",1,"female",3
24,48,12,"nn",5,"female",2
48,120,24,"nn",1,"female",4
6,18,3,"nn",6,"male",1
48,120,24,"nn",2,"female",4
24,48,12,"nn",1,"male",2
24,48,12,"nn",3,"female",4
48,120,24,"nn",4,"female",5
24,48,12,"yn",4,"female",6
48,120,24,"nn",1,"male",3
12,24,6,"ny",4,"female",3
6,18,3,"ny",2,"male",2
6,18,3,"yn",5,"male",2
6,18,3,"yn",4,"male",2
24,48,12,"yn",1,"male",2
12,24,6,"yy",1,"male",4
6,18,3,"ny",5,"male",1
48,120,24,"ny",3,"female",4
24,48,12,"nn",4,"male",2
48,120,24,"nn",5,"female",1
24,48,12,"yn",3,"male",3
24,48,12,"yn",4,"male",3
6,18,3,"yn",3,"female",3
24,48,12,"yy",1,"male",7
6,18,3,"nn",1,"female",3
12,24,6,"yy",1,"male",3
24,48,12,"yn",4,"female",4
12,24,6,"yn",1,"male",2
48,120,24,"yn",1,"male",8
6,18,3,"yn",3,"female",2
12,24,6,"ny",4,"female",1
48,120,24,"yn",2,"female",2
24,48,12,"yn",1,"male",2
24,48,12,"nn",6,"male",3
12,24,6,"nn",3,"female",2
6,18,3,"yn",4,"male",3
6,18,3,"yn",3,"male",1
48,120,24,"nn",3,"female",2
24,48,12,"yn",1,"male",4
6,18,3,"yn",5,"male",2
12,24,6,"yy",3,"female",3
24,48,12,"nn",4,"male",2
12,24,6,"yy",1,"male",2
6,18,3,"yn",3,"male",4
24,48,12,"yn",4,"female",2
6,18,3,"yn",1,"male",3
48,120,24,"nn",4,"female",5
48,120,24,"nn",3,"female",4
12,24,6,"yn",1,"male",1
24,48,12,"yy",3,"female",4
48,120,24,"yn",2,"female",3
48,120,24,"yn",1,"female",3
24,48,12,"yn",2,"male",4
12,24,6,"yn",2,"female",2
48,120,24,"yn",1,"female",2
6,18,3,"yy",4,"male",3
24,48,12,"yn",3,"male",2
24,48,12,"ny",3,"female",2
24,48,12,"yy",2,"female",3
6,18,3,"yy",2,"female",2
24,48,12,"nn",1,"male",3
24,48,12,"yn",5,"male",3
48,120,24,"yn",3,"male",2
12,24,6,"yn",3,"female",2
6,18,3,"yy",4,"female",5
12,24,6,"yy",6,"male",2
12,24,6,"yy",2,"female",4
24,48,12,"yn",2,"female",2
6,18,3,"yy",2,"female",2
48,120,24,"yn",1,"female",2
24,48,12,"yy",1,"male",4
12,24,6,"yy",3,"male",2
6,18,3,"yn",2,"female",2
6,18,3,"yn",1,"male",2
12,24,6,"yn",2,"male",3
6,18,3,"yn",2,"male",2
6,18,3,"yn",2,"male",3
48,120,24,"yn",2,"female",3
6,18,3,"yy",1,"male",3
12,24,6,"yy",3,"female",6
12,24,6,"yy",4,"male",8
6,18,3,"yn",3,"female",3
6,18,3,"yy",1,"female",3
48,120,24,"yy",5,"male",2
6,18,3,"nn",4,"female",1
48,120,24,"yn",2,"female",2
48,120,24,"yy",3,"female",2
6,18,3,"yn",1,"male",2
12,24,6,"yy",1,"female",3
12,24,6,"yn",3,"female",2
24,48,12,"ny",1,"male",2
12,24,6,"yy",3,"female",3
24,48,12,"yn",2,"female",3
6,18,3,"yn",4,"female",1
48,120,24,"yn",1,"male",4
24,48,12,"ny",4,"female",1
12,24,6,"yy",6,"male",2
6,18,3,"yn",4,"female",2
12,24,6,"yy",1,"male",3
6,18,3,"yn",3,"female",2
24,48,12,"yy",3,"male",8
12,24,6,"yn",5,"male",3
12,24,6,"nn",2,"male",1
6,18,3,"yn",6,"male",2
48,120,24,"nn",2,"female",2
12,24,6,"yn",1,"male",4
24,48,12,"yy",1,"female",4
48,120,24,"yn",2,"male",1
6,18,3,"yn",4,"female",3
48,120,24,"yn",2,"male",2
6,18,3,"yy",4,"male",2
12,24,6,"nn",5,"male",3
24,48,12,"yy",3,"male",3
24,48,12,"yn",4,"female",2
48,120,24,"yn",3,"female",2
6,18,3,"ny",4,"female",2
24,48,12,"nn",2,"female",3
24,48,12,"yn",4,"male",2
6,18,3,"yn",3,"male",4
12,24,6,"yy",3,"female",3
48,120,24,"yn",4,"male",3
48,120,24,"ny",4,"female",2
24,48,12,"yn",4,"female",4
