"stateur","statemb","state","age","tenure","joblost","nwhite","school12","sex","bluecol","smsa","married","dkids","dykids","yrdispl","rr","head","ui"
4.5,266,23,21,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.5192308,"yes","yes"
5.7,106,46,42,1,"other","yes","no","male","yes","no","no","yes","no",1,0.5631579,"no","yes"
11.8,205,23,56,1,"slack_work","no","no","male","yes","yes","yes","yes","no",2,0.519573,"yes","no"
4.9,237,91,37,1,"other","no","no","male","yes","yes","yes","yes","yes",9,0.5197569,"yes","yes"
9.1,145,81,27,7,"other","no","no","male","yes","no","no","no","no",1,0.4537815,"no","yes"
5.2,245,21,37,5,"other","no","no","female","yes","yes","no","yes","yes",9,0.5,"yes","yes"
8.9,158,85,36,2,"slack_work","no","no","male","yes","no","yes","yes","yes",6,0.3685504,"yes","yes"
7.5,210,93,27,2,"slack_work","no","yes","male","yes","no","no","yes","yes",10,0.3001808,"yes","no"
4.9,126,46,39,1,"position_abolished","no","yes","male","yes","no","yes","yes","yes",6,0.5411765,"yes","no"
7.4,168,33,23,3,"slack_work","yes","yes","male","yes","yes","no","no","no",6,0.4788733,"no","yes"
5.1,180,21,47,17,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.5,"yes","yes"
8.4,180,83,28,1,"seasonal_job_ended","no","yes","male","yes","no","yes","no","no",2,0.4490741,"yes","no"
5.8,190,81,38,3,"slack_work","no","no","male","yes","yes","yes","yes","no",9,0.4888889,"yes","yes"
5.1,166,93,51,1,"slack_work","no","yes","male","yes","yes","yes","no","no",8,0.3948127,"yes","yes"
6,247,92,51,2,"slack_work","no","no","male","yes","yes","no","no","no",10,0.6518987,"yes","no"
11.2,178,91,36,6,"other","no","no","male","yes","yes","no","no","no",2,0.4444444,"yes","no"
5.3,166,93,44,6,"other","no","no","female","yes","yes","no","no","no",7,0.2214076,"yes","yes"
5,214,22,25,3,"other","no","no","male","yes","yes","yes","yes","yes",5,0.5630027,"yes","yes"
6.3,135,13,44,3,"slack_work","no","no","female","yes","no","yes","no","no",1,0.4507463,"no","yes"
7.5,210,93,38,6,"other","no","no","male","yes","yes","yes","no","no",10,0.3935018,"yes","yes"
7.1,206,33,30,3,"slack_work","no","no","male","yes","yes","no","no","no",10,0.4905063,"no","yes"
3.6,154,13,45,3,"seasonal_job_ended","no","no","male","yes","no","yes","no","no",6,0.5,"yes","yes"
6,187,33,35,11,"position_abolished","no","no","male","yes","yes","yes","yes","no",8,0.4897119,"yes","yes"
5,229,84,45,3,"other","no","no","male","yes","no","yes","no","no",10,0.275076,"yes","no"
5.9,200,59,26,1,"position_abolished","yes","yes","female","yes","yes","no","no","no",9,0.5,"no","no"
7.3,225,59,22,2,"slack_work","yes","no","male","yes","yes","no","no","no",10,0.5,"no","yes"
9.9,197,34,36,17,"other","no","no","male","yes","no","yes","yes","no",4,0.4377778,"yes","yes"
7.5,210,93,24,2,"other","no","no","male","yes","yes","no","no","no",10,0.3955224,"no","yes"
4.8,146,13,35,1,"slack_work","no","no","male","yes","no","yes","yes","no",4,0.5,"yes","yes"
8.9,189,74,40,6,"slack_work","no","yes","male","yes","yes","yes","yes","yes",5,0.1353712,"yes","yes"
9.7,166,93,27,5,"slack_work","no","yes","male","yes","yes","no","no","no",2,0.3683127,"no","yes"
6.6,224,74,21,1,"slack_work","no","no","male","yes","yes","no","yes","no",10,0.522388,"no","no"
6.3,150,59,22,5,"other","yes","no","male","yes","yes","no","no","no",3,0.4983923,"no","no"
9.2,276,34,23,4,"slack_work","no","no","male","yes","no","no","yes","yes",10,0.5253165,"yes","yes"
5.2,160,62,21,2,"slack_work","no","no","male","yes","no","yes","no","no",9,0.4048583,"yes","yes"
6.3,150,59,44,10,"position_abolished","no","no","male","yes","yes","yes","no","no",3,0.4155496,"yes","no"
4,255,14,21,2,"slack_work","no","no","male","yes","yes","no","no","no",8,0.5,"no","yes"
11.2,178,91,45,2,"slack_work","no","yes","male","yes","yes","no","no","no",2,0.1779425,"no","yes"
6.7,210,74,41,3,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.5172414,"yes","no"
7.2,170,21,34,11,"slack_work","no","no","male","yes","yes","no","no","no",3,0.5,"no","no"
7,189,74,48,20,"position_abolished","no","no","male","yes","yes","no","no","no",4,0.378,"yes","yes"
5.9,182,74,60,27,"slack_work","no","yes","male","yes","no","yes","no","no",3,0.4711779,"yes","no"
6.6,291,22,25,4,"other","no","no","male","yes","yes","yes","yes","yes",10,0.5386417,"yes","yes"
8.4,203,74,37,2,"slack_work","no","no","female","yes","yes","yes","yes","no",6,0.5222222,"no","yes"
2.5,150,12,44,2,"other","no","no","male","yes","no","yes","no","no",6,0.3746702,"yes","no"
9.9,225,55,31,3,"other","no","no","male","yes","no","yes","yes","yes",7,0.5012225,"yes","yes"
7.5,210,93,44,3,"slack_work","no","yes","female","yes","yes","no","yes","yes",10,0.3932584,"yes","yes"
8.9,147,31,34,12,"other","yes","yes","male","yes","yes","yes","yes","no",4,0.245,"yes","yes"
10.2,105,43,25,1,"position_abolished","no","yes","female","yes","yes","no","no","no",1,0.4048443,"no","yes"
7.4,199,61,38,13,"slack_work","no","no","male","yes","no","yes","yes","no",10,0.283906,"yes","yes"
8.4,203,74,51,13,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.52,"yes","yes"
3,216,16,40,15,"other","no","no","male","yes","no","yes","yes","no",7,0.4143763,"yes","yes"
4.1,258,22,59,1,"other","no","no","male","yes","yes","yes","yes","no",8,0.5994236,"no","yes"
9.2,276,34,61,39,"slack_work","no","no","female","yes","no","yes","no","no",10,0.5238096,"no","yes"
9.3,140,61,40,9,"other","no","no","male","yes","yes","yes","yes","no",3,0.4302671,"yes","no"
7.2,138,54,26,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.1842105,"yes","yes"
5.7,203,22,40,1,"other","no","no","male","yes","yes","no","yes","no",4,0.6,"yes","no"
5.2,245,21,28,1,"slack_work","no","no","male","yes","yes","yes","no","no",9,0.4089069,"yes","yes"
5.3,175,59,25,3,"position_abolished","no","yes","male","yes","yes","yes","yes","yes",6,0.2338028,"yes","no"
8.5,176,84,54,7,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.4394619,"yes","no"
8.9,166,56,35,12,"slack_work","no","no","male","yes","yes","yes","yes","no",2,0.3185053,"yes","yes"
9.1,214,23,52,17,"slack_work","no","yes","male","yes","yes","yes","yes","no",3,0.5193236,"yes","yes"
6,193,87,37,3,"other","no","yes","male","yes","no","yes","yes","yes",5,0.4532374,"yes","yes"
7.5,145,64,30,2,"other","no","no","male","yes","no","yes","yes","yes",9,0.4817814,"yes","no"
7,147,31,31,2,"slack_work","no","no","male","yes","yes","yes","no","no",6,0.4587459,"yes","yes"
9.9,225,55,34,1,"other","no","no","male","yes","yes","yes","yes","no",7,0.3754579,"yes","no"
9,156,14,24,1,"slack_work","no","no","male","yes","yes","no","no","no",1,0.5022421,"no","yes"
9,282,14,32,1,"seasonal_job_ended","no","no","male","yes","yes","yes","yes","yes",10,0.5,"no","yes"
5.7,184,31,51,13,"other","no","yes","male","yes","no","yes","no","no",9,0.4589666,"yes","yes"
12.3,147,31,26,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.502994,"yes","no"
10,129,45,25,1,"slack_work","no","no","male","yes","no","yes","yes","yes",2,0.5,"yes","no"
3,216,16,39,15,"other","no","no","female","yes","no","yes","yes","no",7,0.4666667,"no","yes"
7.2,260,21,33,1,"slack_work","no","yes","female","yes","yes","no","no","no",10,0.5,"no","yes"
9.2,276,34,40,4,"slack_work","no","yes","male","yes","no","yes","yes","no",10,0.5255474,"yes","yes"
3.7,234,16,30,6,"other","no","no","male","yes","yes","yes","no","no",8,0.4868106,"yes","yes"
8.7,189,71,22,6,"slack_work","no","no","male","yes","yes","yes","yes","yes",5,0.4981818,"yes","yes"
10.5,251,55,35,9,"other","no","no","male","yes","no","yes","yes","no",10,0.3338954,"yes","yes"
4,210,47,55,8,"slack_work","no","no","male","yes","no","yes","no","no",8,0.4193548,"yes","yes"
6.6,224,74,40,3,"slack_work","no","no","male","yes","yes","yes","yes","no",10,0.5202703,"yes","no"
8.7,179,82,32,5,"other","no","no","male","yes","no","no","no","no",5,0.5,"yes","yes"
7.3,210,74,20,1,"position_abolished","no","no","male","yes","yes","no","no","no",7,0.5190616,"yes","yes"
3.7,234,16,29,5,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.4159836,"yes","yes"
5.1,260,41,42,1,"position_abolished","no","yes","male","yes","no","yes","yes","yes",10,0.502439,"yes","yes"
3.7,169,13,22,2,"slack_work","no","no","male","yes","yes","no","no","no",8,0.5794872,"no","yes"
7.8,120,63,43,4,"position_abolished","yes","no","female","yes","yes","no","yes","no",6,0.5377358,"yes","no"
7.2,138,54,42,10,"slack_work","yes","no","female","yes","yes","no","no","no",1,0.5192308,"no","yes"
9.1,214,23,27,11,"other","no","no","male","yes","yes","yes","yes","yes",3,0.5212355,"yes","yes"
5.7,184,31,30,2,"slack_work","yes","yes","male","yes","no","yes","yes","no",9,0.4979757,"yes","yes"
9,282,14,42,6,"slack_work","no","yes","male","yes","yes","yes","yes","no",10,0.3265007,"yes","yes"
3.7,234,16,46,7,"other","no","no","male","yes","yes","yes","yes","no",8,0.4976959,"yes","yes"
5.2,252,23,50,2,"slack_work","no","no","male","yes","no","yes","no","no",7,0.5209125,"yes","yes"
11.5,205,72,22,1,"slack_work","yes","no","female","yes","no","yes","yes","yes",4,0.5222222,"no","no"
4.3,183,44,50,10,"other","no","no","male","yes","yes","yes","no","no",8,0.4020979,"yes","yes"
5.8,214,84,35,2,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.4460432,"yes","yes"
9.7,166,93,45,20,"other","no","yes","male","yes","no","no","no","no",2,0.3314815,"no","yes"
7.2,170,21,59,3,"other","yes","no","female","yes","yes","no","no","no",3,0.4983923,"yes","yes"
9.4,147,31,22,4,"position_abolished","no","no","male","yes","yes","no","no","no",3,0.5,"yes","no"
7.1,206,33,60,26,"slack_work","no","no","male","yes","no","yes","no","no",10,0.4478022,"yes","yes"
7.2,166,93,26,9,"other","no","no","male","yes","yes","no","yes","no",4,0.3933333,"no","yes"
5.9,185,44,43,9,"other","no","no","female","yes","yes","yes","yes","no",4,0.5,"no","yes"
7.8,166,93,44,5,"slack_work","yes","yes","male","yes","yes","yes","yes","no",3,0.3950276,"no","yes"
7.3,225,59,41,1,"slack_work","yes","no","male","yes","yes","yes","yes","no",10,0.5,"yes","yes"
7.2,260,21,47,1,"slack_work","yes","no","female","yes","yes","no","no","no",10,0.4954955,"yes","yes"
5.4,167,56,23,1,"other","yes","no","male","yes","no","no","yes","yes",4,0.5,"yes","no"
7.3,196,35,22,2,"slack_work","no","no","female","yes","no","yes","yes","yes",3,0.5,"no","yes"
5.6,197,73,37,1,"slack_work","no","no","male","yes","yes","no","no","no",8,0.5172414,"yes","no"
3.5,228,56,31,1,"other","no","yes","male","yes","no","yes","no","no",8,0.4976959,"yes","no"
8.2,197,34,24,5,"other","no","no","female","yes","yes","no","no","no",6,0.5238096,"no","yes"
6.9,177,85,48,5,"slack_work","yes","no","male","yes","yes","yes","no","no",10,0.5,"yes","no"
8.8,143,15,21,2,"slack_work","no","no","male","yes","yes","no","yes","no",1,0.5505618,"no","no"
11.5,205,72,32,10,"slack_work","no","no","female","yes","yes","no","no","no",4,0.52,"no","yes"
6.8,232,23,26,1,"slack_work","no","no","male","yes","yes","no","no","no",5,0.4222222,"no","yes"
5.2,145,86,38,1,"other","no","no","male","yes","yes","yes","yes","no",8,0.4532374,"yes","no"
3.6,204,56,28,7,"slack_work","no","no","male","yes","yes","yes","yes","yes",7,0.501529,"yes","no"
6.3,180,21,41,3,"other","no","no","female","yes","no","yes","yes","no",5,0.4296117,"no","yes"
12.4,183,72,60,17,"other","no","no","female","yes","yes","no","no","no",1,0.3114504,"yes","yes"
7,147,31,41,9,"other","no","no","male","yes","yes","yes","yes","no",6,0.4587459,"yes","yes"
5.3,166,93,45,15,"other","no","no","male","yes","yes","yes","yes","no",7,0.2990099,"yes","yes"
5,279,22,31,4,"other","no","no","female","yes","yes","yes","yes","yes",9,0.465587,"no","yes"
10.8,105,64,27,6,"other","yes","no","male","yes","yes","no","no","no",3,0.437751,"no","yes"
8.2,197,34,43,1,"seasonal_job_ended","no","yes","male","yes","yes","yes","no","no",6,0.2820513,"yes","yes"
9.3,188,94,60,1,"slack_work","no","no","male","yes","yes","yes","no","no",7,0.4945055,"yes","yes"
5,175,47,27,1,"other","no","no","female","yes","no","yes","yes","yes",4,0.552,"no","no"
7.7,147,74,24,1,"slack_work","yes","no","female","yes","yes","no","yes","yes",1,0.5179487,"no","yes"
8.1,147,31,61,22,"other","no","no","male","yes","no","yes","no","no",5,0.3664122,"yes","yes"
4.2,180,21,35,8,"other","no","no","female","yes","no","no","no","no",7,0.5,"yes","no"
11.8,205,23,26,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",2,0.5115741,"yes","yes"
5.2,145,86,29,2,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.3783784,"yes","yes"
5.2,252,23,30,1,"other","no","no","female","yes","no","no","no","no",7,0.5220588,"no","yes"
5.3,175,56,49,16,"other","yes","no","female","yes","no","no","no","no",5,0.5,"yes","yes"
5.6,190,93,38,18,"other","no","yes","male","yes","yes","yes","yes","yes",9,0.3948052,"yes","yes"
3.7,169,13,32,2,"slack_work","no","no","female","yes","yes","no","no","no",8,0.5747126,"yes","yes"
4.9,180,21,25,1,"seasonal_job_ended","no","yes","male","yes","yes","no","no","no",6,0.2992958,"no","no"
7.3,225,59,34,2,"position_abolished","no","no","female","yes","yes","yes","yes","no",10,0.5063291,"no","no"
5.4,280,23,36,8,"other","no","no","male","yes","yes","yes","yes","no",9,0.5210356,"yes","no"
9,282,14,25,2,"slack_work","no","no","female","yes","yes","no","no","no",10,0.5,"no","yes"
11.4,168,33,27,1,"slack_work","yes","yes","male","yes","yes","no","no","no",2,0.5045045,"no","yes"
7,189,74,40,2,"other","no","no","male","yes","no","yes","yes","no",4,0.4725,"yes","no"
6.8,150,59,42,9,"slack_work","no","no","female","yes","yes","yes","yes","no",4,0.5,"no","yes"
7.2,150,63,32,1,"slack_work","no","no","male","yes","yes","yes","yes","no",10,0.4296029,"yes","no"
6,193,87,23,4,"slack_work","no","no","male","yes","yes","yes","no","no",5,0.3849287,"yes","yes"
7.3,225,59,26,2,"slack_work","no","no","male","yes","yes","yes","no","no",10,0.5,"yes","yes"
7.2,260,21,43,1,"slack_work","no","yes","male","yes","yes","yes","no","no",10,0.2162447,"yes","yes"
5.5,202,88,35,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",10,0.3678161,"no","yes"
5.8,155,58,41,8,"other","yes","no","female","yes","no","yes","yes","no",7,0.5208333,"no","yes"
9.2,136,88,44,8,"other","no","no","female","yes","no","yes","no","no",1,0.5016502,"no","yes"
4.8,146,13,27,2,"position_abolished","no","no","female","yes","no","yes","yes","no",4,0.5,"no","yes"
7.5,275,34,28,1,"slack_work","no","yes","male","yes","yes","no","no","no",9,0.5258359,"no","no"
5.4,125,21,43,4,"slack_work","no","no","female","yes","yes","yes","no","no",2,0.5,"no","yes"
7.1,263,34,22,2,"other","no","no","male","yes","yes","no","no","no",8,0.5282052,"no","yes"
5.7,241,23,26,2,"slack_work","no","no","male","yes","yes","no","no","no",6,0.5207547,"no","yes"
11.6,84,32,25,2,"seasonal_job_ended","no","no","male","yes","yes","no","yes","yes",1,0.4676617,"no","yes"
10.8,225,55,56,38,"other","no","yes","male","yes","no","yes","no","no",6,0.5211267,"yes","yes"
9.2,95,86,38,11,"other","no","no","male","yes","no","yes","yes","no",1,0.25,"yes","yes"
6.7,90,32,27,2,"other","no","no","female","yes","yes","no","no","no",5,0.3591837,"no","no"
5.1,166,93,31,2,"seasonal_job_ended","no","no","male","yes","yes","no","no","no",8,0.3317972,"no","no"
11.9,110,62,55,14,"other","no","no","male","yes","no","yes","no","no",1,0.1696552,"yes","yes"
4.8,255,41,27,4,"seasonal_job_ended","yes","no","male","yes","yes","no","no","no",9,0.2834008,"no","no"
10.5,251,55,47,27,"slack_work","no","no","male","yes","yes","no","no","no",10,0.3338954,"no","yes"
3.9,196,14,54,6,"other","no","no","male","yes","yes","yes","no","no",4,0.4611765,"yes","yes"
10,156,94,29,3,"other","no","yes","female","yes","no","no","no","no",3,0.2608696,"no","yes"
11.7,148,33,25,2,"slack_work","no","no","female","yes","no","yes","yes","yes",1,0.4230769,"no","yes"
8.2,197,34,32,3,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.5245283,"yes","yes"
5,279,22,38,3,"slack_work","no","no","male","yes","yes","no","no","no",9,0.6007605,"yes","yes"
5.4,118,57,29,1,"slack_work","yes","no","female","yes","yes","no","yes","no",2,0.5,"no","yes"
6.9,291,23,23,4,"slack_work","no","no","female","yes","yes","no","no","no",10,0.5211267,"no","yes"
