"smsa66","smsa76","nearc2","nearc4","nearc4a","nearc4b","ed76","ed66","age76","daded","nodaded","momed","nomomed","momdad14","sinmom14","step14","south66","south76","lwage76","famed","black","wage76","enroll76","kww","iqscore","mar76","libcrd14","exp76"
"yes","yes","yes","yes","no","yes",11,9,24,11,"no",6,"no","yes","no","no","no","no",6.033086,8,"no",417,"no",22,93,"yes","yes",7
"yes","yes","yes","yes","no","yes",11,9,30,11,"no",6,"no","yes","no","no","no","no",5.379897,8,"no",217,"no",27,74,"yes","no",13
"yes","yes","yes","yes","no","yes",16,16,31,9.94,"yes",8,"yes","no","yes","no","no","no",6.795706,9,"yes",894,"no",43,116,"yes","yes",9
"yes","yes","yes","yes","no","yes",14,8,24,15,"no",12,"no","yes","no","no","no","no",5.703783,2,"no",300,"no",36,NA,"6","yes",4
"yes","yes","yes","yes","no","yes",12,12,34,12,"no",8,"no","yes","no","no","no","no",5.846439,5,"no",346,"no",40,93,"yes","yes",16
"yes","yes","yes","yes","no","yes",14,14,29,9.94,"yes",12,"yes","no","yes","no","no","no",6.489205,4,"no",658,"no",35,100,"yes","yes",9
"yes","yes","yes","yes","no","yes",10,9,26,8,"no",8,"no","yes","no","no","no","no",6.35437,8,"no",575,"no",24,91,"6","no",10
"yes","yes","yes","yes","no","yes",12,12,32,8,"no",8,"no","yes","no","no","no","no",6.475433,8,"no",649,"no",35,88,"yes","no",14
"yes","yes","yes","yes","yes","no",18,17,32,12,"no",13,"no","yes","no","no","no","yes",6.850126,2,"no",944,"no",43,NA,"yes","yes",8
"yes","yes","yes","yes","yes","no",18,15,34,9.94,"yes",8,"yes","yes","no","no","no","no",6.419995,9,"no",614,"no",50,114,"yes","yes",10
"yes","no","yes","yes","yes","no",15,14,32,5,"no",14,"no","yes","no","no","no","no",6.58755,6,"no",726,"no",37,111,"yes","yes",11
"yes","yes","no","yes","yes","no",12,11,28,14,"no",12,"no","yes","no","no","no","no",6.403574,2,"no",604,"no",44,NA,"yes","yes",10
"yes","yes","no","yes","yes","no",12,12,32,11,"no",12,"no","yes","no","no","no","no",6.54103,6,"no",693,"no",44,95,"yes","yes",14
"yes","no","no","yes","yes","no",18,15,34,14,"no",13,"no","yes","no","no","no","no",7.244227,1,"no",1400,"no",44,132,"yes","yes",10
"yes","yes","no","yes","yes","no",12,8,26,7,"no",12,"no","yes","no","no","no","no",5.703783,6,"no",300,"no",27,NA,"6","yes",8
"yes","yes","no","yes","yes","no",18,13,32,16,"no",16,"no","yes","no","no","no","no",7.495542,1,"no",1800,"no",38,109,"5","yes",8
"yes","yes","no","yes","yes","no",12,10,25,11,"no",12,"no","yes","no","no","no","no",6.023448,6,"no",413,"no",43,108,"yes","yes",7
"no","no","no","yes","yes","no",14,12,29,9.94,"yes",16,"yes","no","yes","no","no","no",6.448889,4,"no",632,"no",45,102,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,9,25,12,"no",12,"no","yes","no","no","no","no",5.337538,3,"no",208,"no",30,106,"yes","yes",7
"yes","yes","yes","yes","yes","no",12,10,25,9.94,"yes",11,"yes","no","yes","no","no","no",6.124683,9,"yes",457,"no",40,104,"6","yes",7
"yes","yes","yes","yes","yes","no",16,9,24,10,"no",10,"no","yes","no","no","no","no",6.71417,7,"no",824,"no",24,119,"yes","yes",2
"yes","yes","yes","yes","yes","no",18,18,34,9.94,"yes",12,"yes","no","yes","no","no","no",6.357842,4,"no",577,"no",47,122,"yes","yes",10
"yes","yes","yes","yes","yes","no",11,11,28,6,"no",10,"no","no","no","yes","no","no",5.541264,8,"no",255,"no",32,90,"yes","yes",11
"yes","yes","yes","yes","yes","no",16,13,30,12,"no",12,"no","yes","no","no","no","no",6.869014,3,"no",962,"no",47,118,"yes","yes",8
"yes","yes","yes","yes","yes","no",10,10,31,8,"no",6,"no","yes","no","no","no","no",6.850126,8,"no",944,"no",37,105,"yes","no",15
"yes","yes","yes","yes","yes","no",18,16,34,8,"no",11,"no","yes","no","no","no","no",7.044033,8,"no",1146,"yes",43,115,"yes","yes",10
"yes","yes","yes","yes","yes","no",6,6,27,2,"no",6,"no","yes","no","no","no","no",5.780744,8,"no",324,"no",16,NA,"yes","yes",15
"yes","yes","yes","yes","yes","no",11,9,24,6,"no",12,"no","yes","no","no","no","no",5.459586,6,"yes",235,"no",27,65,"5","yes",7
"yes","yes","yes","yes","yes","no",12,12,34,11,"no",10,"no","yes","no","no","no","no",6.907755,7,"no",1000,"no",45,120,"yes","no",16
"yes","yes","yes","yes","yes","no",9,9,26,9.94,"yes",12,"yes","no","yes","no","no","no",6.175867,4,"no",481,"no",31,86,"4","yes",11
"yes","yes","yes","yes","yes","no",15,12,32,10,"no",12,"no","yes","no","no","no","no",6.436151,6,"no",624,"no",39,109,"yes","yes",11
"yes","yes","yes","yes","yes","no",11,11,34,8,"no",10,"no","yes","no","no","no","no",6.476973,8,"no",650,"no",36,72,"yes","no",17
"yes","yes","yes","yes","yes","no",12,8,24,9.94,"yes",10,"yes","no","yes","no","no","no",5.840641,9,"yes",344,"no",31,NA,"6","no",6
"yes","yes","yes","yes","yes","no",16,9,24,12,"no",10,"no","yes","no","no","no","yes",5.940171,5,"no",380,"no",NA,NA,"6","no",2
"yes","yes","yes","yes","yes","no",12,10,24,12,"no",11,"no","yes","no","no","no","no",5.866468,5,"no",353,"no",25,101,"yes","yes",6
"yes","yes","yes","yes","yes","no",13,10,25,9.94,"yes",12,"yes","no","yes","no","no","no",6.490724,4,"no",659,"no",29,105,"6","yes",6
"yes","yes","yes","yes","yes","no",17,13,28,10,"no",10,"no","yes","no","no","no","no",6.431331,7,"no",621,"yes",48,136,"yes","yes",5
"yes","yes","yes","yes","yes","no",12,10,25,10,"no",11,"no","yes","no","no","no","no",6.086775,7,"no",440,"no",40,101,"yes","yes",7
"yes","yes","yes","yes","yes","no",12,11,26,12,"no",10,"no","yes","no","no","no","no",6.603944,5,"yes",738,"no",34,96,"6","yes",8
"yes","no","yes","yes","yes","no",11,10,31,5,"no",5,"no","yes","no","no","no","yes",5.634789,8,"yes",280,"no",36,NA,"yes","no",14
"yes","yes","yes","yes","yes","no",10,7,24,5,"no",10.25,"no","no","no","no","no","no",6.073044,9,"no",434,"no",34,NA,"yes","yes",8
"yes","yes","yes","yes","yes","no",12,11,27,9.94,"yes",8,"yes","no","yes","no","no","no",6.558198,9,"no",705,"no",34,101,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,12,27,10,"no",12,"no","yes","no","no","no","no",6.052089,6,"no",425,"no",32,91,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,9,24,9.94,"yes",4,"yes","no","yes","no","no","no",6.347389,9,"no",571,"no",35,NA,"yes","yes",6
"yes","yes","yes","yes","yes","no",16,14,30,12,"no",12,"no","yes","no","no","no","no",6.287858,3,"no",538,"no",52,115,"6","yes",8
"yes","yes","yes","yes","yes","no",16,14,32,12,"no",12,"no","yes","no","no","no","no",6.60665,3,"no",740,"no",49,113,"yes","yes",10
"yes","yes","yes","yes","yes","no",13,12,32,10,"no",12,"no","yes","no","no","no","no",6.511745,6,"no",673,"yes",43,123,"yes","yes",13
"yes","yes","yes","yes","yes","no",12,12,34,10,"no",10,"no","yes","no","no","no","no",6.645091,7,"no",769,"no",36,95,"yes","yes",16
"yes","yes","yes","yes","yes","no",12,9,24,10,"no",10,"no","no","no","no","no","no",6.383507,7,"no",592,"no",26,102,"yes","yes",6
"yes","yes","yes","yes","yes","no",9,8,24,12,"no",11,"no","yes","no","no","no","no",5.361292,5,"yes",213,"no",15,NA,"6","yes",9
"yes","yes","yes","yes","yes","no",16,16,34,12,"no",12,"no","yes","no","no","no","no",7.354362,3,"no",1563,"no",50,145,"yes","yes",12
"yes","yes","yes","yes","yes","no",16,13,28,11,"no",11,"no","yes","no","no","no","no",6.651572,7,"no",774,"no",35,114,"yes","yes",6
"yes","yes","yes","yes","yes","no",12,10,26,8,"no",9,"no","yes","no","no","no","yes",6.39693,8,"no",600,"no",35,113,"yes","no",8
"yes","yes","yes","yes","yes","no",18,8,24,16,"no",16,"no","yes","no","no","no","no",6.54103,1,"no",693,"no",24,NA,"6","yes",0
"yes","yes","yes","yes","yes","no",13,12,31,8,"no",12,"no","yes","no","no","no","no",6.345636,6,"no",570,"no",40,93,"5","yes",12
"yes","yes","yes","yes","yes","no",14,11,28,12,"no",12,"no","yes","no","no","no","no",6.070738,3,"no",433,"no",38,NA,"5","yes",8
"yes","yes","yes","yes","yes","no",15,13,28,12,"no",12,"no","yes","no","no","no","no",6.287858,3,"no",538,"no",37,119,"2","no",7
"yes","yes","yes","yes","yes","no",12,10,25,12,"no",9,"no","no","no","no","no","no",6.440947,5,"no",627,"no",35,108,"6","yes",7
"yes","yes","yes","yes","yes","no",8,8,31,12,"no",11,"no","yes","no","no","no","no",6.175867,5,"no",481,"no",35,NA,"yes","yes",17
"yes","yes","yes","yes","yes","no",12,10,26,6,"no",11,"no","yes","no","no","no","no",6.300786,8,"no",545,"no",26,72,"yes","yes",8
"yes","yes","yes","yes","yes","no",12,9,25,12,"no",9,"no","yes","no","no","no","no",6.356108,5,"no",576,"no",34,86,"yes","yes",7
"yes","yes","yes","yes","yes","no",16,10,25,14,"no",12,"no","yes","no","no","no","no",6.55108,2,"no",700,"no",42,123,"yes","yes",3
"yes","yes","yes","yes","yes","no",16,13,28,12,"no",12,"no","yes","no","no","no","no",6.669498,3,"no",788,"no",38,103,"yes","yes",6
"yes","yes","yes","yes","yes","no",17,12,27,12,"no",12,"no","yes","no","no","no","no",6.919684,3,"no",1012,"no",42,101,"yes","yes",4
"yes","yes","yes","yes","yes","no",12,8,24,12,"no",10,"no","yes","no","no","no","no",6.630683,5,"no",758,"no",30,NA,"yes","yes",6
"yes","yes","yes","yes","yes","no",14,12,29,12,"no",16,"no","yes","no","no","no","no",6.398595,2,"no",601,"yes",41,105,"6","yes",9
"yes","yes","yes","yes","yes","no",12,8,24,9.94,"yes",12,"yes","no","yes","no","no","no",5.645447,4,"no",283,"no",34,NA,"6","yes",6
"yes","yes","yes","yes","yes","no",12,8,24,12,"no",12,"no","no","no","yes","no","no",5.521461,3,"no",250,"no",29,NA,"6","yes",6
"yes","yes","yes","yes","yes","no",12,10,26,10,"no",12,"no","yes","no","no","no","no",6.214608,6,"no",500,"no",33,95,"yes","yes",8
"yes","yes","yes","yes","yes","no",11,10,31,8,"no",6,"no","yes","no","no","no","no",6.309918,8,"no",550,"no",41,98,"yes","yes",14
"yes","yes","yes","yes","yes","no",12,9,25,8,"no",6,"no","yes","no","no","no","no",7.041412,8,"no",1143,"no",27,NA,"yes","yes",7
"yes","yes","yes","yes","yes","no",18,16,31,8,"no",8,"no","yes","no","no","no","yes",6.697034,8,"no",810,"no",39,115,"4","no",7
"yes","yes","yes","yes","yes","no",12,11,28,9.94,"yes",9,"yes","no","yes","no","no","no",5.746203,9,"yes",313,"no",20,60,"6","yes",10
"yes","yes","yes","yes","yes","no",18,10,25,9.94,"yes",4,"yes","no","yes","no","no","no",6.594413,9,"no",731,"no",36,135,"yes","yes",1
"yes","yes","yes","yes","yes","no",16,9,25,9,"no",10,"no","yes","no","no","no","no",6.437752,7,"no",625,"yes",35,132,"yes","yes",3
"yes","yes","yes","yes","yes","no",14,9,24,16,"no",12,"no","yes","no","no","no","no",6.376727,2,"no",588,"yes",33,106,"yes","yes",4
"yes","yes","yes","yes","yes","no",14,11,26,12,"no",12,"no","yes","no","no","no","no",5.926926,3,"no",375,"yes",28,113,"yes","yes",6
"no","yes","yes","yes","yes","no",16,13,29,14,"no",11,"no","yes","no","no","no","yes",6.705639,5,"no",817,"no",43,102,"6","yes",7
"yes","yes","yes","yes","yes","no",14,14,30,15,"no",12,"no","yes","no","no","no","no",6.76273,2,"no",865,"no",32,91,"yes","yes",10
"no","yes","yes","yes","yes","no",15,12,28,12,"no",12,"no","yes","no","no","no","yes",5.857933,3,"no",350,"no",30,104,"yes","yes",7
"yes","yes","yes","yes","yes","no",13,8,24,12,"no",12,"no","yes","no","no","no","yes",5.308268,3,"no",202,"no",22,NA,"yes","yes",5
"yes","yes","yes","yes","yes","no",13,13,32,16,"no",16,"no","no","no","yes","no","yes",6.224558,1,"no",505,"no",43,97,"yes","yes",13
"yes","yes","yes","yes","yes","no",17,15,30,12,"no",13,"no","yes","no","no","no","no",6.704414,2,"no",816,"no",41,125,"yes","yes",7
"yes","yes","yes","yes","yes","no",18,11,26,14,"no",12,"no","yes","no","no","no","no",6.437752,2,"no",625,"no",41,123,"6","yes",2
"no","yes","yes","yes","yes","no",18,17,32,16,"no",16,"no","yes","no","no","no","no",6.645091,1,"no",769,"no",35,128,"6","yes",8
"yes","yes","yes","yes","yes","no",17,11,27,16,"no",17,"no","yes","no","no","no","no",6.214608,1,"no",500,"yes",38,133,"6","yes",4
"no","yes","yes","yes","yes","no",17,12,27,12,"no",8,"no","yes","no","no","no","no",6.428105,5,"no",619,"yes",32,114,"yes","yes",4
"yes","yes","yes","yes","yes","no",12,12,30,9.94,"yes",8,"yes","no","yes","no","no","no",6.476973,9,"no",650,"no",40,103,"yes","yes",12
"yes","yes","no","yes","yes","no",18,13,28,10,"no",12,"no","yes","no","no","no","no",6.645091,6,"no",769,"no",36,130,"yes","yes",4
"yes","yes","no","yes","yes","no",12,10,26,10,"no",12,"no","yes","no","no","no","no",6.238325,6,"no",512,"no",33,97,"yes","yes",8
"yes","yes","no","yes","yes","no",18,15,31,12,"no",13,"no","yes","no","no","no","no",6.437752,2,"no",625,"no",46,132,"yes","yes",7
"yes","yes","no","yes","yes","no",14,14,31,12,"no",12,"no","yes","no","no","no","no",7.013016,3,"no",1111,"no",41,98,"yes","yes",11
"yes","yes","no","yes","yes","no",13,13,28,12,"no",12,"no","yes","no","no","no","no",6.580639,3,"no",721,"no",41,108,"yes","yes",9
"yes","yes","no","yes","yes","no",14,13,32,13,"no",12,"no","yes","no","no","no","no",7.05099,2,"no",1154,"no",44,107,"yes","yes",12
"yes","no","no","yes","yes","no",18,17,34,18,"no",18,"no","yes","no","no","no","no",6.717805,1,"no",827,"no",40,129,"6","yes",10
"yes","yes","no","yes","yes","no",16,15,34,14,"no",12,"no","yes","no","no","no","no",6.827629,2,"no",923,"no",56,NA,"yes","yes",12
"no","yes","no","yes","yes","no",17,12,28,14,"no",17,"no","yes","no","no","no","no",6.981006,1,"no",1076,"no",42,132,"yes","yes",5
"yes","yes","no","yes","yes","no",12,11,33,9.94,"yes",8,"yes","yes","no","no","no","no",6.437752,9,"no",625,"no",37,101,"yes","yes",15
"yes","yes","no","yes","yes","no",13,12,27,9.94,"yes",8,"yes","no","yes","no","no","no",6.131227,9,"no",460,"no",24,92,"yes","yes",8
"yes","yes","no","yes","yes","no",14,9,24,8,"no",12,"no","yes","no","no","no","no",6.802395,6,"yes",900,"no",39,108,"6","yes",4
"no","yes","no","yes","yes","no",18,13,29,8,"no",9,"no","yes","no","no","no","no",6.52503,8,"no",682,"no",NA,132,"yes","yes",5
"yes","yes","no","yes","yes","no",12,8,24,10,"no",12,"no","yes","no","no","no","no",6.018593,6,"no",411,"no",20,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",13,11,27,12,"no",15,"no","yes","no","no","no","no",6.437752,2,"no",625,"no",35,106,"yes","no",8
"yes","yes","no","yes","yes","no",18,17,32,12,"no",12,"no","yes","no","no","no","no",6.912743,3,"no",1005,"no",46,123,"yes","yes",8
"yes","yes","no","yes","yes","no",11,9,24,9,"no",11,"no","yes","no","no","no","no",6.586172,7,"no",725,"no",24,109,"yes","yes",7
"yes","yes","no","yes","yes","no",15,11,27,8,"no",11,"no","yes","no","no","no","no",6.620073,8,"no",750,"no",35,103,"yes","yes",6
"no","yes","no","yes","yes","no",14,13,29,9.94,"yes",8,"yes","yes","no","no","no","no",6.270988,9,"no",529,"no",33,108,"yes","no",9
"yes","yes","no","yes","yes","no",17,13,29,8,"no",12,"no","yes","no","no","no","no",6.879356,6,"no",972,"no",47,122,"yes","yes",6
"yes","no","no","yes","yes","no",12,11,26,12,"no",12,"no","no","no","yes","no","no",6.156979,3,"no",472,"no",36,109,"yes","yes",8
"yes","yes","no","yes","yes","no",12,9,24,12,"no",12,"no","no","no","yes","no","no",5.783825,3,"no",325,"no",35,102,"6","yes",6
"yes","yes","no","yes","yes","no",12,12,34,9.94,"yes",12,"yes","yes","no","no","no","no",6.774224,4,"no",875,"no",44,109,"yes","yes",16
"yes","yes","no","yes","yes","no",13,11,34,9,"no",10,"no","yes","no","no","no","no",6.437752,7,"no",625,"no",40,100,"yes","yes",15
"yes","yes","no","yes","yes","no",12,10,26,8,"no",10,"no","yes","no","no","no","no",5.820083,8,"no",337,"no",29,93,"yes","yes",8
"yes","yes","no","yes","yes","no",16,11,27,5,"no",5,"no","yes","no","no","no","no",6.175867,8,"no",481,"no",37,115,"yes","yes",5
"yes","yes","no","yes","yes","no",9,7,29,5,"no",10.25,"no","yes","no","no","no","no",6.476973,9,"no",650,"no",NA,NA,"6","no",14
"yes","yes","no","yes","yes","no",16,8,25,5,"no",4,"no","yes","no","no","no","no",5.948035,8,"no",383,"no",39,NA,"6","no",3
"yes","yes","no","yes","yes","no",18,15,30,15,"no",14,"no","yes","no","no","no","no",6.869014,1,"no",962,"no",50,125,"yes","yes",6
"yes","no","no","yes","yes","no",16,13,29,13,"no",12,"no","yes","no","no","no","no",6.421622,2,"no",615,"no",31,106,"6","yes",7
"yes","yes","no","yes","yes","no",14,12,28,12,"no",12,"no","yes","no","no","no","no",6.553934,3,"no",702,"no",43,113,"yes","yes",8
"yes","yes","no","yes","yes","no",14,12,31,9.94,"yes",12,"yes","yes","no","no","no","no",6.453625,4,"no",635,"no",41,122,"6","yes",11
"yes","yes","no","yes","yes","no",12,9,28,10,"no",11,"no","yes","no","no","no","no",5.298317,7,"no",200,"no",35,NA,"4","no",10
"yes","yes","no","yes","yes","no",12,12,27,10,"no",10,"no","yes","no","no","no","no",6.705639,7,"no",817,"no",43,116,"yes","yes",9
"yes","yes","no","yes","yes","no",14,11,26,9.94,"yes",12,"yes","no","yes","no","no","no",6.357842,4,"no",577,"no",39,116,"yes","yes",6
"yes","yes","no","yes","yes","no",17,11,26,12,"no",12,"no","yes","no","no","no","no",6.144186,3,"no",466,"no",34,105,"yes","yes",3
"yes","yes","no","yes","yes","no",16,14,29,9.94,"yes",12,"yes","no","yes","no","no","no",6.828712,4,"no",924,"no",39,NA,"yes","yes",7
"no","yes","no","yes","yes","no",16,15,31,12,"no",12,"no","yes","no","no","no","yes",6.675823,3,"no",793,"yes",38,112,"yes","no",9
"yes","yes","no","yes","yes","no",14,12,28,12,"no",12,"no","yes","no","no","no","no",6.453625,3,"no",635,"no",32,113,"yes","yes",8
"yes","yes","no","yes","yes","no",12,7,25,9.94,"yes",10.25,"yes","no","no","no","no","no",6.345636,9,"no",570,"no",22,NA,"6","yes",7
"yes","yes","no","yes","yes","no",16,13,29,12,"no",12,"no","yes","no","no","no","no",6.558198,3,"no",705,"no",37,94,"yes","yes",7
"yes","yes","no","yes","yes","no",14,12,28,12,"no",9,"no","yes","no","no","no","no",6.453625,5,"no",635,"no",40,103,"yes","yes",8
"yes","yes","no","yes","yes","no",12,12,30,9.94,"yes",12,"yes","no","no","yes","no","no",6.542472,4,"no",694,"no",36,102,"yes","no",12
"yes","yes","no","yes","yes","no",13,12,34,10,"no",12,"no","yes","no","no","no","no",6.421622,6,"no",615,"no",47,109,"yes","yes",15
"yes","yes","no","yes","yes","no",16,11,26,15,"no",10,"no","yes","no","no","no","no",6.135565,5,"no",462,"no",34,130,"6","yes",4
"yes","yes","no","yes","yes","no",12,12,34,12,"no",12,"no","yes","no","no","no","no",6.76273,3,"no",865,"no",45,105,"yes","yes",16
"no","yes","no","yes","yes","no",18,17,33,12,"no",12,"no","yes","no","no","no","yes",6.602588,3,"no",737,"no",46,134,"yes","yes",9
"yes","yes","no","yes","yes","no",12,10,25,8,"no",14,"no","yes","no","no","no","no",7.244227,6,"no",1400,"no",39,NA,"yes","yes",7
"yes","yes","no","yes","yes","no",12,12,31,9.94,"yes",7,"yes","no","yes","no","no","no",6.694562,9,"no",808,"no",43,105,"yes","no",13
"yes","yes","no","yes","yes","no",16,11,26,11,"no",12,"no","yes","no","no","no","no",6.483108,6,"no",654,"no",36,104,"yes","no",4
"yes","yes","no","yes","yes","no",12,9,25,9.94,"yes",12,"yes","no","yes","no","no","no",5.703783,4,"no",300,"no",35,112,"yes","yes",7
"yes","yes","no","yes","yes","no",16,12,30,8,"no",10,"no","yes","no","no","no","no",6.357842,8,"no",577,"no",37,115,"4","yes",8
"yes","yes","no","yes","yes","no",16,8,24,10,"no",12,"no","yes","no","no","no","no",5.57973,6,"no",265,"no",44,NA,"6","yes",2
"yes","no","no","yes","yes","no",18,15,31,8,"no",8,"no","yes","no","no","no","no",6.386879,8,"no",594,"no",33,117,"yes","yes",7
"yes","yes","no","yes","yes","no",17,9,26,12,"no",8,"no","yes","no","no","no","no",5.783825,5,"no",325,"no",29,114,"yes","yes",3
"yes","no","no","yes","yes","no",16,9,24,12,"no",8,"no","yes","no","no","no","no",5.953243,5,"no",385,"yes",37,118,"6","yes",2
"yes","yes","no","yes","yes","no",18,10,25,12,"no",12,"no","yes","no","no","no","no",6.907755,3,"no",1000,"no",32,107,"yes","yes",1
"yes","yes","no","yes","yes","no",18,13,28,8,"no",11,"no","yes","no","no","no","no",6.142037,8,"no",465,"no",49,120,"6","yes",4
"no","yes","no","yes","yes","no",16,13,28,16,"no",18,"no","yes","no","no","no","no",6.086775,1,"no",440,"no",43,131,"6","yes",6
"no","yes","no","yes","yes","no",16,12,27,16,"no",17,"no","yes","no","no","no","no",6.437752,1,"no",625,"no",40,124,"6","yes",5
"yes","yes","no","yes","yes","no",17,11,27,11,"no",12,"no","yes","no","no","no","no",5.652489,6,"no",285,"no",36,121,"yes","yes",4
"yes","yes","no","yes","yes","no",14,12,27,10,"no",12,"no","yes","no","no","no","no",6.476973,6,"no",650,"no",35,110,"yes","yes",7
"yes","yes","no","yes","yes","no",13,10,25,10,"no",12,"no","yes","no","no","no","no",6.694562,6,"no",808,"no",34,103,"yes","yes",6
"yes","yes","no","yes","yes","no",12,8,24,10,"no",12,"no","yes","no","no","no","no",6.214608,6,"no",500,"no",26,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",16,11,26,14,"no",12,"no","yes","no","no","no","no",6.72263,2,"no",831,"no",45,115,"yes","yes",4
"yes","yes","no","yes","yes","no",12,12,31,8,"no",6,"no","yes","no","no","no","no",6.214608,8,"no",500,"no",33,96,"yes","yes",13
"yes","yes","no","yes","yes","no",17,17,32,12,"no",12,"no","yes","no","no","no","no",6.54103,3,"no",693,"no",48,123,"yes","no",9
"yes","yes","no","yes","yes","no",12,11,27,12,"no",10,"no","yes","no","no","no","no",7.003066,5,"no",1100,"no",37,101,"yes","yes",9
"yes","yes","no","yes","yes","no",12,10,25,8,"no",12,"no","yes","no","no","no","no",6.637258,6,"no",763,"no",34,98,"yes","yes",7
"yes","yes","yes","yes","yes","no",12,12,27,8,"no",9,"no","yes","no","no","no","no",6.678342,8,"no",795,"no",28,NA,"yes","yes",9
"yes","yes","yes","yes","yes","no",16,10,25,7,"no",8,"no","yes","no","no","no","no",5.808143,8,"no",333,"no",31,108,"6","yes",3
"yes","yes","yes","yes","yes","no",18,13,30,16,"no",12,"no","yes","no","no","no","no",6.013715,2,"no",409,"no",39,138,"yes","yes",6
"yes","yes","yes","yes","yes","no",16,11,27,9.94,"yes",12,"yes","yes","no","no","no","no",6.76273,4,"no",865,"no",37,121,"yes","yes",5
"yes","yes","yes","yes","yes","no",12,12,31,8,"no",12,"no","yes","no","no","no","no",6.788972,6,"no",888,"no",34,96,"yes","yes",13
"yes","yes","yes","yes","yes","no",12,12,34,9.94,"yes",12,"yes","yes","no","no","no","no",6.511745,4,"no",673,"no",47,89,"yes","yes",16
"yes","no","yes","yes","yes","no",12,12,33,7,"no",10.25,"no","yes","no","no","no","no",6.55108,9,"no",700,"no",43,109,"6","yes",15
"yes","yes","yes","yes","yes","no",18,17,33,16,"no",16,"no","yes","no","no","no","yes",5.521461,1,"no",250,"no",44,133,"6","yes",9
"yes","yes","yes","yes","yes","no",11,11,27,11,"no",9,"no","yes","no","no","no","no",6.437752,7,"no",625,"no",32,84,"6","yes",10
"yes","yes","yes","yes","yes","no",13,10,31,8,"no",12,"no","yes","no","no","no","no",6.033086,6,"no",417,"no",37,NA,"4","yes",12
"yes","yes","yes","yes","yes","no",13,12,28,8,"no",12,"no","yes","no","no","no","no",6.356108,6,"no",576,"no",51,98,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,9,26,12,"no",9,"no","yes","no","no","no","no",6.418365,5,"yes",613,"no",27,85,"6","yes",8
"yes","yes","yes","yes","yes","no",12,12,31,11,"no",9,"no","yes","no","no","no","no",6.55108,7,"no",700,"no",NA,105,"yes","yes",13
"yes","yes","yes","yes","yes","no",12,9,24,11,"no",9,"no","yes","no","no","no","no",6.109248,7,"no",450,"no",20,93,"6","yes",6
"yes","yes","yes","yes","yes","no",16,12,28,9.94,"yes",12,"yes","no","yes","no","no","no",6.214608,4,"no",500,"no",38,115,"yes","yes",6
"yes","no","yes","yes","yes","no",12,9,25,12,"no",10.25,"no","yes","no","no","no","no",6.242223,5,"no",514,"no",36,NA,"yes","yes",7
"yes","yes","yes","yes","yes","no",16,10,25,12,"no",12,"no","yes","no","no","no","no",5.521461,3,"no",250,"no",45,146,"6","yes",3
"yes","no","yes","yes","yes","no",12,8,24,12,"no",12,"no","yes","no","no","no","no",5.752573,3,"no",315,"no",32,NA,"6","yes",6
"yes","yes","yes","yes","yes","no",12,12,29,9,"no",12,"no","yes","no","no","no","no",5.926926,6,"no",375,"no",32,82,"yes","yes",11
