"conflict","major","contig","power","maxdem","mindem","years"
1,1,0,0.0403481982648373,10,-7,0
1,0,0,0.912734925746918,10,-8,4
1,1,1,0.332184106111526,10,-7,0
1,1,0,0.00399569980800152,10,-9,12
1,0,1,0.135729104280472,-5,-6,12
1,1,1,0.0369670018553734,8,-8,2
1,0,1,0.694933891296387,10,-9,0
1,0,1,0.54243540763855,10,2,10
1,1,1,0.0289344992488623,5,-9,0
1,0,1,0.384596586227417,8,-7,11
1,1,0,0.0155878001824021,10,10,4
1,1,1,0.113495901226997,-8,-8,0
1,1,1,0.0121972998604178,2,-8,2
1,0,1,0.814673900604248,4,-7,1
1,0,1,0.841785728931427,8,-7,3
1,0,1,0.360301405191422,9,-7,0
1,1,1,0.0509629994630814,-7,-10,7
1,0,1,0.433185487985611,10,-4,0
1,0,1,0.0777916982769966,-1,-9,13
1,1,1,0.0443742983043194,-3,-8,2
1,1,1,0.0207436997443438,10,-7,13
1,0,1,0.558688521385193,-5,-10,5
1,0,1,0.469700306653976,5,-1,0
1,1,0,0.038799200206995,5,-7,13
1,0,1,0.434830486774445,-3,-9,0
1,1,1,0.328260391950607,10,-7,0
1,1,1,0.102985598146915,-4,-7,10
1,1,0,0.142576202750206,6,-7,13
1,1,0,0.00448230002075434,10,-9,13
1,0,1,0.497881710529327,-5,-7,13
1,1,1,0.529374480247498,9,-8,0
1,0,1,0.218641802668571,-7,-9,1
1,0,0,0.670172929763794,10,-5,0
1,1,0,0.0980089008808136,5,-5,4
1,1,0,0.0826776027679443,10,-7,14
1,0,1,0.231693997979164,-1,-7,6
1,0,1,0.358476400375366,9,-7,0
1,0,1,0.486642986536026,5,-1,0
1,1,1,0.0330419987440109,5,-9,0
1,0,1,0.188906192779541,-1,-8,0
1,0,1,0.176391497254372,-7,-9,0
1,1,0,0.0050089000724256,-1,-7,6
1,1,0,0.0317410007119179,10,10,5
1,0,1,0.344044089317322,10,10,5
1,1,1,0.011549100279808,-8,-10,0
1,0,1,0.422607213258743,10,8,0
1,0,1,0.427758187055588,-3,-9,0
1,0,1,0.297904402017593,10,-7,0
1,0,1,0.832735121250153,-3,-8,6
1,1,1,0.131013199687004,8,-8,4
1,0,1,0.24655370414257,-7,-10,3
1,0,1,0.979564189910889,10,-7,5
1,1,0,0.00192199996672571,10,10,0
1,1,0,0.740912973880768,10,-8,1
1,0,1,0.405950486660004,-7,-9,1
1,1,1,0.082346297800541,10,10,15
1,0,1,0.25833261013031,-7,-10,0
1,0,1,0.407313495874405,10,-7,0
1,0,1,0.303569197654724,10,-7,0
1,0,1,0.622614622116089,5,-8,4
1,0,1,0.357908487319946,9,-7,0
1,0,1,0.291604489088058,-5,-7,2
1,1,1,0.352266907691956,10,-7,0
1,0,0,0.664955019950867,10,-5,0
1,0,1,0.184977501630783,7,-9,0
1,1,1,0.0341436006128788,5,-9,0
1,0,0,0.0790615007281303,9,-9,4
1,0,0,0.293577998876572,-1,-9,1
1,1,1,0.505777716636658,9,-8,0
1,0,0,0.122160598635674,2,-9,1
1,1,1,0.0427624993026257,-3,-8,1
1,0,1,0.228882804512978,-6,-8,1
1,1,1,0.0174120999872684,10,-7,0
1,1,0,0.020006500184536,10,0,3
1,0,1,0.674279570579529,10,-9,0
1,0,1,0.728833198547363,-7,-8,0
1,0,1,0.315508008003235,-4,-7,2
1,0,1,0.370291590690613,10,-7,0
1,1,1,0.115854702889919,-8,-8,2
1,0,1,0.223086997866631,-6,-9,0
1,1,1,0.379233509302139,10,-7,0
1,0,1,0.084629401564598,-1,-9,2
1,0,1,0.370527893304825,5,-3,16
1,1,0,0.0492780990898609,10,-8,0
1,0,1,0.0318613015115261,9,-9,15
1,0,1,0.990740776062012,-1,-8,4
1,0,1,0.377208203077316,10,-7,0
1,0,1,0.945694327354431,10,-2,0
1,0,1,0.360093504190445,9,1,0
1,0,1,0.312881410121918,10,-2,1
1,0,1,0.394690811634064,-7,-9,0
1,0,1,0.285668611526489,-7,-10,16
1,0,0,0.236760094761848,-9,-9,4
1,0,1,0.418132811784744,10,-5,3
1,1,0,0.0180984996259212,10,5,6
1,1,1,0.0819268971681595,10,-7,1
1,1,1,0.828721582889557,-7,-8,13
1,0,1,0.414300799369812,-3,-9,1
1,0,1,0.425875902175903,10,-7,1
1,1,1,0.907460927963257,10,-7,0
1,0,1,0.513911604881287,2,-7,13
1,1,0,0.0491601005196571,10,-8,0
1,0,1,0.210610195994377,10,-5,6
1,0,1,0.360792487859726,10,-7,0
1,0,1,0.819413125514984,8,-9,12
1,0,1,0.38476750254631,10,3,0
1,0,1,0.377754986286163,-7,-9,0
1,0,1,0.52929162979126,6,-1,2
1,0,1,0.360303193330765,-3,-9,0
1,1,1,0.368376493453979,10,-7,0
1,0,1,0.217577695846558,7,-9,1
1,1,1,0.368293195962906,10,-7,0
1,0,1,0.531323909759521,10,4,4
1,0,1,0.941313624382019,10,-7,0
1,1,1,0.0557087995111942,-7,-10,3
1,0,1,0.627762079238892,10,-9,0
1,0,1,0.371817797422409,9,1,0
1,0,0,0.475662797689438,10,-5,11
1,1,0,0.00733650010079145,10,-1,7
1,0,1,0.721446871757507,3,-8,0
1,1,1,0.0183691997081041,10,-7,8
1,1,0,0.642495393753052,5,3,17
1,0,1,0.967873811721802,-1,-8,0
1,1,1,0.116722896695137,-8,-8,0
1,1,0,0.0133354999125004,10,0,0
1,0,1,0.202264502644539,10,-5,0
1,1,0,0.0470001995563507,10,-8,0
1,0,1,0.97959178686142,-3,-5,2
1,1,0,0.00697229988873005,10,-9,11
1,0,1,0.248300999403,10,-7,18
1,0,1,0.350476086139679,-3,-9,0
1,1,0,0.491256088018417,10,-8,1
1,0,1,0.363162904977798,9,1,0
1,1,1,0.386649608612061,10,-7,0
1,0,1,0.362543910741806,10,-7,0
1,0,0,0.539437472820282,10,-7,2
1,1,1,0.0611148998141289,10,-7,8
1,0,1,0.943554520606995,10,-7,0
1,0,1,0.293524712324142,-7,-10,0
1,0,1,0.631637215614319,10,-9,0
1,1,1,0.595522820949554,9,-8,0
1,1,0,0.00409599998965859,5,-7,4
1,1,0,0.0517386011779308,10,-7,1
1,0,1,0.377242386341095,-7,-9,0
1,0,1,0.694370210170746,3,-8,0
1,0,1,0.377022296190262,10,3,0
1,1,1,0.372058302164078,10,-7,0
1,1,1,0.803675770759583,-7,-8,1
1,0,1,0.523923397064209,6,-1,0
1,1,0,0.0072150002233684,10,-9,0
1,0,1,0.15222230553627,-7,-9,1
1,0,1,0.507614314556122,10,2,5
1,0,1,0.294605910778046,9,-7,2
1,0,1,0.38888880610466,-7,-9,0
1,0,1,0.365538686513901,9,1,0
1,1,1,0.816170513629913,-7,-9,0
1,0,1,0.0295196007937193,9,-9,2
1,0,1,0.529285073280334,6,-1,0
1,0,0,0.66733568906784,-3,-8,8
1,1,1,0.405814498662949,10,-7,0
1,0,1,0.339991003274918,-3,-9,0
1,0,1,0.76331877708435,7,2,2
1,0,0,0.238744005560875,10,-7,17
1,0,1,0.437418699264526,9,-5,2
1,0,1,0.59394109249115,-5,-10,3
1,0,1,0.195933505892754,10,-5,0
1,1,0,0.0481746010482311,10,-8,0
1,1,1,0.591790020465851,9,-9,0
1,1,0,0.364793211221695,10,-7,2
1,0,0,0.471151888370514,10,-5,1
1,0,1,0.23272730410099,7,-9,0
1,0,1,0.260479509830475,-7,-10,0
1,0,1,0.990269422531128,10,-7,0
1,0,1,0.416190505027771,7,-9,3
1,0,1,0.242718502879143,-6,-9,2
1,0,1,0.976978421211243,10,-7,0
1,0,1,0.27297368645668,-7,-10,0
1,0,1,0.622718095779419,-7,-9,5
1,1,0,0.101205199956894,10,-9,12
1,0,1,0.594106793403625,-5,-10,0
1,0,1,0.35701909661293,7,-9,6
1,1,0,0.514526009559631,10,-6,0
1,1,0,0.133431106805801,10,-9,20
1,1,0,0.0154817998409271,10,0,0
1,0,0,0.266097187995911,2,-9,2
1,0,1,0.352703988552094,9,1,0
1,0,1,0.899082481861115,-9,-9,6
1,1,1,0.107976600527763,-8,-9,0
1,0,1,0.358517795801163,10,3,1
1,1,1,0.892971992492676,10,-7,0
1,1,1,0.827719807624817,-7,-9,0
1,0,0,0.576470613479614,-7,-9,8
1,0,1,0.23272730410099,7,-9,0
1,1,0,0.00287809991277754,10,-9,8
1,0,1,0.126712307333946,-5,-9,4
1,1,0,0.348713397979736,10,-7,1
1,0,1,0.391691386699677,-3,-9,0
1,1,0,0.0175007991492748,9,-7,10
1,1,1,0.426317512989044,10,-7,1
1,0,1,0.540592014789581,6,-9,1
1,1,1,0.612554609775543,9,-9,0
1,0,1,0.495745897293091,9,-7,2
1,1,1,0.830224573612213,-7,-9,0
1,1,1,0.104608796536922,3,-7,1
1,0,1,0.384187310934067,10,-9,4
1,0,1,0.367799192667007,9,1,0
1,0,0,0.839742124080658,-9,-9,7
1,1,0,0.0070146000944078,10,-1,3
1,1,1,0.106008797883987,-8,-9,0
1,0,1,0.272794604301453,-7,-10,0
1,0,0,0.123599901795387,-7,-9,7
1,0,1,0.247411996126175,7,-9,0
1,1,0,0.0104758003726602,10,-9,0
1,0,0,0.953806400299072,6,-7,21
1,0,1,0.913946628570557,-9,-9,0
1,0,1,0.49126410484314,7,0,2
1,0,1,0.719848811626434,7,-9,11
1,0,1,0.970325410366058,9,-7,0
1,0,1,0.47182509303093,-7,-9,0
1,1,0,0.0317497998476028,6,-7,22
1,1,0,0.0487491004168987,10,-9,0
1,0,0,0.982886910438538,6,-7,0
1,0,0,0.150669097900391,4,0,4
1,1,1,0.460828512907028,10,-7,0
1,0,1,0.552807986736298,10,5,11
1,1,0,0.010266499593854,10,-9,0
1,1,0,0.0625988990068436,10,-7,3
1,0,0,0.48153030872345,5,-9,15
1,0,1,0.025755800306797,9,-9,2
1,1,1,0.871182203292847,10,-7,0
1,0,1,0.95856362581253,9,-7,0
1,0,1,0.717678129673004,7,-6,6
1,1,0,0.0789377987384796,-7,-9,22
1,1,0,0.462192714214325,10,-9,3
1,0,0,0.91783320903778,9,-9,6
1,1,0,0.158664792776108,-7,-9,8
1,1,1,0.806413114070892,-7,-9,0
1,1,0,0.00940699968487024,-7,-7,11
1,0,1,0.462009191513062,9,2,2
1,0,1,0.386857390403748,-3,-9,0
1,0,1,0.413542985916138,-3,-10,1
1,0,1,0.448945492506027,2,-9,0
1,0,0,0.358741909265518,10,-9,15
1,1,1,0.0496695004403591,-7,-9,9
1,0,1,0.589057326316833,-7,-10,2
1,0,1,0.370034486055374,9,-2,1
1,0,1,0.752186477184296,-7,-9,9
1,1,0,0.0209897998720407,10,-7,6
1,0,1,0.995124518871307,10,10,23
1,0,1,0.902325510978699,4,0,2
1,0,0,0.122258201241493,-7,-9,1
1,1,1,0.0234517008066177,10,-7,8
1,0,0,0.284494012594223,-7,-9,5
1,0,0,0.346606492996216,-8,-9,15
1,0,1,0.159399896860123,-7,-9,3
1,1,1,0.641163885593414,9,-9,1
1,0,1,0.251832097768784,-5,-10,2
1,0,0,0.858329713344574,-9,-9,1
1,1,1,0.798336684703827,-7,-9,0
1,0,1,0.0404745005071163,7,1,1
1,1,0,0.0522952005267143,10,-9,0
1,1,0,0.466555804014206,10,-7,23
1,0,1,0.0254388991743326,9,-9,0
1,0,1,0.47791388630867,2,-7,5
1,0,1,0.891265571117401,0,-1,23
1,0,1,0.102893799543381,10,4,3
1,1,1,0.467765599489212,10,-7,0
1,0,1,0.169979497790337,8,-9,23
1,0,1,0.372848898172379,9,-2,0
1,0,0,0.983893811702728,9,-9,1
1,0,1,0.390621513128281,9,-7,0
1,0,1,0.0404255017638206,9,1,0
1,1,1,0.890377283096313,10,-7,0
1,0,1,0.740090489387512,3,-9,0
1,0,1,0.754854321479797,1,0,24
1,1,0,0.316666692495346,10,-7,2
1,1,0,0.0141201000660658,10,-9,12
1,1,0,0.0175663996487856,-7,-9,24
1,0,1,0.907578587532043,4,0,0
1,0,1,0.70211797952652,-9,-9,3
1,1,0,0.0271809007972479,-7,-7,24
1,0,0,0.209863498806953,-9,-9,7
1,0,1,0.57110059261322,-7,-10,0
1,0,1,0.38796991109848,0,-9,7
1,0,1,0.476821213960648,-5,-7,9
1,0,1,0.684931516647339,-7,-7,2
1,0,1,0.376114994287491,9,-2,0
1,0,1,0.71792209148407,-7,-7,25
1,0,0,0.160747602581978,4,0,0
1,0,1,0.868277907371521,9,-9,0
1,0,1,0.696007311344147,-9,-9,0
1,1,1,0.0857822969555855,-7,-7,25
1,1,0,0.022418700158596,9,-7,0
1,1,1,0.591699421405792,9,-8,1
1,0,1,0.397341698408127,10,-9,3
1,1,1,0.0298094991594553,10,-7,8
1,0,1,0.523142695426941,-7,-10,0
1,0,1,0.803953170776367,-7,-7,18
1,1,0,0.00823349971324205,10,0,3
1,0,1,0.150129392743111,-7,-9,0
1,0,1,0.839416027069092,-7,-7,9
1,0,0,0.800907015800476,-3,-8,5
1,0,1,0.0946236997842789,10,-7,6
1,0,1,0.730844914913177,-3,-6,4
1,0,0,0.866826713085175,-7,-7,25
1,0,0,0.294017106294632,0,-9,1
1,1,0,0.00887189991772175,10,-5,0
1,0,1,0.856562972068787,-7,-7,0
1,0,1,0.248831406235695,-7,-8,4
1,0,0,0.297752887010574,-9,-9,0
1,1,1,0.970942318439484,10,-7,1
1,0,1,0.624242424964905,-6,-10,1
1,0,1,0.335873007774353,-7,-9,10
1,0,1,0.630289614200592,-7,-7,16
1,0,0,0.404499799013138,-7,-9,11
1,0,0,0.243940904736519,-7,-9,0
1,0,1,0.966233670711517,-5,-7,7
1,1,0,0.0346159003674984,10,1,26
1,1,0,0.0266187991946936,10,-7,2
1,1,0,0.00209770002402365,10,10,11
1,1,0,0.816519379615784,10,-8,0
1,0,1,0.961038887500763,-7,-7,0
1,1,0,0.00699569983407855,10,-7,2
1,1,0,0.0199760999530554,10,-9,2
1,0,1,0.350710898637772,-7,-7,11
1,1,1,0.84996771812439,-7,-8,3
1,0,1,0.970172584056854,4,-9,2
1,1,1,0.573109984397888,9,-8,1
1,0,0,0.462169200181961,9,-7,21
1,1,0,0.0868458971381187,10,-7,4
1,0,0,0.957397282123566,-7,-9,9
1,0,1,0.327244400978088,-7,-9,0
1,0,0,0.459352910518646,8,-7,26
1,0,0,0.247049599885941,-7,-9,0
1,0,1,0.17072169482708,6,-8,3
1,0,0,0.166255101561546,-9,-9,2
1,0,1,0.653846085071564,-6,-10,0
1,0,0,0.143848896026611,-9,-9,9
1,0,1,0.891390681266785,-3,-7,7
1,0,0,0.552982985973358,10,-8,27
1,0,1,0.61198741197586,-7,-10,0
1,0,1,0.282051295042038,-7,-9,5
1,0,0,0.00182190001942217,10,10,19
1,0,1,0.732661724090576,9,-9,0
1,0,1,0.752671182155609,1,-9,2
1,0,0,0.193194299936295,4,-9,0
1,0,1,0.949884295463562,4,-9,0
1,0,1,0.685655117034912,-7,-7,2
1,1,1,0.136954799294472,10,10,28
1,0,1,0.0887096971273422,10,-6,2
1,1,1,0.0961387008428574,-3,-8,2
1,0,0,0.915052771568298,-3,-8,2
1,1,1,0.851288318634033,-7,-8,0
1,1,1,0.00647220015525818,-7,-8,25
1,0,1,0.585517883300781,-7,-10,0
1,0,1,0.30303031206131,8,-7,12
1,0,0,0.747841775417328,-3,-9,20
1,0,1,0.26564159989357,9,5,5
1,0,0,0.964006304740906,-7,-9,0
1,0,1,0.907086610794067,-4,-7,14
1,1,0,0.0384965986013412,9,-7,0
1,0,1,0.847631216049194,-7,-7,0
1,0,1,0.0924369990825653,10,4,4
1,0,1,0.0395753011107445,10,9,6
1,1,1,0.0285336002707481,10,-7,2
1,1,0,0.0452045984566212,10,-7,12
1,1,1,0.578922986984253,7,-8,1
1,1,1,0.0293370001018047,10,-7,0
1,0,1,0.96834272146225,-7,-10,1
1,0,1,0.297918885946274,-7,-8,1
1,0,1,0.53798770904541,9,-7,0
1,0,1,0.782103419303894,9,-9,0
1,0,1,0.332724004983902,-7,-7,0
1,0,0,0.565701007843018,4,-7,29
1,1,0,0.00244800001382828,10,10,1
1,0,1,0.0080222999677062,1,-4,9
1,1,1,0.507104396820068,10,-7,5
1,0,1,0.179610103368759,-7,-7,23
1,1,0,0.0384615994989872,10,-3,2
1,0,1,0.263948887586594,3,-7,4
1,0,1,0.0784313976764679,-7,-9,13
1,0,1,0.74658751487732,1,-9,0
1,0,1,0.940322995185852,-9,-9,11
1,0,1,0.523775219917297,9,8,0
1,0,1,0.839694619178772,-7,-7,7
1,1,1,0.143959999084473,10,10,0
1,1,1,0.166902303695679,-7,-8,21
1,0,1,0.918238997459412,-7,-7,1
1,0,1,0.845880210399628,3,-6,15
1,0,1,0.118294402956963,10,4,0
1,1,1,0.488180011510849,10,-7,0
1,0,1,0.998505175113678,-1,-1,6
1,0,1,0.93099421262741,-7,-7,30
1,0,1,0.748654425144196,1,-9,0
1,0,1,0.454959005117416,-7,-7,16
1,0,1,0.531022071838379,9,8,0
1,0,0,0.0596018992364407,-7,-10,9
1,1,0,0.0316106006503105,8,-7,16
1,0,1,0.231717303395271,-7,-7,0
1,1,0,0.394296109676361,10,-9,27
1,0,1,0.917936086654663,-7,-9,18
1,0,0,0.987709522247314,9,8,28
1,0,1,0.117962501943111,10,4,0
1,1,0,0.00325799989514053,10,-7,30
1,0,1,0.176750496029854,7,-7,4
1,0,1,0.171008706092834,-7,-9,23
1,1,0,0.0405527018010616,10,9,28
1,1,1,0.0296292006969452,10,-7,0
1,0,1,0.367532700300217,-7,-7,0
1,0,0,0.375512212514877,9,-7,14
1,1,1,0.161962896585464,1,-8,4
1,1,0,0.193735703825951,10,-9,5
1,0,1,0.0431745983660221,9,1,5
1,0,1,0.540664911270142,9,9,28
1,0,1,0.322259098291397,-8,-9,16
1,0,1,0.99889498949051,9,-10,2
1,0,1,0.912258923053741,-7,-7,0
1,0,0,0.537723481655121,4,-9,17
1,0,1,0.341872811317444,-7,-7,0
1,0,1,0.868604719638824,-7,-7,1
1,0,1,0.327138692140579,10,1,10
1,0,0,0.805331289768219,-7,-9,31
1,0,1,0.553562223911285,9,-6,0
1,0,1,0.609448790550232,-7,-7,9
1,1,1,0.927276074886322,10,-7,3
1,0,1,0.554129183292389,-7,-9,8
1,0,1,0.736136615276337,-7,-9,21
1,1,1,0.815065681934357,-7,-7,2
1,1,0,0.0408382005989552,10,-3,1
1,0,1,0.925265610218048,-7,-7,0
1,0,1,0.314851492643356,-7,-7,11
1,0,1,0.951508581638336,-7,-7,14
1,0,1,0.619545102119446,-7,-7,23
1,0,1,0.787368416786194,10,-8,19
1,0,1,0.403387188911438,-7,-7,0
1,1,1,0.0338160991668701,10,-7,0
1,1,1,0.481735289096832,10,-7,0
1,0,1,0.760969519615173,1,-9,0
1,0,1,0.8648322224617,-7,-7,1
1,0,1,0.0998890027403831,10,4,0
1,1,0,0.0698350965976715,-7,-9,8
1,0,1,0.220123201608658,-6,-7,1
1,0,1,0.49668350815773,-5,-7,21
1,0,1,0.425287395715714,-9,-9,5
1,0,0,0.180683702230453,4,-9,2
1,0,1,0.85443389415741,-7,-7,0
1,1,1,0.110360696911812,-7,-10,14
1,1,1,0.173141494393349,-7,-7,2
1,0,1,0.554135203361511,-7,-9,0
1,1,1,0.925402879714966,10,-7,0
1,0,0,0.193500399589539,-6,-7,15
1,1,1,0.472684592008591,10,-7,0
1,1,1,0.618985116481781,10,-7,19
1,0,1,0.216515198349953,2,-7,1
1,0,1,0.693422615528107,-6,-7,5
1,0,1,0.212859898805618,-6,-7,0
1,1,1,0.123569399118423,1,-7,10
1,0,1,0.794238686561584,10,-8,0
1,0,0,0.467554986476898,-5,-7,0
1,0,1,0.538862586021423,9,8,1
1,1,0,0.0670515969395638,8,-7,0
1,1,1,0.0185662992298603,10,-7,8
1,0,1,0.448455214500427,-7,-7,15
1,0,1,0.0373831987380981,10,-6,18
1,0,1,0.101365901529789,10,-7,26
1,0,0,0.179599404335022,4,-9,0
1,0,1,0.342465788125992,-7,-7,0
1,0,1,0.10195229947567,10,4,0
1,0,1,0.958312690258026,9,-9,0
1,0,1,0.728303074836731,2,-9,0
1,0,1,0.97907131910324,-7,-7,6
1,0,1,0.930445075035095,-5,-9,3
1,1,0,0.0207221992313862,10,-7,5
